owner/fleet,car/truck,region,vintage,powertrain,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,3,3,32,80,11,25,56,8,260,6414,4867,2394,4863,3597,5738,7152,4611,6687,3764,6841,16454,23357,14608,14945,16017,7313,3262,2330,1727,662,0,0
1,1,1,3,4,0,0,0,0,0,3,2,3,6,22,8,1,6,0,0,0,0,0,55,402,951,460,835,574,728,607,428,11,90,200
1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,1124,886,753,1321,4786,2796,2205,2659,2953,2957
1,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,783,426,601,1958,2798,401,35,227,717
1,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,18,0,0,119,134,150,242,1611,549,3321,1286,2403,3404
1,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85,21,325,621,1054,861,6389,3423,8031,12532,15137
1,1,1,3,16,0,0,0,0,0,0,0,390,1186,1585,2749,4149,10172,7204,16799,15443,9645,22844,12991,18064,19334,15376,13094,8019,9559,6953,9398,7608,7363,9004
1,1,1,4,1,424246,464083,453170,514365,427161,457443,434148,469428,504167,439625,414642,392116,368216,384711,359222,366881,329697,276732,278552,278148,333698,341495,298751,299797,292014,290494,234690,215512,166489,128027
1,1,1,4,2,478,226,57,335,985,609,1421,1343,1832,1397,2016,2080,1113,1209,1698,114,67,2996,5432,4893,6245,6705,4636,3918,354,477,231,12,0,0
1,1,1,4,3,0,270,98,17,29,38,11,297,6015,4680,2433,6122,3505,5558,7095,4576,6659,3746,6999,16041,20561,16723,15302,16767,7719,3371,2323,1829,739,0
1,1,1,4,4,0,0,0,0,0,0,3,0,3,26,23,4,1,4,0,0,0,0,12,52,397,869,383,877,579,707,572,410,12,82
1,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,1652,856,659,1031,4448,2729,2193,2674,2931
1,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,759,438,527,1720,2594,376,41,225
1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,106,131,158,259,1444,491,3106,1251,2394
1,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1,1,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,20,327,638,1112,839,6079,3276,7732,11983
1,1,1,4,16,0,0,0,0,0,0,0,0,381,1146,1503,2774,4128,10077,7141,16651,15320,9566,22452,12511,17865,18969,15175,13081,8017,9553,6877,9472,7781,7467
1,1,1,5,1,403037,421224,464701,461773,511316,428119,464726,443841,470769,500184,439241,407994,386439,364579,378951,354641,360092,323267,273073,273940,277209,327760,339103,295489,296634,286995,287369,232802,217515,164998
1,1,1,5,2,987,504,237,53,594,737,605,1451,1316,1714,1329,1990,2061,1114,1242,1688,114,67,2876,5513,4634,6410,2837,4253,4245,346,464,233,11,0
1,1,1,5,3,0,0,286,133,11,27,51,11,246,5900,4729,4689,6002,3401,5359,7005,4518,6575,3823,6980,15893,20466,16575,15549,16883,7678,3370,2335,1853,748
1,1,1,5,4,0,0,0,0,0,0,0,0,24,3,31,23,2,1,3,0,0,0,0,21,36,390,812,338,825,561,698,556,407,11
1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,1562,835,619,945,4280,2702,2213,2562
1,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,730,436,488,1598,2486,375,58
1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,104,127,164,258,1342,411,3095,1205
1,1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,1,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,18,318,641,1065,835,5957,3202,7518
1,1,1,5,16,0,0,0,0,0,0,0,0,0,362,1116,1554,2733,4092,9946,7050,16440,15126,9386,21824,12309,17469,18606,15053,13047,7988,9483,6904,9564,7759
1,1,1,6,1,455372,400357,419698,467279,454655,501900,423942,463765,437247,457269,490203,428819,400751,380185,360351,372631,330843,352009,314627,263877,271090,268776,322724,332217,289355,287306,278356,280666,230336,213324
1,1,1,6,2,321,1030,473,232,102,336,744,623,1396,1239,1614,1297,1960,2037,1111,1271,1674,114,71,2949,5895,4722,3055,2072,5123,4291,338,444,231,11
1,1,1,6,3,0,0,0,285,153,17,31,57,31,202,5864,4582,4496,5872,3293,5155,6904,4452,6567,3708,6856,15460,20276,16354,15275,16445,7510,3333,2308,1818
1,1,1,6,4,0,0,0,0,0,0,0,0,0,34,2,23,22,1,0,1,0,0,6,0,20,22,379,785,298,780,544,680,546,394
1,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,1499,808,609,910,4147,2651,2057
1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,727,420,478,1545,2429,365
1,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,100,121,161,254,1186,442,2977
1,1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
1,1,1,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,71,19,297,613,1023,773,5771,3031
1,1,1,6,16,0,0,0,0,0,0,0,0,0,0,346,1143,1521,2688,4049,9800,6948,16202,14945,9100,21424,11896,17173,18279,14791,12818,7870,9343,6875,9329
1,1,1,7,1,537514,449179,397546,420066,458361,445309,495234,421379,454850,430718,447771,475809,417997,393060,373487,355651,351593,322292,348936,300393,260588,261231,263570,313761,323213,278168,276800,269721,275831,223044
1,1,1,7,2,1056,287,1027,463,415,48,342,753,604,1379,1189,1563,1260,1920,2003,1102,1293,1655,119,62,3090,5255,2109,1930,2423,5763,4213,327,427,222
1,1,1,7,3,0,0,0,0,370,127,19,36,56,32,190,5300,4384,4301,5737,3183,4949,6794,4336,6364,3639,6580,15173,19666,15923,14792,15794,7283,3241,2239
1,1,1,7,4,0,0,0,0,0,0,0,0,0,0,34,1,16,20,0,0,0,0,0,17,0,19,25,376,736,280,765,535,643,531
1,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,1423,782,599,888,4080,2582
1,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,692,414,461,1526,2357
1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,119,158,251,1263,472
1,1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0
1,1,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,68,18,288,593,981,742,5510
1,1,1,7,16,0,0,0,0,0,0,0,0,0,0,0,379,1113,1486,2639,4001,9641,6838,16158,14396,8915,20605,11693,16814,17997,14480,12764,7824,9281,6717
1,1,1,8,1,595055,526338,443201,393956,409270,446089,437945,487329,410332,443763,416719,433112,461100,406841,384971,366391,342081,341195,318325,335247,295399,249978,255093,254544,305155,310046,267564,268969,264255,263741
1,1,1,8,2,486,1011,282,993,748,240,50,323,727,582,1317,1146,1511,1220,1878,1966,1092,1449,1696,107,69,2788,1497,1093,2037,3117,5553,4059,331,407
1,1,1,8,3,0,0,0,0,0,274,121,21,37,56,33,179,5107,4185,4106,5598,3071,4741,6693,4152,6177,3483,6523,14973,19153,15253,14203,15270,7059,3065
1,1,1,8,4,0,0,0,0,0,0,0,0,0,0,0,26,1,10,17,0,0,0,0,0,16,0,17,29,360,705,278,771,533,614
1,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,1360,784,586,872,3967
1,1,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,615,672,408,468,1446
1,1,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,120,166,241,1274
1,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0
1,1,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70,17,276,589,936,707
1,1,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0,369,1083,1450,2588,3948,9472,6832,15563,14133,8558,20027,11374,16471,17423,14196,12630,7776,9040
1,1,1,9,1,619280,576569,515340,433380,383023,396166,435323,427949,470919,397552,425114,399984,417082,444895,394291,375473,350670,332561,334142,304170,327049,282307,242143,245739,246023,290290,296070,257354,261930,252887
1,1,1,9,2,1602,530,996,289,1443,411,242,46,318,701,553,1261,1109,1464,1186,1843,1936,1091,2297,1545,171,68,1280,848,1377,2294,3006,5309,3933,318
1,1,1,9,3,0,0,0,0,0,0,257,122,21,32,61,36,167,4900,3975,3901,5439,2950,4408,6389,4066,5789,3455,6398,14540,18077,14474,13623,14717,6762
1,1,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,19,1,6,16,0,0,0,0,0,15,0,15,25,331,676,271,765,497
1,1,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,1296,763,594,825
1,1,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,456,597,661,412,440
1,1,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,116,162,226
1,1,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,2,0,0
1,1,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,63,16,261,586,875
1,1,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,358,1049,1408,2527,3879,9441,6584,15310,13600,8279,19304,11172,15992,16920,13928,12513,7679
1,1,1,10,1,579383,590517,555053,497117,417982,367933,383121,418960,413315,452692,387305,403042,381455,399112,426579,379781,346798,338173,323289,317837,295658,311031,271736,232139,236311,232965,275964,284216,249050,249605
1,1,1,10,2,2231,1564,575,953,423,936,399,241,47,314,677,522,1195,1061,1405,1143,1791,1905,1650,1391,2317,106,101,429,588,1438,2205,2881,5100,3753
1,1,1,10,3,0,0,0,0,0,0,0,263,119,23,32,58,38,154,4670,3750,3680,5253,2490,4302,6152,3833,5659,3342,6174,13813,17032,13172,13160,13851
1,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,10,0,0,0,0,0,15,0,13,26,325,680,266,747
1,1,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,1251,738,560
