ivtyp,iregn,ildv,iage,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,2,6,17,6295,6837,7380,7929,7700,6932,7200,9791,9959
1,2,6,18,5903,6475,7047,7442,7248,6569,6815,9490,9832
1,2,6,19,5682,6203,6724,7104,6754,6179,6431,9287,9522
1,2,6,20,5364,5887,6411,6800,6452,5737,6063,8995,9315
1,2,6,21,4896,5545,6195,6460,6172,5466,5608,8932,9017
1,2,6,22,4540,5200,5859,6250,5883,5241,5310,8756,8938
1,2,6,23,4274,4887,5501,5957,5669,4955,5134,8630,8742
1,2,6,24,4012,4573,5133,5541,5446,4818,4817,8746,8607
1,2,6,25,2942,3327,3712,4025,3817,3473,3688,7829,7943
1,3,6,1,8710,7185,5660,5259,4306,5086,6856,10923,6208
1,3,6,2,4227,8164,12101,5444,7148,4057,7045,13155,11076
1,3,6,3,8663,9319,9976,11978,8946,7355,4935,13768,13198
1,3,6,4,10147,9489,8830,9475,10862,8610,7600,13312,14093
1,3,6,5,11162,10322,9482,8228,10669,10033,8674,13347,13285
1,3,6,6,11042,11718,12395,10028,10024,9878,10536,13791,13380
1,3,6,7,10702,11521,12340,12275,11011,9680,9351,12425,13866
1,3,6,8,10441,11019,11597,11883,12296,10406,9705,11320,12442
1,3,6,9,10276,10717,11158,11028,12118,11729,10155,11558,11355
1,3,6,10,9854,10332,10810,10605,11249,11502,11337,11116,11525
1,3,6,11,9420,9972,10524,10196,10706,11094,10993,11342,11092
1,3,6,12,9018,9537,10057,9969,10261,10543,10447,11291,11323
1,3,6,13,8510,9085,9661,9511,9958,10081,9858,11462,11281
1,3,6,14,8042,8614,9186,9115,9457,9768,9416,11190,11464
1,3,6,15,7488,8109,8730,8655,9014,9267,9093,10826,11196
1,3,6,16,7094,7649,8205,8205,8505,8831,8595,10493,10832
1,3,6,17,6752,7212,7672,7715,8033,8311,8187,10283,10483
1,3,6,18,6255,6791,7327,7188,7562,7850,7680,9997,10278
1,3,6,19,5941,6462,6982,6867,6991,7371,7261,9750,9985
1,3,6,20,5537,6038,6538,6550,6686,6804,6811,9498,9744
1,3,6,21,5009,5651,6293,6115,6362,6484,6231,9448,9482
1,3,6,22,4578,5255,5931,5899,5949,6201,5949,9265,9421
1,3,6,23,4183,4819,5455,5559,5738,5788,5712,9186,9204
1,3,6,24,3862,4471,5079,5105,5419,5575,5328,9244,9131
1,3,6,25,2645,3041,3437,3479,3603,3768,3813,8313,8392
1,4,6,1,6497,6608,6720,5166,4831,4978,6034,11199,6175
1,4,6,2,5957,8277,10597,6820,6857,3733,8010,13274,11457
1,4,6,3,7201,7561,7921,12107,8450,8177,5774,14294,13163
1,4,6,4,8407,8072,7737,8695,10892,8698,8653,15419,14427
1,4,6,5,9745,9047,8348,8184,9750,9968,8657,13874,15639
1,4,6,6,10886,10743,10600,9375,9712,10078,10626,14033,13921
1,4,6,7,10591,10656,10721,11222,10361,10104,10288,12549,14035
1,4,6,8,10333,10866,11399,11003,11685,10372,9679,11541,12564
1,4,6,9,10186,10596,11005,11081,11878,11033,10153,11633,11459
1,4,6,10,9868,10297,10725,10658,11713,11215,11140,11453,11666
1,4,6,11,9584,9980,10377,10261,11133,11888,11229,11317,11444
1,4,6,12,9223,9582,9940,10008,10752,11363,10365,11216,11303
1,4,6,13,8725,9134,9543,9591,10412,10925,9817,11576,11232
1,4,6,14,8246,8681,9116,9229,9974,10624,9475,11236,11540
1,4,6,15,7716,8206,8695,8768,9521,10117,9136,10889,11202
1,4,6,16,7333,7775,8218,8370,9035,9700,8722,10581,10857
1,4,6,17,6966,7344,7721,7865,8547,9152,8292,10392,10541
1,4,6,18,6558,6990,7422,7419,8042,8704,7872,10126,10359
1,4,6,19,6201,6629,7057,7083,7517,8127,7429,9927,10089
1,4,6,20,5823,6243,6663,6781,7213,7643,6978,9721,9894
1,4,6,21,5231,5815,6398,6355,6866,7281,6487,9660,9684
1,4,6,22,4866,5460,6054,6145,6470,6968,6239,9526,9618
1,4,6,23,4337,4976,5615,5796,6199,6524,5940,9494,9461
1,4,6,24,4120,4686,5252,5381,5881,6327,5588,9565,9430
1,4,6,25,2750,3061,3372,3451,3638,3957,3791,8894,8923
1,5,6,1,8562,7628,6694,6333,3461,4844,6326,11499,6140
1,5,6,2,3916,6767,9618,5554,7673,2131,6504,12684,11597
1,5,6,3,6664,7567,8469,10054,8955,6765,3713,14530,12737
1,5,6,4,9482,8502,7523,8147,10573,8358,6749,12661,14760
1,5,6,5,10918,9618,8318,7502,9878,9820,8425,12765,12520
1,5,6,6,9832,10746,11659,8827,9564,9340,9800,13884,12804
1,5,6,7,9669,10770,11871,11520,10010,9036,9029,12003,13894
1,5,6,8,9450,10399,11347,11401,11796,9350,8725,10853,12041
1,5,6,9,9233,10136,11038,10781,11638,11215,9281,10768,10864
1,5,6,10,9020,9857,10694,10473,10886,11079,10684,10832,10786
1,5,6,11,8628,9486,10345,10080,10465,10114,10502,11277,10820
1,5,6,12,8227,9114,10002,9757,10004,9689,10006,11224,11269
1,5,6,13,7708,8647,9587,9435,9629,9241,9532,11277,11227
1,5,6,14,7380,8245,9110,9032,9252,8891,9082,11062,11247
1,5,6,15,6928,7768,8607,8574,8822,8532,8703,10692,11031
1,5,6,16,6589,7398,8207,8096,8331,8123,8347,10321,10664
1,5,6,17,6383,7072,7760,7720,7857,7677,7938,10170,10283
1,5,6,18,6019,6725,7431,7286,7479,7250,7500,9859,10142
1,5,6,19,5786,6470,7155,6988,7041,6899,7066,9642,9828
1,5,6,20,5454,6143,6831,6753,6747,6486,6739,9376,9607
1,5,6,21,5050,5821,6592,6449,6523,6217,6310,9355,9341
1,5,6,22,4701,5493,6286,6217,6226,6019,6072,9223,9312
1,5,6,23,4399,5137,5875,5942,6004,5735,5872,9187,9157
1,5,6,24,4054,4812,5571,5514,5729,5565,5590,9320,9126
1,5,6,25,2675,3164,3653,3727,3789,3738,3997,8676,8700
1,6,6,1,7349,6996,6642,4195,5641,4478,6586,12151,7169
1,6,6,2,5093,7778,10462,7835,4379,6708,6287,14187,12196
1,6,6,3,7663,8461,9260,12326,8392,8064,6225,14707,14060
1,6,6,4,10764,9563,8362,9998,10911,8738,7710,15645,15447
1,6,6,5,11893,10507,9121,8679,10081,10345,8817,14209,14809
1,6,6,6,11150,11843,12536,9530,10267,10773,10851,14696,14017
1,6,6,7,10955,12134,13314,12616,10225,9964,9767,13052,14587
1,6,6,8,10663,10868,11072,12676,12341,10091,9966,11907,13058
1,6,6,9,10389,10560,10730,11529,12711,11743,9852,11988,11943
1,6,6,10,9983,10165,10347,11137,12039,12075,11846,11863,11945
1,6,6,11,9522,9748,9974,10671,11486,11764,12221,11862,11761
1,6,6,12,9094,9323,9552,10337,10957,11253,10535,11935,11788
1,6,6,13,8457,8798,9139,9874,10545,10683,10024,11651,11880
1,6,6,14,7979,8306,8632,9448,10043,10260,9509,11373,11593
1,6,6,15,7503,7817,8130,8922,9549,9770,9108,11010,11318
1,6,6,16,7097,7383,7669,8391,8973,9265,8665,10670,10960
1,6,6,17,6825,7039,7253,7914,8443,8731,8217,10473,10615
1,6,6,18,6369,6639,6909,7471,7972,8222,7723,10204,10424
1,6,6,19,6056,6351,6646,7126,7508,7773,7270,9992,10157
1,6,6,20,5685,5965,6245,6836,7165,7324,6864,9746,9939
1,6,6,21,5261,5610,5958,6464,6878,6977,6460,9731,9696
1,6,6,22,4824,5238,5653,6168,6523,6730,6180,9618,9679
1,6,6,23,4437,4853,5269,5871,6241,6365,5975,9595,9546
1,6,6,24,4053,4481,4909,5447,5853,6104,5644,9668,9526
1,6,6,25,2671,2873,3075,3434,3616,3775,3726,9115,9135
1,7,6,1,5623,5849,6076,4387,4600,4860,5640,11890,6536
1,7,6,2,6341,8281,10222,7689,4937,2711,7801,13402,12021
1,7,6,3,7823,7557,7291,10688,8712,6537,4289,14244,13394
1,7,6,4,10479,8881,7283,7827,9852,8608,7056,14857,14443
1,7,6,5,11457,9779,8101,7311,8588,9407,8767,13283,14213
1,7,6,6,10203,10837,11471,9063,8839,8876,10265,14017,13353
1,7,6,7,10022,10890,11758,11343,9742,8650,9000,12325,14075
1,7,6,8,9754,10502,11250,11536,11415,9598,8526,10921,12316
1,7,6,9,9592,10247,10902,10691,11467,10793,9248,10800,10940
1,7,6,10,9219,9877,10535,10344,10676,11117,10826,10997,10763
1,7,6,11,8741,9442,10143,9834,10184,9826,10444,11366,11027
1,7,6,12,8402,9075,9749,9576,9698,9390,8890,11366,11302
1,7,6,13,7766,8540,9314,9191,9373,8899,8420,11467,11412
1,7,6,14,7339,8110,8882,8767,8961,8587,7973,11209,11438
1,7,6,15,6811,7574,8338,8363,8541,8232,7682,10827,11184
1,7,6,16,6505,7179,7854,7859,8088,7821,7349,10486,10804
1,7,6,17,6252,6806,7360,7407,7591,7424,6996,10307,10460
1,7,6,18,5838,6466,7094,6921,7154,6962,6622,10024,10287
1,7,6,19,5571,6191,6811,6682,6664,6579,6205,9847,10007
1,7,6,20,5209,5821,6433,6437,6464,6127,5872,9538,9834
1,7,6,21,4757,5469,6181,6055,6221,5906,5463,9515,9524
1,7,6,22,4405,5126,5846,5818,5854,5711,5259,9355,9489
1,7,6,23,4048,4734,5420,5532,5637,5381,5099,9373,9308
1,7,6,24,3748,4431,5114,5094,5333,5210,4818,9454,9333
1,7,6,25,2502,2961,3419,3489,3544,3505,3450,8764,8833
1,8,6,1,6962,6541,6120,6032,5122,4524,6353,11785,6784
1,8,6,2,7366,9498,11631,6032,5630,3392,4080,12664,11897
1,8,6,3,8584,8896,9208,10489,8120,7129,5051,13177,12710
1,8,6,4,10345,9289,8234,8611,10473,8324,7143,13433,13486
1,8,6,5,10588,9591,8594,7913,10239,10037,8258,13031,13418
1,8,6,6,10897,11457,12017,9307,9327,9813,10253,13299,13175
1,8,6,7,10777,11135,11493,11462,10105,8971,9699,11886,13330
1,8,6,8,10425,10924,11424,11116,11442,9781,8776,10716,11926
1,8,6,9,10215,10679,11143,10834,11192,11138,9247,10829,10738
1,8,6,10,10011,10380,10748,10578,10953,11220,10647,10831,10868
1,8,6,11,9652,10038,10424,10176,10611,10554,10741,10888,10857
1,8,6,12,9365,9759,10153,9916,10199,10273,10155,10693,10905
1,8,6,13,8862,9342,9823,9650,9869,9812,9845,10984,10723
1,8,6,14,8542,9001,9459,9358,9551,9513,9430,10763,11039
1,8,6,15,8099,8559,9018,9016,9229,9226,9121,10379,10819
1,8,6,16,7759,8202,8645,8578,8831,8886,8817,10052,10437
1,8,6,17,7483,7866,8249,8218,8362,8512,8483,9919,10105
1,8,6,18,7063,7501,7940,7845,8007,8050,8125,9631,9976
1,8,6,19,6826,7239,7652,7529,7640,7693,7683,9450,9680
1,8,6,20,6484,6896,7307,7280,7309,7342,7329,9218,9494
1,8,6,21,6027,6554,7082,6941,7066,7025,6988,9204,9262
1,8,6,22,5559,6163,6767,6746,6711,6790,6713,9123,9239
1,8,6,23,5125,5732,6338,6438,6546,6426,6471,9103,9138
1,8,6,24,4803,5390,5978,6059,6249,6273,6157,9199,9118
1,8,6,25,3258,3659,4060,4167,4272,4382,4591,8879,8950
1,9,6,1,9875,8097,6319,6608,5244,6551,6036,15064,9567
1,9,6,2,5163,7647,10130,6282,6226,3515,8654,12664,15065
1,9,6,3,8801,9583,10365,10028,8836,6481,6450,14737,12679
1,9,6,4,9837,9101,8366,8954,9893,8097,7691,14573,14676
1,9,6,5,10386,9790,9194,7699,10697,9563,8461,14168,14614
1,9,6,6,10314,11429,12543,9918,9988,10272,10717,14082,14185
1,9,6,7,10217,11187,12157,11967,11081,9552,10424,12524,14084
1,9,6,8,9984,10515,11047,11784,12633,10455,9698,11320,12502
1,9,6,9,9702,10267,10832,10849,12010,11735,10265,11003,11315
1,9,6,10,9619,10075,10531,10636,10590,11415,11542,10961,10978
1,9,6,11,9257,9716,10176,10251,10276,10091,11180,11299,10945
1,9,6,12,9005,9514,10022,9990,9894,9872,10122,11185,11296
1,9,6,13,8558,9104,9651,9824,9587,9460,9835,11445,11192
1,9,6,14,8300,8825,9350,9483,9391,9196,9443,11328,11483
1,9,6,15,7897,8402,8906,9155,9017,8977,9127,10950,11368
1,9,6,16,7587,8102,8616,8748,8704,8633,8923,10631,10990
1,9,6,17,7317,7769,8220,8450,8263,8274,8543,10599,10670
1,9,6,18,6935,7449,7963,8061,7968,7869,8200,10225,10644
1,9,6,19,6702,7177,7652,7796,7587,7565,7795,10070,10263
1,9,6,20,6339,6849,7359,7503,7329,7210,7487,9832,10109
1,9,6,21,5867,6504,7142,7214,7034,6954,7115,9805,9870
1,9,6,22,5487,6160,6834,7005,6764,6703,6876,9724,9837
1,9,6,23,5159,5800,6440,6687,6589,6435,6598,9703,9749
1,9,6,24,4870,5488,6107,6304,6289,6249,6355,9837,9718
1,9,6,25,3721,4235,4750,4919,4822,4861,5148,9405,9472
1,1,7,1,5853,4999,4144,6111,3822,3929,6209,15300,12195
1,1,7,2,6998,6285,5572,3228,6650,3290,3525,15376,15785
1,1,7,3,7808,8384,8960,6191,8074,7247,3643,14385,15149
1,1,7,4,9247,9455,9664,8205,8457,7918,7211,16489,14272
1,1,7,5,10385,9141,7898,8347,9177,7619,7874,14882,16562
1,1,7,6,10541,10638,10736,8068,10548,8760,8191,14925,14984
1,1,7,7,10396,10711,11026,10156,9025,10912,8677,14027,14879
1,1,7,8,10299,10540,10780,10368,10754,8107,11031,11200,14090
1,1,7,9,9949,10234,10519,10120,10775,9886,9256,11519,11241
1,1,7,10,9696,9993,10289,9873,10436,9897,10453,11343,11580
1,1,7,11,9254,9603,9952,9605,10107,9577,10413,11503,11356
1,1,7,12,8875,9251,9627,9314,9756,9277,10050,11306,11483
1,1,7,13,8342,8774,9205,8966,9374,8902,9704,10883,11289
1,1,7,14,7854,8309,8764,8590,8977,8565,9303,10757,10869
1,1,7,15,7351,7828,8305,8162,8528,8162,8869,10426,10743
1,1,7,16,6918,7379,7841,7735,8101,7762,8479,10017,10415
1,1,7,17,6531,6959,7387,7294,7640,7366,8012,9896,9990
1,1,7,18,6144,6574,7004,6862,7199,6946,7634,9556,9877
1,1,7,19,5947,6306,6666,6503,6718,6522,7196,9349,9528
1,1,7,20,5531,5943,6355,6189,6325,6062,6724,9081,9324
1,1,7,21,5120,5649,6177,5895,6057,5698,6233,9047,9053
1,1,7,22,4675,5260,5846,5740,5760,5471,5866,8840,8997
1,1,7,23,4388,4939,5489,5426,5625,5201,5643,8690,8768
1,1,7,24,4277,4675,5073,5079,5306,5051,5404,8820,8602
1,1,7,25,2938,3232,3525,3518,3682,3582,4048,7947,8008
1,2,7,1,4483,4063,3643,6275,3509,4079,5599,14600,10138
1,2,7,2,6043,6048,6053,2630,6404,2259,4246,14681,14973
1,2,7,3,8970,8847,8725,5745,7970,7417,3741,13889,14590
1,2,7,4,9575,10219,10864,8074,8641,7796,7597,15788,13757
1,2,7,5,10867,9758,8649,8328,8986,7232,7958,13872,15881
1,2,7,6,11091,10455,9819,8207,10801,8813,7447,14347,14022
1,2,7,7,10803,10395,9986,9207,9615,10977,8910,13580,14538
1,2,7,8,10636,10218,9800,9315,9673,8935,10394,11072,13662
1,2,7,9,10403,9924,9445,9120,9656,9440,9065,11336,11235
1,2,7,10,10106,9653,9200,8801,9375,9402,9166,11150,11391
1,2,7,11,9688,9323,8957,8521,8961,9108,9121,11345,11214
1,2,7,12,9260,8934,8609,8304,8594,8679,8796,11091,11353
1,2,7,13,8724,8496,8269,7968,8306,8332,8349,10669,11103
1,2,7,14,8276,8076,7876,7654,7915,8010,7993,10545,10680
1,2,7,15,7744,7601,7457,7271,7573,7627,7649,10217,10554
1,2,7,16,7317,7171,7025,6883,7154,7291,7300,9843,10222
1,2,7,17,7031,6823,6615,6486,6746,6871,6936,9717,9839
1,2,7,18,6593,6455,6316,6088,6350,6510,6565,9419,9713
1,2,7,19,6346,6187,6027,5811,5917,6124,6195,9217,9407
1,2,7,20,5991,5869,5746,5563,5653,5686,5840,8928,9203
1,2,7,21,5468,5511,5553,5284,5407,5418,5402,8865,8908
1,2,7,22,5072,5162,5252,5113,5154,5194,5115,8690,8830
1,2,7,23,4774,4852,4931,4873,4967,4911,4945,8565,8637
1,2,7,24,4481,4541,4601,4533,4771,4775,4640,8680,8503
1,2,7,25,3286,3307,3328,3292,3344,3442,3553,7769,7847
1,3,7,1,4112,4715,5318,7130,4220,4022,6343,16376,9891
1,3,7,2,3410,3296,3182,3078,6019,1900,3798,15262,16651
1,3,7,3,8026,8143,8260,5146,9514,7319,3268,14198,15309
1,3,7,4,9418,9229,9041,8194,8419,9273,7509,15481,14068
1,3,7,5,10359,9372,8385,7890,9006,7125,9242,14669,15986
1,3,7,6,10387,10065,9743,7773,10053,9600,7563,15061,14853
1,3,7,7,10067,9971,9875,9673,9234,11017,9839,14240,15144
1,3,7,8,9822,9742,9662,9751,10482,9683,10482,11374,14257
1,3,7,9,9666,9481,9296,9537,10465,9253,10115,11619,11530
1,3,7,10,9269,9138,9006,9172,10153,9222,9423,11588,11659
1,3,7,11,8861,8814,8768,8818,9664,8925,9351,11679,11605
1,3,7,12,8483,8431,8378,8622,9262,8482,9042,11407,11700
1,3,7,13,8005,8027,8048,8226,8989,8110,8532,11049,11430
1,3,7,14,7565,7609,7653,7883,8536,7858,8149,10786,11069
1,3,7,15,7044,7159,7274,7485,8136,7455,7870,10435,10810
1,3,7,16,6673,6754,6836,7096,7677,7105,7439,10114,10459
1,3,7,17,6352,6371,6391,6672,7250,6686,7086,9912,10122
1,3,7,18,5884,5994,6105,6216,6826,6316,6647,9636,9924
1,3,7,19,5589,5703,5817,5939,6311,5930,6285,9399,9641
1,3,7,20,5209,5328,5447,5665,6035,5474,5895,9155,9408
1,3,7,21,4712,4977,5243,5288,5742,5216,5393,9107,9156
1,3,7,22,4306,4624,4942,5102,5370,4989,5149,8930,9097
1,3,7,23,3935,4240,4545,4808,5179,4657,4944,8855,8887
1,3,7,24,3633,3932,4231,4415,4891,4485,4612,8910,8817
1,3,7,25,2488,2676,2864,3009,3252,3031,3300,8013,8103
1,4,7,1,5239,5006,4772,6182,3634,4135,6284,15852,9790
1,4,7,2,2416,3379,4342,3962,5155,2128,3644,15459,16441
1,4,7,3,4979,6485,7990,6387,8403,7198,3410,14494,15557
1,4,7,4,7034,8041,9047,8672,9339,7717,7090,16549,14473
1,4,7,5,7798,7424,7049,9154,9151,7656,8084,15134,16793
1,4,7,6,7821,8819,9817,7760,10708,9322,7579,14942,15286
1,4,7,7,7609,8759,9909,10089,9798,9326,9269,14112,15049
1,4,7,8,7424,8590,9756,10145,10592,8665,9608,11451,14171
1,4,7,9,7318,8368,9419,9972,10570,9706,8363,11886,11612
1,4,7,10,7090,8135,9179,9591,10282,9661,8856,11770,11894
1,4,7,11,6886,7883,8881,9234,9772,9388,8785,11927,11781
1,4,7,12,6627,7567,8507,9006,9438,8974,8525,11657,11947
1,4,7,13,6269,7218,8167,8632,9139,8628,8075,11303,11681
1,4,7,14,5924,6863,7802,8305,8755,8390,7793,10971,11325
1,4,7,15,5544,6493,7442,7891,8358,7990,7514,10632,10993
1,4,7,16,5268,6151,7033,7532,7931,7660,7174,10332,10655
1,4,7,17,5005,5807,6608,7078,7503,7228,6820,10147,10345
1,4,7,18,4712,5532,6352,6676,7059,6874,6475,9887,10166
1,4,7,19,4455,5248,6040,6374,6598,6418,6110,9693,9901
1,4,7,20,4184,4943,5702,6103,6332,6036,5739,9492,9710
1,4,7,21,3758,4617,5476,5719,6027,5750,5335,9433,9503
1,4,7,22,3496,4339,5181,5530,5680,5503,5131,9302,9439
1,4,7,23,3116,3960,4805,5216,5441,5152,4886,9271,9285
1,4,7,24,2960,3728,4495,4843,5162,4996,4596,9340,9255
1,4,7,25,1976,2431,2886,3105,3193,3125,3118,8684,8757
1,5,7,1,4589,4457,4325,6358,3939,4410,5699,15370,9798
1,5,7,2,5928,5189,4451,3705,5779,1741,5404,14768,15739
1,5,7,3,7182,7559,7936,5854,7648,7812,3396,14408,14844
1,5,7,4,8495,8933,9370,7576,8914,7847,7822,15366,14396
1,5,7,5,9258,8712,8165,7564,8368,7762,8186,14095,15979
1,5,7,6,9356,9360,9363,7485,9707,9282,8036,14818,14201
1,5,7,7,9201,9363,9525,8567,9336,9726,9119,13811,14986
1,5,7,8,8993,9168,9343,8677,9524,8794,9371,11606,13846
1,5,7,9,8787,8937,9088,8505,9508,9213,8924,11767,11684
1,5,7,10,8584,8694,8805,8262,9241,9171,9367,11600,11835
1,5,7,11,8211,8364,8517,7953,8885,8893,9280,11759,11610
1,5,7,12,7829,8032,8235,7698,8493,8519,8987,11500,11687
1,5,7,13,7335,7614,7893,7444,8175,8125,8561,11131,11436
1,5,7,14,7023,7262,7501,7125,7855,7817,8158,10919,11068
1,5,7,15,6593,6840,7087,6764,7490,7501,7817,10554,10856
1,5,7,16,6270,6514,6757,6387,7072,7142,7497,10187,10494
1,5,7,17,6075,6232,6389,6090,6671,6750,7130,10038,10120
1,5,7,18,5728,5923,6119,5748,6349,6375,6736,9732,9981
1,5,7,19,5506,5698,5891,5513,5978,6066,6347,9517,9672
1,5,7,20,5190,5407,5624,5328,5728,5703,6053,9255,9454
1,5,7,21,4806,5116,5427,5088,5537,5466,5667,9234,9193
1,5,7,22,4474,4825,5175,4905,5285,5292,5454,9104,9164
1,5,7,23,4186,4512,4837,4688,5097,5042,5275,9068,9011
1,5,7,24,3858,4222,4587,4350,4864,4892,5021,9199,8980
1,5,7,25,2546,2777,3008,2940,3216,3287,3590,8564,8562
1,6,7,1,2996,3536,4076,5591,3736,4320,6048,16887,11318
1,6,7,2,8113,6729,5344,2023,5865,2181,5444,16264,16870
1,6,7,3,7465,8705,9944,6662,9447,9115,4134,15371,16083
1,6,7,4,8830,8979,9127,8620,9184,7917,8630,17209,15191
1,6,7,5,9548,8935,8321,8394,10051,7744,7399,15418,17418
1,6,7,6,9627,9944,10261,8987,10995,9336,9200,15925,15452
1,6,7,7,9459,9920,10381,9102,11033,9062,10123,14942,15672
1,6,7,8,9207,9699,10192,9156,10511,9313,9541,12424,14713
1,6,7,9,8970,9424,9877,8963,10444,9494,10145,12517,12408
1,6,7,10,8620,9072,9525,8659,10134,9400,9427,12428,12467
1,6,7,11,8222,8701,9181,8296,9668,9103,9294,12476,12354
1,6,7,12,7852,8322,8793,8036,9223,8708,8969,12166,12376
1,6,7,13,7302,7857,8413,7676,8876,8266,8534,11784,12079
1,6,7,14,6889,7418,7946,7345,8454,7939,8096,11503,11695
1,6,7,15,6479,6981,7484,6936,8038,7560,7754,11136,11418
1,6,7,16,6128,6593,7059,6524,7553,7169,7377,10791,11057
1,6,7,17,5893,6284,6676,6153,7107,6756,6996,10593,10708
1,6,7,18,5499,5929,6360,5808,6710,6362,6576,10320,10516
1,6,7,19,5229,5673,6118,5540,6319,6014,6189,10106,10247
1,6,7,20,4909,5328,5748,5315,6031,5667,5844,9858,10026
1,6,7,21,4543,5013,5484,5026,5790,5399,5500,9842,9781
1,6,7,22,4165,4684,5203,4795,5490,5208,5262,9727,9764
1,6,7,23,3831,4340,4850,4564,5253,4925,5087,9704,9630
1,6,7,24,3500,4009,4518,4235,4926,4723,4805,9779,9610
1,6,7,25,2306,2568,2831,2670,3043,2921,3172,9219,9215
1,7,7,1,5262,4429,3597,6738,2962,3997,4774,16736,11595
1,7,7,2,5796,6410,7025,3397,7165,2171,5732,15761,17019
1,7,7,3,7590,8476,9362,6755,7870,7760,4406,15262,15685
1,7,7,4,8286,8926,9566,7738,9322,7321,8014,15664,15418
1,7,7,5,8796,8671,8545,7588,9015,7886,8187,14163,15606
1,7,7,6,8763,8968,9173,7721,10631,9054,8296,15197,14205
1,7,7,7,8607,8929,9251,8739,9387,9511,9654,13879,15138
1,7,7,8,8377,8712,9048,8791,10174,8741,10144,11926,13900
1,7,7,9,8238,8503,8769,8578,10097,9449,8377,12090,11965
1,7,7,10,7917,8195,8473,8300,9776,9343,9517,11837,12134
1,7,7,11,7507,7832,8157,7891,9325,9042,9395,11791,11812
1,7,7,12,7216,7528,7841,7684,8880,8641,9076,11497,11793
1,7,7,13,6670,7080,7491,7375,8582,8188,8596,11143,11508
1,7,7,14,6303,6723,7144,7035,8205,7901,8139,10893,11157
1,7,7,15,5850,6278,6706,6710,7821,7575,7843,10521,10909
1,7,7,16,5587,5951,6316,6306,7405,7196,7502,10190,10539
1,7,7,17,5369,5644,5919,5943,6951,6831,7142,10016,10203
1,7,7,18,5014,5360,5705,5553,6551,6407,6761,9741,10034
1,7,7,19,4785,5131,5478,5361,6102,6054,6334,9569,9762
1,7,7,20,4474,4824,5174,5165,5919,5638,5994,9269,9593
1,7,7,21,4086,4528,4971,4858,5696,5434,5577,9246,9290
1,7,7,22,3783,4243,4702,4668,5360,5256,5369,9091,9256
1,7,7,23,3477,3918,4359,4438,5162,4952,5205,9108,9080
1,7,7,24,3219,3666,4113,4088,4884,4794,4918,9186,9104
1,7,7,25,2149,2449,2750,2800,3245,3226,3522,8516,8616
1,8,7,1,4652,4906,5161,5901,4127,4377,6081,15114,12594
1,8,7,2,9179,7222,5265,6542,5764,3055,4038,14926,15660
1,8,7,3,7422,8087,8753,7225,9638,7191,4077,14398,14954
1,8,7,4,9675,9617,9558,8024,9695,8864,7549,15890,14404
1,8,7,5,10251,9126,8001,8145,9379,8423,8369,14888,16287
1,8,7,6,10014,9814,9615,7683,10065,9374,8632,14471,14805
1,8,7,7,9903,9802,9700,9712,8909,9620,9204,13408,14635
1,8,7,8,9580,9481,9381,9778,9923,8791,9724,11487,13490
1,8,7,9,9387,9269,9151,9447,9889,9720,8846,11710,11613
1,8,7,10,9200,9013,8826,9224,9514,9691,9323,11494,11736
1,8,7,11,8870,8715,8561,8873,9218,9303,9265,11626,11525
1,8,7,12,8606,8472,8338,8646,8860,9056,8894,11361,11640
1,8,7,13,8143,8105,8067,8415,8573,8649,8623,10953,11381
1,8,7,14,7850,7809,7768,8160,8297,8385,8259,10733,10973
1,8,7,15,7443,7424,7406,7861,8017,8133,7988,10350,10754
1,8,7,16,7130,7115,7100,7480,7671,7833,7722,10023,10375
1,8,7,17,6876,6825,6774,7166,7264,7503,7430,9891,10045
1,8,7,18,6491,6505,6520,6841,6956,7096,7116,9604,9916
1,8,7,19,6273,6278,6284,6565,6637,6781,6729,9424,9622
1,8,7,20,5959,5980,6000,6348,6350,6472,6419,9192,9437
1,8,7,21,5538,5677,5816,6053,6138,6192,6121,9178,9207
1,8,7,22,5109,5333,5557,5882,5830,5985,5879,9097,9184
1,8,7,23,4710,4957,5205,5614,5686,5664,5668,9077,9083
1,8,7,24,4413,4661,4909,5283,5428,5529,5393,9173,9064
1,8,7,25,2994,3164,3334,3634,3711,3863,4021,8854,8897
1,9,7,1,4764,4576,4389,6148,3817,4020,5878,16031,11296
1,9,7,2,7320,7120,6919,4359,6730,2208,5278,15491,16047
1,9,7,3,8418,8855,9292,7646,8444,7643,3939,14754,15388
1,9,7,4,10008,9794,9580,8274,9543,7748,7245,16034,14671
1,9,7,5,10841,9710,8578,7813,8942,7845,7536,13960,16256
1,9,7,6,10812,10554,10296,8199,9815,9489,8697,14596,14019
1,9,7,7,10710,10556,10402,9758,9822,9910,9696,13526,14619
1,9,7,8,10466,10295,10125,9825,10633,9345,9720,11917,13537
1,9,7,9,10169,10049,9928,9567,10549,10138,9321,11629,11964
1,9,7,10,10083,9868,9652,9379,10208,10131,9988,11480,11645
1,9,7,11,9703,9515,9326,9039,9905,9734,9908,11653,11491
1,9,7,12,9439,9313,9186,8810,9537,9523,9568,11416,11676
1,9,7,13,8970,8908,8845,8663,9241,9125,9297,10977,11444
1,9,7,14,8700,8635,8569,8362,9051,8871,8926,10864,11005
