Census Division,Class,Vocational ?,Vintage,Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
8,2,0,22,2,19645,21446,20494,27158,30107,24162,28633,20030,30290,32285,34319,29235,33207
8,2,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,22,4,0,16,4,31,10,62,90,204,311,83,41,21,18
8,2,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,23,1,3750,4670,5912,8820,8977,12555,15125,23107,8392,29102,23483,36085,33967
8,2,0,23,2,23494,18430,20113,19453,25842,28724,23150,26816,19120,29113,30683,31052,28042
8,2,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,23,4,0,0,14,3,25,8,58,72,185,267,68,45,16
8,2,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,24,1,2842,3551,4485,5682,8439,8603,12134,14632,22532,8217,28151,22745,34991
8,2,0,24,2,24926,21865,17214,18988,18412,24562,27341,22071,25432,18034,27500,28373,29758
8,2,0,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,24,4,0,0,0,10,2,20,5,53,58,165,234,61,41
8,2,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,25,1,1626,2656,3352,4303,5451,8100,8229,11623,14097,22109,7913,27115,21951
8,2,0,25,2,18630,22990,20235,16178,17862,17412,23282,25666,20793,24217,17144,25952,26926
8,2,0,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2,0,25,4,0,0,0,0,6,2,15,4,52,48,142,224,55
8,2,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,26,1,1335,1493,2470,3200,4120,5226,7760,7886,11125,13683,21310,7658,26043
8,2,0,26,2,9978,17063,21053,19061,15141,16924,16412,22114,23816,19726,23143,16172,24368
8,2,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,26,4,0,0,0,0,0,5,1,15,6,49,43,123,206
8,2,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,27,1,2884,1234,1360,2359,3048,3977,5001,7412,7438,10821,13136,20504,7320
8,2,0,27,2,14611,9173,15495,19739,17887,14247,15986,15450,20540,22537,18624,21792,15275
8,2,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,27,4,0,0,0,0,0,0,4,1,11,5,44,33,110
8,2,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,28,1,2675,2677,1132,1263,2248,2900,3833,4825,6977,7263,10331,12669,19686
8,2,0,28,2,14444,13464,8368,14425,18425,16811,13353,15122,14410,19613,21286,17600,20690
8,2,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,28,4,0,0,0,0,0,0,0,3,1,10,3,40,30
8,2,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,29,1,2630,2429,2469,1064,1166,2142,2751,3650,4615,6809,6911,9763,12149
8,2,0,29,2,11879,13149,12316,7745,13354,17279,15734,12494,13951,13687,18488,19986,16663
8,2,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,29,4,0,0,0,0,0,0,0,0,0,1,8,2,39
8,2,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,30,1,1829,2394,2182,2320,995,1094,2035,2632,3462,4456,6472,6590,9399
8,2,0,30,2,7485,10875,11853,11494,7121,12568,16133,14788,11494,13319,12858,17357,18900
8,2,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,30,4,0,0,0,0,0,0,0,0,0,0,1,8,3
8,2,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,31,1,1452,1688,2158,2063,2170,953,1022,1903,2473,3405,4274,6197,6288
8,2,0,31,2,6613,6807,9871,11086,10671,6708,11782,15159,13761,10912,12442,12086,16410
8,2,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,5
8,2,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,32,1,0,1303,1546,2030,1943,2069,911,972,1791,2464,3254,4043,5865
8,2,0,32,2,7475,6090,6128,9316,10318,10089,6295,11002,13985,13080,10295,11603,11237
8,2,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,32,4,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,33,1,0,577,1154,1528,1902,1935,1968,869,901,1716,2333,3082,3896
8,2,0,33,2,6473,6020,5566,7164,8761,9134,9507,5914,10062,13297,12256,9572,10962
8,2,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,34,1,10,11,12,1215,2417,4027,5636,7201,7645,8413,9696,11362,13797
8,2,0,34,2,106517,105380,104243,105589,106934,112277,117620,121284,121806,130128,139270,143194,146890
8,2,0,34,3,1,1,0,0,0,0,0,0,0,0,1,1,1
8,2,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,1,1,13801,16358,17217,35622,34191,37891,24957,24281,13505,15462,15578,7020,11324
9,2,0,1,2,7173,13467,11683,13728,12703,15974,10505,14231,19967,18888,21177,19996,18374
9,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,1,4,76,106,1,189,13,1,19,27,19,0,0,0,0
9,2,0,1,5,11181,9403,7099,28733,21179,29614,18566,18840,4950,7842,3837,5511,0
9,2,0,1,6,0,0,0,0,0,0,0,0,0,0,2005,2248,12137
9,2,0,2,1,17697,16330,16358,18717,35622,38179,37891,34914,36729,20302,17809,20002,9447
9,2,0,2,2,9463,13066,13467,13462,13728,14002,15974,13964,36216,29732,22296,27652,28283
9,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,2,4,9,82,106,3,189,14,1,27,37,21,0,0,0
9,2,0,2,5,12762,8208,9403,8344,28733,25399,29614,25259,12630,6105,9006,4384,8193
9,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2544,4251
9,2,0,3,1,8161,17753,18858,16584,20216,35629,42166,38290,35851,38149,19945,19048,21631
9,2,0,3,2,9892,13360,18958,13940,15241,13876,15301,16066,27420,38480,31093,23182,28618
9,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,3,4,0,9,88,112,5,196,14,1,28,36,19,0,0
9,2,0,3,5,4297,9394,5234,9570,9588,29399,29618,31805,13591,13944,6610,9050,4248
9,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2548
9,2,0,4,1,9467,8241,17808,19305,16810,20146,35635,41957,38396,36056,37959,20063,19221
9,2,0,4,2,16866,10014,17257,18152,14413,15445,14024,15344,29907,27727,38891,31584,24265
9,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,4,4,0,0,9,90,118,7,203,14,2,30,35,19,0
9,2,0,4,5,177,4496,6026,5420,9737,9623,30065,29895,18369,13764,14560,7248,9411
9,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,5,1,34368,9568,8320,18233,19752,16835,20075,35605,41719,38486,35526,37668,19821
9,2,0,5,2,34963,17074,10136,17549,17345,14994,15648,14159,28940,30106,27609,37576,32170
9,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,5,4,0,0,0,10,92,120,8,205,14,2,31,39,17
9,2,0,5,5,0,171,4694,6238,5606,9902,9657,30393,16308,18502,13857,14969,7562
9,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,6,1,37474,34680,9668,8521,18657,19763,16860,20038,35482,37354,37665,34595,36961
9,2,0,6,2,37476,34737,17282,9314,17840,17461,15574,15731,25571,29042,30008,26296,37206
9,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,6,4,0,0,0,0,10,71,121,13,207,14,2,30,40
9,2,0,6,5,0,0,165,4833,6449,5646,10067,9665,19155,14525,18477,13606,15457
9,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,7,1,65057,37691,34992,9905,8722,18756,19774,16939,19965,35330,36465,36336,33671
9,2,0,7,2,54563,37435,34511,17610,8491,17917,17577,15636,15642,25230,28442,28207,26226
9,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,7,4,0,0,0,0,0,10,49,138,28,206,14,3,30
9,2,0,7,5,0,1,0,163,4971,6451,5685,10106,9635,19034,14415,18092,13366
9,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,8,1,54691,65281,37907,35566,10141,8799,18854,19807,16823,19920,34838,35305,35256
9,2,0,8,2,50698,54308,37394,35046,17937,8623,17994,17740,15618,15442,25184,26795,28105
9,2,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,8,4,0,0,0,0,0,0,9,99,156,38,206,14,4
9,2,0,8,5,0,0,1,0,161,5111,6453,5761,10133,9634,18968,14143,17951
9,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,9,1,67619,54566,65505,38027,36140,10128,8875,18916,19532,16711,19590,33902,34399
9,2,0,9,2,57047,50381,54052,37189,35580,18111,8755,18195,17624,15595,15307,24125,26599
9,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,9,4,82,0,0,0,0,0,0,15,159,176,49,206,15
9,2,0,9,5,0,0,0,1,0,163,5251,6477,5773,10232,9644,18830,14105
9,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,10,1,55528,67090,54440,65779,38146,35880,10114,8913,18816,19396,16350,19170,33033
9,2,0,10,2,72488,56300,50063,54031,36984,35291,18285,8767,18215,17696,15539,15079,24135
9,2,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,10,4,170,81,0,0,0,0,0,0,24,177,185,69,207
9,2,0,10,5,0,0,0,0,1,0,164,5294,6495,5805,10237,9646,18660
9,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,11,1,46561,55150,66561,54343,66053,37903,35619,10068,8806,18614,19038,15972,18638
9,2,0,11,2,53108,71166,55552,49664,54010,36526,35002,18119,8733,18119,17599,15320,14949
9,2,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,11,4,182,156,80,0,0,0,0,0,0,25,196,213,69
9,2,0,11,5,0,0,0,0,0,1,0,168,5294,6487,5763,9973,9541
9,2,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,12,1,46834,46420,54771,66062,54246,65265,37659,35223,9847,8579,18249,18558,15573
9,2,0,12,2,63027,52021,69843,54871,49265,52742,36067,34386,17639,8473,17907,17285,15070
9,2,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,12,4,219,161,142,78,0,0,0,0,0,0,28,230,219
9,2,0,12,5,0,0,0,0,0,0,1,0,167,5197,6389,5466,9823
9,2,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,13,1,33072,46546,46279,54105,65563,53457,64477,37308,34444,9693,8367,17698,18128
9,2,0,13,2,63446,61763,50934,68138,54189,48140,51473,35770,33247,17178,8284,17345,17001
9,2,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,13,4,184,201,139,130,76,0,0,0,0,0,0,32,241
9,2,0,13,5,0,0,0,0,0,0,0,1,0,158,5076,5984,5380
9,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,14,1,38676,32217,46258,45563,53439,64362,52668,63325,36427,33836,9381,8077,17194
9,2,0,14,2,56759,60847,60498,49767,66432,52648,47015,49987,34533,32786,16393,8160,16867
9,2,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,14,4,549,147,183,128,118,68,0,0,0,0,0,0,32
9,2,0,14,5,0,0,0,0,0,0,0,0,1,0,145,4763,5888
9,2,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,15,1,9875,37558,31361,45293,44846,52162,63161,51539,61092,35187,32622,9026,7778
9,2,0,15,2,35982,54048,58247,58538,48599,64126,51106,45708,47662,33139,31499,15798,7771
9,2,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,15,4,303,475,109,166,117,109,59,0,0,0,0,0,0
9,2,0,15,5,0,0,0,0,0,0,0,0,0,0,0,139,4580
9,2,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,16,1,29568,9605,36440,30824,44328,43648,50885,61328,49862,59235,34334,31073,8668
9,2,0,16,2,49275,34206,51336,56677,56578,47069,61819,49452,43564,46300,32485,29656,15117
9,2,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,16,4,181,274,400,121,149,112,100,58,0,0,0,0,0
9,2,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,124
9,2,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,17,1,19732,28760,9335,35880,30287,43307,42449,49494,59106,48123,56964,32438,29693
9,2,0,17,2,39588,46708,32430,49936,55106,54626,45539,59838,47552,42090,44450,28947,28350
9,2,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,17,4,275,167,244,403,133,145,107,94,53,0,0,0,0
9,2,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,18,1,17041,19163,27952,9199,35319,29711,42286,41261,47894,56991,46141,53965,30619
9,2,0,18,2,40016,37422,44141,31430,48535,53129,52673,44107,57417,45701,40398,40044,27555
9,2,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,18,4,85,240,152,248,405,125,141,103,91,55,0,0,0
9,2,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,19,1,13049,16190,18593,27486,9063,34574,29134,41330,39637,45217,53653,43848,51291
9,2,0,19,2,42909,37211,35255,42763,30429,46770,51152,50754,41934,54156,42925,37656,37940
9,2,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,19,4,156,75,204,151,252,386,116,128,94,92,58,0,0
9,2,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,20,1,13038,12450,15339,18269,27020,8830,33828,28228,39527,37593,43472,51335,41728
9,2,0,20,2,30682,40287,34406,34097,41385,29193,45004,46870,47970,39407,51718,40020,35609
9,2,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,20,4,13,140,65,186,149,239,367,108,120,106,87,49,0
9,2,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,21,1,9190,12332,11851,15699,17944,26371,8596,32568,26859,37483,36097,41303,48973
9,2,0,21,2,33016,28379,37665,37583,32939,39526,27956,42424,44206,45154,37720,47724,38026
9,2,0,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,21,4,34,10,124,60,168,140,226,341,111,118,103,81,45
9,2,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,22,1,8506,8668,11626,11456,16058,17442,25721,8305,31177,25378,35879,34562,39372
9,2,0,22,2,31564,30056,26075,35788,40759,31118,37667,26539,40106,42896,42690,34799,45140
9,2,0,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2,0,22,4,0,23,6,110,55,154,131,216,308,106,109,95,77
9,2,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,23,1,7959,7839,8146,11223,11060,15511,16940,24925,7910,29720,24292,34365,32864
9,2,0,23,2,40733,28632,27096,24775,33910,38374,29296,35513,24814,37518,40198,38209,32711
9,2,0,23,3,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2,0,23,4,0,0,12,5,95,49,139,116,208,288,95,104,86
9,2,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,24,1,6381,7410,7171,7780,10820,10529,14964,16455,23771,7513,28478,23403,33219
9,2,0,24,2,41207,37040,25700,25508,23475,31626,35988,27801,33386,23034,35190,37152,36334
9,2,0,24,3,2,0,0,1,0,0,0,0,0,0,0,0,0
9,2,0,24,4,0,0,0,8,4,86,43,139,112,179,268,91,94
9,2,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,25,1,3940,5881,6861,6838,7413,10209,9998,14059,15587,22562,7225,27328,22346
9,2,0,25,2,29678,37246,33346,24142,23920,21840,29341,33084,25811,30873,21654,32763,34789
9,2,0,25,3,1,2,0,0,1,0,0,0,0,0,0,0,0
9,2,0,25,4,0,0,0,0,4,4,77,33,131,100,167,252,86
9,2,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,26,1,4099,3581,5380,6469,6505,7072,9597,9431,13159,14848,21684,6906,26286
9,2,0,26,2,17607,26587,33284,31315,22584,22263,20204,27125,30571,24009,28987,20153,30740
9,2,0,26,3,1,1,1,0,0,1,0,0,0,0,0,0,0
9,2,0,26,4,0,0,0,0,0,3,3,67,29,122,94,162,236
9,2,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,27,1,7472,3784,3221,5088,6076,6139,6730,9169,8776,12487,14141,20850,6576
9,2,0,27,2,22731,15910,23496,31160,29283,20948,20606,18848,24995,28200,22246,27012,18758
9,2,0,27,3,0,1,1,1,0,0,1,0,0,0,0,0,0
9,2,0,27,4,0,0,0,0,0,0,2,1,54,25,120,90,141
9,2,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,28,1,4297,7030,3469,2950,4796,5669,5773,6335,8507,8310,11913,13611,19994
9,2,0,28,2,17562,20724,14212,21701,29036,26745,19311,19064,17176,23144,26411,20806,25140
9,2,0,28,3,1,0,1,1,1,0,0,1,0,0,0,0,0
9,2,0,28,4,0,0,0,0,0,0,0,2,2,46,22,115,79
9,2,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,29,1,3604,3911,6588,3239,2678,4445,5262,5433,5955,8131,7861,11280,12918
9,2,0,29,2,14371,15413,18717,13113,19905,26332,24206,17754,17585,15890,21535,24499,19297
9,2,0,29,3,0,1,0,1,1,1,0,0,1,0,0,0,0
9,2,0,29,4,0,0,0,0,0,0,0,0,2,2,40,18,106
9,2,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,30,1,2422,3362,3524,6209,3009,2482,4094,5002,4972,5557,7660,7388,10771
9,2,0,30,2,8612,13017,13263,17545,12014,18219,23627,22596,15837,16073,14627,19734,22748
9,2,0,30,3,0,1,1,0,0,1,0,0,0,1,0,0,0
9,2,0,30,4,0,0,0,0,0,0,0,0,0,1,2,36,13
9,2,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,31,1,1516,2212,3120,3314,5829,2773,2285,3891,4509,4554,5227,7308,7013
9,2,0,31,2,7022,7614,11663,12497,16372,10870,16533,21785,20054,14301,14828,13601,18261
9,2,0,31,3,0,0,1,1,0,0,0,0,0,0,1,0,0
9,2,0,31,4,0,0,0,0,0,0,0,0,0,0,1,2,29
9,2,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,32,1,0,1411,2001,2916,3104,5368,2537,2125,3544,4226,4307,4960,6774
9,2,0,32,2,8496,6183,6615,11000,11730,14879,9726,15079,19524,18367,13248,13722,12208
9,2,0,32,3,0,1,0,1,1,0,0,0,0,0,0,1,0
9,2,0,32,4,0,0,0,0,0,0,0,0,0,0,0,1,2
9,2,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,33,1,1,654,1306,2009,2711,3809,4906,2392,1917,3285,3993,4048,4683
9,2,0,33,2,7541,6443,5344,7840,10336,11861,13385,8930,13351,17817,17022,12237,12496
9,2,0,33,3,0,1,1,1,1,1,0,0,0,0,0,0,1
9,2,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,34,1,6,5,4,1464,2924,5198,7471,11374,12655,13516,15874,18818,21571
9,2,0,34,2,126666,120860,115053,115204,115354,118852,122349,125384,125777,131832,142999,149057,152311
9,2,0,34,3,5,5,5,6,7,9,10,10,8,9,9,10,9
9,2,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,34,5,2,2,2,2,2,2,2,2,2,2,2,2,2
9,2,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,48,20,10,5,3,4,1,4,0,5,0,0,0
1,2,1,1,2,1405,1023,474,696,856,629,490,513,580,1315,774,728,481
1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,4,3,41,0,2,4,0,13,10,20,0,0,0,0
1,2,1,1,5,547,744,874,905,827,1405,463,640,451,0,0,0,0
1,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,1,100,50,20,11,5,4,4,4,4,0,5,0,0
1,2,1,2,2,559,1718,1023,690,696,1032,629,786,817,659,1780,774,907
1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,4,6,3,41,0,2,4,0,15,11,21,0,0,0
1,2,1,2,5,657,539,744,1007,905,976,1405,646,1061,716,0,0,0
1,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,1,23,103,51,20,12,5,4,4,5,4,0,6,0
1,2,1,3,2,335,580,2031,1039,905,717,1207,651,1278,855,683,1484,615
1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,4,0,5,3,50,0,2,4,0,15,11,23,0,0
1,2,1,3,5,481,622,531,759,1139,899,1125,1463,702,1113,771,0,0
1,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,1,72,28,106,49,20,12,5,4,4,5,3,0,5
1,2,1,4,2,772,329,601,2052,1054,896,737,1183,686,1275,906,733,1431
1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,4,0,0,4,4,59,0,2,4,0,15,11,22,0
1,2,1,4,5,0,497,587,531,773,1153,893,1130,1540,711,1130,811,0
1,2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,5,1,89,69,33,97,47,19,12,5,5,3,5,3,0
1,2,1,5,2,1517,739,322,663,2073,1040,887,735,1189,701,1282,930,754
1,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,5,4,0,0,0,8,4,60,0,2,4,0,15,11,22
1,2,1,5,5,0,0,513,598,531,788,1167,921,1197,1563,713,1145,812
1,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,1,65,78,65,32,88,44,18,12,5,5,3,5,4
1,2,1,6,2,1744,1509,706,325,725,2071,1025,883,714,1180,687,1288,960
1,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,4,0,0,0,0,12,4,60,0,2,4,0,16,11
1,2,1,6,5,0,0,0,529,608,530,802,1193,955,1203,1578,708,1151
1,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,7,1,299,65,66,61,31,74,41,17,11,5,6,1,5
1,2,1,7,2,2353,1825,1501,698,327,728,2069,1003,880,713,1161,679,1287
1,2,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,7,4,0,0,0,0,0,12,4,59,1,2,4,0,16
1,2,1,7,5,0,0,0,0,544,606,529,829,1214,966,1207,1563,696
1,2,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,8,1,43,295,64,63,56,19,60,41,19,11,4,6,1
1,2,1,8,2,2887,2314,1906,1536,689,319,731,2047,997,867,683,1154,672
1,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,8,4,0,0,0,0,0,0,12,4,46,2,2,4,0
1,2,1,8,5,0,0,0,0,0,550,604,533,837,1200,965,1197,1552
1,2,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9,1,26,43,290,63,59,70,7,65,44,19,12,4,6
1,2,1,9,2,3113,2847,2274,1962,1570,726,311,682,1991,981,838,670,1113
1,2,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9,4,0,0,0,0,0,0,0,12,2,25,2,2,4
1,2,1,9,5,0,0,0,0,0,0,555,604,525,825,1196,956,1181
1,2,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,10,1,56,28,42,276,61,73,83,6,123,42,18,10,4
1,2,1,10,2,1913,3084,2806,2215,2017,1541,763,306,629,1938,945,816,643
1,2,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,10,4,0,0,0,0,0,0,0,0,3,1,19,7,2
1,2,1,10,5,0,0,0,0,0,0,0,565,580,514,823,1193,959
1,2,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,11,1,404,52,29,40,261,60,87,49,19,64,40,19,11
1,2,1,11,2,2538,1864,3054,2704,2155,1799,1511,740,303,602,1876,930,802
1,2,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,11,4,0,0,0,0,0,0,0,0,0,2,1,18,6
1,2,1,11,5,0,0,0,0,0,0,0,0,591,555,501,803,1163
1,2,1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,12,1,286,350,48,21,38,253,58,80,47,5,46,30,19
