Census Division,Class,Vocational ?,Vintage,Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,2,0,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,13,4,28,59,28,13,5,0,0,0,0,0,0,0,78
1,2,0,13,5,0,0,0,0,0,0,0,0,0,28,3395,4592,3630
1,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,14,1,5196,4671,5630,6295,6787,7736,6070,6672,4498,3782,1218,1097,2814
1,2,0,14,2,17156,18554,19146,21462,25112,26732,19978,20373,12854,13791,9330,4234,8531
1,2,0,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,14,4,67,29,56,27,15,6,0,0,0,0,0,0,0
1,2,0,14,5,0,0,0,0,0,0,0,0,0,0,29,3252,4401
1,2,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,15,1,1713,4956,4471,5467,6134,6512,7378,5775,6365,4338,3590,1175,1025
1,2,0,15,2,11059,15764,17229,17891,20284,23686,25449,18727,18772,12102,12914,8819,3994
1,2,0,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,0,15,4,21,65,29,54,26,12,6,0,0,0,0,0,0
1,2,0,15,5,0,0,0,0,0,0,0,0,0,0,0,29,3071
1,2,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,16,1,5088,1619,4716,4322,5304,5849,6237,6960,5510,6099,4136,3410,1094
1,2,0,16,2,15219,9997,14371,15903,16635,18849,22260,23608,17296,17408,11309,12154,8294
1,2,0,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,0,16,4,48,17,63,27,52,25,8,6,0,0,0,0,0
1,2,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,27
1,2,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,17,1,2814,4844,1524,4538,4172,5054,5563,5870,6570,5278,5876,3964,3219
1,2,0,17,2,8681,13564,8934,13018,14576,15285,17413,20432,21479,16121,16009,10399,11153
1,2,0,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,0,17,4,9,44,13,58,25,49,24,4,4,0,0,0,0
1,2,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,18,1,2216,2640,4599,1435,4360,3942,4804,5236,5501,6270,5004,5634,3781
1,2,0,18,2,9309,7672,11909,8023,11664,13247,13935,15657,18272,19803,14717,14574,9493
1,2,0,18,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,18,4,3,7,39,13,52,24,46,23,4,3,0,0,0
1,2,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,19,1,1831,2062,2465,4373,1346,4138,3711,4505,4909,5219,5871,4764,5320
1,2,0,19,2,7198,8028,6663,10645,7112,10476,11917,12261,13758,16677,18006,13362,13125
1,2,0,19,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,0,19,4,3,3,5,37,13,47,22,42,23,1,2,0,0
1,2,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,20,1,1475,1679,1908,2365,4147,1248,3915,3420,4187,4676,4859,5531,4485
1,2,0,20,2,3983,6256,6747,5962,9381,6394,9288,10022,10689,12324,14976,16281,11970
1,2,0,20,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,0,20,4,0,3,3,6,35,11,42,21,42,21,2,2,0
1,2,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,21,1,855,1356,1527,1902,2264,3928,1150,3638,3142,3961,4386,4586,5164
1,2,0,21,2,3082,3449,5313,6569,5260,8403,5676,8087,8650,9559,10989,13387,14570
1,2,0,21,3,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0,21,4,0,0,2,4,6,35,9,39,19,41,21,2,2
1,2,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,22,1,646,787,1236,1418,1896,2149,3709,1028,3306,3011,3737,4108,4275
1,2,0,22,2,2377,2685,2914,4726,6390,4719,7424,4942,6863,7918,8475,9766,11903
1,2,0,22,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,0,22,4,0,1,0,2,4,6,34,7,36,19,39,19,2
1,2,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,23,1,569,602,718,1163,1308,1768,2033,3496,945,3175,2758,3501,3831
1,2,0,23,2,3410,2106,2287,2643,4139,5779,4178,6475,4262,6060,6977,7451,8558
1,2,0,23,3,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,23,4,0,0,1,0,2,4,6,33,8,36,18,40,19
1,2,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,24,1,703,519,557,668,1089,1229,1640,1877,3224,879,2987,2573,3330
1,2,0,24,2,5297,2978,1835,2060,2371,3740,5168,3738,5656,3817,5365,6195,6568
1,2,0,24,3,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0,24,4,0,0,0,1,0,2,3,5,33,6,36,19,37
1,2,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,25,1,515,622,468,528,618,1020,1149,1513,1711,3030,822,2762,2377
1,2,0,25,2,5601,4611,2546,1685,1833,2189,3341,4554,3255,5111,3444,4769,5515
1,2,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,25,4,0,0,0,0,0,0,1,2,4,31,7,35,17
1,2,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,26,1,359,475,541,447,498,590,951,1079,1383,1653,2864,772,2577
1,2,0,26,2,3689,4955,3925,2320,1535,1707,2007,2984,4063,2971,4681,3106,4314
1,2,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,26,4,0,0,0,0,0,0,0,1,2,2,32,7,34
1,2,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,27,1,541,325,434,518,425,476,561,905,999,1363,1595,2755,731
1,2,0,27,2,3935,3339,4309,3610,2093,1450,1580,1854,2701,3753,2723,4347,2819
1,2,0,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,27,4,0,0,0,0,0,0,0,0,1,2,3,32,7
1,2,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,28,1,384,498,291,407,494,410,453,515,862,949,1286,1521,2632
1,2,0,28,2,2859,3607,2989,3988,3295,1973,1364,1460,1691,2507,3552,2574,4035
1,2,0,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,28,4,0,0,0,0,0,0,0,0,0,1,2,3,32
1,2,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,29,1,237,347,455,276,380,475,395,436,471,837,865,1257,1471
1,2,0,29,2,2247,2644,3278,2823,3667,3075,1853,1282,1355,1610,2323,3321,2385
1,2,0,29,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,0,29,4,0,0,0,0,0,0,0,0,0,0,1,2,3
1,2,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,30,1,225,219,309,430,261,355,456,368,412,456,821,831,1200
1,2,0,30,2,1511,2078,2428,3128,2657,3436,2854,1716,1216,1281,1529,2161,3131
1,2,0,30,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,0,30,4,0,0,0,0,0,0,0,0,0,0,0,1,2
1,2,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,31,1,194,203,200,293,405,242,329,437,346,410,422,776,810
1,2,0,31,2,1033,1413,1909,2320,2977,2530,3204,2635,1603,1147,1224,1462,2057
1,2,0,31,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,32,1,0,174,180,188,277,375,222,321,419,349,406,416,756
1,2,0,32,2,1009,968,1315,1833,2211,2845,2403,3000,2475,1501,1120,1167,1378
1,2,0,32,3,0,0,0,0,2,0,0,0,0,0,0,0,0
1,2,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,33,1,0,77,153,164,175,260,344,209,304,394,339,387,407
1,2,0,33,2,1076,990,903,1330,1756,2235,2713,2286,2767,2334,1431,1051,1117
1,2,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,34,1,1,2,2,139,276,479,682,961,1100,1382,1708,1958,2310
1,2,0,34,2,9768,10025,10282,11136,11990,13712,15434,17626,19203,21575,23389,24123,24753
1,2,0,34,3,0,0,0,0,0,1,1,0,0,0,0,0,0
1,2,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,34,5,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,1,9491,8735,7857,15131,11619,13205,10784,14463,4945,8808,10239,7980,10840
2,2,0,1,2,12871,21800,17203,18427,16335,18512,12648,18194,21883,21263,26644,23504,25747
2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,4,47,275,70,233,7,5,61,99,29,0,0,0,0
2,2,0,1,5,20041,13824,9604,37642,28964,39264,22077,22716,4927,4173,2513,4590,0
2,2,0,1,6,0,0,0,0,0,0,0,0,0,0,697,772,4200
2,2,0,2,1,12350,10254,8735,8594,15131,13492,13205,13099,20498,7062,9817,11273,8042
2,2,0,2,2,17334,22352,21800,19391,18427,17792,18512,16702,40861,30328,23787,31578,32888
2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,2,4,15,83,275,72,233,11,5,76,112,36,0,0,0
2,2,0,2,5,23461,14748,13824,10784,37642,33358,39264,30344,16269,6146,5579,2841,7057
2,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,931,1404
2,2,0,3,1,4808,12061,11016,8630,9330,15130,15365,13744,14195,19322,6829,8520,10568
2,2,0,3,2,16764,23058,31832,21830,21578,18314,19248,18564,32650,42302,31301,25901,33810
2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,3,4,0,15,118,306,73,234,14,5,60,112,36,0,0
2,2,0,3,5,10373,16930,9455,13758,11964,37581,37752,39525,15159,17854,7337,6337,3090
2,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,973
2,2,0,4,1,3734,4732,11772,10445,8525,9192,15129,15343,13835,13639,18332,6356,7566
2,2,0,4,2,27745,16538,28781,30199,21859,21245,18201,19261,35203,32211,42280,30682,27036
2,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,4,4,0,0,15,118,337,76,235,14,5,61,111,29,0
2,2,0,4,5,161,9979,10399,9290,13691,11785,37519,37349,21575,15138,17680,7651,6842
2,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,5,1,14653,3706,4656,11201,9874,8382,9054,14938,14990,13817,13184,17241,6134
2,2,0,5,2,45051,27313,16312,28332,28566,21354,20912,17845,35494,34867,31900,40622,31407
2,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,5,4,0,0,0,15,118,309,78,233,13,5,63,107,35
2,2,0,5,5,0,150,9585,10208,9125,13389,11606,36875,19368,21418,15025,17543,7813
2,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,6,1,13283,14408,3678,4550,10629,9685,8239,8855,14449,13279,13474,12858,16745
2,2,0,6,2,39344,44479,26880,14928,27882,27843,20849,20674,30461,35126,34370,30623,40878
2,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,6,4,0,0,0,0,15,93,281,74,212,14,5,60,106
