IFUEL,ITECHP2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1,1,1,1,1,1,1,1,1,0.35956174,0.35625428,0.34731668,1,0.35003641,0.33399218,0.32898235,0.35582897,0.34718406,0.34256843,0
1,2,0,0,0,0,0,0,0,0,0.28138947,0.27980292,0.27552903,0,0.2768015,0.26894012,0.26638854,0.27962178,0.2753523,0.27317369,0
1,3,0,0,0,0,0,0,0,0,0.33661342,0.34035385,0.35042971,0,0.34742981,0.36596328,0.37197879,0.34078085,0.35084629,0.35598248,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.78704715,0,0.78704715,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
1,9,0,0,0,0,0,0,0,0,0.05,0,0.27934659,0,0.05,0,0.35622048,0.28691208,0,0.27939188,0
1,10,0,0,0,0,0,0,0,0,0.06625588,0.06672503,0.06672503,0,0.06672503,0.06672503,0.06672503,0.06176487,0.06381039,0.06371129,0
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,0.7294699,0.7294699,0.7294699,0.7294699,0.7294699,0.7294699,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0.90963769,0.90963769,0.90963769,0.90963769,0.90963769,0.90963769,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0
1,29,0.52185053,0.44008422,0.49925908,0.64899516,0.63638341,0.63638341,0.53925222,0.53925222,0.56183726,0.56183726,0.56183726,0.52051395,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0
1,30,0,0.32358429,0,0.39137626,0.36863983,0.36863983,0.7294699,0.7294699,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0,0.02702349,0,0.03480032,0,0,0.3240653,0.3240653,0.56183726,0.56183726,0.56183726,0.46720433,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0.56183726,0
1,33,0,0.78704715,0,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0
1,34,0.7294699,0,0.7294699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,0,0,0,0,0,0,0,0,0.22386687,0.22637764,0.23314108,0,0.2311274,0.24356803,0.24760598,0.22666429,0.23342073,0.23686843,0
1,36,0,0.90963769,0,0.90963769,0.90963769,0.90963769,0.90963769,0.90963769,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0.78704715,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,0,0,0,0,0,0,0,0,0.04815231,0.04815231,0.04815231,0,0.04815231,0.04815231,0.04815231,0.04815231,0.04815231,0.04815231,0
1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
