Notes,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),base_year
Intercept,-4551000,346000,-13.167,0,-5230000,-3870000,2008
region_2,2732000,124000,22.087,0,2490000,2970000,2008
region_3,431700,124000,3.49,0,189000,674000,2008
region_4,6196000,124000,50.083,0,5950000,6440000,2008
region_5,999500,124000,8.079,0,757000,1240000,2008
region_6,83320,124000,0.674,0.501,-159000,326000,2008
region_7,-1786000,124000,-14.438,0,-2030000,-1540000,2008
ln_brent_price,1800000,91800,19.6,0,1620000,1980000,2008
region_1,0,0,0,0,0,0,2008
