Notes,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),base_year
Intercept,-92450000000,13000000000,-7.125,0,-1.19E+11,-66000000000,1990
ln_brent_price,22530000000,5900000000,3.816,0.001,10500000000,34600000000,1990
ln_brent_price_lagged,18450000000,5910000000,3.123,0.004,6400000000,30500000000,1990
