Notes,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),base_year
Intercept,-489.433,19.944,-24.541,0,-528.557,-450.309,2008
region_2,157.0392,7.215,21.766,0,142.885,171.193,2008
region_3,75.2951,7.215,10.436,0,61.141,89.449,2008
region_4,293.0608,7.215,40.619,0,278.907,307.215,2008
region_5,5.9947,7.215,0.831,0.406,-8.159,20.148,2008
region_6,3.1875,7.215,0.442,0.659,-10.966,17.341,2008
region_7,-61.8769,7.215,-8.576,0,-76.031,-47.723,2008
ln_brent_price,156.9846,5.3,29.618,0,146.587,167.383,2008
region_1,0,0,0,0,0,0,2008
