! Note: Estimated from research
! Unit: annual mmMT of H2
Composite Table:
histyear    regCen           prodTech     hist_smr_ccs_cap
2007        Mountain         SMR_CCS      0
2007        Pacific          SMR_CCS      0
2008        NewEngland       SMR_CCS      0
2008        MidAtlantic      SMR_CCS      0
2008        ENCentral        SMR_CCS      0
2008        WNCentral        SMR_CCS      0
2008        SAtlantic        SMR_CCS      0
2008        ESCentral        SMR_CCS      0
2008        WSCentral        SMR_CCS      0.0702106
2008        Mountain         SMR_CCS      0
2008        Pacific          SMR_CCS      0
2009        NewEngland       SMR_CCS      0
2009        MidAtlantic      SMR_CCS      0
2009        ENCentral        SMR_CCS      0
2009        WNCentral        SMR_CCS      0
2009        SAtlantic        SMR_CCS      0
2009        ESCentral        SMR_CCS      0
2009        WSCentral        SMR_CCS      0.0702106
2009        Mountain         SMR_CCS      0
2009        Pacific          SMR_CCS      0
2010        NewEngland       SMR_CCS      0
2010        MidAtlantic      SMR_CCS      0
2010        ENCentral        SMR_CCS      0
2010        WNCentral        SMR_CCS      0
2010        SAtlantic        SMR_CCS      0
2010        ESCentral        SMR_CCS      0
2010        WSCentral        SMR_CCS      0.0702106
2010        Mountain         SMR_CCS      0
2010        Pacific          SMR_CCS      0
2011        NewEngland       SMR_CCS      0
2011        MidAtlantic      SMR_CCS      0
2011        ENCentral        SMR_CCS      0
2011        WNCentral        SMR_CCS      0
2011        SAtlantic        SMR_CCS      0
2011        ESCentral        SMR_CCS      0
2011        WSCentral        SMR_CCS      0.0702106
2011        Mountain         SMR_CCS      0
2011        Pacific          SMR_CCS      0
2012        NewEngland       SMR_CCS      0
2012        MidAtlantic      SMR_CCS      0
2012        ENCentral        SMR_CCS      0
2012        WNCentral        SMR_CCS      0
2012        SAtlantic        SMR_CCS      0
2012        ESCentral        SMR_CCS      0
2012        WSCentral        SMR_CCS      0.0702106
2012        Mountain         SMR_CCS      0
2012        Pacific          SMR_CCS      0
2013        NewEngland       SMR_CCS      0
2013        MidAtlantic      SMR_CCS      0
2013        ENCentral        SMR_CCS      0
2013        WNCentral        SMR_CCS      0.100301
2013        SAtlantic        SMR_CCS      0
2013        ESCentral        SMR_CCS      0
2013        WSCentral        SMR_CCS      0.170512
2013        WSCentral        SMR_CCS      0.200602
2013        Mountain         SMR_CCS      0
2013        Pacific          SMR_CCS      0
2014        NewEngland       SMR_CCS      0
2014        MidAtlantic      SMR_CCS      0
2014        ENCentral        SMR_CCS      0
2014        WNCentral        SMR_CCS      0.100301
2014        SAtlantic        SMR_CCS      0
2014        ESCentral        SMR_CCS      0
2014        WSCentral        SMR_CCS      0.200602
2014        Mountain         SMR_CCS      0
2014        Pacific          SMR_CCS      0
2015        NewEngland       SMR_CCS      0
2015        MidAtlantic      SMR_CCS      0
2015        ENCentral        SMR_CCS      0
2015        WNCentral        SMR_CCS      0.100301
2015        SAtlantic        SMR_CCS      0
2015        ESCentral        SMR_CCS      0
2015        WSCentral        SMR_CCS      0.200602
2015        Mountain         SMR_CCS      0
2015        Pacific          SMR_CCS      0
2016        NewEngland       SMR_CCS      0
2016        MidAtlantic      SMR_CCS      0
2016        ENCentral        SMR_CCS      0
2016        WNCentral        SMR_CCS      0.100301
2016        SAtlantic        SMR_CCS      0
2016        ESCentral        SMR_CCS      0
2016        WSCentral        SMR_CCS      0.200602
2016        Mountain         SMR_CCS      0
2016        Pacific          SMR_CCS      0
2017        NewEngland       SMR_CCS      0
2017        MidAtlantic      SMR_CCS      0
2017        ENCentral        SMR_CCS      0
2017        WNCentral        SMR_CCS      0.100301
2017        SAtlantic        SMR_CCS      0
2017        ESCentral        SMR_CCS      0
2017        WSCentral        SMR_CCS      0.200602
2017        Mountain         SMR_CCS      0
2017        Pacific          SMR_CCS      0
2018        NewEngland       SMR_CCS      0
2018        MidAtlantic      SMR_CCS      0
2018        ENCentral        SMR_CCS      0
2018        WNCentral        SMR_CCS      0.100301
2018        SAtlantic        SMR_CCS      0
2018        ESCentral        SMR_CCS      0
2018        WSCentral        SMR_CCS      0.200602
2018        Mountain         SMR_CCS      0
2018        Pacific          SMR_CCS      0
2019        NewEngland       SMR_CCS      0
