! Note: US on grid electrolyzers with start year 2023 and earlier
! Unit: Annual kg of hydrogen. Max theoretical assuming 8760 hours of production a year
Composite Table:
histyear    regNERC    prodTech    hist_prod_cap
2018        RMRG       PEM         0
2018        BASN       PEM         0
2019        TRE        PEM         0
2019        FRCC       PEM         0
2019        MISW       PEM         0
2019        MISC       PEM         0
2019        MISE       PEM         19112.7
2019        MISS       PEM         0
2019        ISNE       PEM         25019.1
2019        NYCW       PEM         0
2019        NYUP       PEM         0
2019        PJME       PEM         0
2019        PJMW       PEM         0
2019        PJMC       PEM         0
2019        PJMD       PEM         0
2019        SRCA       PEM         0
2019        SRSE       PEM         0
2019        SRCE       PEM         0
2019        SPPS       PEM         0
2019        SPPC       PEM         0
2019        SPPN       PEM         0
2019        SRSG       PEM         0
2019        CANO       PEM         0
2019        CASO       PEM         41410.9
2019        NWPP       PEM         0
2019        RMRG       PEM         0
2019        BASN       PEM         0
2020        TRE        PEM         0
2020        FRCC       PEM         0
2020        MISW       PEM         0
2020        MISC       PEM         0
2020        MISE       PEM         19112.7
2020        MISS       PEM         0
2020        ISNE       PEM         25019.1
2020        NYCW       PEM         0
2020        NYUP       PEM         0
2020        PJME       PEM         0
2020        PJMW       PEM         0
2020        PJMC       PEM         0
2020        PJMD       PEM         0
2020        SRCA       PEM         0
2020        SRSE       PEM         0
2020        SRCE       PEM         0
2020        SPPS       PEM         0
2020        SPPC       PEM         0
2020        SPPN       PEM         0
2020        SRSG       PEM         0
2020        CANO       PEM         0
2020        CASO       PEM         41410.9
2020        NWPP       PEM         0
2020        RMRG       PEM         0
2020        BASN       PEM         0
2021        TRE        PEM         0
2021        FRCC       PEM         0
2021        MISW       PEM         0
2021        MISC       PEM         0
2021        MISE       PEM         19112.7
2021        MISS       PEM         0
2021        ISNE       PEM         25019.1
2021        NYCW       PEM         0
2021        NYUP       PEM         0
2021        PJME       PEM         0
2021        PJMW       PEM         0
2021        PJMC       PEM         0
2021        PJMD       PEM         0
2021        SRCA       PEM         0
2021        SRSE       PEM         0
2021        SRCE       PEM         0
2021        SPPS       PEM         0
2021        SPPC       PEM         0
2021        SPPN       PEM         0
2021        SRSG       PEM         0
2021        CANO       PEM         0
2021        CASO       PEM         41410.9
2021        NWPP       PEM         0
2021        RMRG       PEM         0
2021        BASN       PEM         0
2022        TRE        PEM         0
2022        FRCC       PEM         0
2022        MISW       PEM         159273
2022        MISC       PEM         0
2022        MISE       PEM         19112.7
2022        MISS       PEM         0
2022        ISNE       PEM         25019.1
2022        NYCW       PEM         0
2022        NYUP       PEM         0
2022        PJME       PEM         0
2022        PJMW       PEM         0
2022        PJMC       PEM         0
2022        PJMD       PEM         0
2022        SRCA       PEM         0
2022        SRSE       PEM         0
2022        SRCE       PEM         0
2022        SPPS       PEM         0
2022        SPPC       PEM         0
2022        SPPN       PEM         0
2022        SRSG       PEM         0
2022        CANO       PEM         0
2022        CASO       PEM         41410.9
2022        NWPP       PEM         0
2022        RMRG       PEM         0
2022        BASN       PEM         0
2023        TRE        PEM         0
2023        FRCC       PEM         0
2023        MISW       PEM         159273
2023        MISC       PEM         0
2023        MISE       PEM         19112.7
2023        MISS       PEM         0
2023        ISNE       PEM         25019.1
2023        NYCW       PEM         0
2023        NYUP       PEM         0
2023        PJME       PEM         0
2023        PJMW       PEM         0
2023        PJMC       PEM         0
2023        PJMD       PEM         0
2023        SRCA       PEM         0
2023        SRSE       PEM         0
2023        SRCE       PEM         0
2023        SPPS       PEM         0
2023        SPPC       PEM         0
2023        SPPN       PEM         0
2023        SRSG       PEM         0
2023        CANO       PEM         0
2023        CASO       PEM         41410.9
2023        NWPP       PEM         796364
2023        RMRG       PEM         0
2023        BASN       PEM         0
;
