"Notes: Play-level Production, MMBBL/D for the first year and adjustment factor for the last two years",,,
play,2025,2026,2027
Bakken,1.191934211,0,0
Eagle_Ford,1.020013158,0,0
Woodford,0.084513158,0,0
Austin_Chalk,0.1198125,0,0
Spraberry,1.01,0,0
Niobrara,0.461092105,0,0
Avalon_Bone_Spring,1.280175319,0,0
Monterey,0,0,0
Wolfcamp,3.35,0,0
Utica,0.134,0,0
Other,0.486223684,0,0
