Notes,,,,,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),cost_type,base_year,resource_type,usgs_province_num,usgs_province_num_merge
OH,0.7402,0.033,22.263,0,0.675,0.805,capex_per_well_1987,2020,oil,,n
OK,1.0305,0.036,28.7,0,0.96,1.101,capex_per_well_1987,2020,oil,,n
TX,1.1333,0.04,28.106,0,1.054,1.212,capex_per_well_1987,2020,oil,,n
UT,-0.1366,0.127,-1.076,0.282,-0.385,0.112,capex_per_well_1987,2020,oil,,n
WY,-0.3158,0.054,-5.825,0,-0.422,-0.21,capex_per_well_1987,2020,oil,,n
num_vfeet,0.0001,2.05E-06,64.165,0,0,0,capex_per_well_1987,2020,oil,,n
num_latlen,6.12E-05,1.07E-06,57.381,0,5.91E-05,6.32E-05,capex_per_well_1987,2020,oil,,n
hist_cost_quantile_01,976126.6101,,,,,,capex_per_well_1987,2020,oil,,n
hist_cost_median,3331856.537,,,,,,capex_per_well_1987,2020,oil,,n
hist_cost_quantile_99,6171959.353,,,,,,capex_per_well_1987,2020,oil,,n
avg_vfeet,9283.185469,,,,,,capex_per_well_1987,2020,oil,,n
avg_latlen,9297.635264,,,,,,capex_per_well_1987,2020,oil,,n
Anadarko Basin,0,0,0,0,0,0,capex_per_well_1987,2020,oil,5058,58
