Notes,,,,,,,,,,,,,,,,,
facility_id,facility_name,ccs_retrofit_eligible,rep_facility,existing_45q,existing_ntc,retrofit_status,years_operating,ng_thruput_mmcf,vintage,state,census_division,avg_co2tputrat_cdvn,med_co2tputrat_cdvn,co2_capture_mmcf,co2_capture_tonnes,throughput_tons,45q_eligible
1009093,YOAKUM CRYOGENIC PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,362101,post,TX,7,0.04069,0.01402,11227.46585,209188.7,7436865.886,TRUE
1013753,FREEPORT LNG PRETREATMENT FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,765566.2571,post,TX,7,0.04069,0.01402,10735.52386,200022.9,15723274.95,TRUE
1006682,ROBELINE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,745511.8657,post,LA,7,0.04069,0.01402,10454.30143,194783.2,15311395.89,TRUE
1012329,POWDER RIVER BASIN - G&B - AAPG PROVINCE 515,TRUE,FALSE,FALSE,FALSE,FALSE,0,137818.9195,post,CO,8,0.05746,0.06545,9020.55925,168069.9,2830538.499,TRUE
1009181,CONVERSE CENTRAL FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,601556.3411,post,LA,7,0.04069,0.01402,8435.61533,157171.3,12354823.19,TRUE
1011011,JACKSON COUNTY GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,287936,post,TX,7,0.04069,0.01402,7880.58251,146830,5913657.835,TRUE
1009090,PLEASANT HILL GAS TREATING FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,484155.6522,post,LA,7,0.04069,0.01402,6789.30727,126497.5,9943636.316,TRUE
1013400,ORLA GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,58768,post,TX,7,0.04069,0.01402,6721.8798,125241.2,1206982.953,TRUE
1012781,LOBO PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,467942.8153,post,TX,7,0.04069,0.01402,6561.95491,122261.5,9610655.479,TRUE
1005693,WEST BISTINEAU FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,421613.7534,post,LA,7,0.04069,0.01402,5912.28318,110156.9,8659144.657,TRUE
