"note:100% cf, tons per year",,,,,,,CAPEX,,,,,,INCREMENTAL OPEX,,,,,,PARASITIC LOAD,,,,REPORTING METRICS,,,,,
facility_id,facility_name,state,co2_capture_tons,ng_thruput_tons,dry_cooling_systempref,ccs_retrofit_applicable,compressors_mm2018$,after_cooler_mm2018$,cool_water_sys_mm2018$,plant_balance_mm2018$,tpc_mm2018$,total_cap_mm2018$,fixed_labor_mm2018$,fixed_taxinsur_mm2018$,fixed_omcost_mm2018$,variable_chemwaste_mm2018$,variable_maintenance_mm2018$,total_om_cost_mm2018$,cool_systemload_MW,CCSretfit_Elec_LoadMW,misc_parasitic_loadMW,tot_parasitic_retfitloadMW,power_cost_mm2018$,tot_incremental_costmm2018$,co2_ts_$ton,tot_increment_cop$ton,cost_co2_capture$tonne,cost_co2_avoid$Tonne
1008293,MARATHON OIL EF - GULF COAST BASIN (AAPG BASIN NUMBER 220),TX,3097.051598,220855.3799,Y,TRUE,0.971521105,0.004465598,0.086116264,0.447024955,1.509127922,1.833812322,0.029787927,0.030183463,0.059971391,0.01511111,0.017044785,0.019635568,0.000873925,0.026010254,0,0.026884179,0.007592877,0.198086062,0.127214528,1.596015955,115.4586234,125.4586234
1010634,DEADWOOD CRYO PLANT,TX,3274.676878,176119.3255,Y,TRUE,1.005139747,0.004643374,0.089544557,0.464821039,1.564148716,1.900670677,0.030873955,0.031283912,0.062157868,0.015662041,0.017666216,0.020351454,0.000924047,0.027502021,0,0.028426068,0.008028351,0.205466664,0.168677709,2.079197352,113.2645007,123.2645007
1009706,"SILVERBOW RESOURCES, LLC - BASIN 220",TX,3469.922301,247445.3472,Y,TRUE,1.041282904,0.004835479,0.093249196,0.484051627,1.623419207,1.972693038,0.032043866,0.032469358,0.064513224,0.016255525,0.018335644,0.021122635,0.000979141,0.029141768,0,0.03012091,0.008507024,0.213426893,0.127214528,1.539709791,111.0325437,121.0325437
1013511,TARGA FALCON GAS PROCESSING PLANT,TX,3719.274021,265226.9912,Y,TRUE,1.086308501,0.005076173,0.097890827,0.508146084,1.697421585,2.062616809,0.033504562,0.03394945,0.067454012,0.016996521,0.019171461,0.022085494,0.001049503,0.031235922,0,0.032285425,0.009118346,0.223379337,0.127214528,1.506462743,108.4190806,118.4190806
1012457,"WTG GAS PROCESSING, L.P. 430 PERMIAN BASIN GB",TX,3977.168842,283617.8564,Y,TRUE,1.131654482,0.005320072,0.102594267,0.532561392,1.772130213,2.153398777,0.034979199,0.035443667,0.070422866,0.017744589,0.020015254,0.023057544,0.001122276,0.033401824,0,0.0345241,0.009750613,0.233441875,0.127214528,1.475129022,105.956019,115.956019
1012478,ENTERPRISE PRODUCTS OPERATING LLC 220 GULF COAST BASIN,TX,4034.122839,287679.3311,Y,TRUE,1.14151245,0.005373288,0.103620493,0.537888479,1.78839471,2.173162533,0.035300236,0.035768967,0.071069202,0.017907448,0.020198953,0.023269164,0.001138347,0.033880146,0,0.035018493,0.009890244,0.23563453,0.127214528,1.468580927,105.4412904,115.4412904
r5,REP_FACILITY_CDIV5,WV,4126.67894,43110482.05,N,TRUE,1.157417664,0.00545929,0.047854091,0.546497698,1.757228743,2.1352913,0.034685066,0.035145629,0.069830695,0.017595379,0.01984695,0.022863657,0.000628563,0.034657468,0,0.035286031,0.011634174,0.233444463,0.000868388,0.009736228,102.1183511,112.1183511
1000002,TERRELL GAS PROCESSING,TX,4335.48999,550265.0938,Y,TRUE,1.192798227,0.005651223,0.108980301,0.565710958,1.873140709,2.276141382,0.036972995,0.037463938,0.074436932,0.018756022,0.021156113,0.024371811,0.001223387,0.036411145,0,0.037634532,0.01062909,0.247070637,0.071476368,0.80677934,102.873578,112.873578
1002195,Sneed Booster Station,TX,4373.966,3405566.517,Y,TRUE,1.202532756,0.005704179,0.110001535,0.571012125,1.889250595,2.295717263,0.034685066,0.035145629,0.069830695,0.017595379,0.01984695,0.022863657,0.000628563,0.034657468,0,0.035286031,0.011634174,0.233444463,0.000868388,0.009736228,102.1183511,112.1183511
1012822,"URBAN 220 GULF COAST BASIN (LA, TX) GB",TX,4393.644949,313317.3903,Y,TRUE,1.202532756,0.005704179,0.110001535,0.571012125,1.889250595,2.295717263,0.03729098,0.037786145,0.075077125,0.018917332,0.021338066,0.02458142,0.001239797,0.036899554,0,0.03813935,0.010771665,0.24924672,0.127214528,1.42996759,102.4059974,112.4059974
1009878,CONTURA PENNSYLVANIA LAND LLC,PA,4693.18738,334678.2089,N,TRUE,1.251898462,0.005973698,0.052363193,0.597992016,1.908227367,2.318776831,0.037665553,0.038165692,0.075831245,0.019107349,0.021552398,0.024828331,0.000714852,0.039415228,0,0.04013008,0.013212277,0.254082719,0.127214528,1.370482777,97.73005247,107.7300525
1008680,AREA 71 CGP FACILITY,TX,4905.696983,349832.5864,Y,TRUE,1.286178155,0.00616178,0.118826082,0.61681988,2.027985897,2.464301053,0.040029407,0.040560934,0.080590341,0.020306508,0.022905006,0.026386533,0.001384287,0.041199967,0,0.042584255,0.012027036,0.268014277,0.127214528,1.381842078,98.62297726,108.6229773
1010222,GULF COAST BASIN,TX,5728.682248,408520.8961,Y,TRUE,1.413797073,0.006868375,0.132452325,0.687552987,2.24067076,2.722744434,0.044227488,0.044814759,0.089042247,0.022436152,0.025307167,0.029153819,0.001616517,0.04811172,0,0.049728237,0.014044705,0.296878589,0.127214528,1.317309859,93.55026902,103.550269
1012788,BEARKAT CRYOGENIC PLANT,TX,6561.990424,1239533.848,Y,TRUE,1.535908704,0.007553368,0.145661973,0.756123566,2.445247611,2.971335389,0.048265529,0.048906419,0.097171948,0.024484609,0.027617752,0.03181561,0.001851659,0.055110169,0,0.056961829,0.016087683,0.324744755,0.048025672,0.477068757,89.33619507,99.33619507
