Composite table:
    datamon            reg           HistoricalSpotPrice
!   -----------------  ----------    -------------------
    'February, 2013'   TX_1                        3.268
    'February, 2013'   TX_2                        3.267
    'February, 2013'   TX_3                        3.264
    'February, 2013'   TX_4                        3.270
    'February, 2013'   TX_5                        3.268
    'February, 2013'   TX_6                        3.268
    'February, 2013'   TX_7B                       3.267
    'February, 2013'   TX_7C                       3.267
    'February, 2013'   TX_8                        3.268
    'February, 2013'   TX_8A                       3.268
    'February, 2013'   TX_9                        3.268
    'February, 2013'   TX_10                       3.268
    'February, 2013'   NM_E                        3.278
    'February, 2013'   NM_W                        3.286
    'February, 2013'   LA_N                        3.295
    'February, 2013'   LA_S                        3.321
    'February, 2013'   AL_N                        3.351
    'February, 2013'   AL_S                        3.373
    'February, 2013'   MS_N                        3.337
    'February, 2013'   MS_S                        3.373
    'February, 2013'   MA_ST                      17.400
    'February, 2013'   VA_ST                       3.569
    'February, 2013'   GA_ST                       3.499
    'February, 2013'   AL_ST                       3.373
    'February, 2013'   LA_ST                       3.321
    'February, 2013'   TX_ST                       3.267
    'February, 2013'   CA_ST                       3.640
    'February, 2013'   OR_ST                       3.411
    'February, 2013'   MA_FD                      17.400
    'February, 2013'   VA_FD                       3.569
    'February, 2013'   GA_FD                       3.499
    'February, 2013'   AL_FD                       3.373
    'February, 2013'   LA_FD                       3.321
    'February, 2013'   TX_FD                       3.267
    'February, 2013'   CA_FD                       3.640
    'February, 2013'   OR_FD                       3.411
    'March, 2013'      AL                          3.833
    'March, 2013'      AZ                          3.799
    'March, 2013'      AR                          3.753
    'March, 2013'      CA                          4.002
    'March, 2013'      CO                          3.675
    'March, 2013'      CT                          6.497
    'March, 2013'      DC                          3.948
    'March, 2013'      DE                          4.094
    'March, 2013'      FL                          4.070
    'March, 2013'      GA                          3.905
    'March, 2013'      ID                          3.678
    'March, 2013'      IL                          3.993
    'March, 2013'      IN                          3.954
    'March, 2013'      IA                          3.960
    'March, 2013'      KS                          3.697
    'March, 2013'      KY                          3.835
    'March, 2013'      LA                          3.778
    'March, 2013'      ME                          7.400
    'March, 2013'      MD                          3.948
    'March, 2013'      MA                          7.327
    'March, 2013'      MI                          3.988
    'March, 2013'      MN                          3.965
    'March, 2013'      MS                          3.807
    'March, 2013'      MO                          3.825
    'March, 2013'      MT                          3.532
    'March, 2013'      NE                          3.756
    'March, 2013'      NV                          3.765
    'March, 2013'      NH                          7.343
    'March, 2013'      NJ                          4.079
    'March, 2013'      NM                          3.655
    'March, 2013'      NY                          4.849
    'March, 2013'      NC                          3.948
    'March, 2013'      ND                          3.882
    'March, 2013'      OH                          3.872
    'March, 2013'      OK                          3.693
    'March, 2013'      OR                          3.735
    'March, 2013'      PA                          3.876
    'March, 2013'      RI                          7.307
    'March, 2013'      SC                          3.930
    'March, 2013'      SD                          3.882
    'March, 2013'      TN                          3.788
    'March, 2013'      TX                          3.710
    'March, 2013'      UT                          3.671
    'March, 2013'      VT                          5.366
    'March, 2013'      VA                          3.944
    'March, 2013'      WA                          3.720
    'March, 2013'      WV                          3.842
    'March, 2013'      WI                          4.003
    'March, 2013'      WY                          3.695
    'March, 2013'      TX_W                        3.678
    'March, 2013'      TX_N                        3.716
    'March, 2013'      TX_E                        3.735
    'March, 2013'      NH-CN_E                     5.366
    'March, 2013'      VT-CN_E                     5.366
    'March, 2013'      NY-CN_E                     5.366
    'March, 2013'      MI-CN_E                     4.033
    'March, 2013'      MN-CN_W                     4.002
    'March, 2013'      ND-CN_W                     3.403
    'March, 2013'      MT-CN_W                     3.403
    'March, 2013'      ID-CN_W                     3.634
    'March, 2013'      WA-CN_W                     3.806
    'March, 2013'      TX_W-MX_NE                  3.678
    'March, 2013'      AZ-MX_NW                    3.898
    'March, 2013'      CA-MX_NW                    3.986
    'March, 2013'      TX_E-MX_NE                  3.724
    'March, 2013'      CN_E                        4.731
    'March, 2013'      CN_W                        3.221
    'March, 2013'      TX_1                        3.713
    'March, 2013'      TX_2                        3.730
    'March, 2013'      TX_3                        3.735
    'March, 2013'      TX_4                        3.724
    'March, 2013'      TX_5                        3.716
    'March, 2013'      TX_6                        3.716
    'March, 2013'      TX_7B                       3.710
    'March, 2013'      TX_7C                       3.710
    'March, 2013'      TX_8                        3.678
    'March, 2013'      TX_8A                       3.678
    'March, 2013'      TX_9                        3.697
    'March, 2013'      TX_10                       3.678
    'March, 2013'      NM_E                        3.650
    'March, 2013'      NM_W                        3.653
    'March, 2013'      LA_N                        3.761
    'March, 2013'      LA_S                        3.781
    'March, 2013'      AL_N                        3.809
    'March, 2013'      AL_S                        3.857
    'March, 2013'      MS_N                        3.782
    'March, 2013'      MS_S                        3.857
    'March, 2013'      MA_ST                       7.327
    'March, 2013'      VA_ST                       3.944
    'March, 2013'      GA_ST                       3.905
    'March, 2013'      AL_ST                       3.857
    'March, 2013'      LA_ST                       3.781
    'March, 2013'      TX_ST                       3.730
    'March, 2013'      CA_ST                       3.986
    'March, 2013'      OR_ST                       3.735
    'March, 2013'      MA_FD                       7.327
    'March, 2013'      VA_FD                       3.944
    'March, 2013'      GA_FD                       3.905
    'March, 2013'      AL_FD                       3.857
    'March, 2013'      LA_FD                       3.781
    'March, 2013'      TX_FD                       3.730
    'March, 2013'      CA_FD                       3.986
    'March, 2013'      OR_FD                       3.735
    'April, 2013'      AL                          4.172
    'April, 2013'      AZ                          4.082
    'April, 2013'      AR                          4.105
    'April, 2013'      CA                          4.231
    'April, 2013'      CO                          3.934
    'April, 2013'      CT                          5.140
    'April, 2013'      DC                          4.272
    'April, 2013'      DE                          4.341
    'April, 2013'      FL                          4.463
    'April, 2013'      GA                          4.225
    'April, 2013'      ID                          3.920
    'April, 2013'      IL                          4.280
    'April, 2013'      IN                          4.294
    'April, 2013'      IA                          4.244
    'April, 2013'      KS                          4.035
    'April, 2013'      KY                          4.185
    'April, 2013'      LA                          4.141
    'April, 2013'      ME                          5.136
    'April, 2013'      MD                          4.272
    'April, 2013'      MA                          5.092
    'April, 2013'      MI                          4.398
    'April, 2013'      MN                          4.222
    'April, 2013'      MS                          4.157
    'April, 2013'      MO                          4.143
    'April, 2013'      MT                          3.771
    'April, 2013'      NE                          4.046
    'April, 2013'      NV                          4.022
    'April, 2013'      NH                          5.044
    'April, 2013'      NJ                          4.342
    'April, 2013'      NM                          3.970
    'April, 2013'      NY                          4.799
    'April, 2013'      NC                          4.272
    'April, 2013'      ND                          4.146
    'April, 2013'      OH                          4.218
    'April, 2013'      OK                          4.031
    'April, 2013'      OR                          3.974
    'April, 2013'      PA                          4.151
    'April, 2013'      RI                          5.142
    'April, 2013'      SC                          4.250
    'April, 2013'      SD                          4.146
    'April, 2013'      TN                          4.141
    'April, 2013'      TX                          4.094
    'April, 2013'      UT                          3.907
    'April, 2013'      VT                          5.062
    'April, 2013'      VA                          4.242
    'April, 2013'      WA                          3.926
    'April, 2013'      WV                          4.183
    'April, 2013'      WI                          4.296
    'April, 2013'      WY                          3.963
    'April, 2013'      TX_W                        4.045
    'April, 2013'      TX_N                        4.102
    'April, 2013'      TX_E                        4.135
    'April, 2013'      NH-CN_E                     5.062
    'April, 2013'      VT-CN_E                     5.062
    'April, 2013'      NY-CN_E                     5.062
    'April, 2013'      MI-CN_E                     4.461
    'April, 2013'      MN-CN_W                     4.236
    'April, 2013'      ND-CN_W                     3.650
    'April, 2013'      MT-CN_W                     3.650
    'April, 2013'      ID-CN_W                     3.897
    'April, 2013'      WA-CN_W                     3.939
    'April, 2013'      TX_W-MX_NE                  4.045
    'April, 2013'      AZ-MX_NW                    4.175
    'April, 2013'      CA-MX_NW                    4.270
    'April, 2013'      TX_E-MX_NE                  4.090
    'April, 2013'      CN_E                        4.802
    'April, 2013'      CN_W                        3.444
    'April, 2013'      TX_1                        4.090
    'April, 2013'      TX_2                        4.113
    'April, 2013'      TX_3                        4.135
    'April, 2013'      TX_4                        4.090
    'April, 2013'      TX_5                        4.102
    'April, 2013'      TX_6                        4.102
    'April, 2013'      TX_7B                       4.094
    'April, 2013'      TX_7C                       4.094
    'April, 2013'      TX_8                        4.045
    'April, 2013'      TX_8A                       4.045
    'April, 2013'      TX_9                        4.073
    'April, 2013'      TX_10                       4.045
    'April, 2013'      NM_E                        3.990
    'April, 2013'      NM_W                        3.951
    'April, 2013'      LA_N                        4.119
    'April, 2013'      LA_S                        4.154
    'April, 2013'      AL_N                        4.170
    'April, 2013'      AL_S                        4.175
    'April, 2013'      MS_N                        4.147
    'April, 2013'      MS_S                        4.175
    'April, 2013'      MA_ST                       5.092
    'April, 2013'      VA_ST                       4.242
    'April, 2013'      GA_ST                       4.225
    'April, 2013'      AL_ST                       4.175
    'April, 2013'      LA_ST                       4.154
    'April, 2013'      TX_ST                       4.113
    'April, 2013'      CA_ST                       4.270
    'April, 2013'      OR_ST                       3.974
    'April, 2013'      MA_FD                       5.092
    'April, 2013'      VA_FD                       4.242
    'April, 2013'      GA_FD                       4.225
    'April, 2013'      AL_FD                       4.175
    'April, 2013'      LA_FD                       4.154
    'April, 2013'      TX_FD                       4.113
    'April, 2013'      CA_FD                       4.270
    'April, 2013'      OR_FD                       3.974
    'May, 2013'        AL                          4.086
    'May, 2013'        AZ                          4.029
    'May, 2013'        AR                          3.987
    'May, 2013'        CA                          4.212
    'May, 2013'        CO                          3.866
    'May, 2013'        CT                          4.605
    'May, 2013'        DC                          4.167
    'May, 2013'        DE                          4.183
    'May, 2013'        FL                          4.390
    'May, 2013'        GA                          4.130
    'May, 2013'        ID                          3.842
    'May, 2013'        IL                          4.144
    'May, 2013'        IN                          4.189
    'May, 2013'        IA                          4.090
    'May, 2013'        KS                          3.901
    'May, 2013'        KY                          4.085
    'May, 2013'        LA                          4.048
    'May, 2013'        ME                          4.542
    'May, 2013'        MD                          4.167
    'May, 2013'        MA                          4.559
    'May, 2013'        MI                          4.295
    'May, 2013'        MN                          4.061
    'May, 2013'        MS                          4.049
    'May, 2013'        MO                          3.995
    'May, 2013'        MT                          3.701
    'May, 2013'        NE                          3.949
    'May, 2013'        NV                          3.953
    'May, 2013'        NH                          4.575
    'May, 2013'        NJ                          4.184
    'May, 2013'        NM                          3.900
    'May, 2013'        NY                          4.316
    'May, 2013'        NC                          4.167
    'May, 2013'        ND                          4.010
    'May, 2013'        OH                          4.115
    'May, 2013'        OK                          3.899
    'May, 2013'        OR                          3.897
    'May, 2013'        PA                          4.007
    'May, 2013'        RI                          4.542
    'May, 2013'        SC                          4.149
    'May, 2013'        SD                          4.010
    'May, 2013'        TN                          4.030
    'May, 2013'        TX                          4.021
    'May, 2013'        UT                          3.842
    'May, 2013'        VT                          4.621
    'May, 2013'        VA                          4.144
    'May, 2013'        WA                          3.848
    'May, 2013'        WV                          4.093
    'May, 2013'        WI                          4.154
    'May, 2013'        WY                          3.883
    'May, 2013'        TX_W                        3.979
    'May, 2013'        TX_N                        4.011
    'May, 2013'        TX_E                        4.072
    'May, 2013'        NH-CN_E                     4.621
    'May, 2013'        VT-CN_E                     4.621
    'May, 2013'        NY-CN_E                     4.621
    'May, 2013'        MI-CN_E                     4.381
    'May, 2013'        MN-CN_W                     4.086
    'May, 2013'        ND-CN_W                     3.588
    'May, 2013'        MT-CN_W                     3.588
    'May, 2013'        ID-CN_W                     3.821
    'May, 2013'        WA-CN_W                     3.870
    'May, 2013'        TX_W-MX_NE                  3.979
