Composite table:
    reg         reg1          PipeFuelLossFactorIN  PipeFuelLossFactorOUT
    WV          KY                       1.799e-03              8.262e-03
    WV          OH                       3.845e-03              8.262e-03
    WV          PA                       6.991e-03              8.262e-03
    WV          VA                       4.570e-03              8.262e-03
    WI          MI                       4.111e-03              1.346e-03
    WI          MN                       3.116e-03              1.346e-03
    WY          CO                       2.675e-03              3.456e-03
    WY          MT                       3.150e-03              3.456e-03
    WY          NE                       2.163e-03              3.456e-03
    WY          SD                       3.730e-03              3.456e-03
    WY          UT                       3.859e-03              3.456e-03
    TX_W        NM                       3.004e-03              8.059e-03
    TX_W        OK                       9.274e-03              8.059e-03
    TX_W        TX_W-MX_NE                                      8.059e-03
    TX_E        AR                       2.195e-03              1.261e-02
    TX_E        LA                       6.124e-03              1.261e-02
    TX_E        TX_E-MX_NE                                      1.261e-02
    ME-CN_E     ME                       3.190e-03
    NH-CN_E     NH                       3.485e-04
    NY-CN_E     NY                       3.611e-03
    MI-CN_E     MI                       4.111e-03
    MN-CN_W     MN                       3.116e-03
    ND-CN_W     ND                       8.242e-03
    MT-CN_W     MT                       3.150e-03
    ID-CN_W     ID                       3.349e-03
    WA-CN_W     WA                       5.480e-03
    TX-MX_NE    TX                       1.936e-02
    ;
 
