Composite table:
    qph         qph1        pqtype  step     VariableTariffCurve
    CO          NM          q       step5              1.400e+00
    CO          NM          p       step1             -5.105e-01
    CO          NM          p       step2             -4.605e-01
    CO          NM          p       step3             -3.605e-01
    CO          NM          p       step4             -2.105e-01
    CO          NM          p       step5              6.000e-01
    CO          OK          q       step2              6.000e-01
    CO          OK          q       step3              8.000e-01
    CO          OK          q       step4              1.000e+00
    CO          OK          q       step5              1.400e+00
    CO          OK          p       step1             -1.943e-01
    CO          OK          p       step2             -1.743e-01
    CO          OK          p       step3             -4.431e-02
    CO          OK          p       step4              3.057e-01
    CO          OK          p       step5              1.000e+00
    CO          UT          q       step2              6.000e-01
    CO          UT          q       step3              9.000e-01
    CO          UT          q       step4              1.000e+00
    CO          UT          q       step5              1.400e+00
    CO          UT          p       step1              1.751e-01
    CO          UT          p       step2              1.851e-01
    CO          UT          p       step3              3.251e-01
    CO          UT          p       step4              4.751e-01
    CO          UT          p       step5              6.000e-01
    CO          WY          q       step2              4.000e-01
    CO          WY          q       step3              7.000e-01
    CO          WY          q       step4              1.000e+00
    CO          WY          q       step5              1.400e+00
    CO          WY          p       step1             -3.357e-02
    CO          WY          p       step2             -3.567e-03
    CO          WY          p       step3              1.164e-01
    CO          WY          p       step4              2.664e-01
    CO          WY          p       step5              6.000e-01
    CT          MA          q       step2              4.000e-01
    CT          MA          q       step3              8.000e-01
    CT          MA          q       step4              1.000e+00
    CT          MA          q       step5              1.400e+00
    CT          MA          p       step2              1.000e-01
    CT          MA          p       step3              2.000e-01
    CT          MA          p       step4              4.000e-01
    CT          MA          p       step5              8.000e-01
    CT          NY          q       step2              7.000e-01
    CT          NY          q       step3              9.000e-01
    CT          NY          q       step4              1.000e+00
    CT          NY          q       step5              1.400e+00
    CT          NY          p       step1              4.100e-02
    CT          NY          p       step2              2.410e-01
    CT          NY          p       step3              1.541e+00
    CT          NY          p       step4              4.541e+00
    CT          NY          p       step5              6.750e+00
    CT          RI          q       step2              8.000e-01
    CT          RI          q       step3              9.000e-01
    CT          RI          q       step4              1.000e+00
    CT          RI          q       step5              1.400e+00
    CT          RI          p       step1             -9.868e-02
    CT          RI          p       step2              1.013e-01
    CT          RI          p       step3              9.013e-01
    CT          RI          p       step4              1.901e+00
    CT          RI          p       step5              4.000e+00
