Composite table:
    qph         qph1        pqtype  step     VariableTariffCurve
    MS          AR          p       step3              4.204e-01
    MS          AR          p       step4              9.204e-01
    MS          AR          p       step5              1.500e+00
    MS          LA          q       step2              4.000e-01
    MS          LA          q       step3              9.000e-01
    MS          LA          q       step4              1.000e+00
    MS          LA          q       step5              1.400e+00
    MS          LA          p       step1             -2.154e-02
    MS          LA          p       step2             -1.536e-03
    MS          LA          p       step3              2.846e-02
    MS          LA          p       step4              7.846e-02
    MS          LA          p       step5              2.000e-01
    MS          TN          q       step2              4.500e-01
    MS          TN          q       step3              7.500e-01
    MS          TN          q       step4              1.000e+00
    MS          TN          q       step5              1.400e+00
    MS          TN          p       step1              1.138e-02
    MS          TN          p       step2              3.138e-02
    MS          TN          p       step3              6.138e-02
    MS          TN          p       step4              1.114e-01
    MS          TN          p       step5              2.000e-01
    MO          AR          q       step2              6.500e-01
    MO          AR          q       step3              8.500e-01
    MO          AR          q       step4              1.000e+00
    MO          AR          q       step5              1.400e+00
    MO          AR          p       step1             -9.762e-02
    MO          AR          p       step2             -4.762e-02
    MO          AR          p       step3              2.379e-03
    MO          AR          p       step4              1.024e-01
    MO          AR          p       step5              4.000e-01
    MO          IL          q       step2              6.000e-01
    MO          IL          q       step3              8.000e-01
    MO          IL          q       step4              1.000e+00
    MO          IL          q       step5              1.400e+00
    MO          IL          p       step1              8.039e-02
    MO          IL          p       step2              1.104e-01
    MO          IL          p       step3              1.404e-01
    MO          IL          p       step4              2.004e-01
    MO          IL          p       step5              2.400e-01
    MO          IA          q       step2              8.000e-01
    MO          IA          q       step3              9.000e-01
    MO          IA          q       step4              1.000e+00
    MO          IA          q       step5              1.400e+00
    MO          IA          p       step1              5.001e-02
    MO          IA          p       step2              7.001e-02
    MO          IA          p       step3              9.001e-02
    MO          IA          p       step4              1.300e-01
    MO          IA          p       step5              1.600e-01
    MT          ND          q       step2              6.000e-01
    MT          ND          q       step3              8.000e-01
    MT          ND          q       step4              1.000e+00
    MT          ND          q       step5              1.400e+00
    MT          ND          p       step1             -2.902e-01
    MT          ND          p       step2             -1.902e-01
    MT          ND          p       step3             -9.016e-02
    MT          ND          p       step4              1.098e-01
    MT          ND          p       step5              8.000e-01
    MT          WY          q       step2              4.000e-01
    MT          WY          q       step3              6.000e-01
    MT          WY          q       step4              1.000e+00
    MT          WY          q       step5              1.400e+00
    MT          WY          p       step1             -1.977e-01
    MT          WY          p       step2             -1.577e-01
    MT          WY          p       step3              5.226e-02
    MT          WY          p       step4              3.023e-01
    MT          WY          p       step5              1.000e+00
    MT          MT-CN_W     q       step2              7.000e-01
    MT          MT-CN_W     q       step3              8.500e-01
    MT          MT-CN_W     q       step4              1.000e+00
    MT          MT-CN_W     q       step5              1.400e+00
    MT          MT-CN_W     p       step1             -2.380e-02
    MT          MT-CN_W     p       step2              1.620e-02
    MT          MT-CN_W     p       step3              1.262e-01
    MT          MT-CN_W     p       step4              2.762e-01
    MT          MT-CN_W     p       step5              6.000e-01
    NE          CO          q       step2              4.000e-01
    NE          CO          q       step3              7.000e-01
    NE          CO          q       step4              1.000e+00
    NE          CO          q       step5              1.400e+00
    NE          CO          p       step1             -3.115e-01
    NE          CO          p       step2             -2.215e-01
    NE          CO          p       step3              1.885e-01
    NE          CO          p       step4              6.885e-01
    NE          CO          p       step5              2.000e+00
    NE          IA          q       step2              6.000e-01
    NE          IA          q       step3              8.000e-01
    NE          IA          q       step4              1.000e+00
    NE          IA          q       step5              1.400e+00
    NE          IA          p       step1              6.652e-02
    NE          IA          p       step2              1.165e-01
    NE          IA          p       step3              2.665e-01
    NE          IA          p       step4              5.665e-01
    NE          IA          p       step5              1.000e+00
    NE          KS          q       step2              6.000e-01
    NE          KS          q       step3              8.000e-01
    NE          KS          q       step4              1.000e+00
    NE          KS          q       step5              1.400e+00
    NE          KS          p       step1              1.159e-01
    NE          KS          p       step2              1.459e-01
    NE          KS          p       step3              3.159e-01
    NE          KS          p       step4              5.159e-01
    NE          KS          p       step5              8.000e-01
    NE          SD          q       step2              6.000e-01
    NE          SD          q       step3              9.000e-01
    NE          SD          q       step4              1.000e+00
    NE          SD          q       step5              1.400e+00
    NE          SD          p       step1             -3.762e-02
    NE          SD          p       step2              6.238e-02
    NE          SD          p       step3              4.624e-01
    NE          SD          p       step4              9.624e-01
    NE          SD          p       step5              2.000e+00
    NV          CA          q       step2              6.000e-01
    NV          CA          q       step3              8.000e-01
    NV          CA          q       step4              1.000e+00
    NV          CA          q       step5              1.400e+00
    NV          CA          p       step1              3.645e-01
    NV          CA          p       step2              4.645e-01
    NV          CA          p       step3              5.645e-01
    NV          CA          p       step4              7.645e-01
    NV          CA          p       step5              8.000e-01
    NV          OR          q       step2              6.000e-01
    NV          OR          q       step3              8.000e-01
    NV          OR          q       step4              1.000e+00
    NV          OR          q       step5              1.400e+00
    NV          OR          p       step1             -9.729e-02
    NV          OR          p       step2             -6.729e-02
    NV          OR          p       step3              2.715e-03
    NV          OR          p       step4              1.027e-01
    NV          OR          p       step5              4.000e-01
    NH          ME          q       step2              5.000e-01
    NH          ME          q       step3              8.000e-01
    NH          ME          q       step4              1.000e+00
    NH          ME          q       step5              1.400e+00
    NH          ME          p       step1             -7.512e-02
    NH          ME          p       step2             -4.512e-02
    NH          ME          p       step3              4.249e-01
    NH          ME          p       step4              9.249e-01
    NH          ME          p       step5              2.000e+00
    NH          MA          q       step2              2.000e-01
    NH          MA          q       step3              8.000e-01
    NH          MA          q       step4              1.000e+00
    NH          MA          q       step5              1.400e+00
    NH          MA          p       step1             -1.669e-01
    NH          MA          p       step2             -1.693e-02
    NH          MA          p       step3              8.307e-02
    NH          MA          p       step4              3.331e-01
    NH          MA          p       step5              1.000e+00
    NH          NH-CN_E     q       step2              6.000e-01
    NH          NH-CN_E     q       step3              8.000e-01
    NH          NH-CN_E     q       step4              1.000e+00
    NH          NH-CN_E     q       step5              1.400e+00
    NH          NH-CN_E     p       step1             -5.915e-01
    NH          NH-CN_E     p       step2             -4.415e-01
    NH          NH-CN_E     p       step3              1.585e-01
    NH          NH-CN_E     p       step4              9.085e-01
    NH          NH-CN_E     p       step5              3.000e+00
    NJ          NY          q       step2              3.000e-01
    NJ          NY          q       step3              8.000e-01
    NJ          NY          q       step4              1.000e+00
    NJ          NY          q       step5              1.400e+00
    NJ          NY          p       step1             -9.139e-02
    NJ          NY          p       step2             -4.139e-02
    NJ          NY          p       step3              5.086e-01
    NJ          NY          p       step4              1.109e+00
    NJ          NY          p       step5              2.400e+00
    NJ          PA          q       step2              5.000e-01
    NJ          PA          q       step3              8.000e-01
    NJ          PA          q       step4              1.000e+00
    NJ          PA          q       step5              1.400e+00
    NJ          PA          p       step1             -6.660e-02
    NJ          PA          p       step2              1.334e-01
    NJ          PA          p       step3              1.183e+00
    NJ          PA          p       step4              2.433e+00
    NJ          PA          p       step5              5.000e+00
    NM          AZ          q       step2              6.000e-01
    NM          AZ          q       step3              8.000e-01
    NM          AZ          q       step4              1.000e+00
    NM          AZ          q       step5              1.400e+00
    NM          AZ          p       step1              5.111e-01
    NM          AZ          p       step2              6.011e-01
    NM          AZ          p       step3              8.111e-01
    NM          AZ          p       step4              1.111e+00
    NM          AZ          p       step5              1.200e+00
    NM          CO          q       step2              6.000e-01
    NM          CO          q       step3              8.000e-01
    NM          CO          q       step4              1.000e+00
    NM          CO          q       step5              1.400e+00
    NM          CO          p       step1             -5.105e-01
    NM          CO          p       step2             -4.605e-01
    NM          CO          p       step3             -3.605e-01
    NM          CO          p       step4             -2.105e-01
    NM          CO          p       step5              6.000e-01
    NM          TX_W        q       step2              6.000e-01
    NM          TX_W        q       step3              8.000e-01
    NM          TX_W        q       step4              1.000e+00
    NM          TX_W        q       step5              1.400e+00
    NM          TX_W        p       step1              1.994e-01
    NM          TX_W        p       step2              2.294e-01
    NM          TX_W        p       step3              4.494e-01
    NM          TX_W        p       step4              6.994e-01
    NM          TX_W        p       step5              1.000e+00
    NY          CT          q       step2              5.000e-01
    NY          CT          q       step3              8.000e-01
    NY          CT          q       step4              1.000e+00
    NY          CT          q       step5              1.400e+00
    NY          CT          p       step1              4.100e-02
    NY          CT          p       step2              2.410e-01
    NY          CT          p       step3              1.541e+00
    NY          CT          p       step4              4.541e+00
    NY          CT          p       step5              6.750e+00
    NY          MA          q       step2              6.000e-01
    NY          MA          q       step3              8.000e-01
    NY          MA          q       step4              1.000e+00
    NY          MA          q       step5              1.400e+00
    NY          MA          p       step1             -1.009e-02
    NY          MA          p       step2              2.399e-01
    NY          MA          p       step3              1.490e+00
    NY          MA          p       step4              2.990e+00
    NY          MA          p       step5              6.000e+00
    NY          NJ          q       step2              3.000e-01
    NY          NJ          q       step3              8.000e-01
    NY          NJ          q       step4              1.000e+00
    NY          NJ          q       step5              1.400e+00
    NY          NJ          p       step1             -9.139e-02
    NY          NJ          p       step2             -4.139e-02
    NY          NJ          p       step3              5.086e-01
    NY          NJ          p       step4              1.109e+00
    NY          NJ          p       step5              2.400e+00
    NY          PA          q       step2              4.000e-01
    NY          PA          q       step3              7.000e-01
    NY          PA          q       step4              1.000e+00
    NY          PA          q       step5              1.400e+00
    NY          PA          p       step1              1.661e-01
    NY          PA          p       step2              2.161e-01
    NY          PA          p       step3              2.661e-01
    NY          PA          p       step4              1.666e+00
    NY          PA          p       step5              4.000e+00
    NY          NY-CN_E     q       step2              4.000e-01
    NY          NY-CN_E     q       step3              7.000e-01
    NY          NY-CN_E     q       step4              1.000e+00
    NY          NY-CN_E     q       step5              1.400e+00
    NY          NY-CN_E     p       step1              1.129e+00
    NY          NY-CN_E     p       step2              1.179e+00
    NY          NY-CN_E     p       step3              1.229e+00
    NY          NY-CN_E     p       step4              1.629e+00
    NY          NY-CN_E     p       step5              1.000e+00
    NC          SC          q       step2              6.000e-01
    NC          SC          q       step3              8.000e-01
    NC          SC          q       step4              1.000e+00
    NC          SC          q       step5              1.200e+00
    NC          SC          p       step1             -7.982e-02
    NC          SC          p       step2             -5.982e-02
    NC          SC          p       step3              2.018e-02
    NC          SC          p       step4              1.202e-01
    NC          SC          p       step5              4.000e-01
    NC          VA          q       step2              4.000e-01
    NC          VA          q       step3              6.000e-01
    NC          VA          q       step4              1.000e+00
    NC          VA          q       step5              1.400e+00
    NC          VA          p       step1             -1.511e-02
    NC          VA          p       step2              2.489e-02
    NC          VA          p       step3              1.849e-01
    NC          VA          p       step4              4.849e-01
    NC          VA          p       step5              1.000e+00
    ND          MN          q       step2              8.000e-01
    ND          MN          q       step3              9.000e-01
    ND          MN          q       step4              1.000e+00
    ND          MN          q       step5              1.400e+00
    ND          MN          p       step1              1.020e-02
    ND          MN          p       step2              3.020e-02
    ND          MN          p       step3              5.020e-02
    ND          MN          p       step4              6.020e-02
    ND          MN          p       step5              1.000e-01
    ND          MT          q       step2              8.000e-01
    ND          MT          q       step3              9.000e-01
    ND          MT          q       step4              1.000e+00
    ND          MT          q       step5              1.400e+00
    ND          MT          p       step1             -2.902e-01
    ND          MT          p       step2             -1.902e-01
    ND          MT          p       step3             -9.016e-02
    ND          MT          p       step4              1.098e-01
    ND          MT          p       step5              8.000e-01
    ND          SD          q       step2              2.000e-01
    ND          SD          q       step3              5.000e-01
    ND          SD          q       step4              1.000e+00
    ND          SD          q       step5              1.400e+00
    ND          SD          p       step1             -6.957e-02
    ND          SD          p       step2             -3.957e-02
    ND          SD          p       step3             -2.957e-02
    ND          SD          p       step4             -1.957e-02
    ND          SD          p       step5              6.000e-02
    ND          ND-CN_W     q       step2              6.000e-01
    ND          ND-CN_W     q       step3              8.000e-01
    ND          ND-CN_W     q       step4              1.000e+00
    ND          ND-CN_W     q       step5              1.200e+00
    ND          ND-CN_W     p       step1             -9.378e-02
    ND          ND-CN_W     p       step2              6.224e-03
    ND          ND-CN_W     p       step3              2.062e-01
    ND          ND-CN_W     p       step4              5.062e-01
    ND          ND-CN_W     p       step5              1.200e+00
    OH          IN          q       step2              2.000e-01
    OH          IN          q       step3              8.000e-01
    OH          IN          q       step4              1.000e+00
    OH          IN          q       step5              1.400e+00
    OH          IN          p       step1             -4.364e-02
    OH          IN          p       step2             -1.364e-02
    OH          IN          p       step3              7.636e-02
    OH          IN          p       step4              1.964e-01
    OH          IN          p       step5              4.800e-01
    OH          KY          q       step2              5.000e-01
    OH          KY          q       step3              9.000e-01
    OH          KY          q       step4              1.000e+00
    OH          KY          q       step5              1.400e+00
    OH          KY          p       step1             -3.088e-02
    OH          KY          p       step2             -8.847e-04
    OH          KY          p       step3              1.912e-02
    OH          KY          p       step4              6.912e-02
    OH          KY          p       step5              8.000e-01
    OH          MI          q       step2              5.000e-01
    OH          MI          q       step3              7.000e-01
    OH          MI          q       step4              1.000e+00
    OH          MI          q       step5              1.400e+00
    OH          MI          p       step1             -2.529e-01
    OH          MI          p       step2             -1.529e-01
    OH          MI          p       step3              4.712e-02
    OH          MI          p       step4              3.471e-01
    OH          MI          p       step5              1.200e+00
    OH          PA          q       step2              3.000e-01
    OH          PA          q       step3              7.000e-01
    OH          PA          q       step4              1.000e+00
    OH          PA          q       step5              1.400e+00
    OH          PA          p       step1             -5.328e-02
    OH          PA          p       step2             -3.277e-03
    OH          PA          p       step3              4.672e-02
    OH          PA          p       step4              1.467e-01
    OH          PA          p       step5              4.000e-01
    OH          WV          q       step2              2.000e-01
    OH          WV          q       step3              9.000e-01
    OH          WV          q       step4              1.000e+00
    OH          WV          q       step5              1.400e+00
    OH          WV          p       step1             -2.109e-02
    OH          WV          p       step2              7.891e-02
    OH          WV          p       step3              2.789e-01
    OH          WV          p       step4              3.789e-01
    OH          WV          p       step5              8.000e-01
    OK          AR          q       step2              4.000e-01
    OK          AR          q       step3              7.000e-01
    OK          AR          q       step4              1.000e+00
    OK          AR          q       step5              1.400e+00
    OK          AR          p       step1              1.393e-01
    OK          AR          p       step2              2.093e-01
    OK          AR          p       step3              3.393e-01
    OK          AR          p       step4              5.393e-01
    OK          AR          p       step5              8.000e-01
    OK          CO          q       step2              6.000e-01
    OK          CO          q       step3              8.000e-01
    OK          CO          q       step4              1.000e+00
    OK          CO          q       step5              1.400e+00
    OK          CO          p       step1             -1.943e-01
    OK          CO          p       step2             -1.743e-01
    OK          CO          p       step3             -4.431e-02
    OK          CO          p       step4              3.057e-01
    OK          CO          p       step5              1.000e+00
    OK          KS          q       step2              6.000e-01
    OK          KS          q       step3              9.000e-01
    OK          KS          q       step4              1.000e+00
    OK          KS          q       step5              1.400e+00
    OK          KS          p       step1             -7.362e-03
    OK          KS          p       step2              2.638e-03
    OK          KS          p       step3              1.264e-02
    OK          KS          p       step4              3.264e-02
    OK          KS          p       step5              8.000e-02
    OK          MO          q       step2              6.000e-01
    OK          MO          q       step3              9.000e-01
    OK          MO          q       step4              1.000e+00
    OK          MO          q       step5              1.400e+00
    OK          MO          p       step1              1.363e-01
    OK          MO          p       step2              2.363e-01
    OK          MO          p       step3              6.363e-01
    OK          MO          p       step4              1.136e+00
    OK          MO          p       step5              2.000e+00
    OK          TX_W        q       step2              6.000e-01
    OK          TX_W        q       step3              8.000e-01
    OK          TX_W        q       step4              1.000e+00
    OK          TX_W        q       step5              1.200e+00
    OK          TX_W        p       step1              4.838e-01
    OK          TX_W        p       step2              5.338e-01
    OK          TX_W        p       step3              7.338e-01
    OK          TX_W        p       step4              9.838e-01
    OK          TX_W        p       step5              1.500e+00
    OK          TX_N        q       step2              6.000e-01
    OK          TX_N        q       step3              8.000e-01
    OK          TX_N        q       step4              1.000e+00
    OK          TX_N        q       step5              1.400e+00
    OK          TX_N        p       step1              5.829e-02
    OK          TX_N        p       step2              1.083e-01
    OK          TX_N        p       step3              1.183e-01
    OK          TX_N        p       step4              1.583e-01
    OK          TX_N        p       step5              5.000e-01
    OR          CA          q       step2              6.000e-01
    OR          CA          q       step3              8.000e-01
    OR          CA          q       step4              1.000e+00
    OR          CA          q       step5              1.400e+00
    OR          CA          p       step1              2.774e-01
    OR          CA          p       step2              3.774e-01
    OR          CA          p       step3              4.774e-01
    OR          CA          p       step4              6.774e-01
    OR          CA          p       step5              8.000e-01
    OR          ID          q       step2              5.000e-01
    OR          ID          q       step3              8.000e-01
    OR          ID          q       step4              1.000e+00
    OR          ID          q       step5              1.400e+00
    OR          ID          p       step1              2.654e-02
    OR          ID          p       step2              3.654e-02
    OR          ID          p       step3              1.265e-01
    OR          ID          p       step4              2.265e-01
    OR          ID          p       step5              4.000e-01
    OR          WA          q       step2              5.000e-01
    OR          WA          q       step3              8.000e-01
    OR          WA          q       step4              1.000e+00
    OR          WA          q       step5              1.400e+00
    OR          WA          p       step1             -3.581e-01
    OR          WA          p       step2             -3.281e-01
    OR          WA          p       step3             -2.581e-01
    OR          WA          p       step4             -1.581e-01
    OR          WA          p       step5              4.000e-01
    PA          DE          q       step2              5.000e-01
    PA          DE          q       step3              8.000e-01
    PA          DE          q       step4              1.000e+00
    PA          DE          q       step5              1.400e+00
    PA          DE          p       step1              6.021e-02
    PA          DE          p       step2              1.602e-01
    PA          DE          p       step3              7.602e-01
    PA          DE          p       step4              1.460e+00
    PA          DE          p       step5              2.800e+00
    PA          MD          q       step2              5.000e-01
    PA          MD          q       step3              8.000e-01
    PA          MD          q       step4              1.000e+00
    PA          MD          q       step5              1.400e+00
    PA          MD          p       step1             -4.482e-02
    PA          MD          p       step2              5.518e-02
    PA          MD          p       step3              1.552e-01
    PA          MD          p       step4              9.552e-01
    PA          MD          p       step5              2.000e+00
    PA          NJ          q       step2              5.000e-01
    PA          NJ          q       step3              8.000e-01
    PA          NJ          q       step4              1.000e+00
    PA          NJ          q       step5              1.400e+00
    PA          NJ          p       step1             -6.660e-02
    PA          NJ          p       step2              1.334e-01
    PA          NJ          p       step3              1.183e+00
    PA          NJ          p       step4              2.433e+00
    PA          NJ          p       step5              5.000e+00
    PA          NY          q       step2              5.000e-01
    PA          NY          q       step3              8.000e-01
    PA          NY          q       step4              1.000e+00
    PA          NY          q       step5              1.400e+00
    PA          NY          p       step1              1.661e-01
    PA          NY          p       step2              2.161e-01
    PA          NY          p       step3              2.661e-01
    PA          NY          p       step4              1.666e+00
    PA          NY          p       step5              4.000e+00
    PA          OH          q       step2              6.000e-01
    PA          OH          q       step3              9.000e-01
    PA          OH          q       step4              1.000e+00
    PA          OH          q       step5              1.400e+00
    PA          OH          p       step1             -5.328e-02
    PA          OH          p       step2             -3.277e-03
    PA          OH          p       step3              4.672e-02
    PA          OH          p       step4              1.467e-01
    PA          OH          p       step5              4.000e-01
    PA          WV          q       step2              6.000e-01
    PA          WV          q       step3              9.000e-01
    PA          WV          q       step4              1.000e+00
    PA          WV          q       step5              1.400e+00
    PA          WV          p       step1             -4.547e-02
    PA          WV          p       step2              4.526e-03
    PA          WV          p       step3              5.453e-02
    PA          WV          p       step4              1.545e-01
    PA          WV          p       step5              4.000e-01
    RI          CT          q       step2              8.000e-01
    RI          CT          q       step3              9.000e-01
    RI          CT          q       step4              1.000e+00
    RI          CT          q       step5              1.400e+00
    RI          CT          p       step1             -9.868e-02
    RI          CT          p       step2              1.013e-01
    RI          CT          p       step3              9.013e-01
    RI          CT          p       step4              1.901e+00
    RI          CT          p       step5              4.000e+00
    RI          MA          q       step2              5.000e-01
    RI          MA          q       step3              8.000e-01
    RI          MA          q       step4              1.000e+00
    RI          MA          q       step5              1.400e+00
    RI          MA          p       step1              4.922e-02
    RI          MA          p       step2              6.922e-02
    RI          MA          p       step3              2.492e-01
    RI          MA          p       step4              4.492e-01
    RI          MA          p       step5              8.000e-01
    SC          GA          q       step2              6.000e-01
    SC          GA          q       step3              8.000e-01
    SC          GA          q       step4              1.000e+00
    SC          GA          q       step5              1.400e+00
    SC          GA          p       step1             -4.123e-02
    SC          GA          p       step2              5.877e-02
    SC          GA          p       step3              1.588e-01
    SC          GA          p       step4              3.588e-01
    SC          GA          p       step5              8.000e-01
    SC          NC          q       step2              4.000e-01
    SC          NC          q       step3              7.000e-01
    SC          NC          q       step4              1.000e+00
    SC          NC          q       step5              1.400e+00
    SC          NC          p       step1             -7.982e-02
    SC          NC          p       step2             -5.982e-02
    SC          NC          p       step3              2.018e-02
    SC          NC          p       step4              1.202e-01
    SC          NC          p       step5              4.000e-01
    SD          IA          q       step2              4.000e-01
    SD          IA          q       step3              7.000e-01
    SD          IA          q       step4              1.000e+00
    SD          IA          q       step5              1.400e+00
    SD          IA          p       step1             -8.866e-02
    SD          IA          p       step2             -7.866e-02
    SD          IA          p       step3              1.134e-02
    SD          IA          p       step4              1.113e-01
    SD          IA          p       step5              4.000e-01
    SD          MN          q       step2              6.000e-01
    SD          MN          q       step3              8.000e-01
    SD          MN          q       step4              1.000e+00
    SD          MN          q       step5              1.400e+00
    SD          MN          p       step1             -5.621e-01
    SD          MN          p       step2             -5.121e-01
    SD          MN          p       step3             -1.621e-01
    SD          MN          p       step4              2.379e-01
    SD          MN          p       step5              1.600e+00
    SD          NE          q       step2              6.000e-01
    SD          NE          q       step3              8.000e-01
    SD          NE          q       step4              1.000e+00
    SD          NE          q       step5              1.200e+00
    SD          NE          p       step1             -3.762e-02
    SD          NE          p       step2              6.238e-02
    SD          NE          p       step3              4.624e-01
    SD          NE          p       step4              9.624e-01
    SD          NE          p       step5              2.000e+00
    SD          ND          q       step2              7.000e-01
    SD          ND          q       step3              9.000e-01
    SD          ND          q       step4              1.000e+00
    SD          ND          q       step5              1.400e+00
    SD          ND          p       step1             -6.957e-02
    SD          ND          p       step2             -3.957e-02
    SD          ND          p       step3             -2.957e-02
    SD          ND          p       step4             -1.957e-02
    SD          ND          p       step5              6.000e-02
    SD          WY          q       step2              6.000e-01
    SD          WY          q       step3              9.000e-01
    SD          WY          q       step4              1.000e+00
    SD          WY          q       step5              1.400e+00
    SD          WY          p       step1             -5.367e-01
    SD          WY          p       step2             -4.367e-01
    SD          WY          p       step3             -1.367e-01
    SD          WY          p       step4              2.633e-01
    SD          WY          p       step5              1.600e+00
    TN          AL          q       step2              6.000e-01
    TN          AL          q       step3              8.000e-01
    TN          AL          q       step4              1.000e+00
    TN          AL          q       step5              1.400e+00
    TN          AL          p       step1              3.026e-02
    TN          AL          p       step2              5.026e-02
    TN          AL          p       step3              8.026e-02
    TN          AL          p       step4              1.303e-01
    TN          AL          p       step5              2.800e-01
    TN          AR          q       step2              6.000e-01
    TN          AR          q       step3              9.000e-01
    TN          AR          q       step4              1.000e+00
    TN          AR          q       step5              1.400e+00
    TN          AR          p       step1             -4.342e-02
    TN          AR          p       step2              5.658e-02
    TN          AR          p       step3              4.566e-01
    TN          AR          p       step4              9.566e-01
    TN          AR          p       step5              2.000e+00
    TN          GA          q       step2              5.000e-01
    TN          GA          q       step3              8.000e-01
    TN          GA          q       step4              1.000e+00
    TN          GA          q       step5              1.400e+00
    TN          GA          p       step1              8.106e-02
    TN          GA          p       step2              1.011e-01
    TN          GA          p       step3              2.311e-01
    TN          GA          p       step4              3.811e-01
    TN          GA          p       step5              6.000e-01
    TN          KY          q       step2              6.000e-01
    TN          KY          q       step3              8.000e-01
    TN          KY          q       step4              1.000e+00
    TN          KY          q       step5              1.400e+00
    TN          KY          p       step1              1.333e-02
    TN          KY          p       step2              6.333e-02
    TN          KY          p       step3              1.133e-01
    TN          KY          p       step4              2.133e-01
    TN          KY          p       step5              1.500e+00
    TN          MS          q       step2              6.000e-01
    TN          MS          q       step3              8.000e-01
    TN          MS          q       step4              1.000e+00
    TN          MS          q       step5              1.400e+00
    TN          MS          p       step1              1.138e-02
    TN          MS          p       step2              3.138e-02
    TN          MS          p       step3              6.138e-02
    TN          MS          p       step4              1.114e-01
    TN          MS          p       step5              2.000e-01
    TN          VA          q       step2              4.000e-01
    TN          VA          q       step3              7.000e-01
    TN          VA          q       step4              1.000e+00
    TN          VA          q       step5              1.400e+00
    TN          VA          p       step1             -8.458e-03
    TN          VA          p       step2              9.154e-02
    TN          VA          p       step3              3.915e-01
    TN          VA          p       step4              7.915e-01
    TN          VA          p       step5              1.600e+00
    UT          CO          q       step2              6.000e-01
    UT          CO          q       step3              8.000e-01
    UT          CO          q       step4              1.000e+00
    UT          CO          q       step5              1.400e+00
    UT          CO          p       step1              1.751e-01
    UT          CO          p       step2              1.851e-01
    UT          CO          p       step3              3.251e-01
    UT          CO          p       step4              4.751e-01
    UT          CO          p       step5              6.000e-01
    UT          ID          q       step2              5.000e-01
    UT          ID          q       step3              8.000e-01
    UT          ID          q       step4              1.000e+00
    UT          ID          q       step5              1.400e+00
    UT          ID          p       step1              1.091e-03
    UT          ID          p       step2              5.109e-02
    UT          ID          p       step3              2.011e-01
    UT          ID          p       step4              4.011e-01
    UT          ID          p       step5              8.000e-01
    UT          NV          q       step2              6.000e-01
    UT          NV          q       step3              9.500e-01
    UT          NV          q       step4              1.000e+00
    UT          NV          q       step5              1.400e+00
    UT          NV          p       step1              1.535e-01
    UT          NV          p       step2              1.835e-01
    UT          NV          p       step3              2.035e-01
    UT          NV          p       step4              3.535e-01
    UT          NV          p       step5              1.000e+00
    UT          WY          q       step2              6.000e-01
    UT          WY          q       step3              8.000e-01
    UT          WY          q       step4              1.000e+00
    UT          WY          q       step5              1.400e+00
    UT          WY          p       step1              1.322e-01
    UT          WY          p       step2              1.422e-01
    UT          WY          p       step3              1.822e-01
    UT          WY          p       step4              2.322e-01
    UT          WY          p       step5              2.000e-01
    VA          DC          q       step2              6.000e-01
    VA          DC          q       step3              8.000e-01
    VA          DC          q       step4              1.000e+00
    VA          DC          q       step5              1.400e+00
    VA          DC          p       step1             -1.287e-02
    VA          DC          p       step2              3.713e-02
    VA          DC          p       step3              1.371e-01
    VA          DC          p       step4              2.871e-01
    VA          DC          p       step5              6.000e-01
    VA          MD          q       step2              4.000e-01
    VA          MD          q       step3              8.000e-01
    VA          MD          q       step4              1.000e+00
    VA          MD          q       step5              1.400e+00
    VA          MD          p       step1             -6.460e-02
    VA          MD          p       step2             -3.460e-02
    VA          MD          p       step3             -1.460e-02
    VA          MD          p       step4              3.540e-02
    VA          MD          p       step5              2.000e-01
    VA          NC          q       step2              4.000e-01
    VA          NC          q       step3              8.000e-01
    VA          NC          q       step4              1.000e+00
    VA          NC          q       step5              1.400e+00
    VA          NC          p       step1             -1.511e-02
    VA          NC          p       step2              2.489e-02
    VA          NC          p       step3              1.849e-01
    VA          NC          p       step4              4.849e-01
    VA          NC          p       step5              1.000e+00
    VA          TN          q       step2              4.000e-01
    VA          TN          q       step3              7.000e-01
    VA          TN          q       step4              1.000e+00
    VA          TN          q       step5              1.400e+00
    VA          TN          p       step1             -8.458e-03
    VA          TN          p       step2              9.154e-02
    VA          TN          p       step3              3.915e-01
    VA          TN          p       step4              7.915e-01
    VA          TN          p       step5              1.600e+00
    WA          ID          q       step2              6.000e-01
    WA          ID          q       step3              8.000e-01
    WA          ID          q       step4              1.000e+00
    WA          ID          q       step5              1.400e+00
    WA          ID          p       step1             -2.358e-02
    WA          ID          p       step2              2.642e-02
    WA          ID          p       step3              2.764e-01
    WA          ID          p       step4              5.764e-01
    WA          ID          p       step5              1.200e+00
    WA          OR          q       step2              5.000e-01
    WA          OR          q       step3              8.000e-01
    WA          OR          q       step4              1.000e+00
    WA          OR          q       step5              1.400e+00
    WA          OR          p       step1             -3.581e-01
    WA          OR          p       step2             -3.281e-01
    WA          OR          p       step3             -2.581e-01
    WA          OR          p       step4             -1.581e-01
    WA          OR          p       step5              4.000e-01
    WA          WA-CN_W     q       step2              5.000e-01
    WA          WA-CN_W     q       step3              8.000e-01
    WA          WA-CN_W     q       step4              1.000e+00
    WA          WA-CN_W     q       step5              1.400e+00
    WA          WA-CN_W     p       step1             -3.194e-02
    WA          WA-CN_W     p       step2             -1.942e-03
    WA          WA-CN_W     p       step3              6.806e-02
    WA          WA-CN_W     p       step4              1.681e-01
