FILE NAME:      KINTENS												
												
DATE MODIFIED:  November 21, 2025												
												
NOTE:        	Updated EUI values based on final 2018 CBECS data 											
                												
USED BY:        Service Demand subroutine of the National Energy Modeling System												
                (NEMS) Commercial Demand Module (CDM)												
												
DEFINITION:     Energy Use Intensities (EUI)												
												
                Energy consumed per unit floorspace												
												
UNITS:          thousand Btu consumed/sqft												
												
DIMENSION:      Census division, building type, end-use service, fuel type												
												
SPECIAL CONSTRAINTS:    Non-negative values												
												
ORGANIZATION OF DATA:												
												
                Data starts on row 101 of this file as per CDM convention.												
												
                Each block of 11 triplets of lines corresponds to a Census Division, in												
                the customary order of:  New England, Middle Atlantic, East North												
                Central, West North Central, South Atlantic, East South Central, West												
                South Central, Mountain, and Pacific.												
												
6.159	0.009	0.297	0.000	0.000	0.000	0.000	0.000	0.000	0.557	DS		
												
2.092	4.415	0.236	12.980	7.846	12.607	95.149	0.000	1.934	0.236	EL	FdSales	
65.018	0.000	0.454	0.000	44.939	0.000	0.000	0.000	0.000	3.470	NG		
6.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.069	DS		
												
12.375	12.375	0.546	19.370	15.810	11.410	34.361	0.000	2.087	0.546	EL	FdServ	
17.048	0.000	10.498	0.000	64.046	0.000	0.000	0.000	0.000	2.891	NG		
0.000	0.000	1.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
1.325	7.474	1.033	24.860	2.096	10.709	3.298	5.708	10.554	1.033	EL	H C	
55.328	1.574	6.505	0.000	20.521	0.000	0.000	0.000	0.000	5.803	NG		
1.821	0.000	0.290	0.000	0.007	0.000	0.000	0.000	0.000	2.978	DS		
												
4.040	3.930	1.316	13.033	2.098	8.095	2.612	0.161	1.267	1.316	EL	Lodg	
7.269	0.287	9.825	0.000	6.128	0.000	0.000	0.000	0.000	6.185	NG		
0.894	0.000	0.652	0.000	0.000	0.000	0.000	0.000	0.000	0.126	DS		
												
1.929	3.214	0.415	18.026	0.246	9.170	0.835	1.699	5.926	0.415	EL	Off-Lg	
13.218	0.016	0.348	0.000	1.187	0.000	0.000	0.000	0.000	0.291	NG		
1.275	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.267	DS		
												
3.310	2.791	0.374	10.718	0.153	11.453	1.003	0.263	3.734	0.374	EL	Off-Sm	
20.600	0.001	0.319	0.000	1.103	0.000	0.000	0.000	0.000	0.322	NG		
2.758	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.038	DS		
												
4.310	3.103	1.395	5.843	0.316	10.688	3.140	0.017	1.296	1.395	EL	MerServ	
22.378	0.000	1.655	0.000	3.589	0.000	0.000	0.000	0.000	0.588	NG		
2.622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.127	DS		
												
1.716	2.095	0.206	1.611	0.005	5.017	3.007	0.145	0.639	0.206	EL	Wrhse	
15.678	0.080	0.074	0.000	0.025	0.000	0.000	0.000	0.000	0.302	NG		
1.002	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.025	DS		
												
2.732	25.052	1.176	4.644	0.823	13.542	1.372	14.610	8.590	1.176	EL	Other	
25.052	0.000	1.015	0.000	1.530	0.000	0.000	0.000	0.000	0.860	NG		
0.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.306	DS		
												
												
												
2.318	6.709	0.151	3.883	0.542	4.738	1.814	0.028	1.087	0.151	EL	Assem	East North Central
34.168	0.000	0.752	0.000	2.330	0.000	0.000	0.000	0.000	1.261	NG		
0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	DS		
												
0.879	4.034	0.513	5.162	0.752	5.078	1.622	0.377	2.756	0.513	EL	Educ	
32.418	0.361	2.503	0.000	2.190	0.000	0.000	0.000	0.000	1.728	NG		
0.236	0.000	0.019	0.000	0.001	0.000	0.000	0.000	0.000	0.013	DS		
												
7.088	5.395	0.305	17.289	6.917	15.112	111.343	0.000	1.723	0.305	EL	FdSales	
40.113	0.000	0.685	0.000	24.711	0.000	0.000	0.000	0.000	5.029	NG		
0.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	DS		
												
12.670	10.556	10.716	18.426	29.560	11.783	39.935	0.000	1.665	10.716	EL	FdServ	
39.781	0.000	16.029	0.000	127.641	0.000	0.000	0.000	0.000	1.606	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
1.710	6.615	0.367	31.239	2.739	11.591	3.874	4.471	8.175	0.367	EL	H C	
47.299	0.575	9.344	0.000	11.304	0.000	0.000	0.000	0.000	2.490	NG		
1.361	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	1.178	DS		
												
6.527	4.936	3.644	13.683	1.920	11.510	3.197	0.181	1.172	3.644	EL	Lodg	
20.272	0.000	14.150	0.000	6.333	0.000	0.000	0.000	0.000	2.004	NG		
0.005	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.095	DS		
												
4.457	2.474	0.284	15.162	0.387	8.509	1.840	2.391	6.307	0.284	EL	Off-Lg	
16.072	0.000	0.476	0.000	0.841	0.000	0.000	0.000	0.000	0.486	NG		
0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.094	DS		
												
2.343	2.384	0.201	9.540	0.083	6.712	1.026	0.680	4.569	0.201	EL	Off-Sm	
25.355	0.084	0.916	0.000	0.102	0.000	0.000	0.000	0.000	0.371	NG		
0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	DS		
												
3.577	2.664	1.358	7.742	0.491	10.213	4.019	0.007	2.418	1.358	EL	MerServ	
30.600	0.000	1.977	0.000	4.691	0.000	0.000	0.000	0.000	0.476	NG		
0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	DS		
												
0.644	1.066	0.084	0.795	0.006	3.693	1.798	0.078	0.372	0.084	EL	Wrhse	
20.136	0.000	0.490	0.000	0.027	0.000	0.000	0.000	0.000	0.262	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	DS		
												
0.974	12.359	0.038	13.985	0.532	6.604	1.274	5.078	3.474	0.038	EL	Other	
12.359	0.000	1.047	0.000	0.629	0.000	0.000	0.000	0.000	1.275	NG		
0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.671	DS		
												
												
												
6.185	6.090	0.297	3.883	0.384	3.829	1.880	0.068	1.035	0.297	EL	Assem	West North Central
19.508	0.000	0.250	0.000	2.764	0.000	0.000	0.000	0.000	4.449	NG		
0.060	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.014	DS		
												
3.869	4.486	0.669	4.813	0.759	5.469	2.010	0.310	1.864	0.669	EL	Educ	
23.586	0.000	1.504	0.000	1.420	0.000	0.000	0.000	0.000	1.528	NG		
0.984	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.189	DS		
												
2.209	2.351	0.016	2.658	1.064	4.141	25.977	0.000	0.460	0.093	EL	FdSales	
9.686	0.000	0.130	0.000	4.227	0.000	0.000	0.000	0.000	0.000	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
10.897	8.449	6.864	15.274	12.471	12.530	31.287	0.000	2.059	6.864	EL	FdServ	
37.375	0.000	14.334	0.000	75.800	0.000	0.000	0.000	0.000	0.000	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
0.986	6.653	0.252	21.127	2.269	9.564	4.267	1.718	7.874	0.252	EL	H C	
62.319	0.520	5.027	0.000	6.655	0.000	0.000	0.000	0.000	0.469	NG		
2.899	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.000	1.767	DS		
												
3.361	3.374	2.478	9.791	1.366	6.916	3.285	0.061	0.882	2.478	EL	Lodg	
21.950	0.000	5.746	0.000	5.853	0.000	0.000	0.000	0.000	0.329	NG		
0.196	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.118	DS		
												
4.037	2.778	0.417	15.134	0.350	7.531	1.960	1.809	6.227	0.417	EL	Off-Lg	
15.797	0.000	0.393	0.000	1.277	0.000	0.000	0.000	0.000	0.249	NG		
0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	DS		
												
3.143	2.891	0.310	9.819	0.108	7.648	0.985	0.142	3.851	0.310	EL	Off-Sm	
28.213	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.000	0.105	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	DS		
												
2.959	2.401	0.674	5.693	0.284	8.711	1.557	0.003	1.487	0.674	EL	MerServ	
18.552	0.000	1.478	0.000	2.174	0.000	0.000	0.000	0.000	0.000	NG		
0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	DS		
												
1.822	3.040	0.128	2.391	0.010	4.693	1.492	0.070	0.483	0.128	EL	Wrhse	
16.991	0.000	0.699	0.000	0.087	0.000	0.000	0.000	0.000	0.976	NG		
0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	DS		
												
3.954	12.180	0.292	1.572	0.267	5.570	0.193	8.776	9.860	0.292	EL	Other	
12.180	0.000	0.205	0.000	0.045	0.000	0.000	0.000	0.000	0.482	NG		
0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.919	DS		
												
												
												
2.763	13.387	0.199	3.461	0.547	4.818	2.310	0.045	0.742	0.199	EL	Assem	South Atlantic
11.528	0.000	0.337	0.000	2.301	0.000	0.000	0.000	0.000	0.514	NG		
0.386	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.101	DS		
												
2.280	11.545	0.928	5.765	0.398	6.141	1.732	0.307	3.159	0.928	EL	Educ	
12.387	0.000	1.754	0.000	1.165	0.000	0.000	0.000	0.000	0.877	NG		
1.557	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.054	DS		
												
7.827	13.517	0.725	14.401	8.397	19.789	108.579	0.128	1.360	0.725	EL	FdSales	
9.861	0.000	0.326	0.000	15.765	0.000	0.000	0.000	0.000	4.042	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	DS		
												
10.705	33.265	14.487	17.671	37.781	12.527	45.418	0.000	2.872	14.487	EL	FdServ	
12.154	0.000	9.075	0.000	67.141	0.000	0.000	0.000	0.000	0.102	NG		
1.330	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.188	DS		
												
1.851	24.981	2.198	26.543	2.785	13.017	4.528	2.704	6.960	2.198	EL	H C	
41.696	1.499	18.857	0.000	20.331	0.000	0.000	0.000	0.000	4.562	NG		
0.482	0.000	0.125	0.000	0.012	0.000	0.000	0.000	0.000	1.073	DS		
												
3.101	10.861	3.998	14.121	2.375	5.439	5.278	0.081	1.547	3.998	EL	Lodg	
3.132	0.000	8.764	0.000	8.375	0.000	0.000	0.000	0.000	1.453	NG		
0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.169	DS		
												
3.278	6.705	0.477	16.332	0.245	8.672	1.373	1.730	7.370	0.477	EL	Off-Lg	
6.326	0.000	0.367	0.000	0.888	0.000	0.000	0.000	0.000	0.754	NG		
0.043	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.288	DS		
												
4.307	9.381	0.310	10.598	0.143	9.250	1.534	0.016	4.699	0.310	EL	Off-Sm	
6.140	0.000	0.553	0.000	0.790	0.000	0.000	0.000	0.000	0.939	NG		
0.304	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	DS		
												
3.324	9.087	1.746	8.448	0.524	11.933	6.903	0.078	2.010	1.746	EL	MerServ	
9.170	0.003	4.386	0.000	6.681	0.000	0.000	0.000	0.000	1.248	NG		
0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	DS		
												
1.330	3.921	0.147	1.705	0.002	5.715	0.640	0.021	0.560	0.147	EL	Wrhse	
6.212	0.000	0.073	0.000	0.001	0.000	0.000	0.000	0.000	1.084	NG		
0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	DS		
												
2.781	6.922	1.091	12.285	0.302	9.820	1.479	22.98	2.839	1.091	EL	Other	
6.922	0.000	1.019	0.000	1.329	0.000	0.000	0.000	0.000	2.026	NG		
0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.392	DS		
												
												
												
2.955	9.626	0.107	2.402	0.292	3.695	0.638	0.048	0.439	0.107	EL	Assem	East South Central
10.657	0.000	1.237	0.000	2.318	0.000	0.000	0.000	0.000	0.215	NG		
0.005	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.021	DS		
												
2.463	11.121	0.920	4.618	0.327	5.937	1.695	0.260	4.054	0.920	EL	Educ	
13.597	0.060	2.967	0.000	2.080	0.000	0.000	0.000	0.000	0.013	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	DS		
												
2.360	11.234	0.388	12.482	1.522	15.964	111.473	0.000	1.987	0.388	EL	FdSales	
31.743	0.000	0.544	0.000	8.205	0.000	0.000	0.000	0.000	0.000	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
9.279	23.155	10.965	15.224	17.529	10.389	35.012	0.000	1.415	11.539	EL	FdServ	
7.557	0.000	5.776	0.000	92.898	0.000	0.000	0.000	0.000	1.016	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
1.632	21.888	0.912	29.654	2.704	12.748	4.070	1.837	4.322	0.912	EL	H C	
33.369	0.000	9.117	0.000	11.303	0.000	0.000	0.000	0.000	0.618	NG		
0.271	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.889	DS		
												
2.578	5.031	2.959	7.010	1.365	8.166	2.284	0.003	0.509	2.959	EL	Lodg	
3.630	0.000	9.183	0.000	3.182	0.000	0.000	0.000	0.000	2.144	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	DS		
												
2.193	7.062	0.323	17.756	0.324	11.607	1.485	3.158	12.212	0.327	EL	Off-Lg	
13.819	0.000	0.776	0.000	1.356	0.000	0.000	0.000	0.000	5.264	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	DS		
												
4.491	7.618	0.282	14.653	0.182	8.411	3.482	0.135	4.829	0.282	EL	Off-Sm	
15.861	0.000	0.345	0.000	0.548	0.000	0.000	0.000	0.000	1.776	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.070	DS		
												
2.343	6.561	0.811	8.253	0.443	9.109	2.146	0.102	2.037	0.968	EL	MerServ	
14.256	0.000	1.126	0.000	3.399	0.000	0.000	0.000	0.000	1.505	NG		
0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	DS		
												
1.564	4.164	0.091	1.614	0.002	3.692	2.043	0.079	0.451	0.091	EL	Wrhse	
8.971	0.000	0.105	0.000	0.005	0.000	0.000	0.000	0.000	2.298	NG		
0.213	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	DS		
												
2.445	10.111	0.838	4.552	0.080	6.870	0.249	2.594	3.502	0.838	EL	Other	
10.111	0.000	0.192	0.000	1.005	0.000	0.000	0.000	0.000	0.001	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	DS		
												
												
												
4.153	16.312	0.172	3.122	0.386	4.493	1.573	0.073	1.149	0.172	EL	Assem	West South Central
11.326	0.000	0.727	0.000	2.543	0.000	0.000	0.000	0.000	0.328	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	DS		
												
1.469	10.054	1.058	3.860	0.324	5.278	1.493	0.189	2.513	1.058	EL	Educ	
8.044	0.000	1.940	0.000	1.826	0.000	0.000	0.000	0.000	1.309	NG		
0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	DS		
												
3.709	14.007	0.227	12.882	6.662	13.464	93.314	0.243	9.781	0.227	EL	FdSales	
8.714	0.000	7.700	0.000	7.081	0.000	0.000	0.000	0.000	0.399	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
9.415	29.777	6.573	15.178	32.402	9.380	44.640	0.000	2.047	6.573	EL	FdServ	
6.542	0.000	6.348	0.000	62.397	0.000	0.000	0.000	0.000	1.473	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	DS		
												
0.760	19.530	0.220	29.571	2.489	12.331	3.609	2.256	6.356	0.220	EL	H C	
35.169	0.000	12.987	0.000	15.521	0.000	0.000	0.000	0.000	5.376	NG		
0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.708	DS		
												
2.451	8.303	0.603	11.075	2.072	5.440	4.177	0.007	0.937	0.603	EL	Lodg	
7.266	0.000	15.482	0.000	4.403	0.000	0.000	0.000	0.000	0.660	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	DS		
												
1.900	7.648	0.445	15.503	0.155	8.276	1.136	1.829	5.571	0.445	EL	Off-Lg	
7.147	0.000	0.185	0.000	0.777	0.000	0.000	0.000	0.000	1.159	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	DS		
												
2.097	9.546	0.311	9.243	0.134	7.461	1.606	0.300	4.184	0.311	EL	Off-Sm	
8.909	0.000	0.486	0.000	0.432	0.000	0.000	0.000	0.000	0.502	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	DS		
												
2.559	9.984	1.838	8.937	0.556	11.542	3.113	0.016	2.470	1.838	EL	MerServ	
11.917	0.000	2.201	0.000	5.072	0.000	0.000	0.000	0.000	1.556	NG		
0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.075	DS		
												
0.831	6.316	0.150	1.471	0.022	4.346	2.578	0.010	0.471	0.150	EL	Wrhse	
3.648	0.000	0.145	0.000	0.012	0.000	0.000	0.000	0.000	0.211	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	DS		
												
1.156	21.477	0.338	11.438	0.393	10.465	1.795	20.558	5.850	0.338	EL	Other	
21.477	0.000	5.464	0.000	2.724	0.000	0.000	0.000	0.000	0.459	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	DS		
												
												
												
1.826	6.656	0.074	3.888	0.701	4.597	1.679	0.184	1.017	0.074	EL	Assem	Mountain
26.148	0.000	0.325	0.000	4.740	0.000	0.000	0.000	0.000	0.715	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	DS		
												
1.513	4.930	1.110	4.727	0.749	5.329	1.769	0.152	2.756	1.110	EL	Educ	
18.002	0.015	3.021	0.000	1.914	0.000	0.000	0.000	0.000	0.303	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	DS		
												
4.214	3.249	0.321	9.882	3.090	13.930	78.885	0.000	1.732	0.321	EL	FdSales	
38.987	0.000	1.609	0.000	22.899	0.000	0.000	0.000	0.000	1.219	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	DS		
												
6.667	9.737	4.107	17.877	24.171	11.971	39.816	0.000	1.520	4.107	EL	FdServ	
26.363	0.000	13.671	0.000	74.112	0.000	0.000	0.000	0.000	0.002	NG		
0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.954	DS		
												
3.803	6.741	2.285	28.246	2.594	10.040	4.854	1.383	8.198	2.285	EL	H C	
54.054	0.000	7.491	0.000	11.133	0.000	0.000	0.000	0.000	4.170	NG		
7.515	0.000	1.346	0.000	0.014	0.000	0.000	0.000	0.000	1.500	DS		
												
1.071	3.745	1.984	16.844	3.431	4.929	5.505	2.958	4.804	1.984	EL	Lodg	
8.810	0.000	17.996	0.000	29.832	0.000	0.000	0.000	0.000	0.757	NG		
0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.110	DS		
												
1.788	2.658	0.302	10.846	0.188	7.500	1.194	1.791	6.635	0.302	EL	Off-Lg	
13.385	0.000	0.682	0.000	0.619	0.000	0.000	0.000	0.000	0.455	NG		
0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.103	DS		
												
3.061	5.040	0.215	10.694	0.131	7.177	2.102	0.742	4.563	0.215	EL	Off-Sm	
12.370	0.000	0.477	0.000	0.029	0.000	0.000	0.000	0.000	0.551	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	DS		
												
3.148	5.228	1.662	8.415	0.487	12.180	5.372	0.000	1.612	1.662	EL	MerServ	
24.774	0.000	2.639	0.000	5.345	0.000	0.000	0.000	0.000	0.751	NG		
0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	DS		
												
1.039	2.056	0.147	1.126	0.005	4.080	2.005	0.401	1.154	0.147	EL	Wrhse	
12.488	0.000	0.084	0.000	0.016	0.000	0.000	0.000	0.000	0.009	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	DS		
												
1.291	17.403	0.021	3.148	0.495	5.821	1.051	22.980	12.519	0.021	EL	Other	
17.403	0.000	4.329	0.000	1.104	0.000	0.000	0.000	0.000	0.156	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.229	DS		
												
												
												
0.921	5.497	0.167	2.901	0.342	3.954	2.027	0.109	1.183	0.167	EL	Assem	Pacific
13.623	0.066	0.561	0.000	3.582	0.000	0.000	0.000	0.000	0.247	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	DS		
												
