FILE NAME:      KFLSPC

DATE MODIFIED:  February 22, 2024


USED BY:        COMFloorspace subroutine of the National Energy Modeling System
                (NEMS) Commercial Demand Module (CDM)

DEFINITION:     2018 CBECS floorspace

                Existing 2018 commercial floorspace

UNITS:          million sqft

DIMENSION:      Building type, Census division, floorspace vintage cohort group (see KVINT)

SPECIAL CONSTRAINTS:    None

ORGANIZATION OF DATA:

                Data starts on row 101 of this file as per CDM convention.

                Each block of lines corresponds to a building type, in the following
                order:  Assembly, Education, Food Sales, Food Service, Health Care,
                Lodging, Large Office, Small Office, Merc/Service, Warehouse, and Other.

                Each row corresponds to a floorspace vintage cohort group.

                Each column corresponds to a Census division, in the following order:
                New England, Middle Atlantic, East North Central, West North Central,
                South Atlantic, East South Central, West South Central, Mountain, and
                Pacific.

SOURCES:

                U.S. Department of Energy, Energy Information Administration, 2018 Commercial
                  Buildings Energy Consumption Survey, Public Use Data, available December 2022 at
                  http://www.eia.gov/consumption/commercial/data/2018/index.cfm?view=microdata



























































NE	MA	ENC	WNC	SA	ESC	WSC	MTN	PAC
CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9
								
9.26	109.78	64.65	3.05	25.25	18.31	35.38	10.90	21.38
14.67	16.57	246.46	52.49	58.47	42.88	21.09	61.23	104.02
15.32	127.69	197.75	120.66	88.34	91.64	181.26	125.85	113.01
64.09	135.48	82.47	135.44	245.99	122.86	119.74	52.36	319.40
12.84	134.94	189.85	85.75	210.04	29.83	183.22	118.83	181.14
10.18	99.03	202.76	285.86	261.46	0.00	103.85	119.82	80.18
15.36	20.75	33.42	0.00	80.81	34.16	107.30	34.01	55.85
0.00	37.83	42.74	53.91	37.57	4.50	142.82	44.53	67.57
								
22.42	43.36	87.76	15.25	2.31	0.00	0.00	0.00	34.01
71.88	70.64	85.79	42.47	40.84	49.09	94.37	56.87	95.38
81.57	222.17	92.09	164.44	155.00	64.75	130.66	107.44	43.23
73.34	329.17	567.12	176.14	310.84	226.44	287.82	74.71	106.02
76.18	154.20	462.71	404.22	508.14	42.83	269.98	275.61	188.55
168.89	241.97	412.12	159.61	382.90	128.28	342.59	116.69	278.71
84.41	454.80	390.27	288.72	458.34	103.30	298.44	295.53	419.26
60.81	229.30	505.50	238.56	549.14	306.19	477.97	378.15	334.58
13.79	24.72	250.20	242.16	161.71	37.83	183.83	62.79	126.03
24.08	228.93	219.28	67.32	374.09	57.82	132.80	218.23	171.73
								
6.99	119.72	107.36	0.00	0.00	8.97	0.00	0.00	14.86
28.76	145.45	50.33	58.48	19.84	21.61	25.76	27.31	53.44
20.42	318.49	184.89	40.60	196.48	122.71	104.87	8.90	210.23
13.11	230.93	268.94	126.99	309.35	73.19	60.97	53.15	214.85
101.13	322.68	488.95	193.14	437.74	131.57	290.19	233.98	615.49
63.30	269.47	137.15	153.73	565.09	176.40	436.68	117.04	430.53
112.50	89.98	590.93	473.77	819.81	141.98	515.94	220.26	580.06
57.19	171.15	596.38	263.85	260.51	340.45	223.34	173.26	383.65
53.95	20.54	354.46	0.00	204.59	59.90	210.39	111.14	88.50
11.95	269.12	687.51	76.94	240.21	193.49	216.97	120.93	368.82
								
20.06	81.21	155.15	11.25	30.97	0.00	0.00	26.02	3.03
38.28	63.10	124.75	85.77	36.35	19.63	21.88	2.78	35.91
1.25	54.39	111.82	6.42	107.05	1.41	40.31	71.58	9.23
12.77	118.36	82.64	14.46	180.00	26.53	85.32	6.80	73.63
27.60	214.02	100.81	10.25	178.51	90.40	36.82	17.12	112.34
116.24	85.67	38.59	126.55	164.09	33.66	184.70	95.77	120.95
45.28	22.85	105.75	183.91	198.35	37.00	123.97	63.09	67.81
108.45	74.49	134.30	26.26	147.07	48.46	65.23	30.58	41.33
0.00	70.31	93.07	21.37	93.31	2.63	57.60	22.44	72.78
0.00	43.60	7.38	0.00	46.45	10.14	21.96	5.03	0.00								


