Composite Table: 
seasons  regions   hours       load
'4'      '2'       '10'      4509.027698
'4'      '2'       '11'      4842.704986
'4'      '2'       '12'      5144.764159
'4'      '2'       '13'      5451.883729
'4'      '2'       '14'      5411.422919
'4'      '2'       '15'      5378.507188
'4'      '2'       '16'      5131.982505
'4'      '2'       '17'      5340.008505
'4'      '2'       '18'      5900.902591
'4'      '2'       '19'      5668.377086
'4'      '2'       '20'      5995.991442
'4'      '2'       '21'      5803.022464
'4'      '2'       '22'      3443.142475
'4'      '2'       '23'      2768.829554
'4'      '2'       '24'      2713.805946
'1'      '3'       '1'      1394.496260
'1'      '3'       '2'      1578.220788
'1'      '3'       '3'      1520.063420
'1'      '3'       '4'      1482.906477
'1'      '3'       '5'      1441.991850
'1'      '3'       '6'      1496.956092
'1'      '3'       '7'      1582.168452
'1'      '3'       '8'      1525.884168
'1'      '3'       '9'      1622.783182
'1'      '3'       '10'      1656.364504
'1'      '3'       '11'      1660.667341
'1'      '3'       '12'      1628.262602
'1'      '3'       '13'      1655.904746
'1'      '3'       '14'      1647.894374
'1'      '3'       '15'      1625.810792
'1'      '3'       '16'      1608.897376
'1'      '3'       '17'      1604.536062
'1'      '3'       '18'      1626.525596
'1'      '3'       '19'      1576.650552
'1'      '3'       '20'      1524.557787
'1'      '3'       '21'      1557.840785
'1'      '3'       '22'      1495.389991
'1'      '3'       '23'      1556.769414
'1'      '3'       '24'      1530.706688
'2'      '3'       '1'      3120.996738
'2'      '3'       '2'      3388.770229
'2'      '3'       '3'      3246.697544
'2'      '3'       '4'      3146.886159
'2'      '3'       '5'      3060.152850
'2'      '3'       '6'      3180.425814
'2'      '3'       '7'      3415.128276
'2'      '3'       '8'      3362.330086
'2'      '3'       '9'      3342.346210
'2'      '3'       '10'      3379.258728
'2'      '3'       '11'      3395.289040
'2'      '3'       '12'      3471.086645
'2'      '3'       '13'      3513.621687
'2'      '3'       '14'      3536.061125
'2'      '3'       '15'      3548.497052
'2'      '3'       '16'      3549.158056
'2'      '3'       '17'      3559.079240
'2'      '3'       '18'      3671.040323
'2'      '3'       '19'      3564.729524
'2'      '3'       '20'      3394.975768
'2'      '3'       '21'      3328.845829
'2'      '3'       '22'      3397.641906
'2'      '3'       '23'      3367.400822
'2'      '3'       '24'      3239.916403
'3'      '3'       '1'      1530.182165
'3'      '3'       '2'      1595.172634
'3'      '3'       '3'      1536.328028
'3'      '3'       '4'      1490.972641
'3'      '3'       '5'      1440.187133
'3'      '3'       '6'      1482.054059
'3'      '3'       '7'      1569.449627
'3'      '3'       '8'      1514.316505
'3'      '3'       '9'      1611.905827
'3'      '3'       '10'      1616.790521
'3'      '3'       '11'      1589.967522
'3'      '3'       '12'      1620.298991
'3'      '3'       '13'      1611.363798
'3'      '3'       '14'      1605.456376
'3'      '3'       '15'      1617.462870
'3'      '3'       '16'      1608.355788
'3'      '3'       '17'      1640.938727
'3'      '3'       '18'      1793.684072
'3'      '3'       '19'      1681.163307
'3'      '3'       '20'      1582.277709
'3'      '3'       '21'      1606.334016
'3'      '3'       '22'      1522.351263
'3'      '3'       '23'      1568.126198
'3'      '3'       '24'      1551.228563
'4'      '3'       '1'      2816.588727
'4'      '3'       '2'      2896.558402
'4'      '3'       '3'      2785.506469
'4'      '3'       '4'      2694.414315
'4'      '3'       '5'      2577.048510
'4'      '3'       '6'      2656.354710
'4'      '3'       '7'      2814.537696
'4'      '3'       '8'      2940.920207
'4'      '3'       '9'      3040.366106
'4'      '3'       '10'      3059.381900
'4'      '3'       '11'      3074.731742
'4'      '3'       '12'      3018.773617
'4'      '3'       '13'      3053.448738
'4'      '3'       '14'      3048.842179
'4'      '3'       '15'      3004.863097
'4'      '3'       '16'      2999.964571
'4'      '3'       '17'      3038.640599
'4'      '3'       '18'      3689.632486
'4'      '3'       '19'      3277.509631
'4'      '3'       '20'      3158.308623
'4'      '3'       '21'      3065.436648
'4'      '3'       '22'      2972.341810
'4'      '3'       '23'      2928.511321
'4'      '3'       '24'      2883.549222
'1'      '4'       '1'      1327.885740
'1'      '4'       '2'      1483.529234
'1'      '4'       '3'      1439.293411
'1'      '4'       '4'      1424.023253
'1'      '4'       '5'      1408.708193
'1'      '4'       '6'      1469.087159
'1'      '4'       '7'      1427.140146
'1'      '4'       '8'      1490.505935
'1'      '4'       '9'      1429.076657
'1'      '4'       '10'      1437.501661
'1'      '4'       '11'      1430.851379
'1'      '4'       '12'      1436.112800
'1'      '4'       '13'      1442.399804
'1'      '4'       '14'      1436.343871
'1'      '4'       '15'      1422.190942
'1'      '4'       '16'      1418.450963
'1'      '4'       '17'      1412.370109
'1'      '4'       '18'      1599.603531
