Composite Table: 
seasons	regions	hours  	  technology 	        fuelcost
'4' 	 '1' 	 '12' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '13' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '14' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '15' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '16' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '17' 	 'electrolysis' 	 0.001427
'4' 	 '1' 	 '18' 	 'electrolysis' 	 24.631724
'4' 	 '1' 	 '19' 	 'electrolysis' 	 31.657180
'4' 	 '1' 	 '20' 	 'electrolysis' 	 31.657180
'4' 	 '1' 	 '21' 	 'electrolysis' 	 31.657180
'4' 	 '1' 	 '22' 	 'electrolysis' 	 31.657180
'4' 	 '1' 	 '23' 	 'electrolysis' 	 31.657180
'4' 	 '1' 	 '24' 	 'electrolysis' 	 31.657180
'1' 	 '2' 	 '1' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '2' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '3' 	 'electrolysis' 	 33.131035
'1' 	 '2' 	 '4' 	 'electrolysis' 	 33.131035
'1' 	 '2' 	 '5' 	 'electrolysis' 	 25.016652
'1' 	 '2' 	 '6' 	 'electrolysis' 	 25.036652
'1' 	 '2' 	 '7' 	 'electrolysis' 	 25.279088
'1' 	 '2' 	 '8' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '9' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '10' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '11' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '12' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '13' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '14' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '15' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '16' 	 'electrolysis' 	 0.001000
'1' 	 '2' 	 '17' 	 'electrolysis' 	 1.093597
'1' 	 '2' 	 '18' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '19' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '20' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '21' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '22' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '23' 	 'electrolysis' 	 36.446464
'1' 	 '2' 	 '24' 	 'electrolysis' 	 36.446464
'2' 	 '2' 	 '1' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '2' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '3' 	 'electrolysis' 	 53.854505
'2' 	 '2' 	 '4' 	 'electrolysis' 	 53.854344
'2' 	 '2' 	 '5' 	 'electrolysis' 	 47.820973
'2' 	 '2' 	 '6' 	 'electrolysis' 	 47.821845
'2' 	 '2' 	 '7' 	 'electrolysis' 	 49.799515
'2' 	 '2' 	 '8' 	 'electrolysis' 	 17.728511
'2' 	 '2' 	 '9' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '10' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '11' 	 'electrolysis' 	 17.176717
'2' 	 '2' 	 '12' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '13' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '14' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '15' 	 'electrolysis' 	 17.526757
'2' 	 '2' 	 '16' 	 'electrolysis' 	 17.728935
'2' 	 '2' 	 '17' 	 'electrolysis' 	 53.525364
'2' 	 '2' 	 '18' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '19' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '20' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '21' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '22' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '23' 	 'electrolysis' 	 55.952804
'2' 	 '2' 	 '24' 	 'electrolysis' 	 55.952804
'3' 	 '2' 	 '1' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '2' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '3' 	 'electrolysis' 	 25.028243
'3' 	 '2' 	 '4' 	 'electrolysis' 	 25.026533
'3' 	 '2' 	 '5' 	 'electrolysis' 	 25.023952
'3' 	 '2' 	 '6' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '7' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '8' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '9' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '10' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '11' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '12' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '13' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '14' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '15' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '16' 	 'electrolysis' 	 0.001000
'3' 	 '2' 	 '17' 	 'electrolysis' 	 12.511410
'3' 	 '2' 	 '18' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '19' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '20' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '21' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '22' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '23' 	 'electrolysis' 	 25.028533
'3' 	 '2' 	 '24' 	 'electrolysis' 	 25.028533
'4' 	 '2' 	 '1' 	 'electrolysis' 	 24.982622
'4' 	 '2' 	 '2' 	 'electrolysis' 	 24.981896
'4' 	 '2' 	 '3' 	 'electrolysis' 	 24.981453
'4' 	 '2' 	 '4' 	 'electrolysis' 	 24.978872
'4' 	 '2' 	 '5' 	 'electrolysis' 	 24.969571
'4' 	 '2' 	 '6' 	 'electrolysis' 	 24.980848
'4' 	 '2' 	 '7' 	 'electrolysis' 	 24.982622
'4' 	 '2' 	 '8' 	 'electrolysis' 	 18.735951
'4' 	 '2' 	 '9' 	 'electrolysis' 	 8.671622
'4' 	 '2' 	 '10' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '11' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '12' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '13' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '14' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '15' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '16' 	 'electrolysis' 	 0.001000
'4' 	 '2' 	 '17' 	 'electrolysis' 	 9.935647
'4' 	 '2' 	 '18' 	 'electrolysis' 	 32.723430
'4' 	 '2' 	 '19' 	 'electrolysis' 	 32.723430
'4' 	 '2' 	 '20' 	 'electrolysis' 	 32.723430
'4' 	 '2' 	 '21' 	 'electrolysis' 	 32.723430
'4' 	 '2' 	 '22' 	 'electrolysis' 	 32.723430
'4' 	 '2' 	 '23' 	 'electrolysis' 	 32.722986
'4' 	 '2' 	 '24' 	 'electrolysis' 	 32.718067
'1' 	 '3' 	 '1' 	 'electrolysis' 	 0.002545
'1' 	 '3' 	 '2' 	 'electrolysis' 	 0.002705
'1' 	 '3' 	 '3' 	 'electrolysis' 	 0.002705
'1' 	 '3' 	 '4' 	 'electrolysis' 	 0.002705
'1' 	 '3' 	 '5' 	 'electrolysis' 	 0.002705
'1' 	 '3' 	 '6' 	 'electrolysis' 	 0.002705
'1' 	 '3' 	 '7' 	 'electrolysis' 	 0.002809
'1' 	 '3' 	 '8' 	 'electrolysis' 	 0.002809
'1' 	 '3' 	 '9' 	 'electrolysis' 	 0.002809
