

FILE NAME:      BLDBASE
DATE MODIFIED:  January 23, 2025
USED BY:        CALC111D subroutines of the National Energy Modeling System (NEMS)
                 Commercial Demand Module (CDM)
                 Residential Demand Module (RDM)
DEFINITION:     Baseline electricity consumption
UNITS:          billion kilowatt hours of electricity consumption
DIMENSION:      by census division, year
SPECIAL CONSTRAINTS:  Nonnegative values
ORGANIZATION OF DATA:
                The first column of data corresponds to the 9 census divisions in the following order:
                 New England, Middle Atlantic, East North Central, West North Central, South Atlantic,
                 East South Central, West South Central, Mountain, and Pacific.
                The second column provides the corresponding year index, with 1=1990.
                The third and fourth columns contain baseline electricity consumption for the residential
                 and commercial sectors, respectively.
                Data starts on row 101 of this file per CDM convention.
SOURCES:        Updated from Q:\output\rad\int_noAB32\d012225a\p1 RESOUT.txt file















































































CD	YEAR	QELRS   	QELCM
    4    2   250.47000   198.38200
    4    3   231.09000   193.90500
    4    4   253.89999   203.13000
    4    5   255.99001   212.53999
    4    6   268.28000   222.12601
    4    7   274.95001   229.76199
    4    8   276.39001   235.57800
    4    9   286.82999   243.92700
    4   10   284.95999   246.21800
    4   11   300.01001   262.56100
    4   12   306.26001   298.32901
    4   13   321.25000   307.10199
    4   14   319.79999   307.09900
    4   15   317.37000   305.17099
    4   16   341.92001   321.37799
    4   17   340.63000   326.21600
    4   18   356.42001   337.78900
    4   19   353.57001   339.62299
    4   20   347.05099   333.49100
    4   21   367.75699   341.27301
    4   22   362.63101   339.43701
    4   23   350.75101   339.63901
    4   24   362.73599   344.54501
    4   25   364.77200   343.64499
    4   26   346.72665   347.03699
    4   27   350.95859   350.61801
    4   28   343.00546   347.58499
    4   29   374.94943   356.40701
    4   30   363.70325   350.28174
    4   31   364.20978   328.78638
    4   32   368.03012   339.42316
    4   33   382.25195   353.57700
    4   34   367.13599   366.49661
    4   35   371.50861   365.36319
    4   36   370.24155   374.70322
    4   37   372.98474   371.19324
    4   38   376.60672   373.42859
    4   39   379.73013   375.35739
    4   40   381.62796   382.33215
    4   41   382.77377   388.73846
    4   42   383.33707   396.77725
    4   43   383.86804   406.64511
    4   44   384.36923   416.64920
    4   45   386.47668   428.41425
    4   46   390.08539   441.22546
    4   47   394.47128   454.06488
    4   48   399.05911   466.45636
    4   49   403.69272   478.43201
    4   50   408.30020   489.84622
