facility_id,facility_name,facility_type,state,co2_volume,co2_cost_inv_2018$,co2_cost_om_2018$,supply_latitude,supply_longitude,year_operational,years_operating,facility_new,source,plant_id,unit_id,summer_cap,cap_factor,emm_region,emm_census_region,ccs_overnight_cost,ccs_fixed_om_cost,ccs_var_om_cost,rrc,crosswalk_notes,supply_hsm_region,supply_census_region,supply_census_division,co2_ratio,eligibility_45q,cluster_type,operational_status
f1001701,MONARCH CEMENT COMPANY (THE),cement,KS,1033192.519757648,46.26702991804093,9.1434913116416,37.797162,-95.431386,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1004810,Holcim (US) Inc,cement,AL,760234.8989856917,46.37393367946945,10.766001728168014,30.5349,-88.1121,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,6,1.0,1,not_cluster,N
f1004332,GREEN PLAINS SHENANDOAH LLC,ethanol,IA,321260.05604150164,46.65200268173377,22.04445121494476,40.7549,-95.3953,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1007052,TARMAC PENNSUCO COMPLEX,cement,FL,1434638.4005534651,45.65633206903308,6.371349603800784,25.8739,-80.3756,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,5,1.0,1,not_cluster,N
f1003637,"Pennsylvania Grain Processing, LLC",ethanol,PA,524461.5340854921,43.991838938329145,18.699547340106527,41.03082,-78.4298,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,1,2,1.0,1,not_cluster,N
f1011065,"Cargill, Incorporated",ethanol,IA,604138.0953962571,43.98429243689203,18.953631558678385,42.50911,-94.31383,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1005874,HOLCIM (US) INC. D/B/A LAFARGE ALPENA,cement,MI,2042159.1751242275,43.8922706739596,4.34840943318665,45.0722,-83.4048,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,1,not_cluster,N
f1003970,"POET Biorefining Shell Rock, LLC.",ethanol,IA,537781.7544287784,42.34667616569058,18.801922709278088,42.7363,-92.6174,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1003855,LOUIS DREYFUS COMMODITIES GRAND JUNCTION LLC,ethanol,IA,502341.2537245541,42.42531089063756,19.0481111458664,42.05199,-94.24234,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1006208,ADM CORN PROCESSING,ethanol,IA,3074699.809607696,42.44237052773962,12.750601480961771,41.8196,-90.2122,2024.0,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
