    COMPOSITE TABLE:
cl::SReg    cl::Sulf    cl::Mtyp    cl::Rank    cl::DReg    cl::Sec      cl::Trate2  cl::Trate3
    6WSR        1A          1S          1B          14CU        E            3.43        3.43
    6WSR        1A          1S          1B          15ZN        E            1.41        1.41
    6WSR        1A          1S          1B          16PC        E            2.31        2.31
    6WSR        1A          1S          2S          01NE        E            999.99      999.99
    6WSR        1A          1S          2S          02YP        E            999.99      999.99
    6WSR        1A          1S          2S          03S1        E            999.99      999.99
    6WSR        1A          1S          2S          04S2        E            999.99      999.99
    6WSR        1A          1S          2S          05GF        E            999.99      999.99
    6WSR        1A          1S          2S          06OH        E            999.99      999.99
    6WSR        1A          1S          2S          07EN        E            8.08        8.08
    6WSR        1A          1S          2S          08KT        E            999.99      999.99
    6WSR        1A          1S          2S          09AM        E            999.99      999.99
    6WSR        1A          1S          2S          10C1        E            5.69        5.69
    6WSR        1A          1S          2S          11C2        E            999.99      999.99
    6WSR        1A          1S          2S          12WS        E            14.15       14.15
    6WSR        1A          1S          2S          13MT        E            3.33        3.33
    6WSR        1A          1S          2S          14CU        E            14.49       14.49
    6WSR        1A          1S          2S          15ZN        E            10.79       10.79
    6WSR        1A          1S          2S          16PC        E            8.77        8.77
    1APN        1A          2D          1B          01NE        E            66.56       66.56
    1APN        1A          2D          1B          02YP        E            3.19        3.19
    1APN        1A          2D          1B          03S1        E            13.13       13.13
    1APN        1A          2D          1B          04S2        E            11.09       11.09
    1APN        1A          2D          1B          05GF        E            17.27       17.27
    1APN        1A          2D          1B          06OH        E            1.30        1.30
    1APN        1A          2D          1B          07EN        E            7.67        7.67
    1APN        1A          2D          1B          08KT        E            3.94        3.94
    1APN        1A          2D          1B          09AM        E            12.50       12.50
    1APN        1A          2D          1B          10C1        E            999.99      999.99
    1APN        1A          2D          1B          11C2        E            999.99      999.99
    1APN        1A          2D          1B          12WS        E            999.99      999.99
    1APN        1A          2D          1B          13MT        E            999.99      999.99
    1APN        1A          2D          1B          14CU        E            999.99      999.99
    1APN        1A          2D          1B          15ZN        E            999.99      999.99
    1APN        1A          2D          1B          16PC        E            999.99      999.99
    2APR        1A          2D          1B          01NE        E            999.99      999.99
    2APR        1A          2D          1B          02YP        E            7.15        7.15
    2APR        1A          2D          1B          03S1        E            6.41        6.41
    2APR        1A          2D          1B          04S2        E            2.07        2.07
    2APR        1A          2D          1B          05GF        E            14.55       14.55
    2APR        1A          2D          1B          06OH        E            2.55        2.55
    2APR        1A          2D          1B          07EN        E            3.71        3.71
    2APR        1A          2D          1B          08KT        E            999.99      999.99
    2APR        1A          2D          1B          09AM        E            999.99      999.99
    2APR        1A          2D          1B          10C1        E            999.99      999.99
    2APR        1A          2D          1B          11C2        E            999.99      999.99
    2APR        1A          2D          1B          12WS        E            999.99      999.99
    2APR        1A          2D          1B          13MT        E            999.99      999.99
    2APR        1A          2D          1B          14CU        E            999.99      999.99
    2APR        1A          2D          1B          15ZN        E            999.99      999.99
    2APR        1A          2D          1B          16PC        E            999.99      999.99
    3INR        1A          2D          1B          01NE        E            999.99      999.99
    3INR        1A          2D          1B          02YP        E            47.63       47.63
    3INR        1A          2D          1B          03S1        E            13.05       13.05
    3INR        1A          2D          1B          04S2        E            5.32        5.32
    3INR        1A          2D          1B          05GF        E            15.28       15.28
    3INR        1A          2D          1B          06OH        E            6.89        6.89
    3INR        1A          2D          1B          07EN        E            6.59        6.59
    3INR        1A          2D          1B          08KT        E            1.25        1.25
    3INR        1A          2D          1B          09AM        E            7.98        7.98
    3INR        1A          2D          1B          10C1        E            999.99      999.99
    3INR        1A          2D          1B          11C2        E            10.33       10.33
    3INR        1A          2D          1B          12WS        E            12.84       12.84
    3INR        1A          2D          1B          13MT        E            999.99      999.99
    3INR        1A          2D          1B          14CU        E            999.99      999.99
    3INR        1A          2D          1B          15ZN        E            999.99      999.99
    3INR        1A          2D          1B          16PC        E            999.99      999.99
    1APN        1A          2D          4P          01NE        E            999.99      999.99
    1APN        1A          2D          4P          02YP        E            999.99      999.99
    1APN        1A          2D          4P          03S1        E            999.99      999.99
    1APN        1A          2D          4P          04S2        E            999.99      999.99
    1APN        1A          2D          4P          05GF        E            999.99      999.99
    1APN        1A          2D          4P          06OH        E            999.99      999.99
    1APN        1A          2D          4P          07EN        E            999.99      999.99
    1APN        1A          2D          4P          08KT        E            999.99      999.99
    1APN        1A          2D          4P          09AM        E            999.99      999.99
    1APN        1A          2D          4P          10C1        E            999.99      999.99
    1APN        1A          2D          4P          11C2        E            999.99      999.99
    1APN        1A          2D          4P          12WS        E            999.99      999.99
    1APN        1A          2D          4P          13MT        E            999.99      999.99
    1APN        1A          2D          4P          14CU        E            999.99      999.99
    1APN        1A          2D          4P          15ZN        E            999.99      999.99
    1APN        1A          2D          4P          16PC        E            999.99      999.99
    2APR        1A          2D          4P          01NE        E            999.99      999.99
    2APR        1A          2D          4P          02YP        E            999.99      999.99
    2APR        1A          2D          4P          03S1        E            999.99      999.99
    2APR        1A          2D          4P          04S2        E            999.99      999.99
    2APR        1A          2D          4P          05GF        E            999.99      999.99
    2APR        1A          2D          4P          06OH        E            999.99      999.99
    2APR        1A          2D          4P          07EN        E            999.99      999.99
    2APR        1A          2D          4P          08KT        E            999.99      999.99
    2APR        1A          2D          4P          09AM        E            999.99      999.99
    2APR        1A          2D          4P          10C1        E            999.99      999.99
    2APR        1A          2D          4P          11C2        E            999.99      999.99
    2APR        1A          2D          4P          12WS        E            999.99      999.99
    2APR        1A          2D          4P          13MT        E            999.99      999.99
    2APR        1A          2D          4P          14CU        E            999.99      999.99
    2APR        1A          2D          4P          15ZN        E            999.99      999.99
    2APR        1A          2D          4P          16PC        E            999.99      999.99
    6WSR        1A          2D          1B          01NE        E            999.99      999.99
    6WSR        1A          2D          1B          02YP        E            999.99      999.99
    6WSR        1A          2D          1B          03S1        E            35.24       35.24
    6WSR        1A          2D          1B          04S2        E            999.99      999.99
    6WSR        1A          2D          1B          05GF        E            28.35       28.35
    6WSR        1A          2D          1B          06OH        E            22.15       22.15
    6WSR        1A          2D          1B          07EN        E            37.18       37.18
    6WSR        1A          2D          1B          08KT        E            19.97       19.97
    6WSR        1A          2D          1B          09AM        E            25.17       25.17
    6WSR        1A          2D          1B          10C1        E            999.99      999.99
    6WSR        1A          2D          1B          11C2        E            999.99      999.99
    6WSR        1A          2D          1B          12WS        E            999.99      999.99
    6WSR        1A          2D          1B          13MT        E            999.99      999.99
    6WSR        1A          2D          1B          14CU        E            3.82        3.82
    6WSR        1A          2D          1B          15ZN        E            10.08       10.08
    6WSR        1A          2D          1B          16PC        E            11.23       11.23
    ;
