COMPOSITE TABLE:
SReg   Sulf    Mtyp    Rank    DReg    SubSec  Trate1
2APR   1A      2D      1B      02YP    I1            20
2APR   1A      2D      1B      03S1    I1           6.5
2APR   1A      2D      1B      04S2    I1             9
2APR   1A      2D      1B      05GF    I1          13.5
2APR   1A      2D      1B      06OH    I1            15
2APR   1A      2D      1B      07EN    I1          5.85
2APR   1A      2D      1B      08KT    I1           4.5
2APR   1A      2D      1B      09AM    I1             5
2APR   1A      2D      1B      10C1    I1        999.99
2APR   1A      2D      1B      11C2    I1        999.99
2APR   1A      2D      1B      12WS    I1        999.99
2APR   1A      2D      1B      13MT    I1        999.99
2APR   1A      2D      1B      14CU    I1        999.99
2APR   1A      2D      1B      15ZN    I1        999.99
2APR   1A      2D      1B      16PC    I1        999.99
3INR   1A      2D      1B      01NE    I1        999.99
3INR   1A      2D      1B      02YP    I1        999.99
3INR   1A      2D      1B      03S1    I1        999.99
3INR   1A      2D      1B      04S2    I1         20.67
3INR   1A      2D      1B      05GF    I1        999.99
3INR   1A      2D      1B      06OH    I1        999.99
3INR   1A      2D      1B      07EN    I1        999.99
3INR   1A      2D      1B      08KT    I1           4.2
3INR   1A      2D      1B      09AM    I1        999.99
3INR   1A      2D      1B      10C1    I1         29.31
3INR   1A      2D      1B      11C2    I1         30.31
3INR   1A      2D      1B      12WS    I1        999.99
3INR   1A      2D      1B      13MT    I1        999.99
3INR   1A      2D      1B      14CU    I1        999.99
3INR   1A      2D      1B      15ZN    I1        999.99
3INR   1A      2D      1B      16PC    I1        999.99
1APN   1A      2D      4P      01NE    I1        999.99
1APN   1A      2D      4P      02YP    I1        999.99
1APN   1A      2D      4P      03S1    I1        999.99
1APN   1A      2D      4P      04S2    I1        999.99
1APN   1A      2D      4P      05GF    I1        999.99
1APN   1A      2D      4P      06OH    I1        999.99
1APN   1A      2D      4P      07EN    I1        999.99
1APN   1A      2D      4P      08KT    I1        999.99
1APN   1A      2D      4P      09AM    I1        999.99
1APN   1A      2D      4P      10C1    I1        999.99
1APN   1A      2D      4P      11C2    I1        999.99
1APN   1A      2D      4P      12WS    I1        999.99
1APN   1A      2D      4P      13MT    I1        999.99
1APN   1A      2D      4P      14CU    I1        999.99
1APN   1A      2D      4P      15ZN    I1        999.99
1APN   1A      2D      4P      16PC    I1        999.99
1APN   1A      2D      4P      01NE    I1        999.99
1APN   1A      2D      4P      02YP    I1        999.99
1APN   1A      2D      4P      03S1    I1        999.99
1APN   1A      2D      4P      04S2    I1        999.99
1APN   1A      2D      4P      05GF    I1        999.99
1APN   1A      2D      4P      06OH    I1        999.99
1APN   1A      2D      4P      07EN    I1        999.99
1APN   1A      2D      4P      08KT    I1        999.99
1APN   1A      2D      4P      09AM    I1        999.99
1APN   1A      2D      4P      10C1    I1        999.99
1APN   1A      2D      4P      11C2    I1        999.99
1APN   1A      2D      4P      12WS    I1        999.99
1APN   1A      2D      4P      13MT    I1        999.99
1APN   1A      2D      4P      14CU    I1        999.99
1APN   1A      2D      4P      15ZN    I1        999.99
1APN   1A      2D      4P      16PC    I1        999.99
1APN   1A      1S      1B      01NE    I2         39.43
1APN   1A      1S      1B      02YP    I2            10
1APN   1A      1S      1B      03S1    I2         17.53
1APN   1A      1S      1B      04S2    I2         11.32
1APN   1A      1S      1B      05GF    I2         35.14
1APN   1A      1S      1B      06OH    I2          4.23
1APN   1A      1S      1B      07EN    I2           5.5
1APN   1A      1S      1B      08KT    I2         18.41
1APN   1A      1S      1B      09AM    I2         16.35
1APN   1A      1S      1B      10C1    I2        999.99
1APN   1A      1S      1B      11C2    I2        999.99
1APN   1A      1S      1B      12WS    I2        999.99
1APN   1A      1S      1B      13MT    I2        999.99
1APN   1A      1S      1B      14CU    I2        999.99
1APN   1A      1S      1B      15ZN    I2        999.99
1APN   1A      1S      1B      16PC    I2        999.99
1APN   1A      1S      5G      01NE    I2        999.99
1APN   1A      1S      5G      02YP    I2        999.99
1APN   1A      1S      5G      03S1    I2        999.99
1APN   1A      1S      5G      04S2    I2        999.99
1APN   1A      1S      5G      05GF    I2        999.99
1APN   1A      1S      5G      06OH    I2        999.99
1APN   1A      1S      5G      07EN    I2        999.99
1APN   1A      1S      5G      08KT    I2        999.99
1APN   1A      1S      5G      09AM    I2        999.99
1APN   1A      1S      5G      10C1    I2        999.99
1APN   1A      1S      5G      11C2    I2        999.99
1APN   1A      1S      5G      12WS    I2        999.99
1APN   1A      1S      5G      13MT    I2        999.99
1APN   1A      1S      5G      14CU    I2        999.99
1APN   1A      1S      5G      15ZN    I2        999.99
1APN   1A      1S      5G      16PC    I2        999.99
2APR   1A      1S      1B      01NE    I2        999.99
2APR   1A      1S      1B      02YP    I2            20
2APR   1A      1S      1B      03S1    I2          3.25
2APR   1A      1S      1B      04S2    I2           6.5
2APR   1A      1S      1B      05GF    I2            11
2APR   1A      1S      1B      06OH    I2          13.5
2APR   1A      1S      1B      07EN    I2          5.85
2APR   1A      1S      1B      08KT    I2             5
2APR   1A      1S      1B      09AM    I2          4.75
2APR   1A      1S      1B      10C1    I2        999.99
2APR   1A      1S      1B      11C2    I2        999.99
2APR   1A      1S      1B      12WS    I2        999.99
2APR   1A      1S      1B      13MT    I2        999.99
2APR   1A      1S      1B      14CU    I2        999.99
2APR   1A      1S      1B      15ZN    I2        999.99
2APR   1A      1S      1B      16PC    I2        999.99
3INR   1A      1S      1B      01NE    I2        999.99
3INR   1A      1S      1B      02YP    I2        999.99
3INR   1A      1S      1B      03S1    I2        999.99
3INR   1A      1S      1B      04S2    I2         20.67
3INR   1A      1S      1B      05GF    I2        999.99
3INR   1A      1S      1B      06OH    I2        999.99
3INR   1A      1S      1B      07EN    I2        999.99
3INR   1A      1S      1B      08KT    I2           4.2
3INR   1A      1S      1B      09AM    I2        999.99
3INR   1A      1S      1B      10C1    I2        999.99
3INR   1A      1S      1B      11C2    I2        999.99
3INR   1A      1S      1B      12WS    I2        999.99
3INR   1A      1S      1B      13MT    I2        999.99
3INR   1A      1S      1B      14CU    I2        999.99
3INR   1A      1S      1B      15ZN    I2        999.99
3INR   1A      1S      1B      16PC    I2         28.31
4LGN   1A      1S      3L      01NE    I2        999.99
4LGN   1A      1S      3L      02YP    I2        999.99
4LGN   1A      1S      3L      03S1    I2        999.99
4LGN   1A      1S      3L      04S2    I2        999.99
4LGN   1A      1S      3L      05GF    I2        999.99
4LGN   1A      1S      3L      06OH    I2        999.99
4LGN   1A      1S      3L      07EN    I2        999.99
4LGN   1A      1S      3L      08KT    I2        999.99
4LGN   1A      1S      3L      09AM    I2        999.99
4LGN   1A      1S      3L      10C1    I2        999.99
4LGN   1A      1S      3L      11C2    I2        999.99
4LGN   1A      1S      3L      12WS    I2        999.99
4LGN   1A      1S      3L      13MT    I2        999.99
4LGN   1A      1S      3L      14CU    I2        999.99
4LGN   1A      1S      3L      15ZN    I2        999.99
4LGN   1A      1S      3L      16PC    I2        999.99
5PRB   1A      1S      2S      01NE    I2        999.99
5PRB   1A      1S      2S      02YP    I2        999.99
5PRB   1A      1S      2S      03S1    I2        999.99
5PRB   1A      1S      2S      04S2    I2        999.99
5PRB   1A      1S      2S      05GF    I2        999.99
5PRB   1A      1S      2S      06OH    I2        999.99
5PRB   1A      1S      2S      07EN    I2        999.99
5PRB   1A      1S      2S      08KT    I2        999.99
5PRB   1A      1S      2S      09AM    I2        999.99
5PRB   1A      1S      2S      10C1    I2        999.99
5PRB   1A      1S      2S      11C2    I2        999.99
5PRB   1A      1S      2S      12WS    I2        999.99
5PRB   1A      1S      2S      13MT    I2        999.99
5PRB   1A      1S      2S      14CU    I2        999.99
5PRB   1A      1S      2S      15ZN    I2        999.99
5PRB   1A      1S      2S      16PC    I2        999.99
6WSR   1A      1S      1B      01NE    I2        999.99
6WSR   1A      1S      1B      02YP    I2        999.99
6WSR   1A      1S      1B      03S1    I2        999.99
6WSR   1A      1S      1B      04S2    I2        999.99
6WSR   1A      1S      1B      05GF    I2        999.99
6WSR   1A      1S      1B      06OH    I2        999.99
6WSR   1A      1S      1B      07EN    I2        999.99
6WSR   1A      1S      1B      08KT    I2        999.99
6WSR   1A      1S      1B      09AM    I2        999.99
6WSR   1A      1S      1B      10C1    I2        999.99
6WSR   1A      1S      1B      11C2    I2        999.99
6WSR   1A      1S      1B      12WS    I2        999.99
6WSR   1A      1S      1B      14CU    I1            15
6WSR   1A      1S      1B      14CU    I2        999.99
6WSR   1A      1S      1B      15ZN    I2        999.99
6WSR   1A      2D      1B      14CU    R1            15
6WSR   1A      1S      2S      01NE    I2        999.99
6WSR   1A      1S      2S      02YP    I2        999.99
6WSR   1A      1S      2S      03S1    I2        999.99
6WSR   1A      1S      2S      04S2    I2        999.99
6WSR   1A      1S      2S      05GF    I2        999.99
6WSR   1A      1S      2S      06OH    I2        999.99
6WSR   1A      1S      2S      07EN    I2        999.99
6WSR   1A      1S      2S      08KT    I2        999.99
6WSR   1A      1S      2S      09AM    I2        999.99
6WSR   1A      1S      2S      10C1    I2        999.99
6WSR   1A      1S      2S      11C2    I2        999.99
6WSR   1A      1S      2S      12WS    I2        999.99
6WSR   1A      1S      2S      13MT    I2        999.99
6WSR   1A      1S      2S      14CU    I2        999.99
6WSR   1A      1S      2S      15ZN    I2        999.99
6WSR   1A      1S      2S      16PC    I2        999.99
1APN   1A      2D      1B      01NE    I2         39.43
1APN   1A      2D      1B      02YP    I2            15
1APN   1A      2D      1B      03S1    I2         17.53
1APN   1A      2D      1B      04S2    I2         11.32
1APN   1A      2D      1B      05GF    I2         35.14
1APN   1A      2D      1B      06OH    I2          4.23
1APN   1A      2D      1B      07EN    I2           5.5
1APN   1A      2D      1B      08KT    I2         18.41
1APN   1A      2D      1B      09AM    I2         16.35
1APN   1A      2D      1B      10C1    I2        999.99
1APN   1A      2D      1B      11C2    I2        999.99
1APN   1A      2D      1B      12WS    I2        999.99
1APN   1A      2D      1B      13MT    I2        999.99
1APN   1A      2D      1B      14CU    I2        999.99
1APN   1A      2D      1B      15ZN    I2        999.99
1APN   1A      2D      1B      16PC    I2        999.99
2APR   1A      2D      1B      01NE    I2        999.99
2APR   1A      2D      1B      02YP    I2            20
2APR   1A      2D      1B      03S1    I2           6.5
2APR   1A      2D      1B      04S2    I2             9
2APR   1A      2D      1B      05GF    I2          13.5
2APR   1A      2D      1B      06OH    I2            15
2APR   1A      2D      1B      07EN    I2          5.85
2APR   1A      2D      1B      08KT    I2           4.5
2APR   1A      2D      1B      09AM    I2             5
2APR   1A      2D      1B      10C1    I2        999.99
2APR   1A      2D      1B      11C2    I2        999.99
2APR   1A      2D      1B      12WS    I2        999.99
2APR   1A      2D      1B      13MT    I2        999.99
2APR   1A      2D      1B      14CU    I2        999.99
2APR   1A      2D      1B      15ZN    I2        999.99
2APR   1A      2D      1B      16PC    I2        999.99
3INR   1A      2D      1B      01NE    I2        999.99
3INR   1A      2D      1B      02YP    I2        999.99
3INR   1A      2D      1B      03S1    I2        999.99
3INR   1A      2D      1B      04S2    I2         20.67
3INR   1A      2D      1B      05GF    I2        999.99
3INR   1A      2D      1B      06OH    I2        999.99
3INR   1A      2D      1B      07EN    I2        999.99
3INR   1A      2D      1B      08KT    I2           4.2
3INR   1A      2D      1B      09AM    I2        999.99
3INR   1A      2D      1B      10C1    I2        999.99
3INR   1A      2D      1B      11C2    I2         30.31
3INR   1A      2D      1B      12WS    I2        999.99
3INR   1A      2D      1B      13MT    I2        999.99
3INR   1A      2D      1B      14CU    I2        999.99
3INR   1A      2D      1B      15ZN    I2        999.99
3INR   1A      2D      1B      16PC    I2        999.99
1APN   1A      2D      4P      01NE    I2        999.99
1APN   1A      2D      4P      02YP    I2        999.99
1APN   1A      2D      4P      03S1    I2        999.99
1APN   1A      2D      4P      04S2    I2        999.99
1APN   1A      2D      4P      05GF    I2        999.99
1APN   1A      2D      4P      06OH    I2        999.99
1APN   1A      2D      4P      07EN    I2        999.99
1APN   1A      2D      4P      08KT    I2        999.99
1APN   1A      2D      4P      09AM    I2        999.99
1APN   1A      2D      4P      10C1    I2        999.99
1APN   1A      2D      4P      11C2    I2        999.99
1APN   1A      2D      4P      12WS    I2        999.99
1APN   1A      2D      4P      13MT    I2        999.99
1APN   1A      2D      4P      14CU    I2        999.99
1APN   1A      2D      4P      15ZN    I2        999.99
1APN   1A      2D      4P      16PC    I2        999.99
1APN   1A      2D      4P      01NE    I2        999.99
1APN   1A      2D      4P      02YP    I2        999.99
1APN   1A      2D      4P      03S1    I2        999.99
1APN   1A      2D      4P      04S2    I2        999.99
1APN   1A      2D      4P      05GF    I2        999.99
1APN   1A      2D      4P      06OH    I2        999.99
1APN   1A      2D      4P      07EN    I2        999.99
1APN   1A      2D      4P      08KT    I2        999.99
1APN   1A      2D      4P      09AM    I2        999.99
1APN   1A      2D      4P      10C1    I2        999.99
1APN   1A      2D      4P      11C2    I2        999.99
1APN   1A      2D      4P      12WS    I2        999.99
1APN   1A      2D      4P      13MT    I2        999.99
1APN   1A      2D      4P      14CU    I2        999.99
1APN   1A      2D      4P      15ZN    I2        999.99
1APN   1A      2D      4P      16PC    I2        999.99
1APN   1A      1S      1B      01NE    I3         39.43
1APN   1A      1S      1B      02YP    I3            10
1APN   1A      1S      1B      03S1    I3         17.53
1APN   1A      1S      1B      04S2    I3         11.32
1APN   1A      1S      1B      05GF    I3         35.14
1APN   1A      1S      1B      06OH    I3          4.23
1APN   1A      1S      1B      07EN    I3           5.5
1APN   1A      1S      1B      08KT    I3         18.41
1APN   1A      1S      1B      09AM    I3         16.35
1APN   1A      1S      1B      10C1    I3        999.99
1APN   1A      1S      1B      11C2    I3        999.99
1APN   1A      1S      1B      12WS    I3        999.99
1APN   1A      1S      1B      13MT    I3        999.99
1APN   1A      1S      1B      14CU    I3        999.99
1APN   1A      1S      1B      15ZN    I3        999.99
1APN   1A      1S      1B      16PC    I3        999.99
1APN   1A      1S      5G      01NE    I3        999.99
1APN   1A      1S      5G      02YP    I3        999.99
1APN   1A      1S      5G      03S1    I3        999.99
1APN   1A      1S      5G      04S2    I3        999.99
1APN   1A      1S      5G      05GF    I3        999.99
1APN   1A      1S      5G      06OH    I3        999.99
1APN   1A      1S      5G      07EN    I3        999.99
1APN   1A      1S      5G      08KT    I3        999.99
1APN   1A      1S      5G      09AM    I3        999.99
1APN   1A      1S      5G      10C1    I3        999.99
1APN   1A      1S      5G      11C2    I3        999.99
1APN   1A      1S      5G      12WS    I3        999.99
1APN   1A      1S      5G      13MT    I3        999.99
1APN   1A      1S      5G      14CU    I3        999.99
1APN   1A      1S      5G      15ZN    I3        999.99
1APN   1A      1S      5G      16PC    I3        999.99
2APR   1A      1S      1B      01NE    I3        999.99
2APR   1A      1S      1B      02YP    I3            20
2APR   1A      1S      1B      03S1    I3          3.25
2APR   1A      1S      1B      04S2    I3           6.5
2APR   1A      1S      1B      05GF    I3            11
2APR   1A      1S      1B      06OH    I3          13.5
2APR   1A      1S      1B      07EN    I3          5.85
2APR   1A      1S      1B      08KT    I3             5
2APR   1A      1S      1B      09AM    I3          4.75
2APR   1A      1S      1B      10C1    I3        999.99
2APR   1A      1S      1B      11C2    I3        999.99
2APR   1A      1S      1B      12WS    I3        999.99
2APR   1A      1S      1B      13MT    I3        999.99
2APR   1A      1S      1B      14CU    I3        999.99
2APR   1A      1S      1B      15ZN    I3        999.99
2APR   1A      1S      1B      16PC    I3        999.99
3INR   1A      1S      1B      01NE    I3        999.99
3INR   1A      1S      1B      02YP    I3        999.99
3INR   1A      1S      1B      03S1    I3        999.99
3INR   1A      1S      1B      04S2    I3         20.67
3INR   1A      1S      1B      05GF    I3        999.99
3INR   1A      1S      1B      06OH    I3        999.99
3INR   1A      1S      1B      07EN    I3        999.99
3INR   1A      1S      1B      08KT    I3           4.2
3INR   1A      1S      1B      09AM    I3        999.99
3INR   1A      1S      1B      10C1    I3         29.31
3INR   1A      1S      1B      11C2    I3        999.99
3INR   1A      1S      1B      12WS    I3        999.99
3INR   1A      1S      1B      13MT    I3        999.99
3INR   1A      1S      1B      14CU    I3        999.99
3INR   1A      1S      1B      15ZN    I3        999.99
3INR   1A      1S      1B      16PC    I3        999.99
4LGN   1A      1S      3L      01NE    I3        999.99
4LGN   1A      1S      3L      02YP    I3        999.99
4LGN   1A      1S      3L      03S1    I3        999.99
4LGN   1A      1S      3L      04S2    I3        999.99
4LGN   1A      1S      3L      05GF    I3        999.99
4LGN   1A      1S      3L      06OH    I3        999.99
4LGN   1A      1S      3L      07EN    I3        999.99
4LGN   1A      1S      3L      08KT    I3        999.99
4LGN   1A      1S      3L      09AM    I3        999.99
4LGN   1A      1S      3L      10C1    I3        999.99
4LGN   1A      1S      3L      11C2    I3        999.99
4LGN   1A      1S      3L      12WS    I3        999.99
4LGN   1A      1S      3L      13MT    I3        999.99
4LGN   1A      1S      3L      14CU    I3        999.99
4LGN   1A      1S      3L      15ZN    I3        999.99
4LGN   1A      1S      3L      16PC    I3        999.99
5PRB   1A      1S      2S      01NE    I3        999.99
5PRB   1A      1S      2S      02YP    I3        999.99
5PRB   1A      1S      2S      03S1    I3        999.99
5PRB   1A      1S      2S      04S2    I3        999.99
5PRB   1A      1S      2S      05GF    I3        999.99
5PRB   1A      1S      2S      06OH    I3        999.99
5PRB   1A      1S      2S      07EN    I3        999.99
5PRB   1A      1S      2S      08KT    I3        999.99
5PRB   1A      1S      2S      09AM    I3        999.99
5PRB   1A      1S      2S      10C1    I3        999.99
5PRB   1A      1S      2S      11C2    I3        999.99
5PRB   1A      1S      2S      12WS    I3        999.99
5PRB   1A      1S      2S      13MT    I3        999.99
5PRB   1A      1S      2S      14CU    I3        999.99
5PRB   1A      1S      2S      15ZN    I3        999.99
5PRB   1A      1S      2S      16PC    I3        999.99
6WSR   1A      1S      1B      01NE    I3        999.99
6WSR   1A      1S      1B      02YP    I3        999.99
6WSR   1A      1S      1B      03S1    I3        999.99
6WSR   1A      1S      1B      04S2    I3        999.99
6WSR   1A      1S      1B      05GF    I3        999.99
6WSR   1A      1S      1B      06OH    I3        999.99
6WSR   1A      1S      1B      07EN    I3        999.99
6WSR   1A      1S      1B      08KT    I3        999.99
6WSR   1A      1S      1B      09AM    I3        999.99
6WSR   1A      1S      1B      10C1    I3        999.99
6WSR   1A      1S      1B      11C2    I3        999.99
6WSR   1A      1S      1B      12WS    I3        999.99
6WSR   1A      2D      1B      14CU    R2            15
6WSR   1A      1S      1B      14CU    I3        999.99
6WSR   1A      1S      1B      15ZN    I3        999.99
6WSR   1A      2D      1B      15ZN    R1            13
6WSR   1A      1S      2S      01NE    I3        999.99
6WSR   1A      1S      2S      02YP    I3        999.99
6WSR   1A      1S      2S      03S1    I3        999.99
6WSR   1A      1S      2S      04S2    I3        999.99
6WSR   1A      1S      2S      05GF    I3        999.99
6WSR   1A      1S      2S      06OH    I3        999.99
6WSR   1A      1S      2S      07EN    I3        999.99
6WSR   1A      1S      2S      08KT    I3        999.99
6WSR   1A      1S      2S      09AM    I3        999.99
6WSR   1A      1S      2S      10C1    I3        999.99
6WSR   1A      1S      2S      11C2    I3        999.99
6WSR   1A      1S      2S      12WS    I3        999.99
6WSR   1A      1S      2S      13MT    I3        999.99
6WSR   1A      1S      2S      14CU    I3        999.99
6WSR   1A      1S      2S      15ZN    I3        999.99
6WSR   1A      1S      2S      16PC    I3        999.99
1APN   1A      2D      1B      01NE    I3         39.43
1APN   1A      2D      1B      02YP    I3            15
1APN   1A      2D      1B      03S1    I3         17.53
1APN   1A      2D      1B      04S2    I3         11.32
1APN   1A      2D      1B      05GF    I3         35.14
1APN   1A      2D      1B      06OH    I3          4.23
1APN   1A      2D      1B      07EN    I3           5.5
1APN   1A      2D      1B      08KT    I3         18.41
1APN   1A      2D      1B      09AM    I3         16.35
1APN   1A      2D      1B      10C1    I3        999.99
1APN   1A      2D      1B      11C2    I3        999.99
1APN   1A      2D      1B      12WS    I3        999.99
1APN   1A      2D      1B      13MT    I3        999.99
1APN   1A      2D      1B      14CU    I3        999.99
1APN   1A      2D      1B      15ZN    I3        999.99
1APN   1A      2D      1B      16PC    I3        999.99
2APR   1A      2D      1B      01NE    I3        999.99
2APR   1A      2D      1B      02YP    I3            20
2APR   1A      2D      1B      03S1    I3           6.5
2APR   1A      2D      1B      04S2    I3             9
2APR   1A      2D      1B      05GF    I3          13.5
2APR   1A      2D      1B      06OH    I3            15
2APR   1A      2D      1B      07EN    I3          5.85
2APR   1A      2D      1B      08KT    I3           4.5
2APR   1A      2D      1B      09AM    I3             5
2APR   1A      2D      1B      10C1    I3        999.99
2APR   1A      2D      1B      11C2    I3        999.99
2APR   1A      2D      1B      12WS    I3        999.99
2APR   1A      2D      1B      13MT    I3        999.99
2APR   1A      2D      1B      14CU    I3        999.99
2APR   1A      2D      1B      15ZN    I3        999.99
2APR   1A      2D      1B      16PC    I3        999.99
3INR   1A      2D      1B      01NE    I3        999.99
3INR   1A      2D      1B      02YP    I3        999.99
3INR   1A      2D      1B      03S1    I3        999.99
3INR   1A      2D      1B      04S2    I3         20.67
3INR   1A      2D      1B      05GF    I3        999.99
3INR   1A      2D      1B      06OH    I3        999.99
3INR   1A      2D      1B      07EN    I3        999.99
3INR   1A      2D      1B      08KT    I3           4.2
3INR   1A      2D      1B      09AM    I3        999.99
3INR   1A      2D      1B      10C1    I3         29.31
3INR   1A      2D      1B      11C2    I3        999.99
3INR   1A      2D      1B      12WS    I3        999.99
3INR   1A      2D      1B      13MT    I3        999.99
3INR   1A      2D      1B      14CU    I3        999.99
3INR   1A      2D      1B      15ZN    I3        999.99
3INR   1A      2D      1B      16PC    I3        999.99
1APN   1A      2D      4P      01NE    I3        999.99
1APN   1A      2D      4P      02YP    I3        999.99
1APN   1A      2D      4P      03S1    I3        999.99
1APN   1A      2D      4P      04S2    I3        999.99
1APN   1A      2D      4P      05GF    I3        999.99
1APN   1A      2D      4P      06OH    I3        999.99
1APN   1A      2D      4P      07EN    I3        999.99
1APN   1A      2D      4P      08KT    I3        999.99
1APN   1A      2D      4P      09AM    I3        999.99
1APN   1A      2D      4P      10C1    I3        999.99
1APN   1A      2D      4P      11C2    I3        999.99
1APN   1A      2D      4P      12WS    I3        999.99
1APN   1A      2D      4P      13MT    I3        999.99
1APN   1A      2D      4P      14CU    I3        999.99
1APN   1A      2D      4P      15ZN    I3        999.99
1APN   1A      2D      4P      16PC    I3        999.99
1APN   1A      2D      4P      01NE    I3        999.99
1APN   1A      2D      4P      02YP    I3        999.99
1APN   1A      2D      4P      03S1    I3        999.99
1APN   1A      2D      4P      04S2    I3        999.99
1APN   1A      2D      4P      05GF    I3        999.99
1APN   1A      2D      4P      06OH    I3        999.99
1APN   1A      2D      4P      07EN    I3        999.99
1APN   1A      2D      4P      08KT    I3        999.99
1APN   1A      2D      4P      09AM    I3        999.99
1APN   1A      2D      4P      10C1    I3        999.99
1APN   1A      2D      4P      11C2    I3        999.99
1APN   1A      2D      4P      12WS    I3        999.99
1APN   1A      2D      4P      13MT    I3        999.99
1APN   1A      2D      4P      14CU    I3        999.99
1APN   1A      2D      4P      15ZN    I3        999.99
1APN   1A      2D      4P      16PC    I3        999.99
1APN   1A      1S      1B      01NE    C1        999.99
1APN   1A      1S      1B      02YP    C1        999.99
1APN   1A      1S      1B      03S1    C1        999.99
1APN   1A      1S      1B      04S2    C1        999.99
1APN   1A      1S      1B      05GF    C1        999.99
1APN   1A      1S      1B      06OH    C1        999.99
1APN   1A      1S      1B      07EN    C1        999.99
1APN   1A      1S      1B      08KT    C1        999.99
1APN   1A      1S      1B      09AM    C1        999.99
1APN   1A      1S      1B      10C1    C1        999.99
1APN   1A      1S      1B      11C2    C1        999.99
1APN   1A      1S      1B      12WS    C1        999.99
1APN   1A      1S      1B      13MT    C1        999.99
1APN   1A      1S      1B      14CU    C1        999.99
1APN   1A      1S      1B      15ZN    C1        999.99
1APN   1A      1S      1B      16PC    C1        999.99
1APN   1A      1S      5G      01NE    C1        999.99
1APN   1A      1S      5G      02YP    C1        999.99
1APN   1A      1S      5G      03S1    C1        999.99
1APN   1A      1S      5G      04S2    C1        999.99
1APN   1A      1S      5G      05GF    C1        999.99
1APN   1A      1S      5G      06OH    C1        999.99
1APN   1A      1S      5G      07EN    C1        999.99
1APN   1A      1S      5G      08KT    C1        999.99
1APN   1A      1S      5G      09AM    C1        999.99
1APN   1A      1S      5G      10C1    C1        999.99
1APN   1A      1S      5G      11C2    C1        999.99
1APN   1A      1S      5G      12WS    C1        999.99
1APN   1A      1S      5G      13MT    C1        999.99
1APN   1A      1S      5G      14CU    C1        999.99
1APN   1A      1S      5G      15ZN    C1        999.99
1APN   1A      1S      5G      16PC    C1        999.99
2APR   1A      1S      1B      01NE    C1        999.99
2APR   1A      1S      1B      02YP    C1        999.99
2APR   1A      1S      1B      03S1    C1        999.99
2APR   1A      1S      1B      04S2    C1        999.99
2APR   1A      1S      1B      05GF    C1        999.99
2APR   1A      1S      1B      06OH    C1        999.99
2APR   1A      1S      1B      07EN    C1        999.99
2APR   1A      1S      1B      08KT    C1        999.99
2APR   1A      1S      1B      09AM    C1        999.99
2APR   1A      1S      1B      10C1    C1        999.99
2APR   1A      1S      1B      11C2    C1        999.99
2APR   1A      1S      1B      12WS    C1        999.99
2APR   1A      1S      1B      13MT    C1        999.99
2APR   1A      1S      1B      14CU    C1        999.99
2APR   1A      1S      1B      15ZN    C1        999.99
2APR   1A      1S      1B      16PC    C1        999.99
3INR   1A      1S      1B      01NE    C1        999.99
3INR   1A      1S      1B      02YP    C1        999.99
3INR   1A      1S      1B      03S1    C1        999.99
3INR   1A      1S      1B      04S2    C1        999.99
3INR   1A      1S      1B      05GF    C1        999.99
3INR   1A      1S      1B      06OH    C1        999.99
3INR   1A      1S      1B      07EN    C1        999.99
3INR   1A      1S      1B      08KT    C1        999.99
3INR   1A      1S      1B      09AM    C1        999.99
3INR   1A      1S      1B      10C1    C1        999.99
3INR   1A      1S      1B      11C2    C1        999.99
3INR   1A      1S      1B      12WS    C1        999.99
3INR   1A      1S      1B      13MT    C1        999.99
3INR   1A      1S      1B      14CU    C1        999.99
3INR   1A      1S      1B      15ZN    C1        999.99
3INR   1A      1S      1B      16PC    C1        999.99
4LGN   1A      1S      3L      01NE    C1        999.99
4LGN   1A      1S      3L      02YP    C1        999.99
4LGN   1A      1S      3L      03S1    C1        999.99
4LGN   1A      1S      3L      04S2    C1        999.99
4LGN   1A      1S      3L      05GF    C1        999.99
4LGN   1A      1S      3L      06OH    C1        999.99
4LGN   1A      1S      3L      07EN    C1        999.99
4LGN   1A      1S      3L      08KT    C1        999.99
4LGN   1A      1S      3L      09AM    C1        999.99
4LGN   1A      1S      3L      10C1    C1        999.99
4LGN   1A      1S      3L      11C2    C1        999.99
4LGN   1A      1S      3L      12WS    C1        999.99
4LGN   1A      1S      3L      13MT    C1        999.99
4LGN   1A      1S      3L      14CU    C1        999.99
4LGN   1A      1S      3L      15ZN    C1        999.99
4LGN   1A      1S      3L      16PC    C1        999.99
5PRB   1A      1S      2S      01NE    C1        999.99
5PRB   1A      1S      2S      02YP    C1        999.99
5PRB   1A      1S      2S      03S1    C1        999.99
5PRB   1A      1S      2S      04S2    C1        999.99
5PRB   1A      1S      2S      05GF    C1        999.99
5PRB   1A      1S      2S      06OH    C1        999.99
5PRB   1A      1S      2S      07EN    C1        999.99
5PRB   1A      1S      2S      08KT    C1        999.99
5PRB   1A      1S      2S      09AM    C1        999.99
5PRB   1A      1S      2S      10C1    C1        999.99
5PRB   1A      1S      2S      11C2    C1        999.99
5PRB   1A      1S      2S      12WS    C1        999.99
5PRB   1A      1S      2S      13MT    C1        999.99
5PRB   1A      1S      2S      14CU    C1        999.99
5PRB   1A      1S      2S      15ZN    C1        999.99
5PRB   1A      1S      2S      16PC    C1        999.99
