     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2014            'UG'             'AFRN_demand'            0.391326473                       0.3550058268                     10.14746049
     'Metallurgical'        2014            'UG'             'BRZ_demand'             1.168361294                       1.059920798                      30.29669827
     'Metallurgical'        2014            'UG'             'CHI_demand'             8.774771536                       7.960348301                      227.5380115
     'Metallurgical'        2014            'UG'             'IND_demand'             0.4203979948                      0.3813790992                     10.90131217
     'Metallurgical'        2014            'UG'             'JPN_demand'             0.5388550994                      0.4888417046                     13.9730154
     'Metallurgical'        2014            'UG'             'MEA_demand'             1.171549972                       1.062813521                      30.37938366
     'Metallurgical'        2014            'UG'             'WEU_demand'             3.975441355                       3.606464021                      103.0869028
     'Metallurgical'        2014            'UG'             'MEX_demand'             1.34410112                        1.219349475                      34.85379589
     'Metallurgical'        2014            'UG'             'EEAE_demand'            0.6913839338                      0.6272137002                     17.92823036
     'Metallurgical'        2014            'UI'             'CAN_demand'             2.134793519                       1.936654406                      55.35718739
     'Metallurgical'        2015            'UE'             'IND_demand'             9.629997581                       8.736197242                      251.5101341
     'Metallurgical'        2015            'UE'             'JPN_demand'             0.4678465472                      0.424423753                      12.21891769
     'Metallurgical'        2015            'UE'             'WEU_demand'             13.83650171                       12.55227813                      361.3729256
     'Metallurgical'        2015            'UE'             'EEAE_demand'            4.173293351                       3.785952546                      108.9954137
     'Metallurgical'        2015            'UG'             'IND_demand'             1.123077051                       1.018839574                      29.33181003
     'Metallurgical'        2015            'UG'             'JPN_demand'             0.1356659955                      0.1230742672                     3.543237932
     'Metallurgical'        2015            'UG'             'WEU_demand'             3.363681396                       3.051484062                      87.85048509
     'Metallurgical'        2015            'UG'             'MEX_demand'             1.412247549                       1.281170949                      36.88418063
     'Metallurgical'        2015            'UG'             'EEAE_demand'            1.660163858                       1.506077109                      43.35910067
     'Metallurgical'        2015            'UI'             'CAN_demand'             2.049813814                       1.859562023                      53.53572966
     'Metallurgical'        2016            'UE'             'CHI_demand'             26.02317588                       23.60785612                      671.4139602
     'Metallurgical'        2016            'UE'             'IND_demand'             5.952475696                       5.400001539                      153.5775379
     'Metallurgical'        2016            'UE'             'JPN_demand'             1.776968821                       1.612040915                      45.84688966
     'Metallurgical'        2016            'UE'             'WEU_demand'             8.71228931                        7.903665312                      224.7824283
     'Metallurgical'        2016            'UE'             'EEAE_demand'            4.750946007                       4.309990844                      122.5773321
     'Metallurgical'        2016            'UG'             'CHI_demand'             7.157005802                       6.492734169                      184.6551562
     'Metallurgical'        2016            'UG'             'IND_demand'             0.6941942399                      0.62976317                       17.9106388
     'Metallurgical'        2016            'UG'             'JPN_demand'             0.5152848633                      0.4674591207                     13.29466673
     'Metallurgical'        2016            'UG'             'WEU_demand'             2.117975055                       1.921396935                      54.64506045
     'Metallurgical'        2016            'UG'             'EEAE_demand'            1.889957928                       1.714543031                      48.76207819
     'Metallurgical'        2016            'UI'             'CAN_demand'             1.81926909                        1.650415119                      46.93826264
     'Metallurgical'        2017            'UE'             'BRZ_demand'             1.487669561                       1.349592729                      38.02738785
     'Metallurgical'        2017            'UE'             'CHI_demand'             27.53714771                       24.9813099                       703.8967686
     'Metallurgical'        2017            'UE'             'IND_demand'             8.385827058                       7.607503387                      214.3561356
     'Metallurgical'        2017            'UE'             'JPN_demand'             1.737961758                       1.576654261                      44.4252861
     'Metallurgical'        2017            'UE'             'WEU_demand'             15.22347002                       13.81051612                      389.1380279
     'Metallurgical'        2017            'UE'             'EEAE_demand'            5.066239286                       4.596020435                      129.5017734
     'Metallurgical'        2017            'UG'             'BRZ_demand'             0.3242962978                      0.2941970025                     8.289570091
     'Metallurgical'        2017            'UG'             'CHI_demand'             7.573384849                       6.870467336                      193.588718
     'Metallurgical'        2017            'UG'             'IND_demand'             0.9779784307                      0.8872081635                     24.99880759
     'Metallurgical'        2017            'UG'             'JPN_demand'             0.5039736073                      0.4571977096                     12.88243057
     'Metallurgical'        2017            'UG'             'WEU_demand'             3.700856182                       3.357364246                      94.60023729
     'Metallurgical'        2017            'UG'             'MEX_demand'             0.4540207859                      0.4118812185                     11.60555071
     'Metallurgical'        2017            'UG'             'EEAE_demand'            2.015383692                       1.828327505                      51.51666698
     'Metallurgical'        2017            'UI'             'CAN_demand'             2.343635569                       2.126112953                      59.90734847
     'Metallurgical'        2018            'UE'             'BRZ_demand'             5.660988028                       5.13556806                       143.7101703
     'Metallurgical'        2018            'UE'             'CHI_demand'             22.14421241                       20.08891547                      562.1542603
     'Metallurgical'        2018            'UE'             'IND_demand'             8.635405035                       7.833916988                      219.218893
     'Metallurgical'        2018            'UE'             'JPN_demand'             5.043931199                       4.575782855                      128.0455299
     'Metallurgical'        2018            'UE'             'WEU_demand'             15.1288294                        13.72465949                      384.0613405
     'Metallurgical'        2018            'UE'             'EEAE_demand'            4.199100937                       3.809364822                      106.5986199
     'Metallurgical'        2018            'UG'             'BRZ_demand'             1.234035775                       1.119499755                      31.32730374
     'Metallurgical'        2018            'UG'             'CHI_demand'             6.090196576                       5.524939968                      154.6060835
     'Metallurgical'        2018            'UG'             'IND_demand'             1.007084907                       0.9136131463                     25.56591586
     'Metallurgical'        2018            'UG'             'JPN_demand'             1.462637592                       1.326884082                      37.13060274
     'Metallurgical'        2018            'UG'             'MEA_demand'             2.88691803                        2.618971097                      73.28746852
     'Metallurgical'        2018            'UG'             'WEU_demand'             3.677848858                       3.336492328                      93.36608439
     'Metallurgical'        2018            'UG'             'EEAE_demand'            1.670430288                       1.515390669                      42.40564015
     'Metallurgical'        2018            'UI'             'CAN_demand'             2.384541645                       2.163222365                      60.53411249
     'Metallurgical'        2019            'UE'             'BRZ_demand'             5.176074459                       4.695661347                      130.7556626
     'Metallurgical'        2019            'UE'             'CHI_demand'             15.89699541                       14.4215288                       401.5827409
     'Metallurgical'        2019            'UE'             'IND_demand'             9.437398211                       8.561473824                      238.4033047
     'Metallurgical'        2019            'UE'             'JPN_demand'             1.875080861                       1.701046766                      47.3674485
     'Metallurgical'        2019            'UE'             'SKO_demand'             3.857529075                       3.499495673                      97.44716275
     'Metallurgical'        2019            'UE'             'WEU_demand'             13.29268371                       12.05893415                      335.7937911
     'Metallurgical'        2019            'UE'             'EEAE_demand'            4.278203486                       3.881125533                      108.0740503
     'Metallurgical'        2019            'UG'             'BRZ_demand'             1.128329724                       1.023604724                      28.50335748
     'Metallurgical'        2019            'UG'             'CHI_demand'             4.372060078                       3.966270902                      110.4450133
     'Metallurgical'        2019            'UG'             'IND_demand'             1.100615578                       0.9984628442                     27.80325521
     'Metallurgical'        2019            'UG'             'JPN_demand'             0.5437353618                      0.4932690095                     13.73559791
     'Metallurgical'        2019            'UG'             'MEA_demand'             2.618202217                       2.375195922                      66.13984564
     'Metallurgical'        2019            'UG'             'WEU_demand'             3.231478146                       2.931551148                      81.63214604
     'Metallurgical'        2019            'UG'             'MEX_demand'             0.03770269156                     0.03420334712                    0.9524284196
     'Metallurgical'        2019            'UG'             'EEAE_demand'            1.701897808                       1.543937557                      42.99257621
     'Metallurgical'        2019            'UI'             'CAN_demand'             1.695717433                       1.538330808                      42.83645036
     'Metallurgical'        2020            'UE'             'BRZ_demand'             4.756687206                       4.315199179                      120.7923483
     'Metallurgical'        2020            'UE'             'CHI_demand'             13.21679244                       11.99008667                      335.6300985
     'Metallurgical'        2020            'UE'             'IND_demand'             7.854532636                       7.125520622                      199.4597081
     'Metallurgical'        2020            'UE'             'JPN_demand'             1.737404586                       1.576148802                      44.1200295
     'Metallurgical'        2020            'UE'             'WEU_demand'             11.91220176                       10.80658051                      302.5010394
     'Metallurgical'        2020            'UE'             'EEAE_demand'            3.75443667                        3.405971705                      95.34098042
     'Metallurgical'        2020            'UG'             'BRZ_demand'             1.036907719                       0.9406679782                     26.33145987
     'Metallurgical'        2020            'UG'             'CHI_demand'             3.634939126                       3.297565227                      92.30643381
