COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
4      3     2     2     1999  0.02                    11.52
5      1     3     2     1999  2.72                    25.82
6      3     2     2     1999  35.93                   13.84
6      3     3     2     1999  19.86                   10.80
7      3     2     2     1999  31.41                   8.05
8      2     1     1     1999  0.00                    20.00
8      2     1     2     1999  21.87                   9.23
8      2     2     2     1999  18.95                   8.32
9      2     1     2     1999  136.91                  4.19
9      2     2     2     1999  3.18                    9.78
10     2     1     2     1999  180.42                  5.13
11     2     1     1     1999  1.67                    18.51
11     2     1     2     1999  7.47                    15.82
11     2     2     2     1999  7.47                    19.69
12     4     1     1     1999  0.00                    0.00
12     1     1     1     1999  46.85                   16.91
12     2     1     2     1999  9.51                    19.31
13     1     2     1     1999  0.11                    19.30
13     1     1     2     1999  20.98                   21.23
13     2     2     2     1999  19.85                   20.56
14     2     1     2     1999  5.67                    25.52
1      4     2     1     2000  4.66                    35.61
1      1     2     1     2000  54.38                   26.47
1      1     3     1     2000  46.33                   24.45
1      1     2     2     2000  18.59                   26.47
1      1     3     2     2000  15.08                   24.45
1      3     3     2     2000  9.09                    12.49
2      4     2     1     2000  47.16                   27.29
2      1     1     1     2000  33.17                   25.39
2      1     2     1     2000  68.80                   25.20
2      1     1     2     2000  32.74                   25.39
2      1     2     2     2000  76.53                   25.20
3      4     1     1     2000  6.82                    36.44
3      1     1     1     2000  5.38                    31.64
3      1     2     1     2000  5.16                    30.70
3      1     1     2     2000  0.65                    31.64
3      1     2     2     2000  3.99                    30.70
4      1     2     1     2000  21.62                   22.00
4      1     3     1     2000  32.10                   21.05
4      1     2     2     2000  9.24                    22.00
4      1     3     2     2000  24.23                   21.05
4      3     2     2     2000  0.90                    10.93
5      1     3     2     2000  2.42                    26.13
6      3     2     2     2000  36.44                   14.20
6      3     3     2     2000  16.58                   11.30
7      3     2     2     2000  31.41                   8.42
8      2     1     1     2000  0.00                    20.00
8      2     1     2     2000  21.23                   9.37
8      2     2     2     2000  16.75                   8.19
9      2     1     2     2000  120.28                  4.41
9      2     2     2     2000  3.05                    10.01
10     2     1     2     2000  199.99                  5.23
11     2     1     1     2000  1.21                    18.94
11     2     1     2     2000  7.40                    15.70
11     2     2     2     2000  6.98                    18.21
12     4     1     1     2000  0.00                    0.00
12     1     1     1     2000  46.64                   17.03
12     2     1     2     2000  9.16                    19.78
13     1     2     1     2000  0.00                    19.75
13     1     1     2     2000  19.62                   21.33
13     2     2     2     2000  20.81                   21.22
14     2     1     2     2000  5.91                    26.32
1      4     2     1     2001  3.85                    35.20
1      1     2     1     2001  55.71                   26.16
1      1     3     1     2001  47.47                   24.16
1      1     2     2     2001  19.86                   26.16
1      1     3     2     2001  16.11                   24.16
1      3     3     2     2001  10.09                   12.34
2      4     2     1     2001  38.93                   30.08
2      1     1     1     2001  36.50                   27.98
2      1     2     1     2001  75.71                   27.77
2      1     1     2     2001  34.70                   27.98
2      1     2     2     2001  81.11                   27.77
3      4     1     1     2001  6.72                    37.56
3      1     1     1     2001  4.99                    32.61
3      1     2     1     2001  4.79                    31.64
3      1     1     2     2001  0.89                    32.61
3      1     2     2     2001  5.46                    31.64
4      1     2     1     2001  21.88                   22.59
4      1     3     1     2001  32.49                   21.62
4      1     2     2     2001  11.68                   22.59
4      1     3     2     2001  29.35                   21.62
4      3     2     2     2001  0.60                    14.13
5      1     3     2     2001  2.41                    26.88
6      3     2     2     2001  33.42                   17.55
6      3     3     2     2001  15.20                   13.96
7      3     2     2     2001  30.82                   8.53
8      2     1     1     2001  0.00                    20.00
8      2     1     2     2001  19.13                   9.63
8      2     2     2     2001  19.68                   8.04
9      2     1     2     2001  130.20                  4.81
9      2     2     2     2001  3.52                    9.52
10     2     1     2     2001  220.13                  5.59
11     2     1     1     2001  0.00                    20.00
11     2     1     2     2001  7.31                    16.97
11     2     2     2     2001  7.55                    18.73
12     4     1     1     2001  0.00                    0.00
12     1     1     1     2001  50.51                   17.97
12     2     1     2     2001  9.83                    20.87
13     1     2     1     2001  0.68                    23.77
13     1     1     2     2001  20.88                   22.32
13     2     2     2     2001  21.47                   22.20
14     2     1     2     2001  6.14                    26.51
1      4     2     1     2002  2.84                    32.16
1      1     2     1     2002  47.56                   25.97
1      1     3     1     2002  48.25                   23.40
1      1     2     2     2002  19.01                   25.97
1      1     3     2     2002  11.15                   23.40
1      3     3     2     2002  9.05                    11.52
2      4     2     1     2002  33.97                   33.52
2      1     1     1     2002  30.76                   30.85
2      1     2     1     2002  72.43                   29.29
2      1     1     2     2002  33.13                   30.85
2      1     2     2     2002  78.80                   29.29
3      4     1     1     2002  4.59                    38.41
3      1     1     1     2002  2.76                    35.59
3      1     2     1     2002  7.57                    32.80
3      1     1     2     2002  0.31                    35.59
3      1     2     2     2002  3.84                    32.80
4      1     2     1     2002  22.14                   23.62
4      1     3     1     2002  31.87                   22.42
4      1     2     2     2002  10.84                   23.62
4      1     3     2     2002  28.79                   22.42
4      3     2     2     2002  2.31                    13.98
5      1     3     2     2002  1.89                    27.83
6      3     2     2     2002  26.69                   16.78
6      3     3     2     2002  22.33                   12.97
7      3     2     2     2002  31.13                   8.50
8      2     1     1     2002  0.00                    20.00
8      2     1     2     2002  18.95                   9.87
8      2     2     2     2002  18.10                   8.48
9      2     1     2     2002  133.29                  5.93
9      2     2     2     2002  3.98                    7.73
10     2     1     2     2002  222.34                  6.19
11     2     1     1     2002  0.00                    20.00
11     2     1     2     2002  6.42                    17.08
11     2     2     2     2002  7.13                    19.22
12     4     1     1     2002  0.00                    0.00
12     1     1     1     2002  50.37                   17.94
12     2     1     2     2002  10.04                   20.42
13     1     2     1     2002  1.75                    21.54
13     1     1     2     2002  23.02                   24.74
13     2     2     2     2002  16.95                   21.54
14     2     1     2     2002  6.97                    23.67
1      4     2     1     2003  2.30                    38.31
1      1     2     1     2003  48.72                   26.50
1      1     3     1     2003  47.35                   24.22
1      1     2     2     2003  15.61                   26.50
1      1     3     2     2003  11.83                   24.22
1      3     3     2     2003  10.02                   11.50
2      4     2     1     2003  36.00                   34.66
2      1     1     1     2003  30.47                   30.43
2      1     2     1     2003  64.25                   29.45
2      1     1     2     2003  21.69                   30.43
2      1     2     2     2003  78.35                   29.45
3      4     1     1     2003  5.28                    36.82
3      1     1     1     2003  2.98                    33.64
3      1     2     1     2003  7.12                    32.48
3      1     1     2     2003  0.00                    33.64
3      1     2     2     2003  4.83                    32.48
4      1     2     1     2003  19.62                   24.15
4      1     3     1     2003  32.16                   22.26
4      1     2     2     2003  10.51                   24.15
4      1     3     2     2003  26.49                   22.26
4      3     2     2     2003  3.70                    14.00
5      1     3     2     2003  2.30                    27.17
6      3     2     2     2003  18.34                   16.31
6      3     3     2     2003  33.17                   12.93
7      3     2     2     2003  31.14                   8.80
8      2     1     1     2003  0.03                    19.90
8      2     1     2     2003  18.25                   10.01
8      2     2     2     2003  18.35                   8.67
9      2     1     2     2003  125.91                  6.04
9      2     2     2     2003  5.80                    6.18
10     2     1     2     2003  231.65                  6.79
11     2     1     1     2003  0.00                    20.20
11     2     1     2     2003  7.21                    19.26
11     2     2     2     2003  5.70                    21.45
12     4     1     1     2003  0.00                    0.00
12     1     1     1     2003  50.22                   18.33
12     2     1     2     2003  8.68                    18.75
13     1     2     1     2003  5.89                    28.76
13     1     1     2     2003  18.00                   23.25
13     2     2     2     2003  14.56                   21.20
14     2     1     2     2003  7.31                    23.46
1      4     2     1     2004  3.55                    49.08
1      1     2     1     2004  58.12                   30.33
1      1     3     1     2004  45.25                   25.83
1      1     2     2     2004  15.49                   30.33
1      1     3     2     2004  12.71                   25.83
1      3     3     2     2004  11.30                   11.50
2      4     2     1     2004  37.65                   44.35
2      1     1     1     2004  28.42                   36.77
2      1     2     1     2004  62.49                   34.81
2      1     1     2     2004  21.57                   36.77
2      1     2     2     2004  83.09                   34.81
3      4     1     1     2004  7.26                    49.84
3      1     1     1     2004  1.50                    43.37
3      1     2     1     2004  7.36                    37.02
3      1     1     2     2004  0.00                    43.37
3      1     2     2     2004  6.21                    37.02
4      1     2     1     2004  23.20                   26.11
4      1     3     1     2004  33.12                   23.11
4      1     2     2     2004  8.49                    26.11
4      1     3     2     2004  25.74                   23.11
4      3     2     2     2004  3.59                    15.72
5      1     3     2     2004  2.49                    28.77
6      3     2     2     2004  22.17                   16.09
6      3     3     2     2004  27.46                   12.78
7      3     2     2     2004  30.32                   9.37
8      2     1     1     2004  0.16                    19.85
8      2     1     2     2004  20.95                   10.13
8      2     2     2     2004  18.50                   9.71
9      2     1     2     2004  139.13                  6.34
9      2     2     2     2004  4.25                    6.68
10     2     1     2     2004  238.16                  7.15
11     2     1     1     2004  0.04                    23.94
11     2     1     2     2004  9.88                    20.53
11     2     2     2     2004  5.02                    20.39
12     4     1     1     2004  0.00                    0.00
12     1     1     1     2004  51.35                   18.36
12     2     1     2     2004  10.26                   19.48
13     1     2     1     2004  7.69                    29.76
13     1     1     2     2004  18.59                   23.54
13     2     2     2     2004  13.71                   21.07
14     2     1     2     2004  7.17                    26.91
1      4     2     1     2005  3.50                    67.89
1      1     2     1     2005  58.70                   35.64
1      1     3     1     2005  48.95                   30.06
1      1     2     2     2005  16.32                   35.64
1      1     3     2     2005  12.61                   30.06
1      3     3     2     2005  13.35                   11.50
2      4     2     1     2005  39.22                   64.07
2      1     1     1     2005  24.34                   43.21
2      1     2     1     2005  59.51                   40.74
2      1     1     2     2005  22.79                   43.21
2      1     2     2     2005  89.93                   40.74
3      4     1     1     2005  8.08                    70.90
3      1     1     1     2005  0.27                    47.78
3      1     2     1     2005  4.96                    42.98
3      1     1     2     2005  0.25                    47.78
3      1     2     2     2005  7.90                    42.98
4      1     2     1     2005  21.96                   30.19
4      1     3     1     2005  37.22                   25.81
4      1     2     2     2005  7.29                    30.19
4      1     3     2     2005  26.43                   25.81
4      3     2     2     2005  3.56                    15.65
5      1     3     2     2005  2.63                    29.42
6      3     2     2     2005  23.32                   16.33
6      3     3     2     2005  26.78                   13.75
7      3     2     2     2005  30.29                   10.10
8      2     1     1     2005  0.16                    21.18
8      2     1     2     2005  20.43                   9.53
8      2     2     2     2005  19.43                   9.69
9      2     1     2     2005  149.04                  6.66
9      2     2     2     2005  3.58                    7.35
10     2     1     2     2005  237.51                  8.01
11     2     1     1     2005  0.41                    21.16
11     2     1     2     2005  3.58                    15.30
11     2     2     2     2005  10.20                   21.89
12     4     1     1     2005  0.00                    0.00
12     1     1     1     2005  52.96                   21.25
12     2     1     2     2005  10.07                   21.39
13     1     2     1     2005  7.91                    33.36
13     1     1     2     2005  17.43                   26.36
13     2     2     2     2005  15.25                   22.21
14     2     1     2     2005  6.72                    21.67
1      4     2     1     2006  3.37                    79.77
1      1     2     1     2006  52.32                   37.86
1      1     3     1     2006  52.14                   31.18
1      1     2     2     2006  14.43                   37.86
1      1     3     2     2006  14.10                   31.18
1      3     3     2     2006  14.41                   11.50
2      4     2     1     2006  38.26                   71.83
2      1     1     1     2006  23.38                   46.17
2      1     2     1     2006  56.10                   44.45
2      1     1     2     2006  21.50                   46.17
2      1     2     2     2006  97.27                   44.45
3      4     1     1     2006  7.38                    61.40
3      1     1     1     2006  0.18                    43.92
3      1     2     1     2006  3.18                    39.90
3      1     1     2     2006  0.01                    43.92
3      1     2     2     2006  8.27                    39.90
4      1     2     1     2006  18.90                   33.58
4      1     3     1     2006  42.82                   28.70
4      1     2     2     2006  7.51                    33.58
4      1     3     2     2006  25.88                   28.70
4      3     2     2     2006  3.80                    16.95
5      1     3     2     2006  2.84                    30.18
6      3     2     2     2006  33.37                   17.01
6      3     3     2     2006  16.29                   12.79
7      3     2     2     2006  30.79                   10.52
8      2     1     1     2006  0.32                    24.21
8      2     1     2     2006  22.47                   9.28
8      2     2     2     2006  18.65                   11.35
9      2     1     2     2006  172.02                  7.35
9      2     2     2     2006  3.99                    7.48
10     2     1     2     2006  255.06                  9.74
11     2     1     1     2006  0.52                    24.09
11     2     1     2     2006  3.25                    16.45
11     2     2     2     2006  11.90                   23.92
12     4     1     1     2006  0.00                    0.00
12     1     1     1     2006  52.68                   24.30
12     2     1     2     2006  9.66                    24.64
13     1     2     1     2006  6.99                    34.26
13     1     1     2     2006  12.99                   27.33
13     2     2     2     2006  14.15                   24.69
14     2     1     2     2006  4.00                    23.57
1      4     2     1     2007  2.90                    80.61
1      1     2     1     2007  48.14                   39.74
1      1     3     1     2007  54.98                   33.71
1      1     2     2     2007  14.50                   39.74
1      1     3     2     2007  11.76                   33.71
1      3     3     2     2007  14.08                   15.00
2      4     2     1     2007  40.89                   71.74
2      1     1     1     2007  17.21                   47.79
2      1     2     1     2007  52.01                   45.00
2      1     1     2     2007  24.71                   47.79
2      1     2     2     2007  91.87                   45.00
3      4     1     1     2007  8.60                    67.15
3      1     1     1     2007  0.13                    53.40
3      1     2     1     2007  2.74                    46.45
3      1     1     2     2007  0.25                    53.40
3      1     2     2     2007  7.81                    46.45
4      1     2     1     2007  14.77                   35.09
4      1     3     1     2007  47.15                   31.13
4      1     2     2     2007  6.19                    35.09
4      1     3     2     2007  28.02                   31.13
4      3     2     2     2007  3.55                    17.80
5      1     3     2     2007  2.39                    35.78
6      3     2     2     2007  30.28                   18.93
6      3     3     2     2007  14.79                   13.67
7      3     2     2     2007  29.96                   11.47
8      2     1     1     2007  0.05                    26.47
8      2     1     2     2007  24.43                   10.76
8      2     2     2     2007  18.55                   12.89
9      2     1     2     2007  182.57                  8.39
9      2     2     2     2007  3.64                    8.43
10     2     1     2     2007  250.30                  11.04
11     2     1     1     2007  2.82                    27.33
11     2     1     2     2007  6.13                    18.02
11     2     2     2     2007  8.11                    26.52
12     4     1     1     2007  0.00                    0.00
12     1     1     1     2007  51.92                   26.29
12     2     1     2     2007  8.77                    24.37
13     1     2     1     2007  6.90                    38.20
13     1     1     2     2007  8.07                    30.52
13     2     2     2     2007  17.46                   24.55
14     2     1     2     2007  1.32                    32.80
1      4     2     1     2008  7.60                    88.20
1      1     2     1     2008  40.62                   48.87
1      1     3     1     2008  57.02                   40.79
1      1     2     2     2008  14.44                   48.87
1      1     3     2     2008  16.01                   40.79
1      3     3     2     2008  14.15                   15.00
2      4     2     1     2008  46.54                   88.07
2      1     1     1     2008  15.97                   65.75
2      1     2     1     2008  52.49                   56.18
2      1     1     2     2008  18.18                   65.75
2      1     2     2     2008  101.19                  56.18
3      4     1     1     2008  9.34                    88.72
3      1     1     1     2008  0.18                    69.26
3      1     2     1     2008  2.76                    56.96
3      1     1     2     2008  0.29                    69.26
3      1     2     2     2008  8.59                    56.96
4      1     2     1     2008  15.79                   41.18
4      1     3     1     2008  48.82                   35.69
4      1     2     2     2008  5.13                    41.18
4      1     3     2     2008  29.54                   35.69
4      3     2     2     2008  2.84                    18.36
5      1     3     2     2008  2.01                    47.87
6      3     2     2     2008  36.41                   19.35
6      3     3     2     2008  6.45                    16.04
7      3     2     2     2008  29.98                   12.93
8      2     1     1     2008  0.17                    30.61
8      2     1     2     2008  26.61                   11.35
8      2     2     2     2008  17.65                   13.51
9      2     1     2     2008  183.49                  9.26
9      2     2     2     2008  4.12                    9.45
10     2     1     2     2008  264.09                  12.08
11     2     1     1     2008  3.50                    31.00
11     2     1     2     2008  5.33                    22.35
11     2     2     2     2008  7.11                    26.36
12     4     1     1     2008  0.00                    0.00
12     1     1     1     2008  48.73                   30.50
12     2     1     2     2008  7.66                    26.16
13     1     2     1     2008  7.05                    47.60
13     1     1     2     2008  8.37                    35.37
13     2     2     2     2008  18.25                   27.68
14     2     1     2     2008  1.48                    54.55
1      4     2     1     2009  4.58                    83.98
1      1     2     1     2009  35.23                   54.84
1      1     3     1     2009  59.82                   47.12
1      1     2     2     2009  13.08                   54.84
1      1     3     2     2009  14.78                   47.12
1      3     3     2     2009  13.67                   14.59
2      4     2     1     2009  37.96                   85.74
2      1     1     1     2009  12.03                   66.67
2      1     2     1     2009  48.70                   63.66
2      1     1     2     2009  13.80                   66.67
2      1     2     2     2009  84.18                   63.66
3      4     1     1     2009  8.80                    85.45
3      1     1     1     2009  0.20                    86.97
3      1     2     1     2009  2.50                    65.84
3      1     1     2     2009  0.50                    86.97
3      1     2     2     2009  7.17                    65.84
4      1     2     1     2009  8.33                    47.08
4      1     3     1     2009  58.86                   40.69
4      1     2     2     2009  5.74                    47.08
4      1     3     2     2009  29.90                   40.69
4      3     2     2     2009  3.44                    19.72
5      1     3     2     2009  1.60                    38.87
6      3     2     2     2009  23.51                   21.12
6      3     3     2     2009  15.24                   17.77
7      3     2     2     2009  30.29                   13.51
8      2     1     1     2009  0.78                    18.87
8      2     1     2     2009  18.85                   12.49
8      2     2     2     2009  19.52                   14.13
9      2     1     2     2009  170.74                  9.96
9      2     2     2     2009  4.04                    9.76
10     2     1     2     2009  242.36                  13.17
11     2     1     1     2009  3.47                    35.09
11     2     1     2     2009  4.70                    20.67
11     2     2     2     2009  5.80                    28.27
12     4     1     1     2009  0.00                    0.00
12     1     1     1     2009  43.92                   34.96
12     2     1     2     2009  6.07                    31.68
13     1     2     1     2009  6.50                    44.50
13     1     1     2     2009  7.41                    34.10
13     2     2     2     2009  18.69                   25.65
14     2     1     2     2009  1.86                    66.88
1      4     2     1     2010  14.45                   92.65
1      1     2     1     2010  26.20                   57.11
1      1     3     1     2010  62.46                   47.62
1      1     2     2     2010  14.04                   57.11
1      1     3     2     2010  12.43                   47.62
1      3     3     2     2010  13.86                   15.30
2      4     2     1     2010  50.79                   100.94
2      1     1     1     2010  7.46                    69.85
2      1     2     1     2010  38.10                   67.93
2      1     1     2     2010  9.78                    69.85
2      1     2     2     2010  80.31                   67.93
3      4     1     1     2010  10.68                   99.80
3      1     1     1     2010  0.20                    88.88
3      1     2     1     2010  1.64                    70.09
3      1     1     2     2010  0.23                    88.88
3      1     2     2     2010  7.65                    70.09
4      1     2     1     2010  8.47                    55.15
4      1     3     1     2010  63.70                   43.87
4      1     2     2     2010  3.28                    55.15
4      1     3     2     2010  30.31                   43.87
4      3     2     2     2010  4.00                    20.72
5      1     3     2     2010  1.63                    53.54
6      3     2     2     2010  31.16                   21.18
6      3     3     2     2010  13.77                   21.56
7      3     2     2     2010  29.30                   14.56
8      2     1     1     2010  4.39                    22.42
8      2     1     2     2010  22.70                   13.77
8      2     2     2     2010  17.29                   14.98
9      2     1     2     2010  167.61                  10.92
9      2     2     2     2010  2.94                    9.71
10     2     1     2     2010  257.89                  12.97
11     2     1     1     2010  3.82                    36.78
11     2     1     2     2010  4.07                    25.31
11     2     2     2     2010  6.20                    31.90
12     4     1     1     2010  0.00                    0.00
12     1     1     1     2010  39.44                   35.93
12     2     1     2     2010  5.08                    30.02
13     1     2     1     2010  4.93                    45.20
13     1     1     2     2010  7.76                    36.03
13     2     2     2     2010  16.05                   25.90
14     2     1     2     2010  2.15                    71.62
1      1     2     1     2011  25.92                   127.07
1      1     2     2     2011  10.73                   65.83
1      1     3     1     2011  61.59                   52.66
1      1     3     2     2011  16.37                   65.83
1      3     3     2     2011  13.21                   52.66
1      4     2     1     2011  18.24                   16.90
2      1     1     1     2011  3.79                    143.49
2      1     1     2     2011  10.22                   68.46
2      1     2     1     2011  28.57                   67.73
2      1     2     2     2011  80.73                   68.46
2      4     2     1     2011  61.67                   67.73
3      1     1     1     2011  0.00                    137.22
3      1     1     2     2011  0.45                    83.65
3      1     2     1     2011  0.66                    64.40
3      1     2     2     2011  8.05                    83.65
3      4     1     1     2011  10.22                   64.40
4      1     2     1     2011  6.68                    61.62
4      1     2     2     2011  3.54                    47.14
4      1     3     1     2011  74.41                   61.62
4      1     3     2     2011  31.84                   47.14
4      3     2     2     2011  2.75                    22.50
5      1     3     2     2011  1.78                    66.19
6      3     2     2     2011  38.94                   20.47
6      3     3     2     2011  10.83                   20.42
7      3     2     2     2011  28.59                   15.81
8      1     1     1     2011  5.14                    20.13
8      2     1     2     2011  19.24                   14.61
8      2     2     2     2011  17.28                   16.58
9      2     1     2     2011  172.59                  11.93
9      2     2     2     2011  2.41                    11.79
10     2     1     2     2011  251.08                  13.68
11     2     1     1     2011  3.04                    47.44
11     2     1     2     2011  3.65                    33.23
11     2     2     2     2011  5.90                    34.13
12     1     1     1     2011  41.14                   135.54
12     2     1     2     2011  5.38                    38.15
12     4     1     1     2011  0.02                    32.12
13     1     1     2     2011  8.00                    45.72
13     1     2     1     2011  3.98                    41.22
13     2     2     2     2011  18.05                   31.24
14     2     1     2     2011  2.15                    52.80
1      1     2     1     2012  23.31                   62.97
1      1     2     2     2012  8.15                    62.97
1      1     3     1     2012  57.71                   51.30
1      1     3     2     2012  14.06                   51.30
1      3     3     2     2012  11.20                   20.55
1      4     2     1     2012  22.39                   105.97
2      1     1     1     2012  1.93                    75.75
2      1     1     2     2012  8.26                    75.75
2      1     2     1     2012  21.22                   70.81
2      1     2     2     2012  61.58                   70.81
2      4     2     1     2012  54.92                   117.09
3      1     1     1     2012  0.00                    90.78
3      1     1     2     2012  0.25                    90.78
3      1     2     1     2012  0.33                    71.49
3      1     2     2     2012  6.64                    71.49
3      4     1     1     2012  12.24                   126.65
4      1     2     1     2012  5.65                    58.70
4      1     2     2     2012  1.87                    58.70
4      1     3     1     2012  86.85                   50.76
4      1     3     2     2012  33.18                   50.76
4      3     2     2     2012  2.95                    23.49
5      1     3     2     2012  1.59                    56.94
6      3     2     2     2012  36.79                   21.70
6      3     3     2     2012  11.36                   17.44
7      3     2     2     2012  27.83                   17.37
8      1     1     1     2012  5.71                    19.79
8      2     1     2     2012  14.68                   14.45
8      2     2     2     2012  16.01                   20.82
9      2     1     2     2012  150.89                  12.19
9      2     2     2     2012  2.44                    11.01
10     2     1     2     2012  235.04                  14.30
11     2     1     1     2012  4.64                    40.53
11     2     1     2     2012  3.48                    32.35
11     2     2     2     2012  4.95                    36.72
12     1     1     1     2012  40.04                   36.47
12     2     1     2     2012  5.49                    36.29
12     4     1     1     2012  0.05                    106.18
13     1     1     2     2012  7.56                    43.79
13     1     2     1     2012  4.96                    58.73
13     2     2     2     2012  17.42                   30.05
14     2     1     2     2012  2.05                    41.08
1      1     2     1     2013  25.55                   62.38
1      1     2     2     2013  5.96                    62.38
1      1     3     1     2013  61.88                   52.29
1      1     3     2     2013  14.63                   52.29
1      3     3     2     2013  10.19                   20.55
1      4     2     1     2013  16.76                   99.36
2      1     1     1     2013  1.12                    75.05
2      1     1     2     2013  5.78                    75.05
2      1     2     1     2013  13.85                   65.87
2      1     2     2     2013  51.91                   65.87
2      4     2     1     2013  55.47                   101.20
3      1     1     1     2013  0.01                    88.28
3      1     1     2     2013  0.20                    88.28
3      1     2     1     2013  0.68                    74.42
3      1     2     2     2013  4.93                    74.42
3      4     1     1     2013  12.70                   94.39
4      1     2     1     2013  5.39                    55.87
4      1     2     2     2013  1.28                    55.87
4      1     3     1     2013  92.94                   48.18
4      1     3     2     2013  32.88                   48.18
4      3     2     2     2013  3.32                    24.79
5      1     3     2     2013  1.63                    59.18
6      3     2     2     2013  35.11                   21.51
6      3     3     2     2013  10.23                   18.54
7      3     2     2     2013  27.99                   17.90
8      1     1     1     2013  8.68                    21.28
8      2     1     2     2013  20.51                   12.98
8      2     2     2     2013  12.68                   21.17
9      2     1     2     2013  129.58                  12.10
9      2     2     2     2013  1.75                    11.25
10     2     1     2     2013  243.05                  13.60
11     2     1     1     2013  4.44                    42.00
11     2     1     2     2013  4.32                    38.25
11     2     2     2     2013  4.86                    36.40
12     1     1     1     2013  34.54                   35.76
12     2     1     2     2013  5.39                    38.43
12     4     1     1     2013  0.71                    60.01
13     1     1     2     2013  7.88                    43.96
13     1     2     1     2013  5.99                    53.99
13     2     2     2     2013  15.70                   30.75
14     2     1     2     2013  1.55                    45.61
1      4     2     1     2014  15.49                   96.11
1      1     2     1     2014  18.68                   60.34
1      1     3     1     2014  81.00                   50.58
1      1     2     2     2014  5.42                    60.34
1      1     3     2     2014  13.89                   50.58
1      3     3     2     2014  12.09                   20.55
2      4     2     1     2014  49.86                   86.02
2      1     1     1     2014  1.79                    63.79
2      1     2     1     2014  12.00                   55.99
2      1     1     2     2014  6.60                    63.79
2      1     2     2     2014  47.15                   55.99
3      4     1     1     2014  13.55                   90.60
3      1     1     1     2014  0.20                    84.73
3      1     2     1     2014  1.03                    71.43
3      1     1     2     2014  0.23                    84.73
3      1     2     2     2014  2.03                    71.43
4      1     2     1     2014  5.63                    54.27
4      1     3     1     2014  99.94                   46.80
4      1     2     2     2014  2.21                    54.27
4      1     3     2     2014  31.95                   46.80
4      3     2     2     2014  2.89                    24.79
5      1     3     2     2014  1.33                    45.80
6      3     2     2     2014  34.60                   20.23
6      3     3     2     2014  11.51                   17.44
7      3     2     2     2014  26.41                   17.65
8      1     1     1     2014  7.90                    21.86
8      2     1     2     2014  21.30                   13.34
8      2     2     2     2014  14.99                   21.75
9      2     1     2     2014  124.41                  11.47
9      2     2     2     2014  3.32                    10.67
10     2     1     2     2014  252.63                  13.57
11     2     1     1     2014  3.37                    43.60
11     2     1     2     2014  5.06                    39.71
11     2     2     2     2014  5.14                    37.78
12     4     1     1     2014  0.00                    61.82
12     1     1     1     2014  35.50                   36.28
12     2     1     2     2014  6.63                    38.22
13     1     2     1     2014  8.80                    52.73
13     1     1     2     2014  8.21                    42.93
13     2     2     2     2014  13.00                   30.03
14     2     1     2     2014  1.42                    45.41
1      1     2     1     2015  18.27                   50.52
1      1     3     1     2015  74.74                   52.25
1      4     2     1     2015  15.91                   75.98
1      1     2     2     2015  4.43                    60.71
1      1     3     2     2015  6.89                    48.53
1      3     3     2     2015  9.97                    20.70
2      1     1     1     2015  4.92                    64.63
2      1     2     1     2015  12.14                   55.92
2      4     2     1     2015  38.44                   78.82
2      1     1     2     2015  13.23                   70.40
2      1     2     2     2015  23.71                   58.85
3      1     1     1     2015  0.36                    82.24
3      1     2     1     2015  0.69                    66.69
3      4     1     1     2015  10.24                   87.49
3      1     1     2     2015  0.79                    87.79
3      1     2     2     2015  2.85                    82.12
4      1     2     1     2015  16.31                   47.85
4      1     3     1     2015  74.24                   45.54
4      1     2     2     2015  3.62                    53.20
4      1     3     2     2015  28.50                   42.48
4      3     2     2     2015  3.13                    25.86
5      1     3     2     2015  1.28                    66.23
6      3     2     2     2015  31.37                   25.93
6      3     3     2     2015  9.10                    23.73
7      3     2     2     2015  29.42                   18.81
8      1     1     1     2015  0.23                    45.64
8      2     1     2     2015  16.32                   14.24
8      2     2     2     2015  14.81                   20.11
9      2     1     2     2015  121.55                  11.27
9      2     2     2     2015  1.64                    17.74
10     2     1     2     2015  240.30                  13.78
11     2     1     1     2015  3.12                    54.79
11     2     1     2     2015  4.10                    36.11
11     2     2     2     2015  5.05                    44.31
12     1     1     1     2015  26.18                   38.56
12     4     1     1     2015  0.00                    43.56
12     2     1     2     2015  4.90                    37.99
13     1     2     1     2015  5.78                    53.59
13     1     1     2     2015  6.57                    42.97
13     2     2     2     2015  13.75                   30.50
14     2     1     2     2015  0.79                    60.97
1      1     2     1     2016  12.69                   39.35
1      1     3     1     2016  72.30                   46.90
1      4     2     1     2016  14.22                   66.71
1      1     2     2     2016  2.85                    60.09
1      1     3     2     2016  4.91                    39.44
1      3     3     2     2016  10.18                   18.00
2      1     1     1     2016  4.30                    60.19
2      1     2     1     2016  9.26                    52.49
2      4     2     1     2016  31.73                   72.42
2      1     1     2     2016  9.86                    64.86
2      1     2     2     2016  15.09                   55.10
3      1     1     1     2016  0.15                    79.18
3      1     2     1     2016  0.40                    62.80
3      4     1     1     2016  10.11                   98.97
3      1     1     2     2016  0.43                    87.64
3      1     2     2     2016  2.16                    82.57
