COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
37     12RM  1C    1S    2S    "Rocky Mountain"        "CO,UT"             "Surface"         "Subbituminous"   "Low"          17.920            4.324         6.948           6.566           0.658          75.000            20.246
38     13ZN  2M    2D    1B    "Arizona/New Mexico"    "AZ,NM"             "Deep"            "Bituminous"      "Medium"       14.730            2.969         3.384           16.997          0.175          80.000            19.161
39     13ZN  1C    1S    1B    "Arizona/New Mexico"    "AZ,NM"             "Surface"         "Bituminous"      "Low"          33.557            0.010         6.948           0.013           0.769          80.000            21.398
40     13ZN  2M    1S    2S    "Arizona/New Mexico"    "AZ,NM"             "Surface"         "Subbituminous"   "Medium"       20.734            7.775         6.948           10.107          0.769          80.000            18.465
41     14AW  1C    1S    2S    "Alaska/Washington"     "AK,WA"             "Surface"         "Subbituminous"   "Low"          30.669            0.807         5.332           2.322           0.347          65.000            14.800
;
COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  Sulfur                  Carbon              Mercury           BY_PROD_CAP_ADJ   BY_MMP_ADJ     ELEC_SHARE        DIST_SHARE    BY_WAGE         BY_ELEC_PRICE   RCoe_OCont     RCoe_SregCont     RCoe_MTypeCont
1      01NA  2M    2D    1B    1.111                   204.700             14.272            4.050             0.949          0.860             0.140         43433.228       10.945          -6.532         0.000             -0.220
2      01NA  3H    2D    1B    2.498                   204.700             13.330            1.700             1.132          0.860             0.140         43433.228       10.945          -6.532         0.000             -0.220
3      01NA  2M    2D    4P    0.564                   204.700             0.000             4.600             0.596          0.860             0.140         43433.228       10.945          -6.532         0.000             -0.220
4      01NA  2M    1S    1B    1.397                   204.700             23.457            3.100             0.878          0.210             0.790         42986.230       11.746          -6.532         0.000             0.000
5      01NA  3H    1S    1B    3.379                   204.700             55.069            1.250             1.048          0.210             0.790         42986.230       11.746          -6.532         0.000             0.000
6      01NA  3H    1S    5G    5.186                   204.700             27.618            1.800             2.667          0.210             0.790         42986.230       11.746          -6.532         0.000             0.000
7      02CA  1C    2D    1B    0.334                   206.400             5.737             64.650            1.018          0.860             0.140         41422.562       10.677          -6.532         0.000             -0.220
8      02CA  2M    2D    1B    0.826                   206.400             8.011             5.200             1.160          0.860             0.140         41422.562       10.677          -6.532         0.000             -0.220
9      02CA  2M    2D    4P    0.371                   206.400             0.000             1.250             0.755          0.860             0.140         41422.562       10.677          -6.532         0.000             -0.220
