COMPOSITE TABLE:
ImpSec              nUS                 DReg                USi                 Pinlandtr
E                   AU                  05GF                UI                  999.99
E                   AU                  06OH                UI                  999.99
E                   AU                  07EN                UI                  999.99
E                   AU                  08KT                UI                  999.99
E                   AU                  09AM                UI                  999.99
E                   AU                  10C1                UI                  999.99
E                   AU                  11C2                UI                  999.99
E                   AU                  12WS                UI                  999.99
E                   AU                  13MT                UI                  999.99
E                   AU                  14CU                UI                  999.99
E                   AU                  15ZN                UI                  999.99
E                   AU                  16PC                UI                  999.99
E                   VT                  01NE                UI                  999.99
E                   VT                  02YP                UI                  999.99
E                   VT                  03S1                UI                  999.99
E                   VT                  04S2                UI                  999.99
E                   VT                  05GF                UI                  999.99
E                   VT                  06OH                UI                  999.99
E                   VT                  07EN                UI                  999.99
E                   VT                  08KT                UI                  999.99
E                   VT                  09AM                UI                  999.99
E                   VT                  10C1                UI                  999.99
E                   VT                  11C2                UI                  999.99
E                   VT                  12WS                UI                  999.99
E                   VT                  13MT                UI                  999.99
E                   VT                  14CU                UI                  999.99
E                   VT                  15ZN                UI                  999.99
E                   VT                  16PC                UI                  999.99
I                   NI                  01NE                UI                  999.99
I                   NI                  02YP                UI                  999.99
I                   NI                  03S1                UI                  999.99
I                   NI                  04S2                UI                  999.99
I                   NI                  05GF                UI                  999.99
I                   NI                  06OH                UI                  999.99
I                   NI                  07EN                UI                  999.99
I                   NI                  08KT                UI                  999.99
I                   NI                  09AM                UI                  999.99
I                   NI                  10C1                UI                  999.99
I                   NI                  11C2                UI                  999.99
I                   NI                  12WS                UI                  999.99
I                   NI                  13MT                UI                  999.99
I                   NI                  14CU                UI                  999.99
I                   NI                  15ZN                UI                  999.99
I                   NI                  16PC                UI                  999.99
I                   NW                  01NE                UI                  999.99
I                   NW                  02YP                UI                  999.99
I                   NW                  03S1                UI                  999.99
I                   NW                  04S2                UI                  999.99
I                   NW                  05GF                UI                  999.99
I                   NW                  06OH                UI                  999.99
I                   NW                  07EN                UI                  999.99
I                   NW                  08KT                UI                  999.99
I                   NW                  09AM                UI                  999.99
I                   NW                  10C1                UI                  999.99
I                   NW                  11C2                UI                  999.99
I                   NW                  12WS                UI                  999.99
I                   NW                  13MT                UI                  999.99
I                   NW                  14CU                UI                  999.99
I                   NW                  15ZN                UI                  999.99
I                   NW                  16PC                UI                  999.99
I                   CL                  01NE                UI                  999.99
I                   CL                  02YP                UI                  999.99
I                   CL                  03S1                UI                  999.99
I                   CL                  04S2                UI                  999.99
I                   CL                  05GF                UI                  999.99
I                   CL                  06OH                UI                  999.99
I                   CL                  07EN                UI                  999.99
I                   CL                  08KT                UI                  999.99
I                   CL                  09AM                UI                  999.99
I                   CL                  10C1                UI                  999.99
I                   CL                  11C2                UI                  999.99
I                   CL                  12WS                UI                  999.99
I                   CL                  13MT                UI                  999.99
I                   CL                  14CU                UI                  999.99
I                   CL                  15ZN                UI                  999.99
I                   CL                  16PC                UI                  999.99
I                   VZ                  01NE                UI                  999.99
I                   VZ                  02YP                UI                  999.99
I                   VZ                  03S1                UI                  999.99
I                   VZ                  04S2                UI                  999.99
I                   VZ                  05GF                UI                  999.99
I                   VZ                  06OH                UI                  999.99
I                   VZ                  07EN                UI                  999.99
I                   VZ                  08KT                UI                  999.99
I                   VZ                  09AM                UI                  999.99
I                   VZ                  10C1                UI                  999.99
I                   VZ                  11C2                UI                  999.99
I                   VZ                  12WS                UI                  999.99
I                   VZ                  13MT                UI                  999.99
I                   VZ                  14CU                UI                  999.99
I                   VZ                  15ZN                UI                  999.99
I                   VZ                  16PC                UI                  999.99
I                   PO                  01NE                UI                  999.99
I                   PO                  02YP                UI                  999.99
I                   PO                  03S1                UI                  999.99
I                   PO                  04S2                UI                  999.99
I                   PO                  05GF                UI                  999.99
I                   PO                  06OH                UI                  999.99
I                   PO                  07EN                UI                  999.99
I                   PO                  08KT                UI                  999.99
I                   PO                  09AM                UI                  999.99
I                   PO                  10C1                UI                  999.99
I                   PO                  11C2                UI                  999.99
I                   PO                  12WS                UI                  999.99
I                   PO                  13MT                UI                  999.99
I                   PO                  14CU                UI                  999.99
I                   PO                  15ZN                UI                  999.99
I                   PO                  16PC                UI                  999.99
I                   RE                  01NE                UI                  999.99
I                   RE                  02YP                UI                  999.99
I                   RE                  03S1                UI                  999.99
I                   RE                  04S2                UI                  999.99
I                   RE                  05GF                UI                  999.99
I                   RE                  06OH                UI                  999.99
I                   RE                  07EN                UI                  999.99
I                   RE                  08KT                UI                  999.99
I                   RE                  09AM                UI                  999.99
I                   RE                  10C1                UI                  999.99
I                   RE                  11C2                UI                  999.99
I                   RE                  12WS                UI                  999.99
I                   RE                  13MT                UI                  999.99
I                   RE                  14CU                UI                  999.99
I                   RE                  15ZN                UI                  999.99
I                   RE                  16PC                UI                  999.99
I                   RA                  01NE                UI                  999.99
I                   RA                  02YP                UI                  999.99
I                   RA                  03S1                UI                  999.99
I                   RA                  04S2                UI                  999.99
I                   RA                  05GF                UI                  999.99
I                   RA                  06OH                UI                  999.99
I                   RA                  07EN                UI                  999.99
I                   RA                  08KT                UI                  999.99
I                   RA                  09AM                UI                  999.99
I                   RA                  10C1                UI                  999.99
I                   RA                  11C2                UI                  999.99
I                   RA                  12WS                UI                  999.99
I                   RA                  13MT                UI                  999.99
I                   RA                  14CU                UI                  999.99
I                   RA                  15ZN                UI                  999.99
I                   RA                  16PC                UI                  999.99
I                   SF                  01NE                UI                  999.99
I                   SF                  02YP                UI                  999.99
I                   SF                  03S1                UI                  999.99
I                   SF                  04S2                UI                  999.99
I                   SF                  05GF                UI                  999.99
I                   SF                  06OH                UI                  999.99
I                   SF                  07EN                UI                  999.99
I                   SF                  08KT                UI                  999.99
I                   SF                  09AM                UI                  999.99
I                   SF                  10C1                UI                  999.99
I                   SF                  11C2                UI                  999.99
I                   SF                  12WS                UI                  999.99
I                   SF                  13MT                UI                  999.99
I                   SF                  14CU                UI                  999.99
I                   SF                  15ZN                UI                  999.99
I                   SF                  16PC                UI                  999.99
I                   IN                  01NE                UI                  999.99
I                   IN                  02YP                UI                  999.99
I                   IN                  03S1                UI                  999.99
I                   IN                  04S2                UI                  999.99
I                   IN                  05GF                UI                  999.99
I                   IN                  06OH                UI                  999.99
I                   IN                  07EN                UI                  999.99
I                   IN                  08KT                UI                  999.99
I                   IN                  09AM                UI                  999.99
I                   IN                  10C1                UI                  999.99
I                   IN                  11C2                UI                  999.99
I                   IN                  12WS                UI                  999.99
I                   IN                  13MT                UI                  999.99
I                   IN                  14CU                UI                  999.99
I                   IN                  15ZN                UI                  999.99
I                   IN                  16PC                UI                  999.99
I                   HI                  01NE                UI                  999.99
I                   HI                  02YP                UI                  999.99
I                   HI                  03S1                UI                  999.99
I                   HI                  04S2                UI                  999.99
I                   HI                  05GF                UI                  999.99
