COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
469_2               56                  469                 "2"                 "Cherokee"                    "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
469_3               57                  469                 "3"                 "Cherokee"                    "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
470_1               58                  470                 "1"                 "Comanche (CO)"               "CO"                14                  0.0000         0.0000         0.0000         1.0000         1              11
470_2               59                  470                 "2"                 "Comanche (CO)"               "CO"                14                  0.0000         0.0000         0.0000         1.0000         1              11
470_3               60                  470                 "3"                 "Comanche (CO)"               "CO"                14                  0.0000         0.0000         0.0000         1.0000         1              11
477_5               61                  477                 "5"                 "Valmont"                     "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
492_5               62                  492                 "5"                 "Martin Drake"                "CO"                14                  0.0000         0.0000         0.0000         1.0000         1              11
508_4               63                  508                 "4"                 "Lamar Plant"                 "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
508_6               64                  508                 "6"                 "Lamar Plant"                 "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
511_1               65                  511                 "1"                 "Trinidad (CO)"               "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
525_1               66                  525                 "1"                 "Hayden"                      "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
525_2               67                  525                 "2"                 "Hayden"                      "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
527_1               68                  527                 "1"                 "Nucla"                       "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
527_2               69                  527                 "2"                 "Nucla"                       "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
527_3               70                  527                 "3"                 "Nucla"                       "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
527_ST4             71                  527                 "ST4"               "Nucla"                       "CO"                14                  1.0000         0.0000         0.0000         0.0000         1              1
564_1               72                  564                 "1"                 "Stanton Energy Cente"        "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
564_2               73                  564                 "2"                 "Stanton Energy Cente"        "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
568_3               74                  568                 "3"                 "Bridgeport Station"          "CT"                1                   0.0000         0.0000         0.0000         1.0000         1              11
594_1               75                  594                 "1"                 "Indian River Generat"        "DE"                3                   1.0000         0.0000         0.0000         0.0000         1              1
594_2               76                  594                 "2"                 "Indian River Generat"        "DE"                3                   1.0000         0.0000         0.0000         0.0000         1              1
594_3               77                  594                 "3"                 "Indian River Generat"        "DE"                3                   1.0000         0.0000         0.0000         0.0000         1              1
594_4               78                  594                 "4"                 "Indian River Generat"        "DE"                3                   1.0000         0.0000         0.0000         0.0000         1              1
602_1               79                  602                 "1"                 "Brandon Shores"              "MD"                3                   1.0000         0.0000         0.0000         0.0000         1              1
602_2               80                  602                 "2"                 "Brandon Shores"              "MD"                3                   1.0000         0.0000         0.0000         0.0000         1              1
628_1               81                  628                 "1"                 "Crystal River"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
628_2               82                  628                 "2"                 "Crystal River"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
628_5               83                  628                 "5"                 "Crystal River"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
628_ST4             84                  628                 "ST4"               "Crystal River"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
642_1               85                  642                 "1"                 "Scholz"                      "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
642_2               86                  642                 "2"                 "Scholz"                      "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
643_1               87                  643                 "1"                 "Lansing Smith"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
643_2               88                  643                 "2"                 "Lansing Smith"               "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
645_ST2             89                  645                 "ST2"               "Big Bend"                    "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
645_ST4             90                  645                 "ST4"               "Big Bend"                    "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
667_1               91                  667                 "1"                 "Northside Generating"        "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
667_2               92                  667                 "2"                 "Northside Generating"        "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
676_3               93                  676                 "3"                 "C D McIntosh Jr"             "FL"                5                   1.0000         0.0000         0.0000         0.0000         1              1
703_1               94                  703                 "1"                 "Bowen"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
703_2               95                  703                 "2"                 "Bowen"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
703_3               96                  703                 "3"                 "Bowen"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
703_4               97                  703                 "4"                 "Bowen"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
708_1               98                  708                 "1"                 "Hammond"                     "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
708_2               99                  708                 "2"                 "Hammond"                     "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
708_3               100                 708                 "3"                 "Hammond"                     "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
708_4               101                 708                 "4"                 "Hammond"                     "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
709_1               102                 709                 "1"                 "Harllee Branch"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
709_2               103                 709                 "2"                 "Harllee Branch"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
709_3               104                 709                 "3"                 "Harllee Branch"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
709_4               105                 709                 "4"                 "Harllee Branch"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
710_1               106                 710                 "1"                 "Jack McDonough"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
