COMPOSITE TABLE:
e    i    tc   vclass    IntlNauticalMiles   VesselLadingT
NI   CH   2    No_Ship   0                   0
NI   EA   1    No_Ship   0                   0
NI   EA   2    No_Ship   0                   0
NI   GY   1    No_Ship   0                   0
NI   GY   2    No_Ship   0                   0
NI   IN   1    No_Ship   0                   0
NI   IN   2    No_Ship   0                   0
NI   JA   1    No_Ship   0                   0
NI   JA   2    No_Ship   0                   0
NI   LA   1    No_Ship   0                   0
NI   LA   2    No_Ship   0                   0
NI   MX   1    No_Ship   0                   0
NI   MX   2    No_Ship   0                   0
NI   NE   1    No_Ship   0                   0
NI   NE   2    No_Ship   0                   0
NI   NI   1    No_Ship   0                   0
NI   NI   2    No_Ship   0                   0
NI   OW   1    No_Ship   0                   0
NI   OW   2    No_Ship   0                   0
NI   PS   1    No_Ship   0                   0
NI   PS   2    No_Ship   0                   0
NI   RM   1    No_Ship   0                   0
NI   RM   2    No_Ship   0                   0
NI   SC   1    No_Ship   0                   0
NI   SC   2    No_Ship   0                   0
NI   TL   1    No_Ship   0                   0
NI   TL   2    No_Ship   0                   0
NI   UE   1    Panamax   2700                35000
NI   UE   2    No_Ship   0                   0
NI   UG   1    No_Ship   0                   0
NI   UG   2    No_Ship   0                   0
NI   UI   1    Panamax   1700                35000
NI   UI   2    No_Ship   0                   0
NI   UN   1    No_Ship   0                   0
NI   UN   2    No_Ship   0                   0
NW   AS   1    Panamax   7288                70000
NW   AS   2    Panamax   7288                70000
NW   BT   1    Panamax   8926                70000
NW   BT   2    Panamax   8926                70000
NW   CH   1    Panamax   5756                70000
NW   CH   2    Panamax   5756                70000
NW   EA   1    Capesize  5027                120000
NW   EA   2    Capesize  5027                120000
NW   GY   1    Panamax   9101                70000
NW   GY   2    Panamax   9101                70000
NW   IN   1    Panamax   8561                70000
NW   IN   2    Panamax   8561                70000
NW   JA   1    Capesize  4299                120000
NW   JA   2    Capesize  4299                120000
NW   LA   1    Panamax   6835                70000
NW   LA   2    Panamax   6835                70000
NW   MX   1    Panamax   2916                45000
NW   MX   2    Panamax   2916                45000
NW   NE   1    No_Ship   0                   0
NW   NE   2    No_Ship   0                   0
NW   NI   1    No_Ship   0                   0
NW   NI   2    No_Ship   0                   0
NW   OW   1    Panamax   8861                70000
NW   OW   2    Panamax   8861                70000
NW   PS   1    Panamax   8401                70000
NW   PS   2    Panamax   8401                70000
NW   RM   1    Panamax   10346               70000
NW   RM   2    Panamax   10346               70000
NW   SC   1    Panamax   9754                70000
NW   SC   2    Panamax   9754                70000
NW   TL   1    Panamax   9723                70000
NW   TL   2    Panamax   9723                70000
NW   UE   1    Panamax   3000                35000
NW   UE   2    No_Ship   5565                0
NW   UG   1    No_Ship   5588                0
NW   UG   2    No_Ship   5588                0
NW   UI   1    Panamax   2000                35000
NW   UI   2    No_Ship   6196                0
NW   UN   1    No_Ship   2419                0
NW   UN   2    No_Ship   2419                0
PO   AS   1    Panamax   12375               70000
PO   AS   2    Panamax   12375               70000
PO   BT   1    Panamax   867                 70000
PO   BT   2    Panamax   867                 70000
PO   CH   1    Panamax   13878               70000
PO   CH   2    Panamax   13878               70000
PO   EA   1    Panamax   13973               70000
PO   EA   2    Panamax   13973               70000
PO   GY   1    Panamax   781                 70000
PO   GY   2    Panamax   781                 70000
PO   IN   1    Panamax   11530               70000
PO   IN   2    Panamax   11530               70000
PO   JA   1    Panamax   13176               70000
PO   JA   2    Panamax   13176               70000
PO   LA   1    Panamax   4833                55000
PO   LA   2    Panamax   4833                55000
PO   MX   1    Panamax   6622                45000
PO   MX   2    Panamax   6622                45000
PO   NE   1    No_Ship   3296                0
PO   NE   2    No_Ship   3296                0
PO   NI   1    No_Ship   3733                0
PO   NI   2    No_Ship   3733                0
PO   OW   1    Panamax   874                 70000
PO   OW   2    Panamax   874                 70000
PO   PS   1    Panamax   1551                70000
PO   PS   2    Panamax   1551                70000
PO   RM   1    Panamax   3516                70000
PO   RM   2    Panamax   3516                70000
PO   SC   1    Panamax   422                 70000
PO   SC   2    Panamax   422                 70000
PO   TL   1    Panamax   3450                70000
PO   TL   2    Panamax   3450                70000
PO   UE   1    No_Ship   4530                0
PO   UE   2    Panamax   4530                50000
PO   UG   1    No_Ship   5583                0
PO   UG   2    Panamax   5583                50000
PO   UI   1    No_Ship   3773                0
PO   UI   2    No_Ship   3773                0
PO   UN   1    No_Ship   10137               0
PO   UN   2    No_Ship   10137               0
RA   AS   1    Panamax   3217                70000
RA   AS   2    Panamax   3217                70000
RA   BT   1    No_Ship   0                   0
RA   BT   2    No_Ship   0                   0
RA   CH   1    Panamax   1639                70000
RA   CH   2    Panamax   1639                70000
RA   EA   1    Panamax   895                 70000
RA   EA   2    Panamax   895                 70000
RA   GY   1    No_Ship   0                   0
RA   GY   2    No_Ship   0                   0
RA   IN   1    Panamax   5422                70000
RA   IN   2    Panamax   5422                70000
RA   JA   1    Panamax   983                 70000
RA   JA   2    Panamax   983                 70000
RA   LA   1    Panamax   8312                70000
RA   LA   2    Panamax   8312                70000
RA   MX   1    Panamax   6608                45000
RA   MX   2    Panamax   6608                45000
RA   NE   1    No_Ship   0                   0
RA   NE   2    No_Ship   0                   0
RA   NI   1    No_Ship   0                   0
RA   NI   2    No_Ship   0                   0
RA   OW   1    No_Ship   0                   0
RA   OW   2    No_Ship   0                   0
RA   PS   1    No_Ship   0                   0
RA   PS   2    No_Ship   0                   0
RA   RM   1    No_Ship   0                   0
RA   RM   2    No_Ship   0                   0
RA   SC   1    No_Ship   0                   0
RA   SC   2    No_Ship   0                   0
RA   TL   1    No_Ship   0                   0
RA   TL   2    No_Ship   0                   0
RA   UE   1    No_Ship   0                   0
RA   UE   2    No_Ship   0                   0
RA   UG   1    No_Ship   0                   0
RA   UG   2    No_Ship   0                   0
RA   UI   1    No_Ship   0                   0
RA   UI   2    No_Ship   0                   0
RA   UN   1    No_Ship   0                   0
RA   UN   2    No_Ship   0                   0
RE   AS   1    No_Ship   0                   0
RE   AS   2    No_Ship   0                   0
RE   BT   1    Panamax   1070                70000
RE   BT   2    Panamax   1070                70000
RE   CH   1    No_Ship   0                   0
RE   CH   2    No_Ship   0                   0
RE   EA   1    No_Ship   0                   0
RE   EA   2    No_Ship   0                   0
RE   GY   1    Panamax   984                 70000
RE   GY   2    Panamax   984                 70000
RE   IN   1    No_Ship   0                   0
RE   IN   2    No_Ship   0                   0
RE   JA   1    No_Ship   0                   0
RE   JA   2    No_Ship   0                   0
RE   LA   1    Panamax   5036                70000
RE   LA   2    Panamax   5036                70000
RE   MX   1    Panamax   5838                45000
RE   MX   2    Panamax   5838                45000
RE   NE   1    No_Ship   3499                0
RE   NE   2    No_Ship   3499                0
RE   NI   1    No_Ship   3936                0
RE   NI   2    No_Ship   3936                0
RE   OW   1    Panamax   1077                70000
RE   OW   2    Panamax   1077                70000
RE   PS   1    Panamax   1754                70000
RE   PS   2    Panamax   1754                70000
RE   RM   1    Panamax   1361                45000
RE   RM   2    Panamax   1361                45000
RE   SC   1    Panamax   316                 70000
RE   SC   2    Panamax   316                 70000
RE   TL   1    Panamax   1453                45000
RE   TL   2    Panamax   1453                45000
RE   UE   1    No_Ship   4733                0
RE   UE   2    No_Ship   4733                0
RE   UG   1    No_Ship   5786                0
RE   UG   2    No_Ship   5786                0
RE   UI   1    No_Ship   3976                0
RE   UI   2    No_Ship   3976                0
RE   UN   1    No_Ship   10340               0
RE   UN   2    No_Ship   10340               0
SF   AS   1    Capesize  4670                150000
SF   AS   2    Capesize  4670                150000
SF   BT   1    Capesize  7709                150000
SF   BT   2    Capesize  7009                150000
SF   CH   1    Capesize  6233                150000
SF   CH   2    Capesize  6233                150000
SF   EA   1    Capesize  7333                150000
SF   EA   2    Capesize  7333                150000
SF   GY   1    Capesize  7884                150000
SF   GY   2    Capesize  7184                150000
SF   IN   1    Capesize  3253                150000
SF   IN   2    Capesize  3809                150000
SF   JA   1    Capesize  7602                150000
SF   JA   2    Capesize  7602                150000
SF   LA   1    Capesize  5121                150000
SF   LA   2    Capesize  4429                150000
SF   MX   1    Panamax   8267                45000
SF   MX   2    Panamax   8267                45000
SF   NE   1    No_Ship   7272                0
SF   NE   2    Panamax   7272                35000
SF   NI   1    No_Ship   7916                0
SF   NI   2    No_Ship   7916                0
SF   OW   1    Capesize  7644                150000
SF   OW   2    Capesize  6944                150000
SF   PS   1    Panamax   7021                70000
SF   PS   2    Panamax   6321                70000
SF   RM   1    Capesize  8526                120000
SF   RM   2    Capesize  7834                120000
SF   SC   1    Capesize  8745                150000
SF   SC   2    Capesize  8045                150000
SF   TL   1    Capesize  6240                150000
SF   TL   2    Capesize  5540                150000
SF   UE   1    No_Ship   7626                0
SF   UE   2    Panamax   7626                35000
SF   UG   1    No_Ship   8277                0
SF   UG   2    Panamax   8277                35000
SF   UI   1    No_Ship   7486                0
SF   UI   2    No_Ship   7486                0
SF   UN   1    No_Ship   10309               0
SF   UN   2    No_Ship   10309               0
UE   AS   1    Panamax   10085               70000
UE   AS   2    Panamax   10085               70000
UE   BT   1    Panamax   3590                70000
UE   BT   2    Panamax   3590                70000
UE   CH   1    Panamax   11009               70000
UE   CH   2    Panamax   11009               70000
