COMPOSITE TABLE:
i  tc yr    InternationalDemand
GY 1  2026  5.15
GY 1  2027  5.15
GY 1  2028  5.15
GY 1  2029  5.15
GY 1  2030  5.15
GY 1  2031  5.15
GY 1  2032  5.15
GY 1  2033  5.15
GY 1  2034  5.15
GY 1  2035  5.15
GY 1  2036  5.15
GY 1  2037  5.15
GY 1  2038  5.15
GY 1  2039  5.15
GY 1  2040  5.15
GY 1  2041  5.15
GY 1  2042  5.15
GY 1  2043  5.15
GY 1  2044  5.15
GY 1  2045  5.15
GY 1  2046  5.15
GY 1  2047  5.15
GY 1  2048  5.15
GY 1  2049  5.15
GY 1  2050  5.15
IN 1  1990  0.00
IN 1  2001  14.20
IN 1  2002  14.60
IN 1  2003  16.30
IN 1  2004  17.10
IN 1  2005  19.80
IN 1  2006  19.00
IN 1  2007  23.10
IN 1  2008  27.59
IN 1  2009  28.73
IN 1  2010  34.62
IN 1  2011  32.33
IN 1  2012  34.83
IN 1  2013  37.49
IN 1  2014  46.08
IN 1  2015  49.32
IN 1  2016  48.38
IN 1  2017  49.05
IN 1  2018  56.36
IN 1  2019  57.14
IN 1  2020  48.88
IN 1  2021  58.89
IN 1  2022  65.69
IN 1  2023  68.71
IN 1  2024  71.72
IN 1  2025  73.00
IN 1  2026  75.71
IN 1  2027  78.52
IN 1  2028  81.44
IN 1  2029  84.46
IN 1  2030  87.60
IN 1  2031  90.85
IN 1  2032  94.23
IN 1  2033  97.73
IN 1  2034  101.36
IN 1  2035  105.12
IN 1  2036  108.66
IN 1  2037  112.32
IN 1  2038  116.10
IN 1  2039  120.00
IN 1  2040  124.04
IN 1  2041  128.22
IN 1  2042  132.53
IN 1  2043  136.99
IN 1  2044  141.60
IN 1  2045  146.37
IN 1  2046  151.30
IN 1  2047  156.39
IN 1  2048  161.65
IN 1  2049  167.09
IN 1  2050  172.72
JA 1  1990  63.20
JA 1  2001  69.20
JA 1  2002  70.40
JA 1  2003  71.30
JA 1  2004  69.00
JA 1  2005  73.30
JA 1  2006  74.50
JA 1  2007  80.80
JA 1  2008  82.14
JA 1  2009  65.01
JA 1  2010  78.21
JA 1  2011  70.84
JA 1  2012  71.29
JA 1  2013  75.77
JA 1  2014  75.01
JA 1  2015  72.80
JA 1  2016  76.57
JA 1  2017  68.66
JA 1  2018  66.97
JA 1  2019  68.22
JA 1  2020  63.75
JA 1  2021  65.79
JA 1  2022  66.96
JA 1  2023  67.34
JA 1  2024  68.32
JA 1  2025  69.00
JA 1  2026  69.27
JA 1  2027  69.55
JA 1  2028  69.82
JA 1  2029  70.10
JA 1  2030  70.38
JA 1  2031  69.81
JA 1  2032  69.24
JA 1  2033  68.68
JA 1  2034  68.12
JA 1  2035  67.56
JA 1  2036  67.02
JA 1  2037  66.47
JA 1  2038  65.93
JA 1  2039  65.39
JA 1  2040  64.86
JA 1  2041  64.33
JA 1  2042  63.81
JA 1  2043  63.29
JA 1  2044  62.78
JA 1  2045  62.27
JA 1  2046  61.76
JA 1  2047  61.26
JA 1  2048  60.76
JA 1  2049  60.27
JA 1  2050  59.78
LA 1  1990  11.30
LA 1  2001  13.50
LA 1  2002  11.60
LA 1  2003  14.20
LA 1  2004  13.10
LA 1  2005  13.40
LA 1  2006  13.90
LA 1  2007  15.70
LA 1  2008  14.29
LA 1  2009  13.05
LA 1  2010  14.27
LA 1  2011  14.75
LA 1  2012  14.37
LA 1  2013  15.04
LA 1  2014  17.15
LA 1  2015  16.30
LA 1  2016  16.14
LA 1  2017  17.03
LA 1  2018  16.91
LA 1  2019  13.60
LA 1  2020  11.86
LA 1  2021  15.03
LA 1  2022  15.85
LA 1  2023  16.26
LA 1  2024  16.36
LA 1  2025  16.36
LA 1  2026  16.58
LA 1  2027  16.81
LA 1  2028  17.04
LA 1  2029  17.27
LA 1  2030  17.50
LA 1  2031  17.74
LA 1  2032  17.98
LA 1  2033  18.23
LA 1  2034  18.48
LA 1  2035  18.73
LA 1  2036  18.98
LA 1  2037  19.24
LA 1  2038  19.50
LA 1  2039  19.77
LA 1  2040  20.04
LA 1  2041  20.31
LA 1  2042  20.59
LA 1  2043  20.87
LA 1  2044  21.15
LA 1  2045  21.44
LA 1  2046  21.73
LA 1  2047  22.03
LA 1  2048  22.33
LA 1  2049  22.63
LA 1  2050  22.94
MX 1  1990  0.00
MX 1  2001  1.00
MX 1  2002  1.00
MX 1  2003  1.00
MX 1  2004  1.00
MX 1  2005  1.10
MX 1  2006  1.00
MX 1  2007  0.90
MX 1  2008  1.90
MX 1  2009  1.01
MX 1  2010  1.48
MX 1  2011  1.27
MX 1  2012  1.03
MX 1  2013  3.45
MX 1  2014  2.08
MX 1  2015  0.67
MX 1  2016  0.57
MX 1  2017  1.04
MX 1  2018  0.82
MX 1  2019  0.41
MX 1  2020  0.41
MX 1  2021  0.61
MX 1  2022  0.92
MX 1  2023  1.02
MX 1  2024  1.02
MX 1  2025  1.02
MX 1  2026  1.02
MX 1  2027  1.03
MX 1  2028  1.03
MX 1  2029  1.03
MX 1  2030  1.03
MX 1  2031  1.03
MX 1  2032  1.04
MX 1  2033  1.04
MX 1  2034  1.04
MX 1  2035  1.04
MX 1  2036  1.05
MX 1  2037  1.05
MX 1  2038  1.05
MX 1  2039  1.05
MX 1  2040  1.05
MX 1  2041  1.06
MX 1  2042  1.06
MX 1  2043  1.06
MX 1  2044  1.06
MX 1  2045  1.06
MX 1  2046  1.07
MX 1  2047  1.07
MX 1  2048  1.07
MX 1  2049  1.07
MX 1  2050  1.07
NE 1  1990  0.00
NE 1  2001  0.00
NE 1  2002  0.00
NE 1  2003  0.00
NE 1  2004  0.00
NE 1  2005  0.00
NE 1  2006  0.00
NE 1  2007  0.00
NE 1  2008  0.00
NE 1  2009  0.00
NE 1  2010  0.00
NE 1  2011  0.00
NE 1  2012  0.00
NE 1  2013  0.00
NE 1  2014  0.00
NE 1  2015  0.00
NE 1  2016  0.00
NE 1  2017  0.00
NE 1  2018  0.00
NE 1  2019  0.00
NE 1  2020  0.00
NE 1  2021  0.00
NE 1  2022  0.00
NE 1  2023  0.00
NE 1  2024  0.00
NE 1  2025  0.00
NE 1  2026  0.00
NE 1  2027  0.00
NE 1  2028  0.00
NE 1  2029  0.00
NE 1  2030  0.00
NE 1  2031  0.00
NE 1  2032  0.00
NE 1  2033  0.00
NE 1  2034  0.00
NE 1  2035  0.00
NE 1  2036  0.00
NE 1  2037  0.00
NE 1  2038  0.00
NE 1  2039  0.00
NE 1  2040  0.00
NE 1  2041  0.00
NE 1  2042  0.00
NE 1  2043  0.00
NE 1  2044  0.00
NE 1  2045  0.00
NE 1  2046  0.00
NE 1  2047  0.00
NE 1  2048  0.00
NE 1  2049  0.00
NE 1  2050  0.00
NI 1  1990  8.70
NI 1  2001  3.40
NI 1  2002  4.10
NI 1  2003  3.20
NI 1  2004  3.20
NI 1  2005  4.20
NI 1  2006  4.20
NI 1  2007  4.20
NI 1  2008  3.51
NI 1  2009  2.34
NI 1  2010  3.30
NI 1  2011  4.01
NI 1  2012  4.66
NI 1  2013  3.58
NI 1  2014  4.20
NI 1  2015  4.15
NI 1  2016  3.65
NI 1  2017  4.00
NI 1  2018  4.47
NI 1  2019  4.04
NI 1  2020  3.19
NI 1  2021  3.51
NI 1  2022  3.72
NI 1  2023  3.72
NI 1  2024  3.83
NI 1  2025  3.70
NI 1  2026  3.71
NI 1  2027  3.71
NI 1  2028  3.72
NI 1  2029  3.73
NI 1  2030  3.74
NI 1  2031  3.74
NI 1  2032  3.75
NI 1  2033  3.76
NI 1  2034  3.77
NI 1  2035  3.77
NI 1  2036  3.78
NI 1  2037  3.79
NI 1  2038  3.80
NI 1  2039  3.80
NI 1  2040  3.81
NI 1  2041  3.82
NI 1  2042  3.83
NI 1  2043  3.83
NI 1  2044  3.84
NI 1  2045  3.85
NI 1  2046  3.86
NI 1  2047  3.87
NI 1  2048  3.87
NI 1  2049  3.88
NI 1  2050  3.89
OW 1  1990  18.60
OW 1  2001  16.60
OW 1  2002  15.50
OW 1  2003  15.30
OW 1  2004  16.60
OW 1  2005  16.20
OW 1  2006  14.50
OW 1  2007  17.10
OW 1  2008  17.84
OW 1  2009  11.99
OW 1  2010  17.98
OW 1  2011  18.79
OW 1  2012  19.95
OW 1  2013  19.56
OW 1  2014  21.24
OW 1  2015  20.17
OW 1  2016  20.02
OW 1  2017  17.11
OW 1  2018  19.46
OW 1  2019  17.45
OW 1  2020  12.94
OW 1  2021  14.85
OW 1  2022  15.25
OW 1  2023  15.95
OW 1  2024  16.15
OW 1  2025  16.00
OW 1  2026  15.94
OW 1  2027  15.87
OW 1  2028  15.81
OW 1  2029  15.74
OW 1  2030  15.68
OW 1  2031  15.62
OW 1  2032  15.55
OW 1  2033  15.49
OW 1  2034  15.43
OW 1  2035  15.37
OW 1  2036  15.30
OW 1  2037  15.24
OW 1  2038  15.18
OW 1  2039  15.12
OW 1  2040  15.06
OW 1  2041  15.00
OW 1  2042  14.94
OW 1  2043  14.88
OW 1  2044  14.82
OW 1  2045  14.76
OW 1  2046  14.70
OW 1  2047  14.64
OW 1  2048  14.58
OW 1  2049  14.52
OW 1  2050  14.46
PS 1  1990  4.40
PS 1  2001  4.40
PS 1  2002  4.10
PS 1  2003  4.60
PS 1  2004  4.20
PS 1  2005  5.30
PS 1  2006  4.40
PS 1  2007  4.50
PS 1  2008  2.81
PS 1  2009  2.33
PS 1  2010  3.23
PS 1  2011  2.41
PS 1  2012  2.13
PS 1  2013  2.83
PS 1  2014  2.22
PS 1  2015  2.05
PS 1  2016  2.29
PS 1  2017  1.90
PS 1  2018  2.04
PS 1  2019  0.90
PS 1  2020  0.70
PS 1  2021  1.00
PS 1  2022  1.00
PS 1  2023  1.00
PS 1  2024  1.00
PS 1  2025  1.00
PS 1  2026  1.00
PS 1  2027  0.99
PS 1  2028  0.99
PS 1  2029  0.98
PS 1  2030  0.98
PS 1  2031  0.98
PS 1  2032  0.97
PS 1  2033  0.97
PS 1  2034  0.96
PS 1  2035  0.96
PS 1  2036  0.96
PS 1  2037  0.95
PS 1  2038  0.95
PS 1  2039  0.95
PS 1  2040  0.94
PS 1  2041  0.94
PS 1  2042  0.93
PS 1  2043  0.93
PS 1  2044  0.93
PS 1  2045  0.92
PS 1  2046  0.92
PS 1  2047  0.91
PS 1  2048  0.91
PS 1  2049  0.91
PS 1  2050  0.90
RM 1  1990  18.90
RM 1  2001  6.50
RM 1  2002  7.40
RM 1  2003  7.50
RM 1  2004  8.40
RM 1  2005  9.40
RM 1  2006  9.80
RM 1  2007  11.60
RM 1  2008  17.53
RM 1  2009  8.57
RM 1  2010  12.53
RM 1  2011  11.89
RM 1  2012  10.89
RM 1  2013  12.54
RM 1  2014  15.30
RM 1  2015  14.43
RM 1  2016  13.44
RM 1  2017  15.47
RM 1  2018  15.99
RM 1  2019  14.14
RM 1  2020  11.84
RM 1  2021  13.94
RM 1  2022  14.65
RM 1  2023  16.05
RM 1  2024  16.15
RM 1  2025  16.00
RM 1  2026  16.00
RM 1  2027  16.00
RM 1  2028  16.00
RM 1  2029  16.00
RM 1  2030  16.00
RM 1  2031  16.00
RM 1  2032  16.00
RM 1  2033  16.00
RM 1  2034  16.00
RM 1  2035  16.00
RM 1  2036  16.00
RM 1  2037  16.00
