COMPOSITE TABLE:
i  tc yr    InternationalDemand
JA 2  2032  103.30
JA 2  2033  104.99
JA 2  2034  106.71
JA 2  2035  108.46
JA 2  2036  103.96
JA 2  2037  99.65
JA 2  2038  95.52
JA 2  2039  91.56
JA 2  2040  87.77
JA 2  2041  83.32
JA 2  2042  79.10
JA 2  2043  75.10
JA 2  2044  71.29
JA 2  2045  67.68
JA 2  2046  67.53
JA 2  2047  67.38
JA 2  2048  67.23
JA 2  2049  67.08
JA 2  2050  66.93
LA 2  1990  1.40
LA 2  2001  5.70
LA 2  2002  6.30
LA 2  2003  5.00
LA 2  2004  7.70
LA 2  2005  8.10
LA 2  2006  9.00
LA 2  2007  12.00
LA 2  2008  14.77
LA 2  2009  11.28
LA 2  2010  13.00
LA 2  2011  15.75
LA 2  2012  16.02
LA 2  2013  19.02
LA 2  2014  18.94
LA 2  2015  19.73
LA 2  2016  22.19
LA 2  2017  21.88
LA 2  2018  21.85
LA 2  2019  22.61
LA 2  2020  19.82
LA 2  2021  20.84
LA 2  2022  21.77
LA 2  2023  22.24
LA 2  2024  22.51
LA 2  2025  22.80
LA 2  2026  23.11
LA 2  2027  23.43
LA 2  2028  23.74
LA 2  2029  24.07
LA 2  2030  24.40
LA 2  2031  24.73
LA 2  2032  25.07
LA 2  2033  25.41
LA 2  2034  25.75
LA 2  2035  26.10
LA 2  2036  26.46
LA 2  2037  26.82
LA 2  2038  27.19
LA 2  2039  27.56
LA 2  2040  27.93
LA 2  2041  28.20
LA 2  2042  28.48
LA 2  2043  28.76
LA 2  2044  29.04
LA 2  2045  29.33
LA 2  2046  29.62
LA 2  2047  29.91
LA 2  2048  30.20
LA 2  2049  30.49
LA 2  2050  30.79
MX 2  1990  0.20
MX 2  2001  2.10
MX 2  2002  4.60
MX 2  2003  5.70
MX 2  2004  3.00
MX 2  2005  6.00
MX 2  2006  5.70
MX 2  2007  4.40
MX 2  2008  2.76
MX 2  2009  4.87
MX 2  2010  5.56
MX 2  2011  5.33
MX 2  2012  6.00
MX 2  2013  3.41
MX 2  2014  4.79
MX 2  2015  6.27
MX 2  2016  6.68
MX 2  2017  8.63
MX 2  2018  9.59
MX 2  2019  6.88
MX 2  2020  5.58
MX 2  2021  6.33
MX 2  2022  6.98
MX 2  2023  7.63
MX 2  2024  7.91
MX 2  2025  8.00
MX 2  2026  8.00
MX 2  2027  8.00
MX 2  2028  8.00
MX 2  2029  8.00
MX 2  2030  8.00
MX 2  2031  8.00
MX 2  2032  8.00
MX 2  2033  8.00
MX 2  2034  8.00
MX 2  2035  8.00
MX 2  2036  8.00
MX 2  2037  8.00
MX 2  2038  8.00
MX 2  2039  8.00
MX 2  2040  8.00
MX 2  2041  8.03
MX 2  2042  8.06
MX 2  2043  8.10
MX 2  2044  8.13
MX 2  2045  8.16
MX 2  2046  8.19
MX 2  2047  8.22
MX 2  2048  8.26
MX 2  2049  8.29
MX 2  2050  8.32
NE 2  1990  0.20
NE 2  2001  2.80
NE 2  2002  2.60
NE 2  2003  1.90
NE 2  2004  2.30
NE 2  2005  2.60
NE 2  2006  2.60
NE 2  2007  2.00
NE 2  2008  2.10
NE 2  2009  1.70
NE 2  2010  1.70
NE 2  2011  1.50
NE 2  2012  1.40
NE 2  2013  1.40
NE 2  2014  1.40
NE 2  2015  1.50
NE 2  2016  1.50
NE 2  2017  1.50
NE 2  2018  1.50
NE 2  2019  1.50
NE 2  2020  1.50
NE 2  2021  1.40
NE 2  2022  1.30
NE 2  2023  1.20
NE 2  2024  1.10
NE 2  2025  1.00
NE 2  2026  0.90
NE 2  2027  0.80
NE 2  2028  0.70
NE 2  2029  0.60
NE 2  2030  0.50
NE 2  2031  0.50
NE 2  2032  0.50
NE 2  2033  0.50
NE 2  2034  0.50
NE 2  2035  0.50
NE 2  2036  0.50
NE 2  2037  0.50
NE 2  2038  0.50
NE 2  2039  0.50
NE 2  2040  0.50
NE 2  2041  0.50
NE 2  2042  0.50
NE 2  2043  0.50
NE 2  2044  0.50
NE 2  2045  0.50
NE 2  2046  0.50
NE 2  2047  0.50
NE 2  2048  0.50
NE 2  2049  0.50
NE 2  2050  0.50
NI 2  1990  7.80
NI 2  2001  12.20
NI 2  2002  10.30
NI 2  2003  14.80
NI 2  2004  14.80
NI 2  2005  5.40
NI 2  2006  5.40
NI 2  2007  5.40
NI 2  2008  17.82
NI 2  2009  8.42
NI 2  2010  8.19
NI 2  2011  3.45
NI 2  2012  2.87
NI 2  2013  4.14
NI 2  2014  3.36
NI 2  2015  3.41
NI 2  2016  2.33
NI 2  2017  2.53
NI 2  2018  3.05
NI 2  2019  2.74
NI 2  2020  1.91
NI 2  2021  2.37
NI 2  2022  2.37
NI 2  2023  2.37
NI 2  2024  2.37
NI 2  2025  2.00
NI 2  2026  1.99
NI 2  2027  1.98
NI 2  2028  1.98
NI 2  2029  1.97
NI 2  2030  1.96
NI 2  2031  1.95
NI 2  2032  1.94
NI 2  2033  1.94
NI 2  2034  1.93
NI 2  2035  1.92
NI 2  2036  1.91
NI 2  2037  1.91
NI 2  2038  1.90
NI 2  2039  1.89
NI 2  2040  1.88
NI 2  2041  1.87
NI 2  2042  1.87
NI 2  2043  1.86
NI 2  2044  1.85
NI 2  2045  1.84
NI 2  2046  1.84
NI 2  2047  1.83
NI 2  2048  1.82
NI 2  2049  1.82
NI 2  2050  1.81
OW 2  1990  16.30
OW 2  2001  24.10
OW 2  2002  22.00
OW 2  2003  22.80
OW 2  2004  23.80
OW 2  2005  23.80
OW 2  2006  23.70
OW 2  2007  23.00
OW 2  2008  45.08
OW 2  2009  39.89
OW 2  2010  32.84
OW 2  2011  39.25
OW 2  2012  39.82
OW 2  2013  41.07
OW 2  2014  33.94
OW 2  2015  31.18
OW 2  2016  31.52
OW 2  2017  24.35
OW 2  2018  21.91
OW 2  2019  16.50
OW 2  2020  12.22
OW 2  2021  11.76
OW 2  2022  11.67
OW 2  2023  11.03
OW 2  2024  10.94
OW 2  2025  10.87
OW 2  2026  10.81
OW 2  2027  10.74
OW 2  2028  10.68
OW 2  2029  10.61
OW 2  2030  10.55
OW 2  2031  10.48
OW 2  2032  10.42
OW 2  2033  10.36
OW 2  2034  10.29
OW 2  2035  10.23
OW 2  2036  10.17
OW 2  2037  10.11
OW 2  2038  10.05
OW 2  2039  9.99
OW 2  2040  9.92
OW 2  2041  9.86
OW 2  2042  9.80
OW 2  2043  9.75
OW 2  2044  9.69
OW 2  2045  9.63
OW 2  2046  9.57
OW 2  2047  9.51
OW 2  2048  9.45
OW 2  2049  9.40
OW 2  2050  9.34
PS 2  1990  8.90
PS 2  2001  19.40
PS 2  2002  21.20
PS 2  2003  21.30
PS 2  2004  19.80
PS 2  2005  22.90
PS 2  2006  23.20
PS 2  2007  18.40
PS 2  2008  19.12
PS 2  2009  17.13
PS 2  2010  10.39
PS 2  2011  13.96
PS 2  2012  19.04
PS 2  2013  13.84
PS 2  2014  18.96
PS 2  2015  21.53
PS 2  2016  16.90
PS 2  2017  21.65
PS 2  2018  16.79
PS 2  2019  7.84
PS 2  2020  5.11
PS 2  2021  6.20
PS 2  2022  5.11
PS 2  2023  4.56
PS 2  2024  4.56
PS 2  2025  4.54
PS 2  2026  4.52
PS 2  2027  4.49
PS 2  2028  4.46
PS 2  2029  4.44
PS 2  2030  4.41
PS 2  2031  4.38
PS 2  2032  4.35
PS 2  2033  4.33
PS 2  2034  4.30
PS 2  2035  4.28
PS 2  2036  4.25
PS 2  2037  4.22
PS 2  2038  4.20
PS 2  2039  4.17
PS 2  2040  4.15
PS 2  2041  4.12
PS 2  2042  4.10
PS 2  2043  4.07
PS 2  2044  4.05
PS 2  2045  4.02
PS 2  2046  4.00
PS 2  2047  3.97
PS 2  2048  3.95
PS 2  2049  3.93
PS 2  2050  3.90
RM 2  1990  9.50
RM 2  2001  25.40
RM 2  2002  22.30
RM 2  2003  26.40
RM 2  2004  26.70
RM 2  2005  26.50
RM 2  2006  29.10
RM 2  2007  32.10
RM 2  2008  37.23
RM 2  2009  29.96
RM 2  2010  36.87
RM 2  2011  38.59
RM 2  2012  40.79
RM 2  2013  39.17
RM 2  2014  41.22
RM 2  2015  45.71
RM 2  2016  49.19
RM 2  2017  51.88
RM 2  2018  52.44
RM 2  2019  52.43
RM 2  2020  47.69
RM 2  2021  49.97
RM 2  2022  49.79
RM 2  2023  50.51
RM 2  2024  51.06
RM 2  2025  50.78
RM 2  2026  50.05
RM 2  2027  49.33
RM 2  2028  48.62
RM 2  2029  47.92
RM 2  2030  47.23
RM 2  2031  47.41
RM 2  2032  47.60
RM 2  2033  47.79
RM 2  2034  47.98
RM 2  2035  48.17
RM 2  2036  48.36
RM 2  2037  48.55
RM 2  2038  48.75
RM 2  2039  48.94
RM 2  2040  49.13
RM 2  2041  49.33
RM 2  2042  49.53
RM 2  2043  49.72
RM 2  2044  49.92
RM 2  2045  50.12
RM 2  2046  50.32
RM 2  2047  50.52
RM 2  2048  50.72
RM 2  2049  50.92
RM 2  2050  51.12
SC 2  1990  14.00
SC 2  2001  11.70
SC 2  2002  13.60
SC 2  2003  14.70
SC 2  2004  13.80
SC 2  2005  9.60
SC 2  2006  10.80
SC 2  2007  11.60
SC 2  2008  9.74
SC 2  2009  10.42
SC 2  2010  8.24
SC 2  2011  13.30
SC 2  2012  7.31
SC 2  2013  6.95
SC 2  2014  7.19
SC 2  2015  3.78
SC 2  2016  4.50
SC 2  2017  4.13
SC 2  2018  4.32
SC 2  2019  3.65
SC 2  2020  2.28
SC 2  2021  2.28
SC 2  2022  1.64
SC 2  2023  1.28
SC 2  2024  1.28
SC 2  2025  1.30
SC 2  2026  1.29
SC 2  2027  1.27
SC 2  2028  1.26
SC 2  2029  1.25
SC 2  2030  1.24
SC 2  2031  1.22
SC 2  2032  1.21
SC 2  2033  1.20
SC 2  2034  1.19
SC 2  2035  1.17
SC 2  2036  1.16
SC 2  2037  1.15
SC 2  2038  1.14
SC 2  2039  1.13
SC 2  2040  1.11
SC 2  2041  1.11
SC 2  2042  1.11
SC 2  2043  1.11
SC 2  2044  1.11
SC 2  2045  1.10
SC 2  2046  1.10
SC 2  2047  1.10
SC 2  2048  1.10
SC 2  2049  1.09
SC 2  2050  1.09
TL 2  1990  9.50
TL 2  2001  11.40
TL 2  2002  11.50
TL 2  2003  12.80
TL 2  2004  14.60
TL 2  2005  13.60
TL 2  2006  14.20
TL 2  2007  12.20
TL 2  2008  12.77
TL 2  2009  12.76
TL 2  2010  12.42
TL 2  2011  12.60
TL 2  2012  15.22
TL 2  2013  13.29
TL 2  2014  12.81
TL 2  2015  13.77
TL 2  2016  12.22
TL 2  2017  10.45
TL 2  2018  8.94
TL 2  2019  6.29
TL 2  2020  5.56
TL 2  2021  5.93
TL 2  2022  5.93
TL 2  2023  5.47
TL 2  2024  5.38
TL 2  2025  5.30
TL 2  2026  5.25
TL 2  2027  5.19
TL 2  2028  5.14
TL 2  2029  5.09
TL 2  2030  5.04
TL 2  2031  4.98
TL 2  2032  4.93
TL 2  2033  4.88
TL 2  2034  4.83
TL 2  2035  4.78
TL 2  2036  4.73
TL 2  2037  4.69
TL 2  2038  4.64
TL 2  2039  4.59
TL 2  2040  4.54
TL 2  2041  4.53
TL 2  2042  4.53
TL 2  2043  4.52
TL 2  2044  4.51
TL 2  2045  4.50
TL 2  2046  4.49
TL 2  2047  4.48
TL 2  2048  4.47
TL 2  2049  4.46
TL 2  2050  4.45
