COMPOSITE TABLE:
DReg      tc   ExpSec   USe      yr       ExportLowerBound      ExportUpperBound
06OH      2    X6       UI       2012     0.000                 0.000
07EN      1    X1       UI       2012     0.000                 6.000
07EN      1    X2       UI       2012     0.000                 0.000
07EN      1    X3       UI       2012     0.000                 0.000
07EN      2    X4       UI       2012     0.000                 50.000
07EN      2    X5       UI       2012     0.000                 0.000
07EN      2    X6       UI       2012     0.000                 0.000
09AM      1    X1       UG       2012     150.000               600.000
09AM      1    X2       UG       2012     0.000                 0.000
09AM      1    X3       UG       2012     0.000                 0.000
09AM      2    X4       UG       2012     0.000                 0.000
09AM      2    X5       UG       2012     0.000                 100.000
09AM      2    X6       UG       2012     0.000                 100.000
10C1      1    X1       UI       2012     0.000                 0.000
10C1      1    X2       UI       2012     0.000                 0.000
10C1      1    X3       UI       2012     0.000                 0.000
10C1      2    X4       UI       2012     0.000                 0.000
10C1      2    X5       UI       2012     0.000                 25.000
10C1      2    X6       UI       2012     0.000                 0.000
12WS      1    X1       UG       2012     0.000                 100.000
12WS      1    X2       UG       2012     0.000                 60.000
12WS      1    X3       UG       2012     0.000                 1.453
12WS      2    X4       UG       2012     0.000                 100.000
12WS      2    X5       UG       2012     50.000                700.000
12WS      2    X6       UG       2012     0.000                 125.000
16PC      1    X1       UW       2012     0.000                 0.000
16PC      1    X2       UW       2012     0.000                 0.000
16PC      1    X3       UW       2012     0.001                 23.568
16PC      2    X4       UW       2012     10.000                150.000
16PC      2    X5       UA       2012     0.000                 25.000
16PC      2    X6       UW       2012     10.000                1000.000
02YP      1    X1       UI       2013     0.000                 0.000
02YP      1    X2       UI       2013     25.000                100.000
02YP      1    X3       UI       2013     0.000                 0.000
02YP      2    X4       UI       2013     0.000                 10.000
02YP      2    X5       UI       2013     0.000                 25.000
02YP      2    X6       UI       2013     0.000                 0.000
03S1      1    X1       UE       2013     200.000               375.000
03S1      1    X2       UE       2013     0.000                 0.000
03S1      1    X3       UE       2013     0.000                 0.000
03S1      2    X4       UE       2013     0.001                 500.000
03S1      2    X5       UE       2013     0.000                 0.000
03S1      2    X6       UE       2013     0.000                 0.000
04S2      1    X1       UE       2013     0.000                 0.000
04S2      1    X2       UE       2013     500.000               1250.000
04S2      1    X3       UE       2013     0.000                 0.000
04S2      2    X4       UE       2013     0.000                 0.000
04S2      2    X5       UE       2013     0.001                 300.000
04S2      2    X6       UE       2013     0.000                 0.000
06OH      1    X1       UI       2013     0.001                 40.000
06OH      1    X2       UI       2013     0.001                 60.000
06OH      1    X3       UI       2013     0.000                 0.000
06OH      2    X4       UI       2013     0.000                 0.000
06OH      2    X5       UI       2013     0.001                 50.000
06OH      2    X6       UI       2013     0.000                 0.000
07EN      1    X1       UI       2013     0.000                 6.000
07EN      1    X2       UI       2013     0.000                 0.000
07EN      1    X3       UI       2013     0.000                 0.000
07EN      2    X4       UI       2013     0.000                 50.000
07EN      2    X5       UI       2013     0.000                 0.000
07EN      2    X6       UI       2013     0.000                 0.000
09AM      1    X1       UG       2013     150.000               600.000
09AM      1    X2       UG       2013     0.000                 0.000
09AM      1    X3       UG       2013     0.000                 0.000
09AM      2    X4       UG       2013     0.000                 0.000
09AM      2    X5       UG       2013     0.000                 100.000
09AM      2    X6       UG       2013     0.000                 100.000
10C1      1    X1       UI       2013     0.000                 0.000
10C1      1    X2       UI       2013     0.000                 0.000
10C1      1    X3       UI       2013     0.000                 0.000
10C1      2    X4       UI       2013     0.000                 0.000
10C1      2    X5       UI       2013     0.000                 25.000
10C1      2    X6       UI       2013     0.000                 0.000
12WS      1    X1       UG       2013     0.000                 100.000
12WS      1    X2       UG       2013     0.000                 60.000
12WS      1    X3       UG       2013     0.000                 1.453
12WS      2    X4       UG       2013     0.000                 100.000
12WS      2    X5       UG       2013     50.000                700.000
12WS      2    X6       UG       2013     0.000                 125.000
16PC      1    X1       UW       2013     0.000                 0.000
16PC      1    X2       UW       2013     0.000                 0.000
16PC      1    X3       UW       2013     0.001                 23.568
16PC      2    X4       UW       2013     10.000                150.000
16PC      2    X5       UA       2013     0.000                 25.000
16PC      2    X6       UW       2013     10.000                1000.000
02YP      1    X1       UI       2014     0.000                 0.000
02YP      1    X2       UI       2014     25.000                100.000
02YP      1    X3       UI       2014     0.000                 0.000
02YP      2    X4       UI       2014     0.000                 10.000
02YP      2    X5       UI       2014     0.000                 25.000
02YP      2    X6       UI       2014     0.000                 0.000
03S1      1    X1       UE       2014     200.000               375.000
03S1      1    X2       UE       2014     0.000                 0.000
03S1      1    X3       UE       2014     0.000                 0.000
03S1      2    X4       UE       2014     0.001                 500.000
03S1      2    X5       UE       2014     0.000                 0.000
03S1      2    X6       UE       2014     0.000                 0.000
04S2      1    X1       UE       2014     0.000                 0.000
04S2      1    X2       UE       2014     500.000               1250.000
04S2      1    X3       UE       2014     0.000                 0.000
04S2      2    X4       UE       2014     0.000                 0.000
04S2      2    X5       UE       2014     0.001                 300.000
04S2      2    X6       UE       2014     0.000                 0.000
06OH      1    X1       UI       2014     0.001                 40.000
06OH      1    X2       UI       2014     0.001                 60.000
06OH      1    X3       UI       2014     0.000                 0.000
06OH      2    X4       UI       2014     0.000                 0.000
06OH      2    X5       UI       2014     0.001                 50.000
06OH      2    X6       UI       2014     0.000                 0.000
07EN      1    X1       UI       2014     0.000                 6.000
07EN      1    X2       UI       2014     0.000                 0.000
07EN      1    X3       UI       2014     0.000                 0.000
07EN      2    X4       UI       2014     0.000                 50.000
07EN      2    X5       UI       2014     0.000                 0.000
07EN      2    X6       UI       2014     0.000                 0.000
09AM      1    X1       UG       2014     150.000               600.000
09AM      1    X2       UG       2014     0.000                 0.000
09AM      1    X3       UG       2014     0.000                 0.000
09AM      2    X4       UG       2014     0.000                 0.000
09AM      2    X5       UG       2014     0.000                 100.000
09AM      2    X6       UG       2014     0.000                 100.000
10C1      1    X1       UI       2014     0.000                 0.000
10C1      1    X2       UI       2014     0.000                 0.000
10C1      1    X3       UI       2014     0.000                 0.000
10C1      2    X4       UI       2014     0.000                 0.000
10C1      2    X5       UI       2014     0.000                 25.000
10C1      2    X6       UI       2014     0.000                 0.000
12WS      1    X1       UG       2014     0.000                 100.000
12WS      1    X2       UG       2014     0.000                 60.000
12WS      1    X3       UG       2014     0.000                 1.453
12WS      2    X4       UG       2014     0.000                 100.000
12WS      2    X5       UG       2014     50.000                700.000
12WS      2    X6       UG       2014     0.000                 125.000
16PC      1    X1       UW       2014     0.000                 0.000
16PC      1    X2       UW       2014     0.000                 0.000
16PC      1    X3       UW       2014     0.001                 23.568
16PC      2    X4       UW       2014     10.000                150.000
16PC      2    X5       UA       2014     0.000                 25.000
16PC      2    X6       UW       2014     10.000                1000.000
02YP      1    X1       UI       2015     0.000                 0.000
02YP      1    X2       UI       2015     25.000                100.000
02YP      1    X3       UI       2015     0.000                 0.000
02YP      2    X4       UI       2015     0.000                 10.000
02YP      2    X5       UI       2015     0.000                 25.000
02YP      2    X6       UI       2015     0.000                 0.000
03S1      1    X1       UE       2015     200.000               375.000
03S1      1    X2       UE       2015     0.000                 0.000
03S1      1    X3       UE       2015     0.000                 0.000
03S1      2    X4       UE       2015     0.001                 500.000
03S1      2    X5       UE       2015     0.000                 0.000
03S1      2    X6       UE       2015     0.000                 0.000
04S2      1    X1       UE       2015     0.000                 0.000
04S2      1    X2       UE       2015     500.000               1250.000
04S2      1    X3       UE       2015     0.000                 0.000
04S2      2    X4       UE       2015     0.000                 0.000
04S2      2    X5       UE       2015     0.001                 300.000
04S2      2    X6       UE       2015     0.000                 0.000
06OH      1    X1       UI       2015     0.001                 40.000
06OH      1    X2       UI       2015     0.001                 60.000
06OH      1    X3       UI       2015     0.000                 0.000
06OH      2    X4       UI       2015     0.000                 0.000
06OH      2    X5       UI       2015     0.001                 50.000
06OH      2    X6       UI       2015     0.000                 0.000
07EN      1    X1       UI       2015     0.000                 6.000
07EN      1    X2       UI       2015     0.000                 0.000
07EN      1    X3       UI       2015     0.000                 0.000
07EN      2    X4       UI       2015     0.000                 50.000
07EN      2    X5       UI       2015     0.000                 0.000
07EN      2    X6       UI       2015     0.000                 0.000
09AM      1    X1       UG       2015     150.000               600.000
09AM      1    X2       UG       2015     0.000                 0.000
09AM      1    X3       UG       2015     0.000                 0.000
09AM      2    X4       UG       2015     0.000                 0.000
09AM      2    X5       UG       2015     0.000                 100.000
09AM      2    X6       UG       2015     0.000                 100.000
10C1      1    X1       UI       2015     0.000                 0.000
10C1      1    X2       UI       2015     0.000                 0.000
10C1      1    X3       UI       2015     0.000                 0.000
10C1      2    X4       UI       2015     0.000                 0.000
10C1      2    X5       UI       2015     0.000                 25.000
10C1      2    X6       UI       2015     0.000                 0.000
12WS      1    X1       UG       2015     0.000                 100.000
12WS      1    X2       UG       2015     0.000                 60.000
12WS      1    X3       UG       2015     0.000                 1.453
12WS      2    X4       UG       2015     0.000                 100.000
12WS      2    X5       UG       2015     50.000                700.000
12WS      2    X6       UG       2015     0.000                 125.000
16PC      1    X1       UW       2015     0.000                 0.000
16PC      1    X2       UW       2015     0.000                 0.000
16PC      1    X3       UW       2015     0.001                 23.568
16PC      2    X4       UW       2015     10.000                150.000
16PC      2    X5       UA       2015     0.000                 25.000
16PC      2    X6       UW       2015     10.000                1000.000
02YP      1    X1       UI       2016     0.000                 0.000
02YP      1    X2       UI       2016     25.000                100.000
02YP      1    X3       UI       2016     0.000                 0.000
02YP      2    X4       UI       2016     0.000                 10.000
02YP      2    X5       UI       2016     0.000                 25.000
02YP      2    X6       UI       2016     0.000                 0.000
03S1      1    X1       UE       2016     200.000               375.000
03S1      1    X2       UE       2016     0.000                 0.000
03S1      1    X3       UE       2016     0.000                 0.000
03S1      2    X4       UE       2016     0.001                 500.000
03S1      2    X5       UE       2016     0.000                 0.000
03S1      2    X6       UE       2016     0.000                 0.000
04S2      1    X1       UE       2016     0.000                 0.000
04S2      1    X2       UE       2016     500.000               1250.000
04S2      1    X3       UE       2016     0.000                 0.000
04S2      2    X4       UE       2016     0.000                 0.000
04S2      2    X5       UE       2016     0.001                 300.000
04S2      2    X6       UE       2016     0.000                 0.000
06OH      1    X1       UI       2016     0.001                 40.000
06OH      1    X2       UI       2016     0.001                 60.000
06OH      1    X3       UI       2016     0.000                 0.000
06OH      2    X4       UI       2016     0.000                 0.000
06OH      2    X5       UI       2016     0.001                 50.000
06OH      2    X6       UI       2016     0.000                 0.000
07EN      1    X1       UI       2016     0.000                 6.000
07EN      1    X2       UI       2016     0.000                 0.000
07EN      1    X3       UI       2016     0.000                 0.000
07EN      2    X4       UI       2016     0.000                 50.000
07EN      2    X5       UI       2016     0.000                 0.000
07EN      2    X6       UI       2016     0.000                 0.000
09AM      1    X1       UG       2016     150.000               600.000
09AM      1    X2       UG       2016     0.000                 0.000
09AM      1    X3       UG       2016     0.000                 0.000
09AM      2    X4       UG       2016     0.000                 0.000
09AM      2    X5       UG       2016     0.000                 100.000
09AM      2    X6       UG       2016     0.000                 100.000
10C1      1    X1       UI       2016     0.000                 0.000
10C1      1    X2       UI       2016     0.000                 0.000
10C1      1    X3       UI       2016     0.000                 0.000
10C1      2    X4       UI       2016     0.000                 0.000
10C1      2    X5       UI       2016     0.000                 25.000
10C1      2    X6       UI       2016     0.000                 0.000
12WS      1    X1       UG       2016     0.000                 100.000
12WS      1    X2       UG       2016     0.000                 60.000
12WS      1    X3       UG       2016     0.000                 1.453
12WS      2    X4       UG       2016     0.000                 100.000
12WS      2    X5       UG       2016     50.000                700.000
12WS      2    X6       UG       2016     0.000                 125.000
16PC      1    X1       UW       2016     0.000                 0.000
16PC      1    X2       UW       2016     0.000                 0.000
16PC      1    X3       UW       2016     0.001                 23.568
16PC      2    X4       UW       2016     10.000                150.000
16PC      2    X5       UA       2016     0.000                 25.000
16PC      2    X6       UW       2016     10.000                1000.000
02YP      1    X1       UI       2017     0.000                 0.000
02YP      1    X2       UI       2017     25.000                100.000
02YP      1    X3       UI       2017     0.000                 0.000
02YP      2    X4       UI       2017     0.000                 10.000
02YP      2    X5       UI       2017     0.000                 25.000
02YP      2    X6       UI       2017     0.000                 0.000
03S1      1    X1       UE       2017     200.000               375.000
03S1      1    X2       UE       2017     0.000                 0.000
03S1      1    X3       UE       2017     0.000                 0.000
03S1      2    X4       UE       2017     0.001                 500.000
03S1      2    X5       UE       2017     0.000                 0.000
03S1      2    X6       UE       2017     0.000                 0.000
04S2      1    X1       UE       2017     0.000                 0.000
04S2      1    X2       UE       2017     500.000               1250.000
04S2      1    X3       UE       2017     0.000                 0.000
04S2      2    X4       UE       2017     0.000                 0.000
04S2      2    X5       UE       2017     0.001                 300.000
04S2      2    X6       UE       2017     0.000                 0.000
06OH      1    X1       UI       2017     0.001                 40.000
06OH      1    X2       UI       2017     0.001                 60.000
06OH      1    X3       UI       2017     0.000                 0.000
06OH      2    X4       UI       2017     0.000                 0.000
06OH      2    X5       UI       2017     0.001                 50.000
06OH      2    X6       UI       2017     0.000                 0.000
07EN      1    X1       UI       2017     0.000                 6.000
07EN      1    X2       UI       2017     0.000                 0.000
07EN      1    X3       UI       2017     0.000                 0.000
07EN      2    X4       UI       2017     0.000                 50.000
07EN      2    X5       UI       2017     0.000                 0.000
07EN      2    X6       UI       2017     0.000                 0.000
09AM      1    X1       UG       2017     150.000               600.000
09AM      1    X2       UG       2017     0.000                 0.000
09AM      1    X3       UG       2017     0.000                 0.000
09AM      2    X4       UG       2017     0.000                 0.000
09AM      2    X5       UG       2017     0.000                 100.000
09AM      2    X6       UG       2017     0.000                 100.000
10C1      1    X1       UI       2017     0.000                 0.000
10C1      1    X2       UI       2017     0.000                 0.000
10C1      1    X3       UI       2017     0.000                 0.000
10C1      2    X4       UI       2017     0.000                 0.000
10C1      2    X5       UI       2017     0.000                 25.000
10C1      2    X6       UI       2017     0.000                 0.000
12WS      1    X1       UG       2017     0.000                 100.000
12WS      1    X2       UG       2017     0.000                 60.000
12WS      1    X3       UG       2017     0.000                 1.453
12WS      2    X4       UG       2017     0.000                 100.000
12WS      2    X5       UG       2017     50.000                700.000
12WS      2    X6       UG       2017     0.000                 125.000
16PC      1    X1       UW       2017     0.000                 0.000
16PC      1    X2       UW       2017     0.000                 0.000
16PC      1    X3       UW       2017     0.001                 23.568
16PC      2    X4       UW       2017     10.000                150.000
16PC      2    X5       UA       2017     0.000                 25.000
16PC      2    X6       UW       2017     10.000                1000.000
02YP      1    X1       UI       2018     0.000                 0.000
02YP      1    X2       UI       2018     25.000                100.000
02YP      1    X3       UI       2018     0.000                 0.000
02YP      2    X4       UI       2018     0.000                 10.000
02YP      2    X5       UI       2018     0.000                 25.000
02YP      2    X6       UI       2018     0.000                 0.000
03S1      1    X1       UE       2018     200.000               375.000
03S1      1    X2       UE       2018     0.000                 0.000
03S1      1    X3       UE       2018     0.000                 0.000
03S1      2    X4       UE       2018     0.001                 500.000
03S1      2    X5       UE       2018     0.000                 0.000
03S1      2    X6       UE       2018     0.000                 0.000
04S2      1    X1       UE       2018     0.000                 0.000
04S2      1    X2       UE       2018     500.000               1250.000
04S2      1    X3       UE       2018     0.000                 0.000
04S2      2    X4       UE       2018     0.000                 0.000
04S2      2    X5       UE       2018     0.001                 300.000
04S2      2    X6       UE       2018     0.000                 0.000
06OH      1    X1       UI       2018     0.001                 40.000
06OH      1    X2       UI       2018     0.001                 60.000
06OH      1    X3       UI       2018     0.000                 0.000
06OH      2    X4       UI       2018     0.000                 0.000
06OH      2    X5       UI       2018     0.001                 50.000
06OH      2    X6       UI       2018     0.000                 0.000
07EN      1    X1       UI       2018     0.000                 6.000
07EN      1    X2       UI       2018     0.000                 0.000
07EN      1    X3       UI       2018     0.000                 0.000
07EN      2    X4       UI       2018     0.000                 50.000
07EN      2    X5       UI       2018     0.000                 0.000
07EN      2    X6       UI       2018     0.000                 0.000
09AM      1    X1       UG       2018     150.000               600.000
09AM      1    X2       UG       2018     0.000                 0.000
09AM      1    X3       UG       2018     0.000                 0.000
09AM      2    X4       UG       2018     0.000                 0.000
09AM      2    X5       UG       2018     0.000                 100.000
09AM      2    X6       UG       2018     0.000                 100.000
10C1      1    X1       UI       2018     0.000                 0.000
10C1      1    X2       UI       2018     0.000                 0.000
10C1      1    X3       UI       2018     0.000                 0.000
10C1      2    X4       UI       2018     0.000                 0.000
10C1      2    X5       UI       2018     0.000                 25.000
10C1      2    X6       UI       2018     0.000                 0.000
12WS      1    X1       UG       2018     0.000                 100.000
12WS      1    X2       UG       2018     0.000                 60.000
12WS      1    X3       UG       2018     0.000                 1.453
12WS      2    X4       UG       2018     0.000                 100.000
12WS      2    X5       UG       2018     50.000                700.000
12WS      2    X6       UG       2018     0.000                 125.000
16PC      1    X1       UW       2018     0.000                 0.000
16PC      1    X2       UW       2018     0.000                 0.000
16PC      1    X3       UW       2018     0.001                 23.568
16PC      2    X4       UW       2018     10.000                150.000
16PC      2    X5       UA       2018     0.000                 25.000
16PC      2    X6       UW       2018     10.000                1000.000
02YP      1    X1       UI       2019     0.000                 0.000
02YP      1    X2       UI       2019     25.000                100.000
02YP      1    X3       UI       2019     0.000                 0.000
02YP      2    X4       UI       2019     0.000                 10.000
02YP      2    X5       UI       2019     0.000                 25.000
02YP      2    X6       UI       2019     0.000                 0.000
03S1      1    X1       UE       2019     200.000               375.000
03S1      1    X2       UE       2019     0.000                 0.000
03S1      1    X3       UE       2019     0.000                 0.000
03S1      2    X4       UE       2019     0.001                 500.000
03S1      2    X5       UE       2019     0.000                 0.000
03S1      2    X6       UE       2019     0.000                 0.000
04S2      1    X1       UE       2019     0.000                 0.000
04S2      1    X2       UE       2019     500.000               1250.000
04S2      1    X3       UE       2019     0.000                 0.000
04S2      2    X4       UE       2019     0.000                 0.000
04S2      2    X5       UE       2019     0.001                 300.000
04S2      2    X6       UE       2019     0.000                 0.000
06OH      1    X1       UI       2019     0.001                 40.000
06OH      1    X2       UI       2019     0.001                 60.000
06OH      1    X3       UI       2019     0.000                 0.000
06OH      2    X4       UI       2019     0.000                 0.000
06OH      2    X5       UI       2019     0.001                 50.000
06OH      2    X6       UI       2019     0.000                 0.000
07EN      1    X1       UI       2019     0.000                 6.000
07EN      1    X2       UI       2019     0.000                 0.000
07EN      1    X3       UI       2019     0.000                 0.000
07EN      2    X4       UI       2019     0.000                 50.000
07EN      2    X5       UI       2019     0.000                 0.000
07EN      2    X6       UI       2019     0.000                 0.000
09AM      1    X1       UG       2019     150.000               600.000
09AM      1    X2       UG       2019     0.000                 0.000
09AM      1    X3       UG       2019     0.000                 0.000
09AM      2    X4       UG       2019     0.000                 0.000
09AM      2    X5       UG       2019     0.000                 100.000
09AM      2    X6       UG       2019     0.000                 100.000
10C1      1    X1       UI       2019     0.000                 0.000
10C1      1    X2       UI       2019     0.000                 0.000
10C1      1    X3       UI       2019     0.000                 0.000
10C1      2    X4       UI       2019     0.000                 0.000
10C1      2    X5       UI       2019     0.000                 25.000
10C1      2    X6       UI       2019     0.000                 0.000
12WS      1    X1       UG       2019     0.000                 100.000
12WS      1    X2       UG       2019     0.000                 60.000
12WS      1    X3       UG       2019     0.000                 1.453
12WS      2    X4       UG       2019     0.000                 100.000
12WS      2    X5       UG       2019     50.000                700.000
12WS      2    X6       UG       2019     0.000                 125.000
16PC      1    X1       UW       2019     0.000                 0.000
16PC      1    X2       UW       2019     0.000                 0.000
16PC      1    X3       UW       2019     0.001                 23.568
16PC      2    X4       UW       2019     10.000                150.000
16PC      2    X5       UA       2019     0.000                 25.000
16PC      2    X6       UW       2019     10.000                1000.000
02YP      1    X1       UI       2020     0.000                 0.000
02YP      1    X2       UI       2020     25.000                100.000
02YP      1    X3       UI       2020     0.000                 0.000
02YP      2    X4       UI       2020     0.000                 10.000
02YP      2    X5       UI       2020     0.000                 25.000
02YP      2    X6       UI       2020     0.000                 0.000
03S1      1    X1       UE       2020     200.000               375.000
03S1      1    X2       UE       2020     0.000                 0.000
03S1      1    X3       UE       2020     0.000                 0.000
03S1      2    X4       UE       2020     0.001                 500.000
03S1      2    X5       UE       2020     0.000                 0.000
03S1      2    X6       UE       2020     0.000                 0.000
04S2      1    X1       UE       2020     0.000                 0.000
04S2      1    X2       UE       2020     500.000               1250.000
04S2      1    X3       UE       2020     0.000                 0.000
04S2      2    X4       UE       2020     0.000                 0.000
04S2      2    X5       UE       2020     0.001                 300.000
04S2      2    X6       UE       2020     0.000                 0.000
06OH      1    X1       UI       2020     0.001                 40.000
06OH      1    X2       UI       2020     0.001                 60.000
06OH      1    X3       UI       2020     0.000                 0.000
06OH      2    X4       UI       2020     0.000                 0.000
06OH      2    X5       UI       2020     0.001                 50.000
06OH      2    X6       UI       2020     0.000                 0.000
07EN      1    X1       UI       2020     0.000                 6.000
07EN      1    X2       UI       2020     0.000                 0.000
07EN      1    X3       UI       2020     0.000                 0.000
07EN      2    X4       UI       2020     0.000                 50.000
07EN      2    X5       UI       2020     0.000                 0.000
07EN      2    X6       UI       2020     0.000                 0.000
09AM      1    X1       UG       2020     150.000               600.000
09AM      1    X2       UG       2020     0.000                 0.000
09AM      1    X3       UG       2020     0.000                 0.000
09AM      2    X4       UG       2020     0.000                 0.000
09AM      2    X5       UG       2020     0.000                 100.000
09AM      2    X6       UG       2020     0.000                 100.000
10C1      1    X1       UI       2020     0.000                 0.000
10C1      1    X2       UI       2020     0.000                 0.000
10C1      1    X3       UI       2020     0.000                 0.000
10C1      2    X4       UI       2020     0.000                 0.000
10C1      2    X5       UI       2020     0.000                 25.000
