notes,
water_depth_ft,drill_per_year
0,1
6000,1
7000,1
8000,0.82
9000,0.82
10000,0.82
11000,0.82
12000,0.6
13000,0.6
14000,0.5
15000,0.3
16000,0.15
17000,0.08
18000,0.08
19000,0.08
20000,0.08
30000,0.08
