delay_years,water_depth_ft,,,,,,,,,,,,,,
platform_type,0,100,400,800,1000,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000
ss,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4
fps,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4
fpso,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
