,FSC,"Note, NRR normalized search coefficient, Previously: Maximum Field Discovery Rate (%/Year)",,,,,,,,,,,,,,
FLST0002,0.000973421,0.003014957,0.005538469,0.013453654,0.032491315,0.039996475,0.068608964,0.076485033,0.101168229,0.086047598,0.054792671,0.022743459,0.014988063,0.003715084,0.002053274,0.000666495
FLST0208,0.003159559,0.008062201,0.020939753,0.032767166,0.073292412,0.180830619,0.095860177,0.13036134,0.241709227,0.319569235,0.094274933,0.189407543,0.039926322,0.031436547,0.015309178,0.00666993
FLST0800,9.27E-05,0.000299109,0.002284731,0.002306049,0.003741876,0.01313938,0.015699956,0.052639016,0.079382293,0.126865479,0.089499611,0.028869085,0.024986306,0.004159458,0.004105573,0.00179731
PNW0002,0.000973421,0.003014957,0.005538469,0.013453654,0.032491315,0.039996475,0.068608964,0.076485033,0.101168229,0.086047598,0.054792671,0.022743459,0.014988063,0.003715084,0.002053274,0.000666495
PNW0208,0.003159559,0.008062201,0.020939753,0.032767166,0.073292412,0.180830619,0.095860177,0.13036134,0.241709227,0.319569235,0.094274933,0.189407543,0.039926322,0.031436547,0.015309178,0.00666993
NCA0002,0.000973421,0.003014957,0.005538469,0.013453654,0.032491315,0.039996475,0.068608964,0.076485033,0.101168229,0.086047598,0.054792671,0.022743459,0.014988063,0.003715084,0.002053274,0.000666495
NCA0208,0.003159559,0.008062201,0.020939753,0.032767166,0.073292412,0.180830619,0.095860177,0.13036134,0.241709227,0.319569235,0.094274933,0.189407543,0.039926322,0.031436547,0.015309178,0.00666993
NCA0816,9.27E-05,0.000299109,0.002284731,0.002306049,0.003741876,0.01313938,0.015699956,0.052639016,0.079382293,0.126865479,0.089499611,0.028869085,0.024986306,0.004159458,0.004105573,0.00179731
NCA1624,0.00292679,0.005498982,0.009612059,0.015766715,0.02506198,0.041551773,0.066532206,0.029314931,0.100091918,0.129511807,0.15227282,0.046420062,0.039160867,0.034808586,0.017266834,0.008947991
CCA0002,0.000973421,0.003014957,0.005538469,0.013453654,0.032491315,0.039996475,0.068608964,0.076485033,0.101168229,0.086047598,0.054792671,0.022743459,0.014988063,0.003715084,0.002053274,0.000666495
CCA0208,0.003159559,0.008062201,0.020939753,0.032767166,0.073292412,0.180830619,0.095860177,0.13036134,0.241709227,0.319569235,0.094274933,0.189407543,0.039926322,0.031436547,0.015309178,0.00666993
CCA0816,9.27E-05,0.000299109,0.002284731,0.002306049,0.003741876,0.01313938,0.015699956,0.052639016,0.079382293,0.126865479,0.089499611,0.028869085,0.024986306,0.004159458,0.004105573,0.00179731
SCA0002,0.000201539,0.000624224,0.001146697,0.002785475,0.006727076,0.008280961,0.014204956,0.015835636,0.020946101,0.017815491,0.0113444,0.004708857,0.003103163,0.00076918,0.000425115,0.000137993
SCA0208,0.003159559,0.008062201,0.020939753,0.032767166,0.073292412,0.180830619,0.095860177,0.13036134,0.241709227,0.319569235,0.094274933,0.189407543,0.039926322,0.031436547,0.015309178,0.00666993
SCA0816,9.27E-05,0.000299109,0.002284731,0.002306049,0.003741876,0.01313938,0.015699956,0.052639016,0.079382293,0.126865479,0.089499611,0.028869085,0.024986306,0.004159458,0.004105573,0.00179731
SCA1624,0.00292679,0.005498982,0.009612059,0.015766715,0.02506198,0.041551773,0.066532206,0.029314931,0.100091918,0.129511807,0.15227282,0.046420062,0.039160867,0.034808586,0.017266834,0.008947991
