,FSC,,,,,,,,,,,,,,,
water_depth_m,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,1,1,1,1,2,2,3,4,6,10,15,23,35,55,77
200,1,1,1,1,1,2,2,3,4,5,8,11,17,25,38,52
400,1,1,1,1,1,2,2,3,4,5,8,11,17,25,38,52
800,1,1,1,1,1,2,2,3,3,5,6,9,13,18,27,36
1600,1,1,1,1,1,2,2,3,3,5,6,9,13,18,27,36
2400,1,1,1,1,1,2,2,3,3,5,6,9,13,18,27,36
