platform_slots,FSC,,,,,,,,,,,,,,,
water_depth_m,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,3,3,3,3,3,3,4,5,6,7,7,7,9,10,10,10
200,6,6,6,6,6,6,8,10,12,14,20,25,25,25,25,25
400,5,5,5,5,5,5,7,11,12,12,9,14,19,24,24,24
800,4,4,4,4,4,4,6,10,11,6,9,14,19,24,24,24
1600,3,3,3,3,3,3,5,9,10,12,12,12,12,15,15,15
