,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
GC767,Conquest,CGOM1624,oil,5295.275,9,8608.219,4.931508,10523.29,4.931508,0.25,0.3,0.5,0.5,SS,2004,2034,2,1,3141999.935,1800.00042,3841000.85,1800.00042
SP096,G22785,CGOM0002,both,521.6536,6,341.9178,2483.836,489.589,4025.754,0.25,0.3,0.5,0.5,SS,2004,2040,2,1,124799.997,906600.14,178699.985,1469400.21
WR724,Das Bump,CGOM1624,oil,7591.864,9,6567.123,0,6567.123,0,0.25,0.3,0.5,0.5,SS,2004,2035,2,1,2396999.895,0,2396999.895,0
HIA21,HIA 21 G25569,WGOM0002,gas,55.77428,6,201.9178,1921.644,312.8767,3963.289,0.25,0.3,0.5,0.5,FP,2004,2045,2,1,73699.997,701400.06,114199.9955,1446600.485
GA297,G21324,WGOM0002,gas,68.89764,6,185.4794,1850.959,276.7123,3807.124,0.25,0.3,0.5,0.5,FP,2005,2040,2,1,67699.981,675600.035,100999.9895,1389600.26
ST098,G24962,CGOM0002,gas,62.33596,6,193.6986,1895.343,293.1507,3887.672,0.25,0.3,0.5,0.5,FP,2005,2041,2,1,70699.989,691800.195,107000.0055,1419000.28
GC825,Argos Mad Dog Phase 2,CGOM1624,oil,5898.95,15,28142.47,5518.358,117257,12744.66,0.25,0.3,0.5,0.5,FPS,2005,2023,2,1,10272001.55,2014200.67,42798805,4651800.9
GC868,Argos Southwest Extension,CGOM1624,oil,5905.512,11,2116.712,838.3564,18006.58,7099.728,0.25,0.3,0.5,0.5,SS,2005,2026,2,1,772599.88,306000.086,6572401.7,2591400.72
GC821p2,G16806,CGOM0816,both,4255.25,6,347.3973,0,29104.11,0,0.25,0.3,0.5,0.5,SS,2005,2040,2,1,126800.0145,0,10623000.15,0
EI367,G26044,CGOM0002,both,364.1732,5,223.2877,1604.384,391.2329,3116.713,0.25,0.3,0.5,0.5,FP,2005,2043,2,1,81500.0105,585600.16,142800.0085,1137600.245
HI019,G22227,WGOM0002,gas,36.08924,6,229.0411,1949.59,374.7945,3907.398,0.25,0.3,0.5,0.5,FP,2005,2042,2,1,83600.0015,711600.35,136799.9925,1426200.27
GC090,G24143,CGOM0204,gas,698.8189,6,335.3425,3018.083,440.548,5207.673,0.25,0.3,0.5,0.5,SS,2005,2042,2,1,122400.0125,1101600.295,160800.02,1900800.645
SP036,G23959,CGOM0002,both,36.08924,6,230.6849,1665.206,404.6576,3254.796,0.25,0.3,0.5,0.5,FP,2005,2043,2,1,84199.9885,607800.19,147700.024,1188000.54
ST022,G24952,CGOM0002,both,22.96588,5,240.548,1604.384,433.9726,3059.179,0.25,0.3,0.5,0.5,FP,2005,2040,2,1,87800.02,585600.16,158399.999,1116600.335
WC356,G23764,WGOM0002,gas,68.89764,6,213.1507,1941.37,335.6164,3946.851,0.25,0.3,0.5,0.5,FP,2006,2045,2,1,77800.0055,708600.05,122499.986,1440600.615
KC292p2,Kaskida Phase 1,WGOM1624,oil,5859.58,14,18567.12,6744.659,203232.9,116087.7,0.25,0.3,0.5,0.5,FPSO,2006,2028,2,1,6776998.8,2461800.535,74180008.5,42372010.5
ST168,Blackbeard West,CGOM0002,gas,262.4672,9,1954.795,17145.21,2934.52,26432.88,0.25,0.3,0.5,0.5,FP,2006,2033,2,1,713500.175,6258001.65,1071099.8,9648001.2
VR257,G24851,CGOM0002,gas,141.0761,6,245.2055,1854.247,420.8219,3631.234,0.25,0.3,0.5,0.5,FP,2006,2040,2,1,89500.0075,676800.155,153599.9935,1325400.41
WR544,Tucker,CGOM1624,oil,6896.326,10,10596.16,25397.27,13165.48,31397.27,0.25,0.3,0.5,0.5,SS,2006,2038,2,1,3867598.4,9270003.55,4805400.2,11460003.55
AC856,Gotcha x-Great White West,WGOM1624,oil,7713.255,12,8309.589,21023.02,29309.59,41572.61,0.25,0.3,0.5,0.5,SS,2006,2034,2,1,3032999.985,7673402.3,10698000.35,15174002.65
MC204,Redrock,CGOM0816,gas,3333.333,10,1202.192,42657.55,1202.192,54673.98,0.25,0.3,0.5,0.5,SS,2006,2032,2,1,438800.08,15570005.75,438800.08,19956002.7
AT140,Claymore,CGOM0816,gas,3700.787,6,995.6165,19576.44,995.6165,19576.44,0.25,0.3,0.5,0.5,SS,2006,2050,2,1,363400.0225,7145400.6,363400.0225,7145400.6
KC292p2,Kaskida phase 2,WGOM1624,oil,5859.58,15,18567.12,6744.659,203232.9,116087.7,0.25,0.3,0.5,0.5,FPSO,2006,2032,2,1,6776998.8,2461800.535,74180008.5,42372010.5
GA285,G27491,WGOM0002,both,62.33596,6,241.6438,1724.384,427.1233,3355.069,0.25,0.3,0.5,0.5,FP,2006,2044,2,1,88199.987,629400.16,155900.0045,1224600.185
GC082,Healey,CGOM0408,both,2460.63,7,2181.918,9900.825,2181.918,9900.825,0.25,0.3,0.5,0.5,SS,2006,2037,2,1,796400.07,3613801.125,796400.07,3613801.125
SS113,Taildancer 00067,CGOM0002,both,49.2126,9,1256.712,5528.22,2661.918,13890.41,0.25,0.3,0.5,0.5,FP,2013,2036,2,1,458699.88,2017800.3,971600.07,5069999.65
SM211,Hurricane Deep 00310,CGOM0002,both,16.4042,7,303.2877,1142.466,676.7123,3287.672,0.25,0.3,0.5,0.5,FP,2007,2036,2,1,110700.0105,417000.09,246999.9895,1200000.28
WR627,Julia Phase 2 WR627,CGOM1624,oil,7217.848,11,10058.63,0,32493.7,0,0.25,0.3,0.5,0.5,SS,2007,2033,2,1,3671399.95,0,11860200.5,0
EI191,G24906,CGOM0002,gas,75.45932,6,183.5616,1933.151,264.9315,4006.028,0.25,0.3,0.5,0.5,FP,2007,2041,2,1,66999.984,705600.115,96699.9975,1462200.22
DC353,Vicksburg B,CGOM1624,oil,7500,10,6006.849,4019.179,13715.07,4019.179,0.25,0.3,0.5,0.5,SS,2007,2030,2,1,2192499.885,1467000.335,5006000.55,1467000.335
MC191,G26241,CGOM0002,gas,482.2835,6,335.6164,2544.658,473.6986,4181.919,0.25,0.3,0.5,0.5,SS,2007,2038,2,1,122499.986,928800.17,172899.989,1526400.435
MC561,Tortuga,CGOM1624,gas,5925.197,12,2198.904,40619.19,4342.466,193972.7,0.25,0.3,0.5,0.5,SS,2008,2034,2,1,802599.96,14826004.35,1585000.09,70800035.5
ST132,G24965,CGOM0002,gas,127.9528,5,180.274,1594.521,284.6575,3195.617,0.25,0.3,0.5,0.5,FP,2008,2040,2,1,65800.01,582000.165,103899.9875,1166400.205
ST049,Smoothie,CGOM0002,gas,108.2677,11,927.9452,18361.65,2048.219,110794.5,0.25,0.3,0.5,0.5,FP,2009,2034,2,1,338699.998,6702002.25,747599.935,40439992.5
GC859p2,Heidelberg Phase 2,CGOM1624,oil,5869.423,11,9836.713,14393.43,22929.32,20046.58,0.25,0.3,0.5,0.5,SS,2009,2040,2,1,3590400.245,5253601.95,8369201.8,7317001.7
WR052,Shenandoah WR051,CGOM1624,oil,6036.746,14,42019.18,49147.41,69857.54,81715.1,0.25,0.3,0.5,0.5,FPS,2009,2025,2,1,15337000.7,17938804.65,25498002.1,29826011.5
GC599,Friesian,CGOM0816,oil,3825.459,5,898.9042,662.4659,898.9042,662.4659,0.25,0.3,0.5,0.5,SS,2006,2033,2,1,328100.033,241800.0535,328100.033,241800.0535
WC563,G25925,WGOM0002,gas,193.5695,6,189.0411,1834.521,288.7671,3785.754,0.25,0.3,0.5,0.5,FP,2009,2042,2,1,69000.0015,669600.165,105399.9915,1381800.21
GB605,Winter,WGOM0816,oil,3398.95,11,16044.11,26021.92,19892.6,32087.68,0.25,0.3,0.5,0.5,SS,2009,2037,2,1,5856100.15,9498000.8,7260799,11712003.2
KC102,Tiber,WGOM0816,oil,4130.578,14,42547.95,0,126137,0,0.25,0.3,0.5,0.5,FPS,2009,2029,2,1,15530001.75,0,46040005,0
MC984,Vito MC940,CGOM0816,oil,4091.207,14,54254.25,15631.24,76011.79,37012.61,0.25,0.3,0.5,0.5,FPS,2009,2023,2,1,19802801.25,5705402.6,27744303.35,13509602.65
BS054,G33125,CGOM0002,gas,16.4042,5,198.6301,1642.192,326.3014,3277.809,0.25,0.3,0.5,0.5,FP,2009,2045,2,1,72499.9865,599400.08,119100.011,1196400.285
SM230,Davy Jones,CGOM0002,gas,275.5905,14,2538.904,22898.64,16603.56,275178.1,0.25,0.3,0.5,0.5,FP,2010,2032,2,1,926699.96,8358003.6,6060299.4,100440006.5
GC723,Deep Blue,CGOM0816,oil,5036.089,7,1929.589,1841.096,2014.246,1841.096,0.25,0.3,0.5,0.5,SS,2010,2039,2,1,704299.985,672000.04,735199.79,672000.04
EI223,Lafitte,CGOM0002,gas,147.6378,10,676.4384,46750.69,898.3561,72197.28,0.25,0.3,0.5,0.5,FP,2011,2037,2,1,246900.016,17064001.85,327899.9765,26352007.2
ST144,Blackbeard East,CGOM0002,gas,82.021,11,605.4795,39057.54,919.1781,72969.89,0.25,0.3,0.5,0.5,FP,2011,2037,2,1,221000.0175,14256002.1,335500.0065,26634009.85
KC736,Castile x-Moccasin,WGOM1624,oil,6758.53,11,20139.73,12506.3,20139.73,12506.3,0.25,0.3,0.5,0.5,SS,2011,2025,2,1,7351001.45,4564799.5,7351001.45,4564799.5
WR969,Logan,CGOM1624,oil,7532.809,12,18607.4,19906.85,42713.97,24986.31,0.25,0.3,0.5,0.5,SS,2011,2033,2,1,6791701,7266000.25,15590599.05,9120003.15
GB959,Sparta x-N Platte,WGOM0816,oil,4498.032,13,10069.04,4106.302,84926.03,32876.72,0.25,0.3,0.5,0.5,FPS,2012,2028,2,1,3675199.6,1498800.23,30998000.95,12000002.8
WR098,Coronado,CGOM1624,oil,6128.609,12,25424.66,0,41413.7,0,0.25,0.3,0.5,0.5,SS,2013,2033,2,1,9280000.9,0,15116000.5,0
WR095,North Yucatan,CGOM1624,oil,5784.121,11,10438.9,16385.76,21685.75,16385.76,0.25,0.3,0.5,0.5,SS,2013,2033,2,1,3810198.5,5980802.4,7915298.75,5980802.4
DC535,Raptor,CGOM0816,both,3710.63,11,8361.644,44153.43,12775.34,63304.12,0.25,0.3,0.5,0.5,SS,2013,2038,2,1,3052000.06,16116001.95,4662999.1,23106003.8
MC607,Ballymore,CGOM1624,oil,6561.68,14,22356.16,15621.37,67720.55,47462.48,0.25,0.3,0.5,0.5,SS,2018,2025,2,1,8159998.4,5701800.05,24718000.75,17323805.2
KC642,Leon,WGOM1624,oil,6118.767,13,15767.12,9387.947,47857.54,28444.94,0.25,0.3,0.5,0.5,FPS,2014,2025,2,1,5754998.8,3426600.655,17468002.1,10382403.1
MC699,Troubadour,CGOM1624,gas,7250.656,10,1420,64339.74,1420,64339.74,0.25,0.3,0.5,0.5,SS,2013,2042,2,1,518300,23484005.1,518300,23484005.1
KC093,Gila,WGOM0816,oil,4822.834,10,8391.781,0,17849.32,0,0.25,0.3,0.5,0.5,SS,2013,2045,2,1,3063000.065,0,6515001.8,0
MC525,Rydberg,CGOM1624,oil,7480.315,11,8509.589,9614.797,13403.29,15143.02,0.25,0.3,0.5,0.5,SS,2014,2024,2,1,3105999.985,3509400.905,4892200.85,5527202.3
KC010,Guadalupe,WGOM0816,oil,3989.501,13,6053.151,12041.1,49994.8,65753.44,0.25,0.3,0.5,0.5,SS,2014,2031,2,1,2209400.115,4395001.5,18248102,24000005.6
KC872,Colt Buckskin South,WGOM1624,oil,6922.572,11,15043.01,3195.617,28298.63,6110.139,0.25,0.3,0.5,0.5,SS,2009,2025,2,1,5490698.65,1166400.205,10328999.95,2230200.735
MC612,Dover,CGOM1624,oil,7480.315,11,9090.411,6575.344,16997.26,12254.8,0.25,0.3,0.5,0.5,SS,2018,2025,2,1,3318000.015,2400000.56,6203999.9,4473002
MC943,Power Nap,CGOM0816,oil,4173.229,12,11432.33,5564.385,13521.1,12499.73,0.25,0.3,0.5,0.5,SS,2015,2023,2,1,4172800.45,2031000.525,4935201.5,4562401.45
WR160,Yeti,CGOM1624,oil,5895.669,11,14934.25,38482.2,26758.91,47589.05,0.25,0.3,0.5,0.5,SS,2015,2040,2,1,5451001.25,14046003,9767002.15,17370003.25
MC814,Thorvald,CGOM0816,oil,4524.278,8,2348.493,4701.371,2348.493,4701.371,0.25,0.3,0.5,0.5,SS,2015,2040,2,1,857199.945,1716000.415,857199.945,1716000.415
KC814,Sicily,WGOM1624,oil,6758.53,12,14024.66,24364.94,34539.73,30851.51,0.25,0.3,0.5,0.5,FPSO,2015,2034,2,1,5119000.9,8893203.1,12607001.45,11260801.15
GC609,Shenzi North,CGOM0816,oil,4294.62,11,6051.507,1280.548,8284.931,1402.192,0.25,0.3,0.5,0.5,SS,2015,2023,2,1,2208800.055,467400.02,3023999.815,511800.08
MC560,Mudbug,CGOM1624,oil,6230.315,7,1773.973,1959.453,2170.685,1959.453,0.25,0.3,0.5,0.5,SS,2016,2038,2,1,647500.145,715200.345,792300.025,715200.345
AC772,Whale,WGOM2400,oil,8799.213,14,66413.7,86620.3,85126.03,179243.9,0.25,0.3,0.5,0.5,FPS,2017,2024,2,1,24241000.5,31616409.5,31071000.95,65424023.5
MC566,Fort Sumter,CGOM1624,oil,7060.368,12,14695.89,10966.03,24657.54,18312.33,0.25,0.3,0.5,0.5,SS,2016,2027,2,1,5363999.85,4002600.95,9000002.1,6684000.45
GC564,Caicos,CGOM0816,oil,4225.722,8,4789.041,0,5090.411,0,0.25,0.3,0.5,0.5,SS,2016,2034,2,1,1747999.965,0,1858000.015,0
GC563p2,Warrior,CGOM0816,oil,4143.701,11,11397.26,0,20638.36,0,0.25,0.3,0.5,0.5,SS,2016,2030,2,1,4159999.9,0,7533001.4,0
MC166,Hoffe Park,CGOM0816,oil,4019.029,11,17832.88,12489.87,26224.66,17572.61,0.25,0.3,0.5,0.5,SS,2017,2031,2,1,6509001.2,4558802.55,9572000.9,6414002.65
GC727p2,Calpurnia,CGOM0816,oil,4596.457,12,21279.45,33251.51,31758.91,48838.37,0.25,0.3,0.5,0.5,SS,2017,2033,2,1,7766999.25,12136801.15,11592002.15,17826005.05
GC807,Anchor,CGOM0816,oil,5183.727,14,12080.82,2350.686,67323.29,23081.1,0.25,0.3,0.5,0.5,FPS,2014,2024,2,1,4409499.3,858000.39,24573000.85,8424601.5
GC520,Wildling,CGOM0816,oil,4117.454,9,5361.644,0,11364.38,0,0.25,0.3,0.5,0.5,SS,2017,2034,2,1,1957000.06,0,4147998.7,0
MC116,Rampart Deep,CGOM0408,gas,2063.648,11,3682.466,86400.02,4772.055,114493.2,0.25,0.3,0.5,0.5,SS,2017,2033,2,1,1344100.09,31536007.3,1741800.075,41790018
GC364,Antrim,CGOM0816,oil,3110.236,11,11429.04,15172.61,18919.45,15172.61,0.25,0.3,0.5,0.5,SS,2018,2036,2,1,4171599.6,5538002.65,6905599.25,5538002.65
MP299v2,G09372,CGOM0002,gas,200.1312,6,64.65753,815.3427,275.3425,3863.014,0.25,0.3,0.5,0.5,FP,1991,2040,2,1,23599.99845,297600.0855,100500.0125,1410000.11
MC779,Thunder Horse East,CGOM1624,both,6433.727,5,1041.644,3156.165,1041.644,3156.165,0.25,0.3,0.5,0.5,SS,2019,2050,2,1,380200.06,1152000.225,380200.06,1152000.225
AC380,Blacktip,WGOM1624,oil,6233.596,12,21791.78,31561.65,49205.48,69139.75,0.25,0.3,0.5,0.5,SS,2019,2028,2,1,7953999.7,11520002.25,17960000.2,25236008.75
EW877,Spruance EW 877/921,CGOM0408,oil,1594.488,10,10484.66,6609.865,19692.88,14217.54,0.25,0.3,0.5,0.5,SS,2019,2023,2,1,3826900.9,2412600.725,7187901.2,5189402.1
MC126,Horn Mountain West,CGOM1624,oil,5419.948,13,9572.33,3550.686,20728.49,9665.756,0.25,0.3,0.5,0.5,SS,2019,2023,2,1,3493900.45,1296000.39,7565898.85,3528000.94
GC166p2,Dothraki,CGOM0408,oil,2234.252,10,1678.082,3355.069,16572.6,19648.77,0.25,0.3,0.5,0.5,SS,2020,2028,2,1,612499.93,1224600.185,6048999,7171801.05
WR316,Monument,CGOM1624,oil,6512.467,12,25797.26,14916.17,55610.96,32012.06,0.25,0.3,0.5,0.5,SS,2020,2026,2,1,9415999.9,5444402.05,20298000.4,11684401.9
MC505,Dome Patrol,CGOM0816,oil,3133.202,9,4996.165,5391.782,5687.397,6036.166,0.25,0.3,0.5,0.5,SS,2020,2023,2,1,1823600.225,1968000.43,2075899.905,2203200.59
GC035,Tabasco,CGOM0408,both,1853.675,8,1320.822,7924.933,2449.315,14695.89,0.25,0.3,0.5,0.5,SS,2020,2028,2,1,482100.03,2892600.545,893999.975,5363999.85
GC944,Winterfell Phase 1 GC943/944,CGOM0816,oil,5249.344,12,8696.987,2891.508,19240,6336.988,0.25,0.3,0.5,0.5,SS,2021,2024,2,1,3174400.255,1055400.42,7022600,2313000.62
GC944p2,Winterfell later phases GC943/944,CGOM0816,oil,5249.344,12,7803.288,2850.412,43465.75,15869.59,0.25,0.3,0.5,0.5,SS,2021,2027,2,1,2848200.12,1040400.38,15864998.75,5792400.35
GC821p2,Puma West,CGOM0816,oil,4255.25,11,347.3973,0,29104.11,0,0.25,0.3,0.5,0.5,SS,2021,2028,2,1,126800.0145,0,10623000.15,0
AC691,Leopard,WGOM1624,oil,6774.935,13,23419.18,15591.78,61780.82,40701.38,0.25,0.3,0.5,0.5,FPS,2021,2028,2,1,8548000.7,5690999.7,22549999.3,14856003.7
AC336,Blacktip North,WGOM2400,oil,8822.179,12,17671.23,0,37655.34,0,0.25,0.3,0.5,0.5,FPSO,2021,2028,2,1,6449998.95,0,13744199.1,0
VK912,Venice,CGOM0408,both,2168.635,9,5324.657,33649.32,5324.657,33649.32,0.25,0.3,0.5,0.5,SS,2022,2023,2,1,1943499.805,12282001.8,1943499.805,12282001.8
VK1000,Lime Rock,CGOM0816,both,3868.11,9,4033.151,19033.98,4033.151,19033.98,0.25,0.3,0.5,0.5,SS,2022,2023,2,1,1472100.115,6947402.7,1472100.115,6947402.7
GC069p2,Huron,CGOM0204,oil,1276.247,13,698.9042,897.5345,72648.49,48427.41,0.25,0.3,0.5,0.5,SS,2022,2030,2,1,255100.033,327600.0925,26516698.85,17676004.65
MC759,Zephyrus,CGOM0816,oil,3474.409,9,4120.274,0,12065.75,0,0.25,0.3,0.5,0.5,SS,2023,2028,2,1,1503900.01,0,4403998.75,0
GC433,Longclaw,CGOM0816,oil,3631.89,9,10084.93,0,10084.93,0,0.25,0.3,0.5,0.5,SS,2023,2026,2,1,3680999.45,0,3680999.45,0
MC727,Pickerel,CGOM0816,oil,4563.648,11,16465.75,23687.68,19095.89,27320.55,0.25,0.3,0.5,0.5,SS,2023,2024,2,1,6009998.75,8646003.2,6969999.85,9972000.75
GC078,Sunspear GC077,CGOM0408,oil,2260.499,9,11090.96,0,11613.15,0,0.25,0.3,0.5,0.5,SS,2023,2025,2,1,4048200.4,0,4238799.75,0
KC964p2,Tiberius Phase 2,WGOM1624,oil,7545.932,12,25084.93,24124.94,34101.37,30378.09,0.25,0.3,0.5,0.5,SS,2023,2029,2,1,9155999.45,8805603.1,12447000.05,11088002.85
KC964p2,Tiberius Phase 1,WGOM1624,oil,7545.932,10,25084.93,24124.94,34101.37,30378.09,0.25,0.3,0.5,0.5,SS,2023,2026,2,1,9155999.45,8805603.1,12447000.05,11088002.85
GC563p2,Warrior South GC 563,CGOM0816,oil,4143.701,8,11397.26,0,20638.36,0,0.25,0.3,0.5,0.5,SS,2023,2026,2,1,4159999.9,0,7533001.4,0
