,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
GB254,Moccasin,WGOM0408,oil,1916.01,9,5822.74,9098.632,7094.521,9098.632,0.25,0.3,0.5,0.5,SS,1993,2034,2,1,2125300.1,3321000.68,2589500.165,3321000.68
MUMUA1,MUA 1 G10169,WGOM0002,gas,180.4462,6,220.274,1944.658,355.8905,3945.207,0.25,0.3,0.5,0.5,FP,1993,2043,2,1,80400.01,709800.17,129900.0325,1440000.555
HI156p2,G13326,WGOM0002,gas,55.77428,5,215.8904,1619.178,366.5754,3471.782,0.25,0.3,0.5,0.5,FP,1993,2043,2,1,78799.996,590999.97,133800.021,1267200.43
MC162,Nirvana,CGOM0816,oil,3454.724,9,4209.315,8067.947,7369.041,8705.756,0.25,0.3,0.5,0.5,SS,1994,2034,2,1,1536399.975,2944800.655,2689699.965,3177600.94
GC506,Fuji,CGOM0816,gas,4324.147,8,629.5891,17704.11,629.5891,17704.11,0.25,0.3,0.5,0.5,SS,1995,2034,2,1,229800.0215,6462000.15,229800.0215,6462000.15
ST110,G14524,CGOM0002,gas,55.77428,6,221.3699,1783.562,372.8767,3555.617,0.25,0.3,0.5,0.5,FP,1995,2045,2,1,80800.0135,651000.13,136099.9955,1297800.205
MI699,G13293,WGOM0002,gas,88.58268,6,217.8082,1763.836,363.2877,3532.604,0.25,0.3,0.5,0.5,FP,1995,2042,2,1,79499.993,643800.14,132600.0105,1289400.46
MP132,G13652,CGOM0002,gas,160.7612,6,214.5205,1783.562,355.8905,3576.987,0.25,0.3,0.5,0.5,FP,1995,2045,2,1,78299.9825,651000.13,129900.0325,1305600.255
WC635,G12811,WGOM0002,gas,344.4882,6,239.726,1934.795,404.3835,3884.384,0.25,0.3,0.5,0.5,FP,1996,2044,2,1,87499.99,706200.175,147599.9775,1417800.16
EI236,G12921,CGOM0002,gas,114.8294,6,235.8904,1859.179,400.8219,3718.357,0.25,0.3,0.5,0.5,FP,1996,2045,2,1,86099.996,678600.335,146299.9935,1357200.305
GC691,Poseidon,CGOM0816,oil,4593.176,10,13230.14,0,13230.14,0,0.25,0.3,0.5,0.5,SS,1996,2036,2,1,4829001.1,0,4829001.1,0
MC661,G12164,CGOM0204,gas,784.1207,6,278.6302,2861.918,325.4794,4952.878,0.25,0.3,0.5,0.5,SS,1996,2041,2,1,101700.023,1044600.07,118799.981,1807800.47
AC600,Baha,WGOM1624,oil,7618.11,8,2263.288,0,4356.164,0,0.25,0.3,0.5,0.5,SS,1996,2039,2,1,826100.12,0,1589999.86,0
HIA513,HIA 513 G13802,WGOM0002,gas,193.5695,6,239.452,1878.905,407.6712,3741.371,0.25,0.3,0.5,0.5,FP,1996,2042,2,1,87399.98,685800.325,148799.988,1365600.415
HIA342,HIA 342 G14915,WGOM0002,gas,246.063,6,203.2877,2000.549,307.9452,4129.316,0.25,0.3,0.5,0.5,FP,1996,2045,2,1,74200.0105,730200.385,112399.998,1507200.34
VR228,G15191,CGOM0002,gas,121.3911,6,209.863,1982.466,326.0274,4050.412,0.25,0.3,0.5,0.5,FP,1996,2042,2,1,76599.995,723600.09,119000.001,1478400.38
GI091,G12991,CGOM0002,gas,246.063,6,222.1918,1880.548,366.5754,3802.193,0.25,0.3,0.5,0.5,FP,1996,2043,2,1,81100.007,686400.02,133800.021,1387800.445
MC358,G15478,CGOM0002,both,429.79,6,346.0274,2446.028,500.274,3946.85,0.25,0.3,0.5,0.5,SS,1996,2040,2,1,126300.001,892800.22,182600.01,1440600.25
GC037,Navarro,CGOM0408,oil,2020.997,8,4967.123,6.575345,4967.123,6.575345,0.25,0.3,0.5,0.5,SS,1997,2032,2,1,1812999.895,2400.000925,1812999.895,2400.000925
MC520,Herschel Expansion Na Kika,CGOM1624,oil,6738.845,10,3857.534,3678.905,18492.6,11319.46,0.25,0.3,0.5,0.5,SS,1997,2023,2,1,1407999.91,1342800.325,6749799,4131602.9
AT008,Cyclops,CGOM0816,oil,3136.483,9,2683.014,5342.467,6020.274,7490.961,0.25,0.3,0.5,0.5,SS,1997,2035,2,1,979300.11,1950000.455,2197400.01,2734200.765
WC276,G13564,WGOM0002,gas,88.58268,6,252.8767,1915.069,438.3562,3802.193,0.25,0.3,0.5,0.5,FP,1997,2045,2,1,92299.9955,699000.185,160000.013,1387800.445
MC247,G13682,CGOM0816,gas,3303.806,6,358.0822,2802.741,491.7809,4596.166,0.25,0.3,0.5,0.5,SS,1997,2038,2,1,130700.003,1023000.465,179500.0285,1677600.59
SM169,G17949,CGOM0002,gas,278.8714,5,213.1507,1643.836,361.6439,3235.07,0.25,0.3,0.5,0.5,FP,1998,2045,2,1,77800.0055,600000.14,132000.0235,1180800.55
WC514,G13848,WGOM0002,both,154.1995,6,247.6712,1604.384,449.0411,3042.741,0.25,0.3,0.5,0.5,FP,1998,2044,2,1,90399.988,585600.16,163900.0015,1110600.465
AT118,G10005,CGOM1624,gas,7601.706,6,398.3562,3120.001,566.5753,5306.303,0.25,0.3,0.5,0.5,SS,1998,2041,2,1,145400.013,1138800.365,206799.9845,1936800.595
PN970,G18861,WGOM0002,gas,154.1995,6,215.8904,1638.904,364.9315,3175.891,0.25,0.3,0.5,0.5,FP,1998,2040,2,1,78799.996,598199.96,133199.9975,1159200.215
