year,region,gas_type,baseline_prod
2030,Saskatchewan,Sum Total,127.75
2031,Saskatchewan,Sum Total,124.1
2032,Saskatchewan,Sum Total,127.75
2033,Saskatchewan,Sum Total,127.75
2034,Saskatchewan,Sum Total,127.75
2035,Saskatchewan,Sum Total,127.75
2036,Saskatchewan,Sum Total,124.10000000000001
2037,Saskatchewan,Sum Total,124.10000000000001
2038,Saskatchewan,Sum Total,124.10000000000001
2039,Saskatchewan,Sum Total,124.10000000000001
2040,Saskatchewan,Sum Total,124.10000000000001
2041,Saskatchewan,Sum Total,120.45
2042,Saskatchewan,Sum Total,120.45
2043,Saskatchewan,Sum Total,116.8
2044,Saskatchewan,Sum Total,116.8
2045,Saskatchewan,Sum Total,116.8
2046,Saskatchewan,Sum Total,116.8
2047,Saskatchewan,Sum Total,116.8
2048,Saskatchewan,Sum Total,116.8
2049,Saskatchewan,Sum Total,116.8
2050,Saskatchewan,Sum Total,116.8
2005,WCSB,Sum Total,6040.75
2006,WCSB,Sum Total,6099.15
2007,WCSB,Sum Total,5978.7
2008,WCSB,Sum Total,5719.55
2009,WCSB,Sum Total,5380.1
2010,WCSB,Sum Total,5204.9
2011,WCSB,Sum Total,5215.849999999999
2012,WCSB,Sum Total,4996.849999999999
2013,WCSB,Sum Total,5062.55
2014,WCSB,Sum Total,5266.95
2015,WCSB,Sum Total,5460.4
2016,WCSB,Sum Total,5522.449999999999
2017,WCSB,Sum Total,5624.65
2018,WCSB,Sum Total,5865.55
2019,WCSB,Sum Total,5737.799999999999
2020,WCSB,Sum Total,5624.65
2021,WCSB,Sum Total,5872.85
2022,WCSB,Sum Total,6310.849999999999
2023,WCSB,Sum Total,6347.349999999999
2024,WCSB,Sum Total,6073.599999999999
2025,WCSB,Sum Total,5675.627710331505
2026,WCSB,Sum Total,5232.543949396155
2027,WCSB,Sum Total,4803.641634203281
2028,WCSB,Sum Total,4480.930073621337
2029,WCSB,Sum Total,4268.76468460503
2030,WCSB,Sum Total,4137.25377747034
2031,WCSB,Sum Total,3928.202857633422
2032,WCSB,Sum Total,3725.8193811867527
2033,WCSB,Sum Total,3608.476933150968
2034,WCSB,Sum Total,3514.4428582396677
2035,WCSB,Sum Total,3409.0641366243644
2036,WCSB,Sum Total,3307.853430006761
2037,WCSB,Sum Total,3207.0432113033653
2038,WCSB,Sum Total,3125.847323346074
2039,WCSB,Sum Total,3057.016100823427
2040,WCSB,Sum Total,2994.8638138452984
2041,WCSB,Sum Total,2930.313305520254
2042,WCSB,Sum Total,2861.200889324006
2043,WCSB,Sum Total,2814.5218345912394
2044,WCSB,Sum Total,2767.5804719959697
2045,WCSB,Sum Total,2728.7394728204326
2046,WCSB,Sum Total,2691.5463042054366
2047,WCSB,Sum Total,2653.02357958421
2048,WCSB,Sum Total,2621.076776815734
2049,WCSB,Sum Total,2595.4680308928
2050,WCSB,Sum Total,2576.873878226716
2005,Canada,Sum Total,6215.95
2006,Canada,Sum Total,6252.45
2007,Canada,Sum Total,6153.9
2008,Canada,Sum Total,5898.400000000001
2009,Canada,Sum Total,5522.450000000001
2010,Canada,Sum Total,5336.299999999999
2011,Canada,Sum Total,5328.999999999999
2012,Canada,Sum Total,5080.799999999999
2013,Canada,Sum Total,5135.55
2014,Canada,Sum Total,5394.7
2015,Canada,Sum Total,5540.7
2016,Canada,Sum Total,5595.449999999999
2017,Canada,Sum Total,5672.099999999999
2018,Canada,Sum Total,5898.400000000001
2019,Canada,Sum Total,5745.099999999999
2020,Canada,Sum Total,5628.299999999999
2021,Canada,Sum Total,5883.8
2022,Canada,Sum Total,6318.15
2023,Canada,Sum Total,6354.65
2024,Canada,Sum Total,6077.249999999999
2025,Canada,Sum Total,5675.627710331505
2026,Canada,Sum Total,5232.543949396155
2027,Canada,Sum Total,4803.641634203281
2028,Canada,Sum Total,4480.930073621337
2029,Canada,Sum Total,4268.76468460503
2030,Canada,Sum Total,4137.25377747034
2031,Canada,Sum Total,3928.202857633422
2032,Canada,Sum Total,3725.8193811867527
2033,Canada,Sum Total,3608.476933150968
2034,Canada,Sum Total,3514.4428582396677
2035,Canada,Sum Total,3409.0641366243644
2036,Canada,Sum Total,3307.853430006761
2037,Canada,Sum Total,3207.0432113033653
2038,Canada,Sum Total,3125.847323346074
2039,Canada,Sum Total,3057.016100823427
2040,Canada,Sum Total,2994.8638138452984
2041,Canada,Sum Total,2930.313305520254
2042,Canada,Sum Total,2861.200889324006
2043,Canada,Sum Total,2814.5218345912394
2044,Canada,Sum Total,2767.5804719959697
2045,Canada,Sum Total,2728.7394728204326
2046,Canada,Sum Total,2691.5463042054366
2047,Canada,Sum Total,2653.02357958421
2048,Canada,Sum Total,2621.076776815734
2049,Canada,Sum Total,2595.4680308928
2050,Canada,Sum Total,2576.873878226716
