year,census_region,co2_volume
2020,2,5562904.731244208
2020,3,1767555.7749927333
2020,4,1255638.4303721904
2021,2,5120746.106829125
2021,3,1626303.7829700317
2021,4,1155295.6677507057
2022,2,5020050.052009601
2022,3,1640947.580737811
2022,4,1479846.145814973
2023,2,4434844.069910021
2023,3,1458358.6144107962
2023,4,1315183.0077238204
