year,census_division,co2_volume
2020,3,966679.118543373
2020,4,4596225.612700835
2020,7,1767555.7749927333
2020,8,1255638.4303721904
2021,3,889428.1751373229
2021,4,4231317.931691802
2021,7,1626303.7829700317
2021,8,1155295.6677507057
2022,3,871835.2462594437
2022,4,4148214.8057501577
2022,7,1640947.580737811
2022,8,1479846.145814973
2023,3,774825.7510808129
2023,4,3660018.3188292086
2023,7,1458358.6144107962
2023,8,1315183.0077238204
