,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
51,571,455,409,527,587,505,531,500,442,364,485,527,457,506,461,484,457,424,402,202,187,166,90,110,132,62,47,48,45,39,26,26,39,27
52,64,35,17,17,19,18,22,32,29,36,23,25,16,41,27,23,30,34,31,10,6,14,15,6,11,15,9,13,9,5,0,1,9,0
53,185,79,80,90,97,86,109,97,82,110,135,162,106,163,174,189,235,274,239,85,61,41,37,37,48,36,20,47,38,19,15,12,17,10
54,291,325,284,283,266,294,240,235,195,154,177,207,154,182,163,212,258,227,204,129,96,116,108,129,121,98,53,80,49,29,18,24,22,17
55,109,88,190,118,126,200,147,130,97,170,54,119,71,115,135,97,93,153,109,77,109,59,48,63,57,52,52,37,40,22,6,11,1,6
56,224,184,266,278,396,184,265,265,210,136,287,228,164,177,182,184,354,273,402,202,239,119,159,188,139,77,47,73,51,59,32,27,103,51
57,34,26,18,47,65,13,43,99,33,35,51,55,43,61,46,25,74,28,31,29,56,25,33,45,39,26,10,12,15,15,0,2,1,9
58,96,88,109,180,164,55,61,85,79,114,119,76,86,83,113,66,110,70,31,38,45,34,99,107,182,99,77,72,59,48,30,37,30,29
59,53,124,97,124,130,164,174,227,255,176,202,185,157,186,207,172,198,129,223,121,71,106,99,65,86,36,19,37,51,65,11,62,88,46
60,2,3,2,3,4,2,3,4,3,2,3,2,13,7,7,4,16,19,23,7,4,6,10,5,5,0,2,12,4,2,0,11,10,6
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8,9,21,33,10,2,4,10,2,8,2,3,7,4,5,4,21,65,66,98,69,72,40,21,21,8,1,4,6,2,3,0,1,9
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1264,1147,1062,931,1035,669,748,788,799,875,610,955,790,930,1176,1054,1236,1368,1037,642,436,230,262,113,112,45,71,57,82,25,36,25,53,113
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,61,21,21,34,30,23,40,69,30,43,55,71,26,37,41,34,43,23,28,14,3,22,26,16,15,9,11,8,10,18,1,1,2,4
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5,8,2,13,3,2,4,2,8,2,1,1,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,28,12,13,18,28,13,33,29,27,43,48,92,48,44,31,15,27,23,7,9,12,8,5,8,6,2,1,1,2,0,0,1,2,1
72,45,10,19,24,16,13,19,13,9,9,18,21,14,18,16,9,8,12,10,10,2,3,0,4,0,0,0,1,0,0,0,0,0,0
73,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
