Notes,
year,wells
2010,40196
2011,44248
2012,43060
2013,40877
2014,41973
2015,28697
2016,17660
2017,21716
2018,25944
2019,24831
2020,14649
2021,15707
2022,18064
2023,17107
2024,17107
