,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
52,80,99,45,98,66,29,31,71,45,37,44,26,35,15,25,42,41,21,60,26,25,51,23,27,29,32,25,20,0,2,5,1,2,5
53,253,194,145,249,68,89,82,126,147,96,68,75,44,130,57,80,79,44,69,70,53,120,151,118,139,72,49,30,40,56,14,29,61,34
54,605,498,486,510,340,464,395,402,295,264,322,219,132,152,197,200,239,228,357,226,283,351,314,365,380,228,174,133,124,119,77,77,92,78
55,270,284,234,286,206,317,291,453,140,71,125,89,83,90,86,92,156,130,201,194,125,203,178,200,182,271,54,91,64,40,36,22,29,25
56,994,696,682,942,635,786,902,1048,635,279,609,646,555,558,654,761,1401,789,1090,622,1191,2663,1628,1429,1459,752,187,258,510,376,147,318,288,331
57,641,592,567,1339,521,403,563,773,331,532,353,434,343,354,456,600,565,476,435,304,645,546,567,524,721,294,310,295,302,230,294,114,167,96
58,702,831,659,746,427,624,533,415,335,276,358,265,224,279,291,351,461,375,505,459,393,429,480,474,563,377,173,211,210,209,88,158,142,123
59,168,128,190,227,290,179,146,177,189,59,110,71,56,30,52,46,55,113,109,35,71,72,123,97,145,122,92,73,76,44,6,25,28,13
60,25,44,21,14,12,10,8,7,3,0,4,16,10,4,3,7,8,4,16,13,4,8,11,13,10,6,6,96,33,20,24,50,84,84
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,20,1,1,1,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,219,181,335,176,216,150,138,120,86,115,46,69,290,55,67,75,111,100,80,66,75,73,61,43,55,47,20,14,20,2,28,4,21,10
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,358,232,173,217,205,197,375,293,196,167,190,172,123,106,151,183,195,180,203,131,189,224,207,282,403,209,85,171,255,223,108,103,136,95
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
