notes: Ngpl50 lines up with mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,state,ngpl_50
19,23,24,24,26,29,34,31,30,33,26,29,26,27,27,29,30,28,28,31,36,33,30,31,37,42,44,59,66,84,95,95,95,95,TX-RRC7C,35
52,50,51,50,50,45,47,53,49,51,52,48,46,45,43,43,43,42,44,47,46,59,64,98,110,135,172,263,407,515,528,528,528,528,TX-RRC8,36
22,21,20,19,19,20,19,19,18,17,17,16,15,18,19,18,19,17,18,18,18,19,19,20,19,18,18,18,18,17,17,17,17,17,TX-RRC8A,37
14,13,13,13,13,17,13,13,14,14,14,21,23,22,23,24,24,25,26,29,33,37,38,46,43,41,36,35,35,31,28,28,28,28,TX-RRC9,38
36,38,37,36,35,34,35,33,18,32,30,29,26,29,30,33,35,39,40,42,50,50,47,51,46,71,41,42,39,35,32,32,32,32,TX-RRC10,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TX-OFF,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,11,11,11,13,11,9,8,9,7,6,6,6,6,6,UT,41
7,7,7,6,4,4,4,4,4,6,6,6,4,4,4,5,5,5,5,5,5,8,10,41,57,69,93,111,132,151,156,156,156,156,WV,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58,64,63,66,71,53,55,35,41,44,46,41,41,39,39,39,39,WY,43
51,48,52,52,37,42,71,68,80,93,91,94,70,81,61,67,69,53,61,66,57,61,49,52,52,52,60,59,61,52,54,54,54,54,L48 FED OFF,44
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FED OFF-CA,45
46,41,45,46,31,35,64,63,75,88,87,89,67,78,59,65,68,52,61,66,57,54,42,47,46,45,55,54,55,47,49,49,49,49,FED OFF-LA AL,46
5,6,6,5,5,6,6,4,5,5,4,5,3,3,2,2,1,1,0,0,0,7,7,5,6,7,5,5,6,5,5,5,5,5,FED OFF-TX,47
577,599,608,608,616,655,655,631,649,688,655,657,593,627,597,615,637,654,701,734,773,854,920,1107,1183,1267,1323,1547,1779,1896,1952,1952,1952,1952,L48,48
34,32,32,34,37,44,49,40,45,55,54,55,52,52,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UT & WY,49
