,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
31,3.823,3.778,3.537,3.075,2.662,2.369,2.147,2.039,2.054,1.724,1.941,2.009,1.943,1.965,1.765,1.727,1.672,1.713,1.659,1.446,1.494,1.661,2.073,1.785,1.939,1.9,1.552,1.524,1.532,1.445,1.309,1.244,1.162,1.28
32,4.011,3.413,3.721,1.88,1.698,1.342,1.058,0.98,0.799,0.706,0.621,0.572,0.553,0.493,0.463,0.447,0.426,0.408,0.436,0.438,0.426,0.408,0.368,0.334,0.316,0.281,0.277,0.286,0.255,0.268,0.196,0.218,0.219,0.206
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35.671,35.203,32.321,31.74,31.353,29.102,28.843,31.866,32.66,29.119,29.496,29.058,28.23,27.586,27.737,27.016,26.69,25.767,25.661,24.457,23.673,21.853,20.714,19.771,19.512,18.278,17.438,17.816,18.266,19.137,17.056,16.02,19.508,23.385
36,3.508,2.948,2.987,2.952,2.602,2.274,2.069,2.025,1.847,1.594,1.626,1.506,1.366,1.314,1.218,1.183,1.149,1.143,1.133,1.126,1.049,1.119,1.31,2.39,5.342,8.096,6.307,6.849,7.32,7.175,7.073,6.641,8.873,9.448
37,0,0,0,0,0,0,0,0,0,0,0.166,0.136,0.145,0.107,0.121,0.116,0.123,0.147,0.206,0.19,0.233,0.242,0.232,0.21,0.216,0.18,0.148,0.13,0.14,0.15,0.122,0.135,0.137,0.136
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,33.044,31.48,29.37,27.553,25.139,25.159,27.939,28.73,28.331,25.036,25.805,25.863,25.581,24.924,27.568,32.515,35.687,35.99,33.865,28.646,25.517,22.68,22.055,21.276,20.319,19.511,18.007,18.093,18.657,18.425,14.597,13.333,12.531,11.909
40,3.341,3.287,3.3,3.111,3.804,3.865,3.891,4.505,3.543,3.197,3.413,2.926,2.797,2.803,2.812,2.674,2.479,2.284,2.11,2.011,2.001,1.873,1.847,1.755,1.763,1.59,1.492,1.358,1.263,1.712,1.371,1.602,2.964,15.908
41,85.092,82.604,77.487,73.149,67.724,65.781,64.165,63.076,59.238,54.11,54.074,52.749,50.54,49.528,48.827,46.94,48.58,46.722,48.017,45.758,47.357,52.699,58.168,61.286,68.24,65.063,54.609,54.844,57.818,55.836,45.576,43.736,47.002,50.131
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.566,0.513,0.432,0.601,0.512,0.329,0.375,0.264,0.329,0.236,0.209,0.178,0.288,0.253,0.247,0.234,0.363,0.282,0.327,0.396,0.263,0.294,0.434,0.528,0.56,0.4,0.283,0.215,0.215,0.299,0.243,0.237,0.185,0.183
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.282,0.235,0.212,0.196,0.189,0.135,0.113,0.085,0.065,0.047,0.037,0.042,0.045,0.044,0.049,0.037,0.03,0.027,0.028,0.026,0.027,0.026,0.026,0.025,0.021,0.018,0.018,0.016,0.033,0.034,0.039,0.06,0.054,0.042
