,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36
57,1074,1036,1073,1239,1043,1219,941,931,847,807,1257,1101,1085,1084,1056,1188,1366,1290,1431,1172,1218,1164,1226,1214,1269,1257,1103,1252,1420,1436,1425,1190,1461.978,1925.722,1925.722,
58,703,776,738,670,688,728,738,705,794,734,1137,1626,2289,2877,3309,4221,4328,6218,7476,9037,10904,12464,10115,8894,9195,8791,7536,6843,7312,7425,6034,4563,7514.755,8177.951,8177.951,
59,4767,4490,4589,4409,4040,4246,4436,4391,4094,4273,4424,4079,3955,3838,4064,4873,4910,5387,6281,6922,6882,7663,7513,7253,7034,7454,5402,5647,6156,6416,4382,3899,3873.102,3576.455,3576.455,
60,1507,1510,1702,1830,2040,1789,1580,1633,1839,2388,3213,4235,4579,4135,3516,3866,4295,5146,6391,6643,7257,6981,7857,7548,6829,6685,3547,3494,3752,3213,2279,2296,4034.835,3300.2,3300.2,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,217,138,225,904,1322,1833,1836,1930,2446,1973,2017,1704,1752,1673,1717,1742,2018,2302,2529,2378,3091,3215,2832,2579,2373,2800,2496,2447,2741,2554,2297,1950,2436.448,2022.022,2022.022,
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,2201,2207,2528,2356,2439,2565,2499,2703,2846,2868,2936,2900,2678,3360,3306,3397,4459,4509,4729,5136,5946,7000,10345,14611,22765,29432,20553,23025,32785,35001,36600,35247,65494.175,46934.056,46934.056,
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,10744,9944,9941,10826,10933,10879,12166,12320,13562,13650,14226,16158,18398,20527,21744,22632,23774,23549,29710,31143,35283,35074,35290,30094,33618,27553,20436,20818,21549,21343,17569,12484,15425.721,14377.815,14377.815,
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
