FILE NAME:     RSESTAR
DATE MODIFIED: September 12, 2023
USED BY:       RDESTARHOMES subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Efficiency choice logit parameter betas for benchmarking historical shares of new ENERGY STAR single-family homes and learning factors for all ENERGY STAR homes
UNITS:         none
DIMENSION:     various
SPECIAL CONSTRAINTS:  non-negative values
ORGANIZATION OF DATA: 
               Data starts on row 21 of this file per RDM convention
               First year of data is RECSyear+1
SOURCES:       unknown
COMMENT:       Updated for 2020 RECS; values are outdated placeholders







Last year of historical ENERGY STAR single-family housing start shares (ESTARHISTYR)
2022

Efficiency choice logit beta 1 parameter (HVBETA1)
2021	2022	BT	Shell #	CD	Shell Package
-0.0005	-0.0005	3	3	3	'ESTAR'
-0.0005	-0.0005	3	3	4	'ESTAR'
-0.0005	-0.0005	3	3	5	'ESTAR'
-0.0005	-0.0005	3	3	6	'ESTAR'
-0.0005	-0.0005	3	3	7	'ESTAR'
-0.0005	-0.0005	3	3	8	'ESTAR'
-0.0005	-0.0005	3	3	9	'ESTAR'
-0.0005	-0.0005	3	4	1	'FORTY%'
-0.0005	-0.0005	3	4	2	'FORTY%'
-0.0005	-0.0005	3	4	3	'FORTY%'
-0.0005	-0.0005	3	4	4	'FORTY%'
-0.0005	-0.0005	3	4	5	'FORTY%'
-0.0005	-0.0005	3	4	6	'FORTY%'
-0.0005	-0.0005	3	4	7	'FORTY%'
-0.0005	-0.0005	3	4	8	'FORTY%'
-0.0005	-0.0005	3	4	9	'FORTY%'
-0.0005	-0.0005	3	5	1	'PATH'
-0.0005	-0.0005	3	5	2	'PATH'
-0.0005	-0.0005	3	5	3	'PATH'
-0.0005	-0.0005	3	5	4	'PATH'
-0.0005	-0.0005	3	5	5	'PATH'
-0.0005	-0.0005	3	5	6	'PATH'
-0.0005	-0.0005	3	5	7	'PATH'
-0.0005	-0.0005	3	5	8	'PATH'
-0.0005	-0.0005	3	5	9	'PATH'

Efficiency choice logit beta 2 parameter (HVBETA2)					
2021	2022	BT	Shell #	CD	Shell Package
-5	-5	1	1	1	'No IECC'
-5	-5	1	1	2	'No IECC'
-5	-5	1	1	3	'No IECC'
-5	-5	1	1	4	'No IECC'
-5	-5	1	1	5	'No IECC'
-1	-5	1	1	6	'No IECC'
-5	-5	1	1	7	'No IECC'
-5	-5	1	1	8	'No IECC'
-5	-5	1	1	9	'No IECC'
0	0	1	2	1	'IECC 2009'
0	0	1	2	2	'IECC 2009'
0	0	1	2	3	'IECC 2009'
0	0	1	2	4	'IECC 2009'
0	0	1	2	5	'IECC 2009'
0	0	1	2	6	'IECC 2009'
0	0	1	2	7	'IECC 2009'
0	0	1	2	8	'IECC 2009'
0	0	1	2	9	'IECC 2009'
-2.34	-2.34	1	3	1	'ESTAR'
-8.89	-8.89	1	3	2	'ESTAR'
-1.13	-1.13	1	3	3	'ESTAR'
-0.14	-0.14	1	3	4	'ESTAR'
-1.05	-1.05	1	3	5	'ESTAR'
-0.92	-0.92	1	3	6	'ESTAR'
0.76	0.76	1	3	7	'ESTAR'
-0.07	-0.07	1	3	8	'ESTAR'
-3.02	-3.02	1	3	9	'ESTAR'
-2.19	-2.19	1	4	1	'FORTY%'
-8.74	-8.74	1	4	2	'FORTY%'
-0.98	-0.98	1	4	3	'FORTY%'
0.01	0.01	1	4	4	'FORTY%'
-0.9	-0.9	1	4	5	'FORTY%'
-0.77	-0.77	1	4	6	'FORTY%'
0.91	0.91	1	4	7	'FORTY%'
0.08	0.08	1	4	8	'FORTY%'
-2.87	-2.87	1	4	9	'FORTY%'
-2.19	-2.19	1	5	1	'PATH'
-8.74	-8.74	1	5	2	'PATH'
-0.98	-0.98	1	5	3	'PATH'
0.01	0.01	1	5	4	'PATH'
-0.9	-0.9	1	5	5	'PATH'
-0.77	-0.77	1	5	6	'PATH'
0.91	0.91	1	5	7	'PATH'
0.08	0.08	1	5	8	'PATH'
-2.87	-2.87	1	5	9	'PATH'
-1	-1	2	1	1	'No IECC'
-1	-1	2	1	2	'No IECC'
-1	-1	2	1	3	'No IECC'
-1	-1	2	1	4	'No IECC'
-1	-1	2	1	5	'No IECC'
-1	-1	2	1	6	'No IECC'
-1	-1	2	1	7	'No IECC'
-1	-1	2	1	8	'No IECC'
-1	-1	2	1	9	'No IECC'
0	0	2	2	1	'IECC 2009'
0	0	2	2	2	'IECC 2009'
0	0	2	2	3	'IECC 2009'
0	0	2	2	4	'IECC 2009'
0	0	2	2	5	'IECC 2009'
0	0	2	2	6	'IECC 2009'
0	0	2	2	7	'IECC 2009'
0	0	2	2	8	'IECC 2009'
0	0	2	2	9	'IECC 2009'
-2.34	-2.34	2	3	1	'ESTAR'
-8.89	-8.89	2	3	2	'ESTAR'
-1.13	-1.13	2	3	3	'ESTAR'
-0.14	-0.14	2	3	4	'ESTAR'
-1.05	-1.05	2	3	5	'ESTAR'
-0.92	-0.92	2	3	6	'ESTAR'
0.76	0.76	2	3	7	'ESTAR'
-0.07	-0.07	2	3	8	'ESTAR'
-3.02	-3.02	2	3	9	'ESTAR'
-2.19	-2.19	2	4	1	'FORTY%'
-8.74	-8.74	2	4	2	'FORTY%'
-0.98	-0.98	2	4	3	'FORTY%'
0.01	0.01	2	4	4	'FORTY%'
-0.9	-0.9	2	4	5	'FORTY%'
-0.77	-0.77	2	4	6	'FORTY%'
0.91	0.91	2	4	7	'FORTY%'
0.08	0.08	2	4	8	'FORTY%'
-2.87	-2.87	2	4	9	'FORTY%'
-2.19	-2.19	2	5	1	'PATH'
-8.74	-8.74	2	5	2	'PATH'
-0.98	-0.98	2	5	3	'PATH'
0.01	0.01	2	5	4	'PATH'
-0.9	-0.9	2	5	5	'PATH'
-0.77	-0.77	2	5	6	'PATH'
0.91	0.91	2	5	7	'PATH'
0.08	0.08	2	5	8	'PATH'
-2.87	-2.87	2	5	9	'PATH'
-1	-1	3	1	1	'No IECC'
-1	-1	3	1	2	'No IECC'
-1	-1	3	1	3	'No IECC'
-1	-1	3	1	4	'No IECC'
-1	-1	3	1	5	'No IECC'
-1	-1	3	1	6	'No IECC'
-1	-1	3	1	7	'No IECC'
-1	-1	3	1	8	'No IECC'
-1	-1	3	1	9	'No IECC'
0	0	3	2	1	'IECC 2009'
0	0	3	2	2	'IECC 2009'
0	0	3	2	3	'IECC 2009'
0	0	3	2	4	'IECC 2009'
0	0	3	2	5	'IECC 2009'
0	0	3	2	6	'IECC 2009'
0	0	3	2	7	'IECC 2009'
0	0	3	2	8	'IECC 2009'
0	0	3	2	9	'IECC 2009'
-2.34	-2.34	3	3	1	'ESTAR'
-8.89	-8.89	3	3	2	'ESTAR'
-1.13	-1.13	3	3	3	'ESTAR'
-0.14	-0.14	3	3	4	'ESTAR'
-1.05	-1.05	3	3	5	'ESTAR'
-0.92	-0.92	3	3	6	'ESTAR'
0.76	0.76	3	3	7	'ESTAR'
-0.07	-0.07	3	3	8	'ESTAR'
-3.02	-3.02	3	3	9	'ESTAR'
-2.19	-2.19	3	4	1	'FORTY%'
-8.74	-8.74	3	4	2	'FORTY%'
-0.98	-0.98	3	4	3	'FORTY%'
0.01	0.01	3	4	4	'FORTY%'
-0.9	-0.9	3	4	5	'FORTY%'
-0.77	-0.77	3	4	6	'FORTY%'
0.91	0.91	3	4	7	'FORTY%'
0.08	0.08	3	4	8	'FORTY%'
-2.87	-2.87	3	4	9	'FORTY%'
-2.19	-2.19	3	5	1	'PATH'
-8.74	-8.74	3	5	2	'PATH'
-0.98	-0.98	3	5	3	'PATH'
0.01	0.01	3	5	4	'PATH'
-0.9	-0.9	3	5	5	'PATH'
-0.77	-0.77	3	5	6	'PATH'
0.91	0.91	3	5	7	'PATH'
0.08	0.08	3	5	8	'PATH'
-2.87	-2.87	3	5	9	'PATH'

ENERGY STAR learning factors by housing type and Census division (LEARNFACT)
Single-family	Multifamily	Mobile
0.9950	0.9980	0.9900
0.9200	0.9980	0.9980
0.9940	0.9980	0.9980
0.9900	0.9970	0.9970
0.9920	0.9970	0.9970
0.9920	0.9970	0.9970
0.9900	0.9900	0.9900
0.9950	0.9985	0.9985
0.9970	0.9970	0.9970
