FILE NAME:     RGENTK
DATE MODIFIED: October 28, 2024
USED BY:       RDISTGEN subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Residential distributed generation econometric ZIP code-level PV penetration data and model coefficients.
               Hurdle model based off systems installed from 2011-2022 in NJ, AZ, CA,

UNITS:         Income, electricity rate, PV system cost, and monthly payment data in 2018$ to align with RSGENTK.txt iGenCapCostYr
DIMENSION:     various
SPECIAL CONSTRAINTS: various
               Many coefficients below are zero. This is to preserve model flexibility without the need to recode the Fortran model.
ORGANIZATION OF DATA: First block of data includes model control switches starting year;
                Second block of data contains coefficients for full, urban, and rural penetration models;
                Third block of data contains ZIP code-level inputs
               Data starts on row 21 of this file per RDM convention
SOURCES:       U.S. Census Bureau American Community Survey (ACS); trackingthesun.lbl.gov/;
                www.californiasolarstatistics.ca.gov/current_data_files/; www.njcleanenergy.com/renewable-energy/project-activity-reports/installation-summary-by-technology/solar-installation-projects; www.arizonagoessolar.org
COMMENT:       FOR TESTING ONLY: Increment EstYear from 2021 to 2022 so solar PV hurdle model doesn't run in 2020 RECS base year



.TRUE.    Residential PV model choice switch; TRUE = use ZIP code econometric penetration model; FALSE = use PV niche/ payback approach (UseZipModel)
.TRUE.    PV capacity calibration switch; TRUE = calibrate ZIP code model to exogenous PV capacity; FALSE = use ZIP model capacity output starting in EstYear (PVzipcalib)
2022      Base year of estimation model and first year to execute new model projections (EstYear)

Full Model Coefficients		
logit component : negative binomial model
4.57E-01	9.80E-01	Intercept
-3.75E-05	8.84E-05	Households
4.03E-06	-1.02E-04	Population Density
1.16E-07	2.77E-06	Income
-9.33E-01	2.59E-01	Insolation
8.14E-02	2.49E-02	Electricity Rate
5.54E-04	9.96E-05	One-Year Lagged Cooling Degree Day
8.28E-02	-5.01E-02	Monthly Payment for PV System (30-Year)
0.00E+00	0.00E+00	Interest Rate
1.21E+00	6.76E-03	Lag1 PV Installs (one year lag)
0.00E+00	0.00E+00	Lag2 PV Installs (two year lag)
0.00E+00	0.00E+00	PV Installed Price net of Tax Credit (if any)
Urban Model
1.83E+00	2.66E-01	Coefficient labeling same as above
6.27E-05	1.20E-04	
-1.26E-04	-1.66E-04	
6.07E-06	3.10E-06	
-1.87E+00	4.96E-01	
2.08E-01	4.62E-02	
2.52E-03	1.39E-04	
1.20E-01	-9.57E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
Rural Model
-2.88E+00	-1.17E+00	Coefficient labeling same as above
3.91E-04	2.29E-04	
4.86E-03	8.15E-03	
1.30E-05	5.92E-06	
-3.88E-01	3.85E-01	
1.50E-01	5.16E-02	
5.87E-04	3.00E-04	
2.10E-02	-6.82E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	

27326 Number of ZIP code records to read in below (numzips)

"ZipCode","State","CenDiv","Income(2022$)","Households","PopDensity","Insol","ElecRate(2022$)","LagCDD","IntRate","PVPrice(2022$)","MonthlyPayment(2022$)","Lag1_Installs","Lag2_Installs","PureHurdle","RuralZip","NewModelInstalls"
07032,"NJ",2,81307,14703,1662.41422648357,4.65,21.39,1021,5.34403846153846,2.92,16.27,35,0,0,0,21
07033,"NJ",2,97600,2802,1305.27132007248,4.66,21.27,1021,5.34403846153846,2.92,16.27,7,0,0,0,8
07034,"NJ",2,95673,4158,3273.09719141191,4.64,21.14,1021,5.34403846153846,2.92,16.27,7,0,0,0,7
07035,"NJ",2,112579,4136,621.177017017948,4.64,19.35,1021,5.34403846153846,2.92,16.27,1,0,0,0,5
07036,"NJ",2,85748,15976,1469.89922857442,4.67,21.39,1021,5.34403846153846,2.92,16.27,101,0,0,0,87
07039,"NJ",2,202619,10378,753.550111387911,4.66,21.27,1021,5.34403846153846,2.92,16.27,43,0,0,0,19
07040,"NJ",2,165681,8401,2168.55464447485,4.68,21.27,1021,5.34403846153846,2.92,16.27,24,0,0,0,21
07041,"NJ",2,199602,2589,1929.4882771166,4.66,21.27,1021,5.34403846153846,2.92,16.27,7,0,0,0,2
07042,"NJ",2,130329,10925,2894.32218020297,4.66,21.39,1021,5.34403846153846,2.92,16.27,19,0,0,0,16
07043,"NJ",2,231214,4284,1681.00045555358,4.65,21.39,1021,5.34403846153846,2.92,16.27,12,0,0,0,13
07044,"NJ",2,153236,5821,2083.23228415193,4.65,21.39,1021,5.34403846153846,2.92,16.27,10,0,0,0,13
07045,"NJ",2,163047,3720,566.336780395134,4.64,21.27,1021,5.34403846153846,2.92,16.27,9,0,0,0,7
07047,"NJ",2,76053,23959,4665.09912771451,4.62,21.39,1021,5.34403846153846,2.92,16.27,61,0,0,0,32
07050,"NJ",2,50498,12306,5577.30651013677,4.68,21.39,1021,5.34403846153846,2.92,16.27,14,0,0,0,8
07052,"NJ",2,127931,17344,1443.3288397873,4.66,21.39,1021,5.34403846153846,2.92,16.27,51,0,0,0,47
07054,"NJ",2,105434,11963,864.979384239745,4.64,21.14,1021,5.34403846153846,2.92,16.27,30,0,0,0,17
07055,"NJ",2,57832,20182,6450.3977512762,4.65,21.39,1021,5.34403846153846,2.92,16.27,35,0,0,0,37
07057,"NJ",2,79270,4994,5023.77836107314,4.65,21.39,1021,5.34403846153846,2.92,16.27,13,0,0,0,7
07058,"NJ",2,152422,2208,747.039343512097,4.65,21.27,1021,5.34403846153846,2.92,16.27,1,0,0,0,1
07059,"NJ",2,196122,5554,281.855500762461,4.65,21.27,1021,5.34403846153846,2.92,16.27,12,0,0,0,8
07060,"NJ",2,66761,15678,3136.33251334231,4.65,21.39,1021,5.34403846153846,2.92,16.27,53,0,0,0,28
07062,"NJ",2,90477,4593,2388.71603156965,4.65,21.39,1021,5.34403846153846,2.92,16.27,33,0,0,0,22
07063,"NJ",2,82188,4237,2373.05903804626,4.65,21.39,1021,5.34403846153846,2.92,16.27,33,0,0,0,17
07064,"NJ",2,140104,1210,917.502455989918,4.67,21.39,1021,5.34403846153846,2.92,16.27,10,0,0,0,6
07065,"NJ",2,86557,12079,3100.23481205258,4.66,21.39,1021,5.34403846153846,2.92,16.27,56,0,0,0,57
07066,"NJ",2,120882,5902,1348.2619381654,4.66,21.39,1021,5.34403846153846,2.92,16.27,10,0,0,0,6
