Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
PRSEL,0.01,0,0.5,-1,1,P,QRSEL,LFMM,62,PRSEL,Residual Fuel To EU Price,Electricity Fuel Prices,4,24.5
PPFIN,0.01,0,0.5,0,1,P,QPFIN,LFMM,,,,,,
PASIN,0.01,0,0.5,0,1,P,QASIN,LFMM,,,,,,
POTTR,0.01,0,0.5,0,1,P,QOTTR,LFMM,,,,,,
POTIN,0.01,0,0.5,0,1,P,QOTIN,LFMM,,,,,,
PTPRS,0.01,0,1,-1,1,P,QTPRS,LFMM,,,,,,
PTPCM,0.01,0,1,-1,1,P,QTPCM,LFMM,,,,,,
PTPTR,0.01,0,1,-1,1,P,QTPTR,LFMM,,,,,,
PTPIN,0.01,0,1,-1,1,P,QTPIN,LFMM,,,,,,
PTPRF,0.01,0,1,-1,1,P,QTPRF,LFMM,,,,,,
PTPEL,0.01,0,0.5,-1,1,P,QTPEL,LFMM,,,,,,
PMETR,0.01,0,1,0,1,P,QMETR,LFMM,,,,,,
PETTR,0.01,0,0.5,0,1,P,QETTR,LFMM,,,,,,
PHYTR,0.01,0,1,0,1,P,QHYTR,HYDROGEN,,,,,,
PUREL,0.01,0,0.5,0,1,P,QUREL,HYDROGEN,99,PUREL,Uranium To EU Price,Electricity Fuel Prices,4,24.5
PH1TR,0.01,0,0.5,-1,1,P,QH1TR,HYDROGEN,,,,,,
PH2TR,0.01,0,0.5,-1,1,P,QH2TR,HYDROGEN,,,,,,
PH3TR,0.01,0,0.5,-1,1,P,QH3TR,HYDROGEN,,,,,,
