Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module
MC_GDPR,0.001,0,1,0,1,O,NA,ALL
IT_WOP,0.01,0,1,0,1,O,NA,ALL
RFQICRD,0.01,0,1,0,1,O,NA,ALL
RFPQIPRDT,0.01,0,1,0,1,O,NA,ALL
EMETAX,0.01,0.02,1,0,1,O,NA,ALL
EMELPSO2,0.01,5,1,0,1,O,NA,ALL
ECP_PHG,0.01,5,1,0,1,O,NA,ALL
OGWPRNG,0.01,0,1,0,1,O,NA,ALL
OGCNPPRD,0.01,0,1,0,1,O,NA,ALL
PBMET,0.01,0,1,0,0,PR,NA,ALL
QBMET,0.01,0,1,0,0,QR,NA,ALL
GLBCRDDMD,0.01,0,0.33,0,1,O,NA,ALL
ECP_PSO2,0.01,5,1,0,1,O,NA,ALL
