Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
QGFELGR,0.01,10,0.8,0,1,QU,NA,HSM,,,,,,
QGIELGR,0.01,10,0.8,0,1,QU,NA,HSM,,,,,,
QGCELGR,0.01,10,0.8,0,1,QU,NA,HSM,,,,,,
PGFELGR,0.01,0,0.5,0,1,PU,QGFELGR,HSM,,,,,,
PGIELGR,0.01,0,0.5,0,1,PU,QGIELGR,HSM,,,,,,
PGCELGR,0.01,0,0.5,0,1,PU,QGCELGR,HSM,,,,,,
