Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module
QGFELGR,0.01,10,0.8,0,1,QU,NA,ALL
QGIELGR,0.01,10,0.8,0,1,QU,NA,ALL
QGCELGR,0.01,10,0.8,0,1,QU,NA,ALL
PGFELGR,0.01,0,0.5,0,1,PU,QGFELGR,ALL
PGIELGR,0.01,0,0.5,0,1,PU,QGIELGR,ALL
PGCELGR,0.01,0,0.5,0,1,PU,QGCELGR,ALL
