Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module
QCLCLNR,0.01,10,0.8,0,1,QC,NA,ALL
PCLELCDR,0.01,0,0.5,0,1,PC,NA,ALL
