Variable,FractionTolerance,AbsoluteTolerance,RelaxFactor,Test,Relax,PQType,QMATCH,Module,CVTAB ID,Variables_in_Group,Group_Name,Weight_Class_Name,Weight_Class,Weight_Start
QCLCLNR,0.01,10,0.8,0,1,QC,NA,CMM,14,QCLCLNR,Coal in ECP Quantity,No class,0,0
PCLELCDR,0.01,0,0.5,0,1,PC,NA,CMM,64,PCLELCDR,Coal in ECP Price,No class,0,0
