Notes,,,,,,
region_number,id,source_num,source_name,d_tonne,mmt,bin
2,1007792,5,Cement,118.7,0.869160393,8
2,1002102,5,Cement,119.26,0.850571388,8
2,1006301,1,Hydrogen,123.26,0.236953764,8
2,1004810,5,Cement,128.46,0.658444167,8
2,1007621,5,Cement,129.23,0.597210273,8
2,1002421,5,Cement,129.61,0.58972086,8
2,1009080,1,Hydrogen,129.72,0.188234615,8
2,1002055,5,Cement,129.8,0.585977094,8
2,1006659,5,Cement,131.68,0.592541244,8
2,1003286,1,Hydrogen,133.46,0.222222744,8
2,1004630,1,Hydrogen,137.16,0.147861072,8
2,1006234,5,Cement,138.41,0.481824027,8
2,1008033,5,Cement,139.1,0.472197708,8
2,1006363,5,Cement,140,0.42790932,8
2,1003303,5,Cement,145.77,0.449801199,8
2,1007985,5,Cement,147.59,0.372553704,8
2,1004758,5,Cement,150.44,0.39621375,8
2,1004270,5,Cement,150.63,0.320096106,8
2,1006110,5,Cement,155.08,0.28614573,8
2,1008110,1,Hydrogen,155.78,0.088096824,8
2,1005458,5,Cement,158.95,0.319323942,8
2,1000533,5,Cement,165.97,0.270775638,8
2,1005911,1,Hydrogen,179.92,0.051185736,8
2,1005125,1,Hydrogen,230.35,0.02176362,8
2,1005879,1,Hydrogen,231.36,0.02251224,8
2,1008014,1,Hydrogen,257.54,0.018826704,8
2,1006500,1,Hydrogen,317.55,0.007885188,8
2,1006499,1,Hydrogen,342.52,0.006276564,8
3,1006047,3,Ethanol,35.86,4.000725053,2
3,1006208,3,Ethanol,38.13,1.962522718,2
3,1004418,9,NGP,40.24,0.24819656,3
3,1002484,9,NGP,41,0.2254943,3
3,1004715,9,NGP,41.41,0.2043992,3
3,1002255,9,NGP,41.95,0.18889412,3
3,1002170,2,Ammonia,45.28,0.412728328,4
3,1006184,9,NGP,45.56,0.11892868,4
3,1005526,3,Ethanol,46.49,0.259628226,4
3,1000063,3,Ethanol,47.14,0.232889202,5
3,1006946,3,Ethanol,47.25,0.236155452,5
3,1003907,3,Ethanol,48.08,0.213411484,5
3,1002703,3,Ethanol,48.14,0.206307114,5
3,1005929,3,Ethanol,48.27,0.208691444,5
3,1000872,3,Ethanol,48.42,0.205149412,5
3,1006141,3,Ethanol,49.73,0.253391632,5
3,1001967,3,Ethanol,49.96,0.246489841,5
3,1002379,3,Ethanol,50.2,0.239560581,6
3,1002690,3,Ethanol,50.22,0.238877808,6
3,1006534,3,Ethanol,50.42,0.233357657,6
3,1000344,3,Ethanol,50.69,0.15517216,6
3,1003970,3,Ethanol,50.7,0.226031858,6
