Notes,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),base_year
Intercept,-81450000000,10600000000,-7.661,0,-1.03E+11,-59700000000,1990
ln_brent_price,18720000000,4790000000,3.908,0.001,8920000000,28500000000,1990
ln_brent_price_lagged,16500000000,4830000000,3.42,0.002,6630000000,26400000000,1990
