!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
171	IL	landfill	509.160		14.549	
172	MI	landfill	509.071		14.550	
173	UT	landfill	508.529		14.556	
174	CA	landfill	503.798		14.607	
175	FL	landfill	501.160		14.635	
176	OK	landfill	496.794		14.684	
177	GA	landfill	494.668		14.708	
178	PA	landfill	493.339		14.723	
179	OH	landfill	492.570		14.731	
180	MA	landfill	491.928		14.739	
181	TX	landfill	490.893		14.750	
182	PA	landfill	483.600		14.835	
183	KS	landfill	482.989		14.842	
184	GA	landfill	482.084		14.853	
185	CA	landfill	481.889		14.855	
186	FL	landfill	477.027		14.914	
187	IN	landfill	476.660		14.918	
188	VA	landfill	476.205		14.924	
189	MI	landfill	469.366		15.008	
190	MI	landfill	463.818		15.078	
191	LA	landfill	462.216		15.099	
192	KY	landfill	461.607		15.107	
193	TX	landfill	461.301		15.111	
194	NC	landfill	459.384		15.136	
195	WI	landfill	453.442		15.214	
196	FL	landfill	450.361		15.256	
197	PA	landfill	444.348		15.338	
198	OR	landfill	444.261		15.340	
199	NY	landfill	441.205		15.383	
200	SC	landfill	441.190		15.383	
201	CA	landfill	440.109		15.398	
202	LA	landfill	439.465		15.407	
203	TX	landfill	433.816		15.489	
204	OR	landfill	433.130		15.499	
205	FL	landfill	431.863		15.518	
206	ID	landfill	431.061		15.530	
207	PA	landfill	428.347		15.570	
208	FL	landfill	424.973		15.621	
209	AL	landfill	421.331		15.677	
210	MO	landfill	419.212		15.710	
211	OK	landfill	418.834		15.716	
212	NJ	landfill	415.894		15.763	
213	NY	landfill	413.178		15.806	
214	WI	landfill	412.849		15.812	
215	TN	landfill	412.846		15.812	
216	OH	landfill	409.300		15.870	
217	PA	landfill	407.444		15.900	
218	TN	landfill	406.516		15.916	
219	NY	landfill	406.459		15.917	
220	OH	landfill	405.532		15.932	
221	WI	landfill	404.798		15.944	
222	CA	landfill	401.628		15.998	
223	FL	landfill	401.379		16.002	
224	PA	landfill	400.990		16.009	
225	CA	landfill	400.801		16.012	
226	CA	landfill	400.679		16.014	
227	UT	landfill	399.912		16.028	
228	IL	landfill	399.841		16.029	
229	PA	landfill	396.481		16.087	
230	IN	landfill	395.633		16.102	
231	CA	landfill	395.233		16.109	
232	AL	landfill	394.522		16.122	
233	GA	landfill	394.297		16.126	
234	NH	landfill	393.931		16.132	
235	IL	landfill	392.767		16.153	
236	LA	landfill	392.656		16.155	
237	CA	landfill	392.218		16.163	
238	NC	landfill	391.974		16.167	
239	WI	landfill	389.897		16.205	
240	UT	landfill	389.604		16.210	
241	GA	landfill	388.033		16.239	
242	IN	landfill	387.563		16.247	
243	IL	landfill	387.111		16.255	
244	FL	landfill	386.230		16.272	
245	IL	landfill	384.277		16.308	
246	MI	landfill	384.053		16.312	
247	AR	landfill	381.665		16.357	
248	WI	landfill	380.183		16.380	
249	NY	landfill	378.196		16.409	
250	DE	landfill	376.967		16.427	
251	IL	landfill	375.287		16.452	
252	MS	landfill	374.194		16.469	
253	OH	landfill	373.263		16.483	
254	IN	landfill	373.028		16.486	
255	PA	landfill	372.753		16.490	
256	TN	landfill	371.121		16.515	
257	IL	landfill	368.116		16.562	
258	PA	landfill	368.036		16.563	
259	PA	landfill	366.744		16.583	
260	KY	landfill	362.747		16.647	
261	CA	landfill	362.117		16.657	
262	TX	landfill	361.849		16.661	
263	GA	landfill	361.350		16.669	
264	TX	landfill	361.002		16.675	
265	MA	landfill	360.768		16.679	
266	AZ	landfill	360.228		16.687	
267	CA	landfill	357.454		16.733	
268	PA	landfill	356.611		16.747	
269	TX	landfill	355.572		16.764	
270	WI	landfill	355.285		16.769	
271	MT	landfill	354.793		16.777	
272	GA	landfill	354.120		16.788	
273	GA	landfill	352.867		16.810	
274	AR	landfill	352.098		16.823	
275	KY	landfill	349.078		16.874	
276	NY	landfill	344.899		16.948	
277	IN	landfill	344.518		16.954	
278	NY	landfill	344.167		16.961	
279	NY	landfill	343.859		16.966	
280	OH	landfill	342.824		16.985	
281	MI	landfill	342.061		16.998	
282	KY	landfill	338.712		17.060	
283	NC	landfill	338.100		17.071	
284	WI	landfill	337.607		17.080	
285	FL	landfill	337.041		17.090	
286	GA	landfill	336.523		17.100	
287	WI	landfill	332.414		17.178	
288	OH	landfill	330.285		17.219	
289	TX	landfill	328.109		17.261	
290	FL	landfill	327.570		17.271	
291	OH	landfill	325.777		17.307	
292	ME	landfill	324.800		17.326	
293	MI	landfill	322.257		17.378	
294	CA	landfill	321.993		17.383	
295	IL	landfill	320.629		17.411	
296	MS	landfill	320.033		17.423	
297	CA	landfill	318.173		17.462	
298	GA	landfill	315.804		17.512	
299	OH	landfill	314.971		17.529	
300	IL	landfill	314.728		17.534	
301	CA	landfill	314.152		17.547	
302	MI	landfill	312.411		17.584	
303	OR	landfill	310.906		17.617	
304	MN	landfill	309.989		17.637	
305	NC	landfill	309.487		17.648	
306	WI	landfill	309.113		17.656	
307	LA	landfill	309.024		17.658	
308	DE	landfill	307.857		17.684	
309	CA	landfill	307.312		17.696	
310	AZ	landfill	306.383		17.717	
311	MA	landfill	302.409		17.808	
312	AL	landfill	301.728		17.823	
313	OH	landfill	299.597		17.873	
314	FL	landfill	297.019		17.934	
315	OH	landfill	294.130		18.004	
316	OH	landfill	293.940		18.009	
317	AL	landfill	292.721		18.039	
318	CA	landfill	291.842		18.060	
319	WI	landfill	290.149		18.103	
320	CA	landfill	287.533		18.169	
321	SD	landfill	285.806		18.213	
322	CA	landfill	285.391		18.224	
323	PA	landfill	285.114		18.231	
324	UT	landfill	284.804		18.239	
325	CA	landfill	284.228		18.254	
326	GA	landfill	283.648		18.269	
327	NC	landfill	279.556		18.378	
328	OH	landfill	279.141		18.389	
329	TX	landfill	278.690		18.402	
330	CA	landfill	277.182		18.443	
331	AL	landfill	274.448		18.519	
332	MI	landfill	274.336		18.522	
333	NY	landfill	273.549		18.544	
334	PA	landfill	270.801		18.622	
335	IL	landfill	268.637		18.685	
336	TX	landfill	268.494		18.689	
337	MS	landfill	268.115		18.700	
338	IN	landfill	264.943		18.795	
339	MS	landfill	264.549		18.807	
340	NY	landfill	263.196		18.848	
341	AZ	landfill	261.244		18.907	
342	CA	landfill	260.662		18.926	
343	WA	landfill	259.326		18.967	
344	GA	landfill	258.879		18.981	
345	IL	landfill	258.823		18.983	
346	PA	landfill	258.444		18.995	
347	SC	landfill	258.393		18.997	
348	MD	landfill	257.711		19.018	
349	SC	landfill	257.246		19.033	
350	TN	landfill	256.813		19.047	
351	MA	landfill	255.007		19.105	
352	TX	landfill	255.007		19.105	
353	TN	landfill	254.287		19.129	
354	CA	landfill	253.744		19.146	
355	IL	landfill	251.222		19.230	
356	KY	landfill	251.062		19.235	
357	KY	landfill	249.454		19.289	
358	NY	landfill	248.590		19.319	
359	MI	landfill	246.463		19.392	
360	SC	landfill	245.364		19.430	
361	LA	landfill	243.428		19.499	
362	TN	landfill	243.343		19.502	
363	NE	landfill	241.428		19.571	
364	AZ	landfill	240.620		19.600	
365	NC	landfill	239.355		19.646	
366	MO	landfill	238.447		19.680	
367	CA	landfill	238.193		19.689	
368	PA	landfill	236.584		19.750	
369	IL	landfill	236.384		19.757	
370	CA	landfill	235.692		19.783	
371	CA	landfill	235.433		19.793	
372	IL	landfill	234.204		19.840	
373	TX	landfill	233.429		19.870	
374	OR	landfill	232.899		19.891	
375	IN	landfill	232.160		19.920	
376	KS	landfill	231.292		19.954	
377	TN	landfill	230.041		20.003	
378	MO	landfill	229.720		20.016	
379	CA	landfill	227.760		20.095	
380	IN	landfill	226.998		20.126	
381	HI	landfill	226.412		20.151	
382	GA	landfill	226.365		20.152	
383	PR	landfill	225.412		20.192	
384	NC	landfill	225.282		20.197	
385	AL	landfill	224.397		20.234	
386	KY	landfill	224.196		20.243	
387	GA	landfill	224.086		20.247	
388	ME	landfill	223.946		20.253	
389	NM	landfill	221.877		20.341	
390	CA	landfill	221.248		20.368	
391	TX	landfill	220.791		20.388	
392	MO	landfill	220.624		20.395	
393	TX	landfill	219.958		20.424	
394	TX	landfill	218.796		20.475	
395	MI	landfill	218.331		20.496	
396	MN	landfill	217.657		20.526	
397	IN	landfill	217.642		20.526	
398	IL	landfill	216.926		20.558	
399	CO	landfill	215.985		20.601	
400	MI	landfill	215.175		20.637	
401	IN	landfill	214.670		20.660	
402	PA	landfill	214.428		20.672	
403	KY	landfill	214.379		20.674	
404	IA	landfill	214.254		20.680	
