year,         industry,ind,census,    fuel,fuel#,      capacity,    generation, elec fuel use,       thermal,cap fact,incr. heatrt,grid share,
1990,"       Ind 1-21", 98, 11,"all fl",   11,     17538800., 107086872741.,   1155445204.,   1484881982., 0.6970,   10790.,0.2191,
1991,"       Ind 1-21", 98, 11,"all fl",   11,     18033760., 108372616006.,   1164950935.,   1440836507., 0.6860,   10749.,0.1766,
1992,"       Ind 1-21", 98, 11,"all fl",   11,     18340640., 116021383674.,   1223744368.,   1515839620., 0.7221,   10548.,0.1733,
1993,"       Ind 1-21", 98, 11,"all fl",   11,     18960540., 118961814424.,   1226240381.,   1531994140., 0.7162,   10308.,0.1945,
1994,"       Ind 1-21", 98, 11,"all fl",   11,     20001330., 123864456269.,   1290244117.,   1633677263., 0.7069,   10417.,0.1850,
1995,"       Ind 1-21", 98, 11,"all fl",   11,     20076640., 122420825969.,   1310700438.,   1638633252., 0.6961,   10707.,0.1520,
1996,"       Ind 1-21", 98, 11,"all fl",   11,     20325960., 121080010454.,   1357999577.,   1645256781., 0.6800,   11216.,0.1363,
1997,"       Ind 1-21", 98, 11,"all fl",   11,     20782700., 124223950866.,   1304864557.,   1657765310., 0.6823,   10504.,0.1606,
1998,"       Ind 1-21", 98, 11,"all fl",   11,     20697260., 124255346962.,   1264718839.,   1671317414., 0.6853,   10178.,0.1309,
1999,"       Ind 1-21", 98, 11,"all fl",   11,     21058920., 126517186371.,   1307731731.,   1661836817., 0.6858,   10336.,0.1253,
2000,"       Ind 1-21", 98, 11,"all fl",   11,     20499680., 127538969726.,   1308390630.,   1662470878., 0.7102,   10259.,0.1414,
2001,"       Ind 1-21", 98, 11,"all fl",   11,     20899870., 120402102176.,   1228090699.,   1573442054., 0.6576,   10200.,0.1414,
2002,"       Ind 1-21", 98, 11,"all fl",   11,     20250110., 119993170469.,   1233284895.,   1626665920., 0.6764,   10278.,0.1414,
2003,"       Ind 1-21", 98, 11,"all fl",   11,     23099370., 126146740523.,   1279561264.,   1643676643., 0.6234,   10143.,0.1414,
2004,"       Ind 1-21", 98, 11,"all fl",   11,     21167920., 122521585764.,    948576367.,   1318619859., 0.6630,    7742.,0.0598,
2005,"       Ind 1-21", 98, 11,"all fl",   11,     21221240., 115976455706.,    875107150.,   1292847771., 0.6302,    7546.,0.2936,
2006,"       Ind 1-21", 98, 11,"all fl",   11,     22153180., 118137500343.,    862765712.,   1325956366., 0.6126,    7303.,0.1931,
2007,"       Ind 1-21", 98, 11,"all fl",   11,     21475200., 113667126519.,    836349473.,   1237430098., 0.6171,    7358.,0.2301,
2008,"       Ind 1-21", 98, 11,"all fl",   11,     20894500., 108699553728.,    795707483.,   1099717807., 0.6038,    7320.,0.1994,
2009,"       Ind 1-21", 98, 11,"all fl",   11,     20497600., 103433210829.,    754702186.,   1003870292., 0.5811,    7297.,0.1751,
2010,"       Ind 1-21", 98, 11,"all fl",   11,     20851100., 111247201029.,    834042063.,   1071441636., 0.6170,    7497.,0.1968,
2011,"       Ind 1-21", 98, 11,"all fl",   11,     20736300., 111770346205.,    854583130.,   1078601520., 0.6206,    7646.,0.2082,
2012,"       Ind 1-21", 98, 11,"all fl",   11,     22051300., 111724183968.,    926253225.,   1101168865., 0.5813,    8291.,0.2121,
2013,"       Ind 1-21", 98, 11,"all fl",   11,     21314267., 114931182738.,    915321242.,   1092858114., 0.6218,    7964.,0.1940,
2014,"       Ind 1-21", 98, 11,"all fl",   11,     21566000., 109776134748.,    874893902.,   1089603255., 0.5925,    7970.,0.2036,
2015,"       Ind 1-21", 98, 11,"all fl",   11,     21606200., 110910073274.,    840252912.,   1109714324., 0.5972,    7576.,0.2031,
2016,"       Ind 1-21", 98, 11,"all fl",   11,     21694067., 111892024071.,    699414236.,   1280457528., 0.6056,    6251.,0.2265,
2017,"       Ind 1-21", 98, 11,"all fl",   11,     21154475., 109945738930.,    691999114.,   1292996473., 0.5996,    6294.,0.2093,
2018,"       Ind 1-21", 98, 11,"all fl",   11,     21135183., 113173633817.,    718206553.,   1278110626., 0.6184,    6346.,0.2245,
2019,"       Ind 1-21", 98, 11,"all fl",   11,     21667058., 113588361506.,    740261439.,   1219360632., 0.6222,    6517.,0.2247,
2020,"       Ind 1-21", 98, 11,"all fl",   11,     20985200., 109281769992.,    726987701.,   1193536134., 0.6005,    6652.,0.2411,
2021,"       Ind 1-21", 98, 11,"all fl",   11,     20918400., 107028279036.,    680773265.,   1219023061., 0.5953,    6361.,0.2133,
1990,"       Ind 1-21", 98, 11,"biomas",    7,      3794790.,  25379197984.,    334745464.,    632091199., 0.7635,   13190.,0.2191,
1991,"       Ind 1-21", 98, 11,"biomas",    7,      4183290.,  25863150919.,    318463849.,    606105149., 0.7058,   12313.,0.1766,
1992,"       Ind 1-21", 98, 11,"biomas",    7,      4211880.,  27915722138.,    359490046.,    640997070., 0.7566,   12878.,0.1733,
1993,"       Ind 1-21", 98, 11,"biomas",    7,      4440640.,  28357816665.,    354545298.,    652557748., 0.7290,   12503.,0.1945,
1994,"       Ind 1-21", 98, 11,"biomas",    7,      4550400.,  28650377513.,    363619138.,    707297799., 0.7187,   12692.,0.1850,
1995,"       Ind 1-21", 98, 11,"biomas",    7,      4496960.,  28868463410.,    372752156.,    705848224., 0.7328,   12912.,0.1520,
1996,"       Ind 1-21", 98, 11,"biomas",    7,      4523800.,  28354497786.,    394406103.,    684032361., 0.7155,   13910.,0.1363,
1997,"       Ind 1-21", 98, 11,"biomas",    7,      4527670.,  28225019294.,    366978633.,    713263687., 0.7116,   13002.,0.1606,
1998,"       Ind 1-21", 98, 11,"biomas",    7,      4531380.,  27692538412.,    349362826.,    689236609., 0.6976,   12616.,0.1309,
1999,"       Ind 1-21", 98, 11,"biomas",    7,      4526300.,  28060357576.,    364498520.,    679043273., 0.7077,   12990.,0.1253,
2000,"       Ind 1-21", 98, 11,"biomas",    7,      4495550.,  28651834605.,    369228321.,    700005981., 0.7276,   12887.,0.1414,
2001,"       Ind 1-21", 98, 11,"biomas",    7,      4576380.,  26888490250.,    347630151.,    651796272., 0.6707,   12929.,0.1414,
2002,"       Ind 1-21", 98, 11,"biomas",    7,      4382210.,  28910032113.,    369792775.,    706742743., 0.7531,   12791.,0.1414,
2003,"       Ind 1-21", 98, 11,"biomas",    7,      4777810.,  27988370820.,    359877782.,    686561453., 0.6687,   12858.,0.1414,
2004,"       Ind 1-21", 98, 11,"biomas",    7,      4525290.,  28367085269.,    193744565.,    628225722., 0.7152,    6830.,0.0598,
2005,"       Ind 1-21", 98, 11,"biomas",    7,      4458100.,  28270533507.,    189262545.,    617639628., 0.7251,    6695.,0.2936,
2006,"       Ind 1-21", 98, 11,"biomas",    7,      4600690.,  28400016151.,    186803271.,    642352420., 0.7072,    6578.,0.1931,
2007,"       Ind 1-21", 98, 11,"biomas",    7,      4856300.,  28287374497.,    188220102.,    604674170., 0.6680,    6654.,0.2301,
2008,"       Ind 1-21", 98, 11,"biomas",    7,      4632100.,  26640888930.,    179226760.,    563146567., 0.6556,    6728.,0.1994,
2009,"       Ind 1-21", 98, 11,"biomas",    7,      4554200.,  25292156551.,    159712115.,    499538485., 0.6393,    6315.,0.1751,
2010,"       Ind 1-21", 98, 11,"biomas",    7,      4708300.,  25707513226.,    171739754.,    531985232., 0.6327,    6681.,0.1968,
2011,"       Ind 1-21", 98, 11,"biomas",    7,      4848900.,  26666491403.,    181380165.,    539135121., 0.6379,    6802.,0.2082,
2012,"       Ind 1-21", 98, 11,"biomas",    7,      4883400.,  26725161280.,    218924093.,    530848674., 0.6252,    8192.,0.2121,
2013,"       Ind 1-21", 98, 11,"biomas",    7,      5232967.,  27690925880.,    210308286.,    551785199., 0.6189,    7595.,0.1940,
2014,"       Ind 1-21", 98, 11,"biomas",    7,      5418725.,  27239255774.,    210167134.,    558195390., 0.5987,    7716.,0.2036,
2015,"       Ind 1-21", 98, 11,"biomas",    7,      5876400.,  27317791648.,    190839787.,    560176359., 0.5494,    6986.,0.2031,
2016,"       Ind 1-21", 98, 11,"biomas",    7,      5607800.,  27458064575.,    168958761.,    630846577., 0.5626,    6153.,0.2265,
2017,"       Ind 1-21", 98, 11,"biomas",    7,      5655175.,  27440037227.,    168828344.,    638206464., 0.5625,    6153.,0.2093,
2018,"       Ind 1-21", 98, 11,"biomas",    7,      5798050.,  27474814854.,    172039487.,    600569505., 0.5568,    6262.,0.2245,
2019,"       Ind 1-21", 98, 11,"biomas",    7,      5818833.,  26433433202.,    166514002.,    590015906., 0.5467,    6299.,0.2247,
2020,"       Ind 1-21", 98, 11,"biomas",    7,      5493600.,  24907799468.,    160404740.,    548829325., 0.5179,    6440.,0.2411,
2021,"       Ind 1-21", 98, 11,"biomas",    7,      5157300.,  24413179777.,    155832800.,    557981290., 0.5419,    6383.,0.2133,
1990,"       Ind 1-21", 98, 11,"coal  ",    1,      4154280.,  20656331875.,    228410379.,    326851061., 0.5676,   11058.,0.2191,
1991,"       Ind 1-21", 98, 11,"coal  ",    1,      4200240.,  21001911544.,    228065319.,    314625935., 0.5708,   10859.,0.1766,
1992,"       Ind 1-21", 98, 11,"coal  ",    1,      4203830.,  22292858430.,    241573634.,    324096274., 0.6054,   10836.,0.1733,
1993,"       Ind 1-21", 98, 11,"coal  ",    1,      4212980.,  23401435522.,    252653357.,    324463182., 0.6341,   10796.,0.1945,
1994,"       Ind 1-21", 98, 11,"coal  ",    1,      4289390.,  23076721692.,    255821403.,    333052615., 0.6142,   11086.,0.1850,
1995,"       Ind 1-21", 98, 11,"coal  ",    1,      4262460.,  21935548247.,    254021555.,    329117853., 0.5875,   11580.,0.1520,
1996,"       Ind 1-21", 98, 11,"coal  ",    1,      4245950.,  21817170934.,    257061476.,    328698162., 0.5866,   11783.,0.1363,
1997,"       Ind 1-21", 98, 11,"coal  ",    1,      4348610.,  22947262542.,    256614055.,    327437090., 0.6024,   11183.,0.1606,
1998,"       Ind 1-21", 98, 11,"coal  ",    1,      4032620.,  22336918757.,    244511232.,    318102611., 0.6323,   10947.,0.1309,
1999,"       Ind 1-21", 98, 11,"coal  ",    1,      3928150.,  21474218032.,    241550774.,    313381945., 0.6241,   11248.,0.1253,
2000,"       Ind 1-21", 98, 11,"coal  ",    1,      3793150.,  22055972593.,    245178126.,    309353127., 0.6638,   11116.,0.1414,
2001,"       Ind 1-21", 98, 11,"coal  ",    1,      3779710.,  20134661006.,    222261210.,    306873154., 0.6081,   11039.,0.1414,
2002,"       Ind 1-21", 98, 11,"coal  ",    1,      3676780.,  20078292292.,    221830773.,    306688773., 0.6234,   11048.,0.1414,
2003,"       Ind 1-21", 98, 11,"coal  ",    1,      3836910.,  19817122981.,    219938821.,    305880423., 0.5896,   11098.,0.1414,
2004,"       Ind 1-21", 98, 11,"coal  ",    1,      3684940.,  19772837451.,    150580751.,    290406788., 0.6109,    7616.,0.0598,
2005,"       Ind 1-21", 98, 11,"coal  ",    1,      3769260.,  19466105760.,    144889190.,    279552350., 0.5898,    7443.,0.2936,
2006,"       Ind 1-21", 98, 11,"coal  ",    1,      3561690.,  19463843253.,    142807164.,    272228811., 0.6305,    7337.,0.1931,
2007,"       Ind 1-21", 98, 11,"coal  ",    1,      3168900.,  16694156875.,    110726588.,    265947931., 0.6027,    6633.,0.2301,
2008,"       Ind 1-21", 98, 11,"coal  ",    1,      3469200.,  15702542571.,    109295561.,    255032251., 0.5475,    6960.,0.1994,
2009,"       Ind 1-21", 98, 11,"coal  ",    1,      3354200.,  13685700691.,     98828970.,    223485309., 0.4692,    7221.,0.1751,
2010,"       Ind 1-21", 98, 11,"coal  ",    1,      3534600.,  15158923840.,    111292098.,    244516475., 0.5000,    7342.,0.1968,
2011,"       Ind 1-21", 98, 11,"coal  ",    1,      3428500.,  14457582669.,    112229848.,    234589487., 0.4814,    7763.,0.2082,
2012,"       Ind 1-21", 98, 11,"coal  ",    1,      3292600.,  12603796248.,    103004278.,    211691337., 0.4451,    8172.,0.2121,
2013,"       Ind 1-21", 98, 11,"coal  ",    1,      2967775.,  12553664213.,     97270200.,    210795048., 0.4868,    7748.,0.1940,
2014,"       Ind 1-21", 98, 11,"coal  ",    1,      2947025.,  12340713474.,     95898210.,    199511545., 0.4803,    7771.,0.2036,
2015,"       Ind 1-21", 98, 11,"coal  ",    1,      2594200.,  10896104358.,     82656117.,    180500702., 0.4907,    7586.,0.2031,
2016,"       Ind 1-21", 98, 11,"coal  ",    1,      2300800.,   9102521383.,     61889303.,    173589408., 0.4797,    6799.,0.2265,
2017,"       Ind 1-21", 98, 11,"coal  ",    1,      1967500.,   7668726969.,     55819765.,    151779550., 0.4456,    7279.,0.2093,
2018,"       Ind 1-21", 98, 11,"coal  ",    1,      1955400.,   7011457871.,     50028815.,    142670675., 0.4093,    7135.,0.2245,
2019,"       Ind 1-21", 98, 11,"coal  ",    1,      1982400.,   5957259747.,     42574919.,    127411301., 0.3753,    7147.,0.2247,
2020,"       Ind 1-21", 98, 11,"coal  ",    1,      1428800.,   5451017012.,     36018039.,    114031452., 0.4343,    6608.,0.2411,
2021,"       Ind 1-21", 98, 11,"coal  ",    1,      1324600.,   5278278080.,     33402843.,    120334866., 0.4573,    6328.,0.2133,
1990,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2191,
1991,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1766,
1992,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1733,
1993,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1945,
1994,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1850,
1995,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1520,
1996,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1363,
1997,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1606,
1998,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1309,
1999,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1253,
2000,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1414,
2001,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1414,
2002,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1414,
2003,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1414,
2004,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.0598,
2005,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2936,
2006,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1931,
2007,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2301,
2008,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1994,
2009,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1751,
2010,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1968,
2011,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2082,
2012,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2121,
2013,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.1940,
2014,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2036,
2015,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2031,
2016,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2265,
2017,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2093,
2018,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2245,
2019,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2247,
2020,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2411,
2021,"       Ind 1-21", 98, 11,"geoth ",    5,            0.,            0.,            0.,            0., 0.0000,       0.,0.2133,
1990,"       Ind 1-21", 98, 11,"hydro ",    4,       319850.,   2975093887.,     30946922.,            0., 1.0618,   10402.,0.2191,
1991,"       Ind 1-21", 98, 11,"hydro ",    4,       316750.,   2843550053.,     29675289.,            0., 1.0248,   10436.,0.1766,
1992,"       Ind 1-21", 98, 11,"hydro ",    4,       325360.,   2949882992.,     30507691.,            0., 1.0350,   10342.,0.1733,
1993,"       Ind 1-21", 98, 11,"hydro ",    4,       338060.,   2870604740.,     29593067.,            0., 0.9693,   10309.,0.1945,
1994,"       Ind 1-21", 98, 11,"hydro ",    4,       704380.,   6028116167.,     62186047.,            0., 0.9769,   10316.,0.1850,
1995,"       Ind 1-21", 98, 11,"hydro ",    4,       704380.,   5304008329.,     54694933.,            0., 0.8596,   10312.,0.1520,
1996,"       Ind 1-21", 98, 11,"hydro ",    4,       704380.,   5877512668.,     60773484.,            0., 0.9525,   10340.,0.1363,
1997,"       Ind 1-21", 98, 11,"hydro ",    4,       694890.,   5685140908.,     58062346.,            0., 0.9339,   10213.,0.1606,
1998,"       Ind 1-21", 98, 11,"hydro ",    4,       694190.,   5348573012.,     54539404.,            0., 0.8795,   10197.,0.1309,
1999,"       Ind 1-21", 98, 11,"hydro ",    4,       694190.,   4758307336.,     48658394.,            0., 0.7825,   10226.,0.1253,
2000,"       Ind 1-21", 98, 11,"hydro ",    4,       694060.,   4135154586.,     42182716.,            0., 0.6801,   10201.,0.1414,
2001,"       Ind 1-21", 98, 11,"hydro ",    4,       694060.,   3145268330.,     32500058.,            0., 0.5173,   10333.,0.1414,
2002,"       Ind 1-21", 98, 11,"hydro ",    4,       665250.,   3649077827.,     37122069.,            0., 0.6262,   10173.,0.1414,
2003,"       Ind 1-21", 98, 11,"hydro ",    4,       684520.,   4222423507.,     43241839.,            0., 0.7042,   10241.,0.1414,
2004,"       Ind 1-21", 98, 11,"hydro ",    4,       642170.,   3248492974.,     32556397.,            0., 0.5759,   10022.,0.0598,
2005,"       Ind 1-21", 98, 11,"hydro ",    4,       654810.,   3195440939.,     31951214.,            0., 0.5571,    9999.,0.2936,
2006,"       Ind 1-21", 98, 11,"hydro ",    4,       686620.,   2899047665.,     28755663.,            0., 0.4820,    9919.,0.1931,
2007,"       Ind 1-21", 98, 11,"hydro ",    4,       313500.,   1589981312.,     15715363.,            0., 0.5790,    9884.,0.2301,
2008,"       Ind 1-21", 98, 11,"hydro ",    4,       316600.,   1675888920.,     16514207.,            0., 0.6026,    9854.,0.1994,
2009,"       Ind 1-21", 98, 11,"hydro ",    4,       330600.,   1868335580.,     18234953.,            0., 0.6451,    9760.,0.1751,
2010,"       Ind 1-21", 98, 11,"hydro ",    4,       323600.,   1677098126.,     16298038.,            0., 0.5916,    9718.,0.1968,
2011,"       Ind 1-21", 98, 11,"hydro ",    4,       323600.,   1797759150.,     17538946.,            0., 0.6349,    9756.,0.2082,
2012,"       Ind 1-21", 98, 11,"hydro ",    4,       291700.,   1356218140.,     12983075.,            0., 0.5575,    9573.,0.2121,
2013,"       Ind 1-21", 98, 11,"hydro ",    4,       268200.,   1510544281.,     14412105.,            0., 0.6429,    9541.,0.1940,
2014,"       Ind 1-21", 98, 11,"hydro ",    4,       271800.,   1282025489.,     12192055.,            0., 0.5384,    9510.,0.2036,
2015,"       Ind 1-21", 98, 11,"hydro ",    4,       273500.,   1409502050.,     13135147.,            0., 0.5883,    9319.,0.2031,
2016,"       Ind 1-21", 98, 11,"hydro ",    4,       276300.,   1269202150.,     11717268.,            0., 0.5275,    9232.,0.2265,
2017,"       Ind 1-21", 98, 11,"hydro ",    4,       275000.,   1382605363.,     12737938.,            0., 0.5739,    9213.,0.2093,
2018,"       Ind 1-21", 98, 11,"hydro ",    4,       203100.,   1149025700.,     10460742.,            0., 0.6458,    9104.,0.2245,
2019,"       Ind 1-21", 98, 11,"hydro ",    4,       209500.,   1033414250.,      9202550.,            0., 0.5688,    8905.,0.2247,
2020,"       Ind 1-21", 98, 11,"hydro ",    4,       206500.,   1000917760.,      8781049.,            0., 0.5518,    8773.,0.2411,
2021,"       Ind 1-21", 98, 11,"hydro ",    4,       203800.,    922190320.,      8154930.,            0., 0.5165,    8843.,0.2133,
1990,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    401038097.,      5830800.,     10520221., 0.0000,   14539.,0.2191,
1991,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    188688985.,      2390076.,      2217354., 0.0000,   12667.,0.1766,
1992,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    207121896.,      2673460.,      3476006., 0.0000,   12908.,0.1733,
1993,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    293388440.,      3780553.,      3991214., 0.0000,   12886.,0.1945,
1994,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    323867808.,      4006722.,      4191338., 0.0000,   12371.,0.1850,
1995,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    283351166.,      3440631.,      3743414., 0.0000,   12143.,0.1520,
1996,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    317062655.,      4539037.,      5987388., 0.0000,   14316.,0.1363,
1997,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    324945339.,      4475063.,      5940974., 0.0000,   13772.,0.1606,
1998,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    187206422.,      2189349.,      4228388., 0.0000,   11695.,0.1309,
1999,"       Ind 1-21", 98, 11,"msw   ",    6,         2460.,    160980184.,      1820121.,      3609048., 7.4702,   11306.,0.1253,
2000,"       Ind 1-21", 98, 11,"msw   ",    6,         2460.,    172506101.,      1755441.,      3618486., 8.0051,   10176.,0.1414,
2001,"       Ind 1-21", 98, 11,"msw   ",    6,         2460.,    154567708.,      1513231.,      2473709., 7.1726,    9790.,0.1414,
2002,"       Ind 1-21", 98, 11,"msw   ",    6,         2460.,    222214964.,      2172479.,      2814793.,10.3118,    9776.,0.1414,
2003,"       Ind 1-21", 98, 11,"msw   ",    6,         2460.,    275053420.,      2771594.,      4141008.,12.7637,   10077.,0.1414,
2004,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    340861707.,      1950769.,      6066894., 0.0000,    5723.,0.0598,
2005,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    394258285.,      2260576.,      7741575., 0.0000,    5734.,0.2936,
2006,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    505714363.,      2884857.,     11883567., 0.0000,    5705.,0.1931,
2007,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    474610103.,      4061072.,     10425527., 0.0000,    8557.,0.2301,
2008,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    341823219.,      2144029.,      4138138., 0.0000,    6272.,0.1994,
2009,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    316808745.,      2141676.,      3691226., 0.0000,    6760.,0.1751,
2010,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    263935677.,      2015561.,      3295920., 0.0000,    7637.,0.1968,
2011,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    292357429.,      2159141.,      3314065., 0.0000,    7385.,0.2082,
2012,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    281892175.,      1989683.,      3622570., 0.0000,    7058.,0.2121,
2013,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    290427625.,      2064571.,      3449959., 0.0000,    7109.,0.1940,
2014,"       Ind 1-21", 98, 11,"msw   ",    6,        44000.,    268816265.,      1911837.,      3591272., 0.6974,    7112.,0.2036,
2015,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    277288558.,      2161149.,      4498770., 0.0000,    7794.,0.2031,
2016,"       Ind 1-21", 98, 11,"msw   ",    6,        44000.,    276898592.,      1584660.,      5306880., 0.7164,    5723.,0.2265,
2017,"       Ind 1-21", 98, 11,"msw   ",    6,        44000.,    233324331.,      1283600.,      4401744., 0.6053,    5501.,0.2093,
2018,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    221776006.,      1271904.,      4257908., 0.0000,    5735.,0.2245,
2019,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    242215964.,      1352294.,      4665327., 0.0000,    5583.,0.2247,
2020,"       Ind 1-21", 98, 11,"msw   ",    6,            0.,    225513531.,      1284336.,      4370087., 0.0000,    5695.,0.2411,
2021,"       Ind 1-21", 98, 11,"msw   ",    6,        44000.,    214568814.,      1233699.,      4510634., 0.5567,    5750.,0.2133,
1990,"       Ind 1-21", 98, 11,"n.gas ",    3,      7112530.,  44928751135.,    402156845.,    322885548., 0.7211,    8951.,0.2191,
1991,"       Ind 1-21", 98, 11,"n.gas ",    3,      7189920.,  44683662657.,    411254679.,    325680853., 0.7094,    9204.,0.1766,
1992,"       Ind 1-21", 98, 11,"n.gas ",    3,      7338570.,  48536111938.,    422130889.,    342244864., 0.7550,    8697.,0.1733,
1993,"       Ind 1-21", 98, 11,"n.gas ",    3,      7693300.,  49381681740.,    415182979.,    334185743., 0.7327,    8408.,0.1945,
1994,"       Ind 1-21", 98, 11,"n.gas ",    3,      8104460.,  51188477057.,    436172971.,    369310135., 0.7210,    8521.,0.1850,
1995,"       Ind 1-21", 98, 11,"n.gas ",    3,      8251660.,  51801990335.,    464232325.,    391109899., 0.7166,    8962.,0.1520,
1996,"       Ind 1-21", 98, 11,"n.gas ",    3,      8370090.,  50757948710.,    461663631.,    405527794., 0.6923,    9095.,0.1363,
1997,"       Ind 1-21", 98, 11,"n.gas ",    3,      8645000.,  53148015334.,    469886388.,    390068380., 0.7018,    8841.,0.1606,
1998,"       Ind 1-21", 98, 11,"n.gas ",    3,      8743080.,  54931346767.,    467135661.,    428354838., 0.7172,    8504.,0.1309,
1999,"       Ind 1-21", 98, 11,"n.gas ",    3,      9195300.,  56493628524.,    485371206.,    439079067., 0.7013,    8592.,0.1253,
2000,"       Ind 1-21", 98, 11,"n.gas ",    3,      8795520.,  56929353301.,    488651959.,    428443548., 0.7389,    8583.,0.1414,
2001,"       Ind 1-21", 98, 11,"n.gas ",    3,      9080820.,  56227571030.,    481538652.,    408034086., 0.7068,    8564.,0.1414,
2002,"       Ind 1-21", 98, 11,"n.gas ",    3,      8920980.,  54977354315.,    475555133.,    436382122., 0.7035,    8650.,0.1414,
2003,"       Ind 1-21", 98, 11,"n.gas ",    3,     10362770.,  58535050905.,    496567514.,    444803455., 0.6448,    8483.,0.1414,
2004,"       Ind 1-21", 98, 11,"n.gas ",    3,     10093110.,  54915665371.,    428203929.,    238781618., 0.6253,    7797.,0.0598,
2005,"       Ind 1-21", 98, 11,"n.gas ",    3,     10077310.,  50422482253.,    384687293.,    233144985., 0.5810,    7629.,0.2936,
2006,"       Ind 1-21", 98, 11,"n.gas ",    3,     10744290.,  53868385539.,    399282386.,    257797928., 0.5754,    7412.,0.1931,
