"! This is the itech input file read by the industrial module; this file is made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,
"! using the python programs-in L:\mid\kpe\git\nems_idm, periodically committed to git --  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,
"! output file:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,
"! Hitech a repeat of the original values to ensure same form ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,
"! New features:  feedstock step_number 6 for non-bulk chemical industries with feedstocks--variables below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,
"! IDM_industry,region,step_number,fuel_number,UEC_X_2018,UEC_X_2050,TPC_X,UEC_NEW_2018,UEC_NEW_2050,TPC_NEW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,
1,4,1,48,0.06790,0.05877,-0.00450,0.06112,0.04921,-0.00675
1,4,2,3,0.00366,0.00317,-0.00449,0.00328,0.00264,-0.00676
1,4,2,11,0.30523,0.26421,-0.00450,0.25946,0.20890,-0.00675
1,4,2,12,0.00045,0.00039,-0.00453,0.00040,0.00032,-0.00674
1,4,2,14,0.11986,0.10375,-0.00450,0.10788,0.08686,-0.00675
1,4,2,22,0.00282,0.00244,0.00000,0.00282,0.00244,0.00000
1,4,3,1,0.05852,0.05066,-0.00450,0.05266,0.04240,-0.00675
1,4,3,3,0.01766,0.01528,-0.00450,0.01589,0.01280,-0.00675
1,4,3,11,0.03598,0.03114,-0.00450,0.03059,0.02463,-0.00675
1,4,3,12,0.00019,0.00017,-0.00451,0.00017,0.00014,-0.00678
1,4,3,14,0.00041,0.00036,-0.00431,0.00037,0.00030,-0.00658
1,4,3,22,0.00027,0.00023,0.00000,0.00027,0.00023,0.00000
2,1,1,1,0.13849,0.11988,-0.00450,0.12464,0.10036,-0.00675
2,1,1,3,0.03731,0.03230,-0.00450,0.03358,0.02704,-0.00675
2,1,1,11,0.18436,0.15959,-0.00450,0.15670,0.12617,-0.00675
2,1,1,12,0.02834,0.02454,-0.00450,0.02550,0.02053,-0.00675
2,1,1,22,0.00091,0.00079,0.00000,0.00091,0.00079,0.00000
2,1,2,3,0.00414,0.00358,-0.00449,0.00373,0.00301,-0.00674
